,player,fan_pts
39,Rams,11.8
56,Broncos,10.5
61,Cardinals,10
66,Jets,9.6
68,Packers,9.5
72,Panthers,9.1
91,Steelers,8.5
94,Eagles,8.3
124,Ravens,7.4
127,Patriots,7.4
137,Bengals,7
139,Bears,7
143,Titans,6.8
145,Seahawks,6.8
149,Cowboys,6.7
150,Buccaneers,6.7
154,Dolphins,6.4
157,Bills,6.2
171,Vikings,5.6
179,Raiders,5.4
182,Browns,5.3
189,Jaguars,4.9
193,Chiefs,4.8
200,Saints,4.5
229,Texans,3.1
248,Redskins,2.6
252,Lions,2.6
256,Giants,2.1
