,Unnamed: 0,player,fan_pts,dk_name,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,Name
0,39,Rams,11.8,Rams ,11.8,11.8,11.8,11.8,11.8,11.8,11.8,Rams 
1,56,Broncos,10.5,Broncos ,10.5,10.5,10.5,10.5,10.5,10.5,10.5,Broncos 
2,61,Cardinals,10.0,Cardinals ,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Cardinals 
3,66,Jets,9.6,Jets ,9.6,9.6,9.6,9.6,9.6,9.6,9.6,Jets 
4,68,Packers,9.5,Packers ,9.5,9.5,9.5,9.5,9.5,9.5,9.5,Packers 
5,72,Panthers,9.1,Panthers ,9.1,9.1,9.1,9.1,9.1,9.1,9.1,Panthers 
6,91,Steelers,8.5,Steelers ,8.5,8.5,8.5,8.5,8.5,8.5,8.5,Steelers 
7,94,Eagles,8.3,Eagles ,8.3,8.3,8.3,8.3,8.3,8.3,8.3,Eagles 
8,124,Ravens,7.4,Ravens ,7.4,7.4,7.4,7.4,7.4,7.4,7.4,Ravens 
9,127,Patriots,7.4,Patriots ,7.4,7.4,7.4,7.4,7.4,7.4,7.4,Patriots 
10,137,Bengals,7.0,Bengals ,7.0,7.0,7.0,7.0,7.0,7.0,7.0,Bengals 
11,139,Bears,7.0,Bears ,7.0,7.0,7.0,7.0,7.0,7.0,7.0,Bears 
12,143,Titans,6.8,Titans ,6.8,6.8,6.8,6.8,6.8,6.8,6.8,Titans 
13,145,Seahawks,6.8,Seahawks ,6.8,6.8,6.8,6.8,6.8,6.8,6.8,Seahawks 
14,149,Cowboys,6.7,Cowboys ,6.7,6.7,6.7,6.7,6.7,6.7,6.7,Cowboys 
15,150,Buccaneers,6.7,Buccaneers ,6.7,6.7,6.7,6.7,6.7,6.7,6.7,Buccaneers 
16,154,Dolphins,6.4,Dolphins ,6.4,6.4,6.4,6.4,6.4,6.4,6.4,Dolphins 
17,157,Bills,6.2,Bills ,6.2,6.2,6.2,6.2,6.2,6.2,6.2,Bills 
18,171,Vikings,5.6,Vikings ,5.6,5.6,5.6,5.6,5.6,5.6,5.6,Vikings 
19,179,Raiders,5.4,Raiders ,5.4,5.4,5.4,5.4,5.4,5.4,5.4,Raiders 
20,182,Browns,5.3,Browns ,5.3,5.3,5.3,5.3,5.3,5.3,5.3,Browns 
21,189,Jaguars,4.9,Jaguars ,4.9,4.9,4.9,4.9,4.9,4.9,4.9,Jaguars 
22,193,Chiefs,4.8,Chiefs ,4.8,4.8,4.8,4.8,4.8,4.8,4.8,Chiefs 
23,200,Saints,4.5,Saints ,4.5,4.5,4.5,4.5,4.5,4.5,4.5,Saints 
24,229,Texans,3.1,Texans ,3.1,3.1,3.1,3.1,3.1,3.1,3.1,Texans 
25,248,Redskins,2.6,Redskins ,2.6,2.6,2.6,2.6,2.6,2.6,2.6,Redskins 
26,252,Lions,2.6,Lions ,2.6,2.6,2.6,2.6,2.6,2.6,2.6,Lions 
27,256,Giants,2.1,Giants ,2.1,2.1,2.1,2.1,2.1,2.1,2.1,Giants 
