Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
Michael Hoomanawanui,TE,2500,NO@Was 01:00PM ET,3.229,NO,,,,,3.1,,1.559,2.3295,3.1,1.559,1.541,0.661515346641
Lee Smith,TE,2500,Min@Oak 04:05PM ET,1.563,Oak,,,3.3,,2.29,1.18,,2.25666666667,3.3,1.18,2.12,0.939438700148
Luke Stocker,TE,2500,Dal@TB 01:00PM ET,0.867,TB,,,,,1.53,0.18,,0.855,1.53,0.18,1.35,1.57894736842
Rhett Ellison,TE,2500,Min@Oak 04:05PM ET,0.929,Min,,3.0,3.88,3.5,,3.0,1.922,3.0604,3.88,1.922,1.958,0.639785648935
James Hanna,TE,2500,Dal@TB 01:00PM ET,0.717,Dal,,,,,2.5,2.76,,2.63,2.76,2.5,0.26,0.0988593155894
Jake Stoneburner,TE,2500,Mia@Phi 01:00PM ET,4.34,Mia,,1.4,5.73,1.7,,,1.127,2.48925,5.73,1.127,4.603,1.84915135081
Mychal Rivera,TE,2500,Min@Oak 04:05PM ET,2.763,Oak,4.0,5.8,3.94,5.9,2.99,4.95,4.365,4.56357142857,5.9,2.99,2.91,0.637658475505
Cory Harkey,TE,2500,Chi@StL 01:00PM ET,0.35,StL,,,,,,0.02,,0.02,0.02,0.02,0.0,0.0
Beau Brinkley,TE,2500,Car@Ten 01:00PM ET,0.0,Ten,,,,,,,,,,,,
Kevin McDermott,TE,2500,Min@Oak 04:05PM ET,0.0,Min,,,,,,,,,,,,
Tim Wright,TE,2500,Det@GB 01:00PM ET,3.467,Det,,,,,,0.65,,0.65,0.65,0.65,0.0,0.0
Michael Williams,TE,2500,NE@NYG 04:25PM ET,0.488,NE,,,,,,0.02,,0.02,0.02,0.02,0.0,0.0
Chris Gragg,TE,2500,Buf@NYJ 08:25PM ET,3.68,Buf,,3.2,,3.6,,0.03,2.449,2.31975,3.6,0.03,3.57,1.53895893954
Luke Willson,TE,2500,Ari@Sea 08:30PM ET,3.929,Sea,,3.0,4.81,3.5,3.36,3.22,2.661,3.42516666667,4.81,2.661,2.149,0.627414724344
Josh Hill,TE,2500,NO@Was 01:00PM ET,3.411,NO,2.0,1.4,7.53,1.7,3.1,3.04,3.072,3.12028571429,7.53,1.4,6.13,1.96456368464
James Winchester,TE,2500,KC@Den 04:25PM ET,0.0,KC,,,,,,,,,,,,
Justin Perillo,TE,2500,Det@GB 01:00PM ET,1.567,GB,,,,,1.27,,,1.27,1.27,1.27,0.0,0.0
Ryan Hewitt,TE,2500,Hou@Cin 08:30PM ET,0.725,Cin,,,2.5,,,0.97,,1.735,2.5,0.97,1.53,0.881844380403
Justice Cunningham,TE,2500,Chi@StL 01:00PM ET,0.0,StL,,,,,,,,,,,,
Gavin Escobar,TE,2500,Dal@TB 01:00PM ET,1.425,Dal,2.0,5.0,4.37,4.5,,0.24,1.712,2.97033333333,5.0,0.24,4.76,1.60251374705
