,Id,Name,Position,Salary,Game,FPPG,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fire,average,max,min,range,rel_range,upside,final
195,22063,Keshawn Martin,WR,5100,PHI@NE,5.0,NE,3.65,,5.37,,6.525,4.4905,5.008875,6.525,3.65,2.875,0.573981183,1.516125,4.65
196,14362,Charles Clay,TE,5100,HOU@BUF,7.3,BUF,4.2,10.2,5.395,9.8,5.355,5.7425,6.782083333,10.2,4.2,6.0,0.88468391,3.417916667,12.8
197,8803,Chase Daniel,QB,5000,KC@OAK,0.2,KC,,,,,,,,,,,,,
198,21959,Brandon Weeden,QB,5000,HOU@BUF,9.6,HOU,,,,,,,,,,,,,
199,43956,David Fales,QB,5000,SF@CHI,0.0,CHI,,,,,,,,,,,,,
200,26141,Ryan Nassib,QB,5000,NYJ@NYG,0.0,NYG,,,,,,,,,,,,,
201,14292,Jordan Cameron,TE,5000,BAL@MIA,5.0,MIA,3.7,5.565,4.245,5.75,5.31,4.0165,4.764416667,5.75,3.7,2.05,0.430273031,0.985583333,
202,29445,Sean Mannion,QB,5000,ARI@STL,1.2,STL,,,,,,,,,,,,,
203,6373,Derek Anderson,QB,5000,CAR@NO,0.2,CAR,,,,,,,,,,,,,
204,25410,Mike Glennon,QB,5000,ATL@TB,0.0,TB,,,,,,,,,,,,,
205,54604,Jimmy Garoppolo,QB,5000,PHI@NE,-0.1,NE,,,,,,,,,,,,,
206,7053,Matt Flynn,QB,5000,CAR@NO,0.0,NO,,,,,,,,,,,,,
207,11425,Ryan Mathews,RB,5000,PHI@NE,10.4,PHI,,7.275,,,,,7.275,7.275,7.275,0.0,0.0,0.0,
208,25813,Phillip Dorsett,WR,5000,IND@PIT,3.8,IND,,1.785,,,,,1.785,1.785,1.785,0.0,0.0,0.0,
209,11466,Jimmy Clausen,QB,5000,BAL@MIA,3.6,BAL,,,,,,,,,,,,,
210,8118,Michael Vick,QB,5000,IND@PIT,6.3,PIT,,,,,,,,,,,,,
211,24760,Sean Renfree,QB,5000,ATL@TB,-0.4,ATL,,,,,,,,,,,,,
212,11500,Colt McCoy,QB,5000,DAL@WAS,0.0,WAS,,,,,,,,,,,,,
213,10354,Marcel Reece,RB,5000,KC@OAK,4.8,OAK,1.55,,3.84,,2.27,1.2055,2.216375,3.84,1.2055,2.6345,1.188652642,1.623625,2.45
214,16923,Austin Seferian-Jenkins,TE,5000,ATL@TB,14.7,TB,1.05,12.615,7.285,11.65,6.42,5.8775,7.482916667,12.615,1.05,11.565,1.545520352,5.132083333,3.25
215,8051,Luke McCown,QB,5000,CAR@NO,1.6,NO,,,,,,,,,,,,,
216,24569,Chandler Catanzaro,K,5000,ARI@STL,9.5,ARI,,,,,,,,,,,,,
217,39512,Kendall Gaskins,RB,5000,SF@CHI,1.3,SF,,1.64,4.355,1.65,,,2.548333333,4.355,1.64,2.715,1.065402224,1.806666667,
218,7970,Charlie Whitehurst,QB,5000,IND@PIT,0.0,IND,,,,,,,,,,,,,2.04
219,6814,Tarvaris Jackson,QB,5000,SEA@MIN,0.0,SEA,,,,,,,,,,,,,
220,31798,Bryce Petty,QB,5000,NYJ@NYG,0.0,NYJ,,,,,,,,,,,,,
221,10744,Graham Gano,K,5000,CAR@NO,11.3,CAR,,,,,,,,,,,,,
222,7844,Chad Henne,QB,5000,JAC@TEN,0.0,JAC,,,,,,,,,,,,,
223,11761,Thaddeus Lewis,QB,5000,PHI@NE,0.0,PHI,,,,,,,,,,,,,
224,24949,E.J. Manuel,QB,5000,HOU@BUF,10.3,BUF,,,,,,,,,,,,,
225,22128,Ryan Lindley,QB,5000,PHI@NE,0.0,NE,,,,,,,,,,,,,
226,22018,Mohamed Sanu,WR,5000,CIN@CLE,5.0,CIN,2.1,6.905,4.525,7.85,4.63,4.134,5.024,7.85,2.1,5.75,1.144506369,2.826,
227,11615,Joe Webb,QB,5000,CAR@NO,0.0,CAR,,,,,,,,,,,,,
228,22047,Ladarius Green,TE,5000,DEN@SD,8.5,SD,2.6,9.99,3.74,3.45,4.52,2.6675,4.494583333,9.99,2.6,7.39,1.644201353,5.495416667,2.2
229,29780,Zach Ertz,TE,5000,PHI@NE,5.8,PHI,4.65,5.46,3.67,5.75,6.88,3.6755,5.01425,6.88,3.67,3.21,0.6401755,1.86575,7.0
230,21971,Coby Fleener,TE,4900,IND@PIT,6.2,IND,4.2,7.35,5.635,8.2,6.08,3.1605,5.770916667,8.2,3.1605,5.0395,0.873258148,2.429083333,2.2
231,6636,Mike Nugent,K,4900,CIN@CLE,7.8,CIN,,,,,,,,,,,,,
