,Unnamed: 0,player,espn,dk_name
0,1,Cam Newton,24.384,Cam Newton
1,2,Tom Brady,23.074,Tom Brady
2,3,Aaron Rodgers,21.778,NaN
3,4,Matthew Stafford,20.812,NaN
4,5,Drew Brees,19.604,Drew Brees
5,6,Carson Palmer,19.914,Carson Palmer
6,7,Andy Dalton,19.586,Andy Dalton
7,8,Ryan Tannehill,19.194,Ryan Tannehill
8,9,Eli Manning,19.68,Eli Manning
9,10,Ben Roethlisberger,20.06,Ben Roethlisberger
10,11,Philip Rivers,18.41,Philip Rivers
11,12,Devonta Freeman,17.275,Devonta Freeman
12,13,LeSean McCoy,17.315,LeSean McCoy
13,14,Ryan Fitzpatrick,19.388,Ryan Fitzpatrick
14,15,Derek Carr,17.912,Derek Carr
15,16,Adrian Peterson,16.63,Adrian Peterson
16,17,Blake Bortles,17.866,Blake Bortles
17,18,Marcus Mariota,17.98,Marcus Mariota
18,19,Russell Wilson,18.598,Russell Wilson
19,20,Alex Smith,16.258,Alex Smith
20,21,DeAngelo Williams,16.815,DeAngelo Williams
21,22,Jay Cutler,17.272,Jay Cutler
22,23,Matt Hasselbeck,17.574,Matt Hasselbeck
23,24,Matt Ryan,17.286,Matt Ryan
24,25,Tyrod Taylor,16.916,Tyrod Taylor
25,26,Brock Osweiler,15.994,Brock Osweiler
26,27,Jameis Winston,16.274,Jameis Winston
27,28,Austin Davis,16.728,Austin Davis
28,29,Brian Hoyer,15.582,Brian Hoyer
29,30,Sam Bradford,16.476,Sam Bradford
30,31,Antonio Brown,15.115,Antonio Brown
31,32,Matt Schaub,16.734,Matt Schaub
32,33,Matt Forte,14.56,Matt Forte
33,34,Mark Ingram,14.935,Mark Ingram
34,35,David Johnson,14.7,David Johnson
35,36,Julio Jones,13.655,Julio Jones
36,37,Odell Beckham Jr.,13.49,Odell Beckham Jr.
37,38,DeAndre Hopkins,13.65,DeAndre Hopkins
38,39,Todd Gurley,14.3,Todd Gurley
39,40,Darren McFadden,13.11,Darren McFadden
40,42,Calvin Johnson,13.495,NaN
41,43,A.J. Green,13.265,A.J. Green
42,44,Jonathan Stewart,14.295,Jonathan Stewart
43,45,Doug Martin,14.11,Doug Martin
44,46,LeGarrette Blount,13.5,LeGarrette Blount
45,47,Javorius Allen,12.57,Javorius Allen
46,48,Thomas Rawls,13.055,Thomas Rawls
47,49,Alshon Jeffery,12.445,Alshon Jeffery
48,50,Larry Fitzgerald,12.915,Larry Fitzgerald
49,51,Teddy Bridgewater,12.586,Teddy Bridgewater
50,52,Charcandrick West,11.71,Charcandrick West
51,53,Brandon Marshall,11.96,Brandon Marshall
52,54,Allen Robinson,11.545,Allen Robinson
53,55,Greg Olsen,11.48,Greg Olsen
54,56,Matt Cassel,13.288,Matt Cassel
55,57,Kirk Cousins,13.35,Kirk Cousins
56,58,Martavis Bryant,11.17,Martavis Bryant
57,59,Lamar Miller,12.165,Lamar Miller
58,60,Nick Foles,12.814,Nick Foles
59,61,C.J. Anderson,11.62,C.J. Anderson
60,62,Chris Ivory,11.89,NaN
61,63,Shaun Draughn,12.65,Shaun Draughn
62,64,Eric Decker,11.355,Eric Decker
63,66,Jarvis Landry,11.1,Jarvis Landry
64,67,Brandon LaFell,11.345,Brandon LaFell
65,69,Eddie Lacy,11.435,NaN
66,70,DeMarco Murray,12.025,DeMarco Murray
67,71,Michael Crabtree,10.37,Michael Crabtree
68,72,Danny Amendola,11.15,Danny Amendola
69,73,Jeremy Langford,10.52,Jeremy Langford
70,75,T.Y. Hilton,10.26,T.Y. Hilton
71,76,Sammy Watkins,9.87,Sammy Watkins
72,77,Travis Benjamin,9.495,Travis Benjamin
73,78,Amari Cooper,10.54,Amari Cooper
74,79,Jeremy Hill,10.365,Jeremy Hill
75,83,Latavius Murray,10.86,Latavius Murray
76,85,Randall Cobb,10.17,NaN
77,89,Jeremy Maclin,9.15,Jeremy Maclin
78,91,Antonio Andrews,10.465,Antonio Andrews
79,92,Mike Evans,9.565,Mike Evans
80,94,Giovani Bernard,9.165,Giovani Bernard
81,95,Frank Gore,10.17,Frank Gore
82,96,Blaine Gabbert,10.944,Blaine Gabbert
83,98,Gary Barnidge,9.22,Gary Barnidge
84,100,Demaryius Thomas,9.27,Demaryius Thomas
85,101,Golden Tate,9.42,NaN
86,104,Delanie Walker,8.72,Delanie Walker
87,105,T.J. Yeldon,9.45,T.J. Yeldon
88,107,Dez Bryant,9.62,Dez Bryant
89,112,Kamar Aiken,9.505,Kamar Aiken
90,116,Scott Chandler,8.62,Scott Chandler
91,119,Brandin Cooks,8.445,Brandin Cooks
92,120,Emmanuel Sanders,8.135,Emmanuel Sanders
93,121,Stevie Johnson,8.485,Steve Johnson
94,124,Danny Woodhead,8.635,Danny Woodhead
95,125,Marvin Jones,8.045,Marvin Jones
96,128,Jordan Matthews,8.225,Jordan Matthews
97,135,Davante Adams,8.405,NaN
98,138,John Brown,8.55,John Brown
99,139,Duke Johnson Jr.,8.005,Duke Johnson
100,141,Michael Floyd,7.57,Michael Floyd
101,143,Donte Moncrief,8.655,Donte Moncrief
102,144,Julius Thomas,7.73,Julius Thomas
103,145,Alfred Blue,8.24,Alfred Blue
104,146,Alfred Morris,7.865,Alfred Morris
105,149,Travis Kelce,8.58,Travis Kelce
106,151,Vincent Jackson,7.455,Vincent Jackson
107,153,Jordan Reed,7.155,Jordan Reed
108,154,Benjamin Watson,7.58,Benjamin Watson
109,155,Tavon Austin,7.86,Tavon Austin
110,156,Kenny Stills,7.08,Kenny Stills
