,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fire,average,max,min,range,rel_range,upside,final
165,Rueben Randle,WR,3900,NYJ@NYG 01:00PM ET,10.736,NYG,7.0,15.4,9.9,14.8,9.18,9.055,10.88916667,15.4,7.0,8.4,0.771408893,4.510833333,4.2
166,Nate Washington,WR,3800,Hou@Buf 01:00PM ET,11.878,Hou,15.5,4.0,9.23,4.5,9.28,8.155,8.444166667,15.5,4.0,11.5,1.361886904,7.055833333,10.4
167,Doug Baldwin,WR,3800,Sea@Min 01:00PM ET,14.582,Sea,17.0,15.3,13.63,8.7,12.03,9.828,12.748,17.0,8.7,8.3,0.651082523,4.252,26.4
168,Michael Floyd,WR,3800,Ari@StL 01:00PM ET,10.86,Ari,9.0,7.8,10.38,7.7,10.61,8.353,8.973833333,10.61,7.7,2.91,0.324276136,1.636166667,20.4
169,Marvin Jones,WR,3800,Cin@Cle 01:00PM ET,10.664,Cin,14.0,16.8,9.95,16.3,11.37,7.61,12.67166667,16.8,7.61,9.19,0.725240037,4.128333333,16.5
170,Carlos Hyde,RB,3800,SF@Chi 01:00PM ET,12.043,SF,,,,,,,,,,,,,
171,Terrance West,RB,3800,Bal@Mia 01:00PM ET,2.267,Bal,3.5,,7.44,11.2,5.38,,6.88,11.2,3.5,7.7,1.119186047,4.32,4.6
172,Duke Johnson Jr.,RB,3800,Cin@Cle 01:00PM ET,10.782,Cle,10.5,15.4,10.46,10.0,11.9,7.48,10.95666667,15.4,7.48,7.92,0.722847581,4.443333333,7.2
173,Matt Jones,RB,3800,Dal@Was 08:30PM ET,10.28,Was,8.0,17.0,9.85,13.2,8.87,6.009,10.48816667,17.0,6.009,10.991,1.04794292,6.511833333,6.4
174,Jacob Tamme,TE,3700,Atl@TB 01:00PM ET,10.45,Atl,10.0,1.6,9.54,1.8,11.6,11.559,7.683166667,11.6,1.6,10.0,1.301546671,3.916833333,5.6
175,Alfred Morris,RB,3700,Dal@Was 08:30PM ET,6.064,Was,6.0,11.1,8.56,11.7,8.53,8.9858,9.145966667,11.7,6.0,5.7,0.623225538,2.554033333,1.2
176,Kyle Rudolph,TE,3700,Sea@Min 01:00PM ET,8.827,Min,8.0,8.8,6.87,11.5,7.79,6.364,8.220666667,11.5,6.364,5.136,0.624766848,3.279333333,4.3
177,Devin Funchess,WR,3700,Car@NO 04:25PM ET,5.318,Car,10.0,11.4,7.26,11.1,8.6,6.558,9.153,11.4,6.558,4.842,0.529006883,2.247,8.3
178,Seahawks ,DST,3600,Sea@Min 01:00PM ET,10.455,Sea,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,0.0,0.0,0.0,
179,Ted Ginn Jr.,WR,3600,Car@NO 04:25PM ET,9.455,Car,9.0,9.4,8.68,8.3,10.69,7.123,8.8655,10.69,7.123,3.567,0.402346173,1.8245,25.0
180,Malcom Floyd,WR,3600,Den@SD 04:05PM ET,8.21,SD,4.0,,5.8,,8.57,7.638,6.502,8.57,4.0,4.57,0.702860658,2.068,
181,Ahmad Bradshaw,RB,3600,Ind@Pit 08:30PM ET,7.15,Ind,,,,,,,,,,,,,
182,Rashad Jennings,RB,3600,NYJ@NYG 01:00PM ET,8.409,NYG,6.5,9.3,8.8,3.5,8.68,6.434,7.202333333,9.3,3.5,5.8,0.80529458,2.097666667,4.3
183,Martellus Bennett,TE,3600,SF@Chi 01:00PM ET,11.05,Chi,16.5,18.0,11.12,20.5,10.85,10.36,14.555,20.5,10.36,10.14,0.696667812,5.945,4.4
184,Kenny Britt,WR,3600,Ari@StL 01:00PM ET,6.673,StL,5.0,7.7,7.82,5.5,8.22,7.294,6.922333333,8.22,5.0,3.22,0.465161073,1.297666667,6.1
185,Leonard Hankerson,WR,3600,Atl@TB 01:00PM ET,9.963,Atl,,13.8,,,,,13.8,13.8,13.8,0.0,0.0,0.0,
186,Cole Beasley,WR,3600,Dal@Was 08:30PM ET,8.836,Dal,6.0,10.6,7.17,4.2,4.79,5.125,6.314166667,10.6,4.2,6.4,1.013593771,4.285833333,
187,Markus Wheaton,WR,3600,Ind@Pit 08:30PM ET,8.127,Pit,5.0,3.5,9.75,3.1,8.65,5.376,5.896,9.75,3.1,6.65,1.127883311,3.854,14.0
188,Kyle Juszczyk,RB,3600,Bal@Mia 01:00PM ET,5.7,Bal,,,4.56,,7.01,1.599,4.389666667,7.01,1.599,5.411,1.232667629,2.620333333,
189,Crockett Gillmore,TE,3600,Bal@Mia 01:00PM ET,11.056,Bal,9.0,2.6,12.84,2.4,8.83,8.733,7.4005,12.84,2.4,10.44,1.410715492,5.4395,1.7
190,Cecil Shorts III,WR,3600,Hou@Buf 01:00PM ET,11.605,Hou,8.5,7.8,6.72,14.8,9.0,7.1418,8.993633333,14.8,6.72,8.08,0.898413322,5.806366667,15.2
191,Antonio Andrews,RB,3600,Jax@Ten 01:00PM ET,8.644,Ten,7.0,13.2,8.28,12.7,12.08,11.391,10.77516667,13.2,7.0,6.2,0.575397132,2.424833333,13.8
192,Karlos Williams,RB,3600,Hou@Buf 01:00PM ET,12.35,Buf,,1.3,,,,,1.3,1.3,1.3,0.0,0.0,0.0,
193,Seth Roberts,WR,3600,KC@Oak 04:05PM ET,7.564,Oak,,,4.71,,6.13,1.543,4.127666667,6.13,1.543,4.587,1.111281596,2.002333333,9.1
194,Panthers ,DST,3500,Car@NO 04:25PM ET,11.273,Car,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,0.0,0.0,0.0,
195,Harry Douglas,WR,3500,Jax@Ten 01:00PM ET,6.211,Ten,6.5,15.6,6.59,15.2,7.52,4.505,9.319166667,15.6,4.505,11.095,1.190557096,6.280833333,1.8
196,Charles Clay,TE,3500,Hou@Buf 01:00PM ET,9.664,Buf,8.0,14.0,8.91,13.6,8.87,9.438,10.46966667,14.0,8.0,6.0,0.573084148,3.530333333,16.6
197,Robert Turbin,RB,3500,Dal@Was 08:30PM ET,3.16,Dal,2.0,,5.48,,4.69,2.794,3.741,5.48,2.0,3.48,0.930232558,1.739,4.4
198,Andre Ellington,RB,3500,Ari@StL 01:00PM ET,8.538,Ari,,4.1,,,,,4.1,4.1,4.1,0.0,0.0,0.0,
199,Knile Davis,RB,3500,KC@Oak 04:05PM ET,1.733,KC,,9.9,,4.0,,,6.95,9.9,4.0,5.9,0.848920863,2.95,
200,Charles Sims,RB,3500,Atl@TB 01:00PM ET,10.009,TB,8.5,8.0,9.96,7.1,9.39,8.556,8.584333333,9.96,7.1,2.86,0.333165068,1.375666667,9.7
201,Terron Ward,RB,3500,Atl@TB 01:00PM ET,2.764,Atl,,2.6,,2.7,,1.709,2.336333333,2.7,1.709,0.991,0.424168926,0.363666667,
202,Jamison Crowder,WR,3500,Dal@Was 08:30PM ET,8.645,Was,4.5,10.5,8.17,9.0,6.53,10.651,8.225166667,10.651,4.5,6.151,0.747826792,2.425833333,5.9
203,C.J. Anderson,RB,3500,Den@SD 04:05PM ET,10.073,Den,15.5,5.2,10.88,5.5,13.33,9.477,9.981166667,15.5,5.2,10.3,1.031943494,5.518833333,6.4
204,Bengals ,DST,3400,Cin@Cle 01:00PM ET,8.455,Cin,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,
205,Broncos ,DST,3400,Den@SD 04:05PM ET,12.0,Den,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,0.0,0.0,0.0,
206,Patriots ,DST,3400,Phi@NE 04:25PM ET,7.909,NE,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,0.0,0.0,0.0,
207,Darren Sproles,RB,3400,Phi@NE 04:25PM ET,8.782,Phi,7.5,16.8,8.47,11.9,11.84,8.387,10.81616667,16.8,7.5,9.3,0.859824029,5.983833333,14.0
208,Brian Hartline,WR,3400,Cin@Cle 01:00PM ET,7.53,Cle,9.5,5.4,9.23,5.7,11.94,6.509,8.0465,11.94,5.4,6.54,0.812775741,3.8935,16.3
209,Jermaine Kearse,WR,3400,Sea@Min 01:00PM ET,8.173,Sea,8.0,9.0,10.02,7.6,8.04,7.983,8.4405,10.02,7.6,2.42,0.286712872,1.5795,
210,Chris Givens,WR,3400,Bal@Mia 01:00PM ET,4.43,Bal,8.0,6.8,6.87,6.9,8.11,6.0678,7.124633333,8.11,6.0678,2.0422,0.286639312,0.985366667,9.8
211,David Johnson,RB,3400,Ari@StL 01:00PM ET,9.455,Ari,17.5,16.2,18.48,9.7,17.93,15.241,15.84183333,18.48,9.7,8.78,0.554228782,2.638166667,20.0
212,Devin Smith,WR,3400,NYJ@NYG 01:00PM ET,3.188,NYJ,4.0,3.2,3.88,4.0,5.3,1.557,3.656166667,5.3,1.557,3.743,1.023749829,1.643833333,
213,Melvin Gordon,RB,3400,Den@SD 04:05PM ET,8.182,SD,6.0,3.2,9.23,4.1,9.78,8.743,6.842166667,9.78,3.2,6.58,0.961683677,2.937833333,6.3
214,Heath Miller,TE,3300,Ind@Pit 08:30PM ET,8.091,Pit,2.0,10.0,,11.9,,,7.966666667,11.9,2.0,9.9,1.242677824,3.933333333,
215,Andre Johnson,WR,3300,Ind@Pit 08:30PM ET,6.936,Ind,4.5,11.0,7.45,4.8,5.39,5.612,6.458666667,11.0,4.5,6.5,1.00639967,4.541333333,6.4
216,Andrew Hawkins,WR,3300,Cin@Cle 01:00PM ET,6.95,Cle,,7.9,,,,,7.9,7.9,7.9,0.0,0.0,0.0,
217,Marcel Reece,RB,3300,KC@Oak 04:05PM ET,5.818,Oak,2.5,1.4,5.74,1.9,3.6,2.108,2.874666667,5.74,1.4,4.34,1.50974026,2.865333333,5.3
218,Mike Wallace,WR,3300,Sea@Min 01:00PM ET,6.036,Min,5.0,15.9,6.66,17.4,6.46,5.763,9.5305,17.4,5.0,12.4,1.301085987,7.8695,6.3
219,Robert Woods,WR,3300,Hou@Buf 01:00PM ET,7.755,Buf,7.0,14.6,8.16,7.9,9.51,7.094,9.044,14.6,7.0,7.6,0.840336134,5.556,9.9
220,James White,RB,3300,Phi@NE 04:25PM ET,4.111,NE,7.5,6.2,8.95,7.2,7.26,3.583,6.782166667,8.95,3.583,5.367,0.791340034,2.167833333,30.9
221,David Cobb,RB,3300,Jax@Ten 01:00PM ET,0.25,Ten,4.0,12.7,3.03,11.4,5.4,1.908,6.406333333,12.7,1.908,10.792,1.684582965,6.293666667,4.0
222,DeVante Parker,WR,3300,Bal@Mia 01:00PM ET,2.69,Mia,13.0,3.0,6.55,2.6,10.49,6.317,6.992833333,13.0,2.6,10.4,1.487236933,6.007166667,15.3
223,Dorial Green-Beckham,WR,3300,Jax@Ten 01:00PM ET,4.936,Ten,6.5,11.6,6.62,6.1,7.99,8.024,7.805666667,11.6,6.1,5.5,0.704616304,3.794333333,25.9
224,Marques Colston,WR,3200,Car@NO 04:25PM ET,8.81,NO,7.0,16.4,9.97,16.1,11.38,5.8292,11.1132,16.4,5.8292,10.5708,0.951193176,5.2868,2.4
225,Roddy White,WR,3200,Atl@TB 01:00PM ET,5.855,Atl,6.0,4.4,9.99,4.1,9.86,5.958,6.718,9.99,4.1,5.89,0.876749032,3.272,6.3
226,Jerricho Cotchery,WR,3200,Car@NO 04:25PM ET,6.956,Car,4.0,4.6,7.84,4.6,6.22,6.008,5.544666667,7.84,4.0,3.84,0.692557413,2.295333333,11.6
227,Dwayne Harris,WR,3200,NYJ@NYG 01:00PM ET,8.309,NYG,15.0,2.6,6.32,2.3,8.6,5.1666,6.664433333,15.0,2.3,12.7,1.905638389,8.335566667,1.8
228,Dontrelle Inman,WR,3200,Den@SD 04:05PM ET,5.96,SD,9.0,3.0,6.15,2.3,9.99,4.448,5.814666667,9.99,2.3,7.69,1.322517771,4.175333333,2.5
229,Torrey Smith,WR,3200,SF@Chi 01:00PM ET,7.573,SF,5.5,12.4,8.62,4.6,5.08,5.331,6.921833333,12.4,4.6,7.8,1.126869086,5.478166667,15.6
230,Ryan Mathews,RB,3200,Phi@NE 04:25PM ET,11.733,Phi,,8.7,,,,,8.7,8.7,8.7,0.0,0.0,0.0,
231,Chris Polk,RB,3200,Hou@Buf 01:00PM ET,4.65,Hou,,1.5,5.47,2.2,4.25,3.504,3.3848,5.47,1.5,3.97,1.17289057,2.0852,14.2
232,Marlon Brown,WR,3200,Bal@Mia 01:00PM ET,2.52,Bal,,6.4,,6.7,,,6.55,6.7,6.4,0.3,0.045801527,0.15,
233,Kenny Stills,WR,3200,Bal@Mia 01:00PM ET,6.027,Mia,6.0,13.6,7.05,12.9,10.5,3.609,8.943166667,13.6,3.609,9.991,1.117165806,4.656833333,
234,Josh Huff,WR,3200,Phi@NE 04:25PM ET,6.04,Phi,4.0,6.4,4.35,6.4,3.76,4.731,4.940166667,6.4,3.76,2.64,0.534394926,1.459833333,
235,Isaiah Crowell,RB,3200,Cin@Cle 01:00PM ET,6.9,Cle,5.5,7.0,7.81,6.4,5.85,6.515,6.5125,7.81,5.5,2.31,0.354702495,1.2975,7.4
236,Nelson Agholor,WR,3200,Phi@NE 04:25PM ET,3.913,Phi,5.0,4.8,4.27,4.5,6.3,5.577,5.0745,6.3,4.27,2.03,0.400039413,1.2255,
237,Zach Miller,TE,3100,SF@Chi 01:00PM ET,5.836,Chi,2.0,,9.75,1.9,6.33,,4.995,9.75,1.9,7.85,1.571571572,4.755,1.6
238,Falcons ,DST,3000,Atl@TB 01:00PM ET,6.636,Atl,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,0.0,0.0,0.0,
239,Chiefs ,DST,3000,KC@Oak 04:05PM ET,9.273,KC,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,0.0,0.0,-8.88e-16,
240,Greg Jennings,WR,3000,Bal@Mia 01:00PM ET,2.836,Mia,,6.8,3.43,7.5,3.17,2.04,4.588,7.5,2.04,5.46,1.190061029,2.912,
241,Jason Avant,WR,3000,KC@Oak 04:05PM ET,1.836,KC,,,5.0,,4.14,3.246,4.128666667,5.0,3.246,1.754,0.424834491,0.871333333,
242,Vernon Davis,TE,3000,Den@SD 04:05PM ET,5.71,Den,6.0,11.8,6.56,6.4,7.24,7.922,7.653666667,11.8,6.0,5.8,0.757806716,4.146333333,4.5
243,Miles Austin,WR,3000,Phi@NE 04:25PM ET,3.764,Phi,2.0,3.0,3.72,2.6,3.51,2.737,2.927833333,3.72,2.0,1.72,0.587465133,0.792166667,
244,Andre Caldwell,WR,3000,Den@SD 04:05PM ET,2.655,Den,,5.0,2.61,4.9,2.15,2.912,3.5144,5.0,2.15,2.85,0.810949237,1.4856,
245,Dwayne Bowe,WR,3000,Cin@Cle 01:00PM ET,1.22,Cle,,1.4,,1.7,3.13,,2.076666667,3.13,1.4,1.73,0.833065811,1.053333333,
246,Tyler Clutts,RB,3000,Dal@Was 08:30PM ET,0.127,Dal,,,1.76,,,,1.76,1.76,1.76,0.0,0.0,0.0,
247,Brent Celek,TE,3000,Phi@NE 04:25PM ET,6.4,Phi,4.0,5.0,5.8,5.6,3.17,2.614,4.364,5.8,2.614,3.186,0.730064161,1.436,2.6
248,Eric Weems,WR,3000,Atl@TB 01:00PM ET,0.191,Atl,,,,,,1.016,1.016,1.016,1.016,0.0,0.0,0.0,
249,Matthew Slater,WR,3000,Phi@NE 04:25PM ET,0.0,NE,,,,,,,,,,,,,
250,Eddie Royal,WR,3000,SF@Chi 01:00PM ET,8.167,Chi,,12.8,,13.2,,5.722,10.574,13.2,5.722,7.478,0.707206355,2.626,
251,Wes Welker,WR,3000,Ari@StL 01:00PM ET,4.233,StL,4.0,,5.03,,2.61,3.742,3.8455,5.03,2.61,2.42,0.629306982,1.1845,3.5
252,Jerome Felton,RB,3000,Hou@Buf 01:00PM ET,0.218,Buf,,,1.31,,,,1.31,1.31,1.31,0.0,0.0,0.0,
253,Tim Hightower,RB,3000,Car@NO 04:25PM ET,1.533,NO,,,,,,,,,,,,,
254,Marcus Thigpen,WR,3000,Hou@Buf 01:00PM ET,-0.167,Buf,,,,,,1.02,1.02,1.02,1.02,0.0,0.0,0.0,
255,Cedric Peerman,RB,3000,Cin@Cle 01:00PM ET,0.0,Cin,,,,,,1.67,1.67,1.67,1.67,0.0,0.0,0.0,
256,Jerome Simpson,WR,3000,SF@Chi 01:00PM ET,2.133,SF,,,5.53,,,,5.53,5.53,5.53,0.0,0.0,0.0,
257,Mike Tolbert,RB,3000,Car@NO 04:25PM ET,4.691,Car,3.0,10.5,5.84,5.2,4.85,5.354,5.790666667,10.5,3.0,7.5,1.295187658,4.709333333,13.1
258,Darrius Heyward-Bey,WR,3000,Ind@Pit 08:30PM ET,4.536,Pit,,8.6,5.68,9.2,1.86,,6.335,9.2,1.86,7.34,1.158642463,2.865,3.1
259,Seyi Ajirotutu,WR,3000,Phi@NE 04:25PM ET,0.14,Phi,,,,,,,,,,,,,
260,Marlon Moore,WR,3000,Cin@Cle 01:00PM ET,1.05,Cle,,,4.51,,6.78,1.24,4.176666667,6.78,1.24,5.54,1.3264166,2.603333333,2.4
261,Brandon Tate,WR,3000,Cin@Cle 01:00PM ET,1.264,Cin,,,,,,4.768,4.768,4.768,4.768,0.0,0.0,0.0,
262,Darrel Young,RB,3000,Dal@Was 08:30PM ET,0.427,Was,,,2.32,,,,2.32,2.32,2.32,0.0,0.0,0.0,
263,Antone Smith,RB,3000,SF@Chi 01:00PM ET,0.22,Chi,,,,,,,,,,,,,
264,Donald Brown,RB,3000,Den@SD 04:05PM ET,0.3,SD,,,2.83,,1.15,,1.99,2.83,1.15,1.68,0.844221106,0.84,6.7
265,Jorvorskie Lane,RB,3000,Atl@TB 01:00PM ET,0.3,TB,,,,,,,,,,,,,
266,Jordan Norwood,WR,3000,Den@SD 04:05PM ET,2.971,Den,,3.4,3.07,4.0,,,3.49,4.0,3.07,0.93,0.266475645,0.51,
267,Hakeem Nicks,WR,3000,NYJ@NYG 01:00PM ET,1.4,NYG,,,1.91,,3.93,2.594,2.811333333,3.93,1.91,2.02,0.718520275,1.118666667,1.7
268,Bruce Miller,RB,3000,SF@Chi 01:00PM ET,1.664,SF,,,3.04,,,1.629,2.3345,3.04,1.629,1.411,0.60441208,0.7055,1.8
269,Marc Mariani,WR,3000,SF@Chi 01:00PM ET,1.336,Chi,,,3.13,,4.51,,3.82,4.51,3.13,1.38,0.361256545,0.69,5.3
270,Bryan Walters,WR,3000,Jax@Ten 01:00PM ET,7.1,Jax,,4.2,7.05,4.0,,4.452,4.9255,7.05,4.0,3.05,0.619226474,2.1245,3.8
271,Andre Roberts,WR,3000,Dal@Was 08:30PM ET,3.389,Was,,5.9,,4.7,,,5.3,5.9,4.7,1.2,0.226415094,0.6,
272,Jacoby Jones,WR,3000,Ind@Pit 08:30PM ET,0.0,Pit,,,,,,1.143,1.143,1.143,1.143,0.0,0.0,0.0,
273,Riley Cooper,WR,3000,Phi@NE 04:25PM ET,4.845,Phi,4.0,3.2,4.19,2.7,5.99,4.286,4.061,5.99,2.7,3.29,0.810145284,1.929,2.4
274,Fred Jackson,RB,3000,Sea@Min 01:00PM ET,4.536,Sea,3.0,2.5,4.42,2.6,5.63,1.2404,3.231733333,5.63,1.2404,4.3896,1.358280386,2.398266667,9.8
275,Boobie Dixon,RB,3000,Hou@Buf 01:00PM ET,1.609,Buf,,,,,2.9,,2.9,2.9,2.9,0.0,0.0,0.0,
276,Jeremy Ross,WR,3000,KC@Oak 04:05PM ET,2.5,Oak,,,,,,1.022,1.022,1.022,1.022,0.0,0.0,0.0,
277,Toby Gerhart,RB,3000,Jax@Ten 01:00PM ET,1.386,Jax,,9.9,,,,,9.9,9.9,9.9,0.0,0.0,0.0,
278,Chase Reynolds,RB,3000,Ari@StL 01:00PM ET,0.0,StL,,,,,,,,,,,,,
279,C.J. Spiller,RB,3000,Car@NO 04:25PM ET,7.24,NO,5.0,15.0,8.71,13.7,7.56,3.861,8.971833333,15.0,3.861,11.139,1.241552265,6.028166667,
280,Dexter McCluster,RB,3000,Jax@Ten 01:00PM ET,8.27,Ten,,,,,,,,,,,,,
281,Fozzy Whittaker,RB,3000,Car@NO 04:25PM ET,1.355,Car,,6.5,3.15,7.4,1.95,1.273,4.0546,7.4,1.273,6.127,1.511123169,3.3454,1.1
282,Marcus Easley,WR,3000,Hou@Buf 01:00PM ET,1.422,Buf,,,,,,,,,,,,,
283,Stevan Ridley,RB,3000,NYJ@NYG 01:00PM ET,0.125,NYJ,1.5,10.6,3.32,4.8,2.31,,4.506,10.6,1.5,9.1,2.019529516,6.094,
284,Matt Asiata,RB,3000,Sea@Min 01:00PM ET,2.973,Min,,2.4,2.84,3.3,3.4,,2.985,3.4,2.4,1.0,0.335008375,0.415,
285,Taiwan Jones,RB,3000,KC@Oak 04:05PM ET,3.538,Oak,,,,,,4.223,4.223,4.223,4.223,0.0,0.0,0.0,
286,Charles Johnson,WR,3000,Sea@Min 01:00PM ET,2.411,Min,5.0,5.3,4.27,6.4,,3.4596,4.88592,6.4,3.4596,2.9404,0.601810918,1.51408,
287,Brian Quick,WR,3000,Ari@StL 01:00PM ET,1.488,StL,,12.8,3.55,5.0,4.05,,6.35,12.8,3.55,9.25,1.456692913,6.45,2.4
288,Deonte Thompson,WR,3000,SF@Chi 01:00PM ET,0.0,Chi,,,,,,1.139,1.139,1.139,1.139,0.0,0.0,0.0,
289,Daniel Herron,RB,3000,Ind@Pit 08:30PM ET,1.74,Ind,4.0,,7.0,,5.84,3.68,5.13,7.0,3.68,3.32,0.647173489,1.87,5.4
290,Coby Fleener,TE,3000,Ind@Pit 08:30PM ET,8.018,Ind,8.0,14.0,9.34,15.8,9.31,5.64,10.34833333,15.8,5.64,10.16,0.981800612,5.451666667,6.0
291,Joe Banyard,RB,3000,Jax@Ten 01:00PM ET,0.0,Jax,,,,,,,,,,,,,
292,Jeremy Kerley,WR,3000,NYJ@NYG 01:00PM ET,3.927,NYJ,,8.4,5.33,9.4,,5.019,7.03725,9.4,5.019,4.381,0.622544318,2.36275,
293,Travaris Cadet,RB,3000,SF@Chi 01:00PM ET,0.6,SF,,,,,,,,,,,,,2.2
294,Anthony Sherman,RB,3000,KC@Oak 04:05PM ET,0.3,KC,,,1.73,,,,1.73,1.73,1.73,0.0,0.0,0.0,
295,Will Tukuafu,RB,3000,Sea@Min 01:00PM ET,0.689,Sea,,,,,,,,,,,,,
296,Bilal Powell,RB,3000,NYJ@NYG 01:00PM ET,8.029,NYJ,6.0,7.2,7.5,8.2,10.14,5.029,7.344833333,10.14,5.029,5.111,0.695863305,2.795166667,24.8
297,Will Johnson,RB,3000,Ind@Pit 08:30PM ET,0.936,Pit,,,2.39,,,1.775,2.0825,2.39,1.775,0.615,0.295318127,0.3075,2.0
298,Bobby Rainey,RB,3000,Atl@TB 01:00PM ET,0.582,TB,,11.5,,11.1,,1.327,7.975666667,11.5,1.327,10.173,1.27550466,3.524333333,
299,Roy Helu Jr.,RB,3000,KC@Oak 04:05PM ET,2.729,Oak,,7.8,6.17,8.2,,,7.39,8.2,6.17,2.03,0.274695535,0.81,2.5
300,Patrick DiMarco,RB,3000,Atl@TB 01:00PM ET,2.455,Atl,,,3.13,,1.12,1.054,1.768,3.13,1.054,2.076,1.174208145,1.362,3.8
301,Kenjon Barner,RB,3000,Phi@NE 04:25PM ET,1.3,Phi,,,3.9,,1.2,,2.55,3.9,1.2,2.7,1.058823529,1.35,5.6
302,Brice Butler,WR,3000,Dal@Was 08:30PM ET,3.45,Dal,,,,,,,,,,,,,
303,Zach Line,RB,3000,Sea@Min 01:00PM ET,2.1,Min,,,2.9,,1.27,,2.085,2.9,1.27,1.63,0.78177458,0.815,
304,Griff Whalen,WR,3000,Ind@Pit 08:30PM ET,3.518,Ind,4.0,,5.85,,3.86,2.9662,4.16905,5.85,2.9662,2.8838,0.691716338,1.68095,2.9
305,Brenton Bersin,WR,3000,Car@NO 04:25PM ET,2.05,Car,,,,,,,,,,,,,
306,Derrick Coleman,RB,3000,Sea@Min 01:00PM ET,0.144,Sea,,,,,,,,,,,,,
307,Jonathan Grimes,RB,3000,Hou@Buf 01:00PM ET,5.0,Hou,4.0,,6.59,,6.36,2.055,4.75125,6.59,2.055,4.535,0.954485662,1.83875,8.3
308,Frankie Hammond Jr.,WR,3000,KC@Oak 04:05PM ET,0.0,KC,,,,,,1.201,1.201,1.201,1.201,0.0,0.0,0.0,
309,Jaron Brown,WR,3000,Ari@StL 01:00PM ET,2.527,Ari,2.0,,2.46,,,,2.23,2.46,2.0,0.46,0.206278027,0.23,
310,T.J. Graham,WR,3000,Car@NO 04:25PM ET,1.8,NO,,,,,5.54,,5.54,5.54,5.54,0.0,0.0,0.0,
311,Glenn Winston,RB,3000,Cin@Cle 01:00PM ET,0.0,Cle,,,,,,,,,,,,,
312,Keshawn Martin,WR,3000,Phi@NE 04:25PM ET,5.825,NE,6.5,,7.65,,9.85,6.514,7.6285,9.85,6.5,3.35,0.439142689,2.2215,7.5
313,Myles White,WR,3000,NYJ@NYG 01:00PM ET,0.986,NYG,,,,,,,,,,,,,1.5
314,B.J. Daniels,WR,3000,Sea@Min 01:00PM ET,0.44,Sea,,,,,,,,,,,,,1.6
315,Jordan Todman,RB,3000,Ind@Pit 08:30PM ET,0.2,Pit,,,3.31,,2.1,1.029,2.146333333,3.31,1.029,2.281,1.062742662,1.163666667,
316,Jarius Wright,WR,3000,Sea@Min 01:00PM ET,4.327,Min,6.0,5.7,4.63,6.9,4.31,6.201,5.6235,6.9,4.31,2.59,0.460567262,1.2765,4.4
317,Brandon Bolden,RB,3000,Phi@NE 04:25PM ET,3.72,NE,3.0,2.9,6.67,3.5,6.65,3.104,4.304,6.67,2.9,3.77,0.875929368,2.366,3.4
318,Ladarius Green,TE,3000,Den@SD 04:05PM ET,10.133,SD,4.5,13.6,5.83,6.3,6.99,3.912,6.855333333,13.6,3.912,9.688,1.413206263,6.744666667,4.1
319,Russell Shepard,WR,3000,Atl@TB 01:00PM ET,1.125,TB,,,,,,,,,,,,,
320,Mohamed Sanu,WR,3000,Cin@Cle 01:00PM ET,6.164,Cin,4.0,12.7,6.9,12.6,6.53,6.357,8.181166667,12.7,4.0,8.7,1.063418013,4.518833333,
321,Vance McDonald,TE,3000,SF@Chi 01:00PM ET,5.1,SF,8.0,,4.91,,8.35,9.03,7.5725,9.03,4.91,4.12,0.544073952,1.4575,3.8
322,Tommy Bohanon,RB,3000,NYJ@NYG 01:00PM ET,0.782,NYJ,,,1.95,,,,1.95,1.95,1.95,0.0,0.0,0.0,
323,Ryan Grant,WR,3000,Dal@Was 08:30PM ET,4.118,Was,,,,1.6,,4.38,2.99,4.38,1.6,2.78,0.929765886,1.39,
324,Rex Burkhead,RB,3000,Cin@Cle 01:00PM ET,1.264,Cin,,,,,1.36,,1.36,1.36,1.36,0.0,0.0,0.0,1.6
325,Benny Cunningham,RB,3000,Ari@StL 01:00PM ET,4.218,StL,4.0,5.3,3.87,4.9,1.54,1.377,3.497833333,5.3,1.377,3.923,1.121551437,1.802166667,
326,Kendall Gaskins,RB,3000,SF@Chi 01:00PM ET,1.575,SF,,2.4,5.31,2.6,,,3.436666667,5.31,2.4,2.91,0.846750727,1.873333333,
327,Nikita Whitlock,RB,3000,NYJ@NYG 01:00PM ET,0.0,NYG,,,,,,,,,,,,,
328,Stepfan Taylor,RB,3000,Ari@StL 01:00PM ET,0.245,Ari,1.5,2.1,3.53,2.4,4.47,1.114,2.519,4.47,1.114,3.356,1.332274712,1.951,2.0
329,Brandon Wegher,RB,3000,Car@NO 04:25PM ET,0.0,Car,,,,,,,,,,,,,
330,Kevin Norwood,WR,3000,Car@NO 04:25PM ET,0.0,Car,,,,,,,,,,,,,
