,player,fan_pts
65,Cardinals,10
68,Bears,10
74,Seahawks,9.4
80,Broncos,9.1
81,Panthers,9.1
84,Bengals,9
93,Patriots,8.6
97,Titans,8.5
126,Texans,7.6
133,Jets,7.5
136,Packers,7.4
142,Steelers,7.3
170,Vikings,6.5
172,Jaguars,6.4
174,Rams,6.3
175,Falcons,6.3
183,Buccaneers,5.9
184,Bills,5.8
187,Ravens,5.7
194,Chiefs,5.6
211,Redskins,5.2
215,Giants,5
218,Dolphins,5
224,Colts,4.7
228,Cowboys,4.6
230,Lions,4.6
232,Saints,4.5
248,49ers,3.9
250,Raiders,3.8
278,Chargers,2.8
292,Eagles,2.3
306,Browns,1.7
