,Unnamed: 0,player,cbs,dk_name
147,269,Riley Cooper,2.86,Riley Cooper
148,270,Sammy Watkins,8.72,Sammy Watkins
149,271,Jeremy Kerley,3.525,Jeremy Kerley
150,272,Kamar Aiken,10.17,Kamar Aiken
151,274,Jarvis Landry,9.975,Jarvis Landry
152,275,Greg Jennings,2.195,Greg Jennings
153,277,Vincent Jackson,8.5,Vincent Jackson
154,279,Adam Humphries,3.45,Adam Humphries
155,280,Javontee Herndon,2.16,Javontee Herndon
156,281,Kenny Stills,5.055,Kenny Stills
157,282,Michael Floyd,7.53,Michael Floyd
158,284,Jaron Brown,1.7,Jaron Brown
159,286,Roddy White,6.0,Roddy White
160,288,DeVante Parker,4.46,DeVante Parker
161,290,J.J. Nelson,2.375,NaN
162,291,Eric Decker,9.105,Eric Decker
163,292,Cody Latimer,3.395,Cody Latimer
164,293,Jason Avant,2.72,Jason Avant
165,294,Jeremy Butler,5.04,Jeremy Butler
166,296,Bryan Walters,4.295,Bryan Walters
167,298,Charles Johnson,2.75,Charles Johnson
168,299,Josh Bellamy,2.965,Josh Bellamy
169,301,Davante Adams,6.485,NaN
170,302,Randall Cobb,9.725,NaN
171,306,Chris Hogan,4.42,Chris Hogan
172,307,Steve Johnson,5.48,Steve Johnson
173,310,Alshon Jeffery,11.335,Alshon Jeffery
174,312,Calvin Johnson,11.02,NaN
175,313,Miles Austin,2.485,Miles Austin
176,315,Amari Cooper,9.435,Amari Cooper
177,316,Corey Brown,4.595,NaN
178,317,Albert Wilson,4.195,Albert Wilson
179,320,Keshawn Martin,5.37,Keshawn Martin
180,321,Marqise Lee,3.29,Marqise Lee
181,322,Jermaine Kearse,6.79,Jermaine Kearse
182,323,Jarius Wright,2.92,Jarius Wright
183,324,Robert Woods,5.02,Robert Woods
184,326,Griff Whalen,3.37,Griff Whalen
185,327,Tyler Lockett,5.695,Tyler Lockett
186,329,Mike Wallace,4.19,Mike Wallace
187,330,Cole Beasley,4.12,Cole Beasley
188,331,Malcom Floyd,4.09,Malcom Floyd
189,332,Anquan Boldin,8.545,Anquan Boldin
190,333,Dez Bryant,8.38,Dez Bryant
191,334,Cameron Meredith,2.19,NaN
192,335,Bradley Marquez,2.14,Bradley Marquez
193,336,Mohamed Sanu,4.525,Mohamed Sanu
194,337,Danny Amendola,8.51,Danny Amendola
195,338,Harry Douglas,4.215,Harry Douglas
196,339,Odell Beckham,12.185,Odell Beckham Jr.
197,340,Andre Holmes,3.38,Andre Holmes
198,342,Kenny Britt,5.73,Kenny Britt
199,343,Martavis Bryant,8.565,Martavis Bryant
200,344,Antonio Brown,14.055,Antonio Brown
201,345,Demaryius Thomas,11.38,Demaryius Thomas
202,347,Dwayne Harris,4.32,Dwayne Harris
203,349,Quincy Enunwa,2.78,Quincy Enunwa
204,350,Josh Huff,2.92,Josh Huff
205,351,Seth Roberts,3.475,Seth Roberts
206,352,Jaelen Strong,2.09,Jaelen Strong
207,353,Emmanuel Sanders,11.24,Emmanuel Sanders
208,355,Brandon Marshall,10.56,Brandon Marshall
209,356,T.Y. Hilton,10.88,T.Y. Hilton
210,360,Terrance Williams,6.475,Terrance Williams
211,361,Chris Conley,1.855,Chris Conley
212,363,Devin Smith,2.45,Devin Smith
213,364,Andre Caldwell,1.755,Andre Caldwell
214,366,Dorial Green-Beckham,4.815,Dorial Green-Beckham
215,367,Corey Fuller,2.815,NaN
216,368,DeAndre Hopkins,12.18,DeAndre Hopkins
217,370,Torrey Smith,6.625,Torrey Smith
218,371,Marques Colston,6.17,Marques Colston
219,372,John Brown,9.82,John Brown
220,373,Tavon Austin,4.835,Tavon Austin
221,375,Jordan Matthews,7.105,Jordan Matthews
222,376,Nelson Agholor,2.455,Nelson Agholor
223,377,A.J. Green,11.845,A.J. Green
224,378,Ted Ginn,6.115,Ted Ginn Jr.
225,379,Darrius Heyward-Bey,3.875,Darrius Heyward-Bey
226,382,Dontrelle Inman,3.765,Dontrelle Inman
227,383,Wes Welker,2.94,Wes Welker
228,385,Donte Moncrief,8.805,Donte Moncrief
229,387,Brandin Cooks,10.785,Brandin Cooks
230,388,James Jones,8.855,NaN
231,389,Devin Funchess,4.98,Devin Funchess
232,390,Travis Benjamin,6.97,Travis Benjamin
233,391,Marc Mariani,1.89,Marc Mariani
234,392,Brandon LaFell,10.02,Brandon LaFell
235,393,Bruce Ellington,1.93,Bruce Ellington
236,395,Devin Hester,3.31,NaN
237,396,Golden Tate,7.74,NaN
238,397,Jamison Crowder,4.94,Jamison Crowder
239,401,Quinton Patton,2.48,Quinton Patton
240,402,Brandon Coleman,3.735,Brandon Coleman
241,403,Marvin Jones,6.625,Marvin Jones
242,408,Jason Witten,5.625,Jason Witten
243,410,Kyle Rudolph,4.305,Kyle Rudolph
244,412,Jacob Tamme,5.645,Jacob Tamme
245,413,Charles Clay,5.395,Charles Clay
246,414,Martellus Bennett,6.275,Martellus Bennett
247,415,Delanie Walker,5.455,Delanie Walker
248,417,Vance McDonald,3.105,Vance McDonald
249,418,Brandon Myers,1.155,Brandon Myers
250,419,Antonio Gates,7.08,Antonio Gates
251,420,Jake Stoneburner,5.42,Jake Stoneburner
252,421,Jared Cook,3.545,Jared Cook
253,422,Cameron Brate,3.255,Cameron Brate
254,428,Jim Dray,2.665,Jim Dray
255,431,Julius Thomas,8.185,Julius Thomas
256,434,Gavin Escobar,2.065,Gavin Escobar
257,435,Ladarius Green,3.74,Ladarius Green
258,436,Vernon Davis,4.47,Vernon Davis
259,437,Gary Barnidge,8.61,Gary Barnidge
260,438,Josh Hill,4.01,Josh Hill
261,441,Richard Rodgers,4.655,NaN
262,443,Asante Cleveland,1.75,NaN
263,445,Levine Toilolo,3.1,Levine Toilolo
264,447,Lance Kendricks,4.025,Lance Kendricks
265,448,Kellen Davis,2.895,Kellen Davis
266,449,Crockett Gillmore,8.755,Crockett Gillmore
267,450,Lee Smith,2.295,Lee Smith
268,451,Jermaine Gresham,1.91,Jermaine Gresham
269,452,Ryan Griffin,2.76,Ryan Griffin
270,454,Tyler Kroft,4.7,Tyler Kroft
271,455,Austin Seferian-Jenkins,7.285,Austin Seferian-Jenkins
272,456,Jordan Cameron,4.245,Jordan Cameron
273,458,Jesse James,4.95,Jesse James
274,459,Owen Daniels,3.22,Owen Daniels
275,460,Zach Miller,6.9,Zach Miller
276,461,Ed Dickson,2.615,Ed Dickson
277,463,Marcedes Lewis,2.035,Marcedes Lewis
278,464,Rhett Ellison,3.12,Rhett Ellison
279,465,Virgil Green,2.2,Virgil Green
280,468,Zach Ertz,3.67,Zach Ertz
281,470,Darren Fells,3.21,Darren Fells
282,472,Brandon Pettigrew,2.555,NaN
283,473,Luke Willson,4.8,Luke Willson
284,475,Anthony Fasano,2.89,Anthony Fasano
285,476,Benjamin Watson,5.57,Benjamin Watson
286,480,Clive Walford,2.895,Clive Walford
287,481,C.J. Fiedorowicz,1.97,C.J. Fiedorowicz
288,482,Derek Carrier,2.585,Derek Carrier
289,485,Mychal Rivera,2.73,Mychal Rivera
290,487,Brent Celek,3.995,Brent Celek
291,490,Greg Olsen,10.61,Greg Olsen
292,491,Jordan Reed,8.315,Jordan Reed
293,492,Travis Kelce,9.05,Travis Kelce
294,493,Eric Ebron,6.695,NaN
295,495,Dion Sims,3.135,Dion Sims
296,498,Scott Chandler,7.915,Scott Chandler
297,501,Ryan Hewitt,1.685,NaN
298,502,Dwayne Allen,3.705,Dwayne Allen
299,503,Coby Fleener,5.635,Coby Fleener
300,505,Nick Boyle,2.65,Nick Boyle
301,509,Blake Bell,2.01,Blake Bell
