Russell Wilson QB - SEA,CHI,236,2,1,42,1,-,-,-,-,-,25.64
Aaron Rodgers QB - GB View Videos,KC,314,3,1,17,-,-,-,-,-,-,24.26
Cam Newton QB - CAR View Videos,NO,213,2,1,34,1,-,-,-,-,-,23.92
Eddie Lacy RB - GB Q View News,KC,-,-,-,124,1,36,-,-,-,-,22.00
Peyton Manning QB - DEN P,@DET,306,3,2,-1,-,-,-,-,-,-,20.14
Brandon Weeden QB - DAL View Videos,ATL,331,2,2,3,-,-,-,-,1,-,19.54
Colin Kaepernick QB - SF,@ARI,232,2,1,39,-,-,-,-,-,-,19.18
Matt Ryan QB - ATL View Videos,@DAL,305,2,1,7,-,-,-,-,-,-,18.90
Matt Forte RB - CHI P,@SEA,-,-,-,83,1,43,-,-,-,-,18.60
Tom Brady QB - NE View Videos,JAC,303,2,1,3,-,-,-,-,-,-,18.42
Matthew Stafford QB - DET P View Videos,DEN,294,2,1,6,-,-,-,-,-,-,18.36
Andrew Luck QB - IND,@TEN,268,2,1,15,-,-,-,-,-,-,18.22
Marcus Mariota QB - TEN View Videos,IND,234,2,1,28,-,-,-,-,-,-,18.16
Odell Beckham WR - NYG View Videos,WAS,-,-,-,5,-,115,1,-,-,-,18.00
Le'Veon Bell RB - PIT View Videos,@STL,-,-,-,72,1,38,-,-,-,-,17.00
Carson Palmer QB - ARI View Videos,SF,267,2,1,3,-,-,-,-,-,-,16.98
Mike Evans WR - TB P View Videos,@HOU,-,-,-,-,-,108,1,-,-,-,16.80
Adrian Peterson RB - MIN View Videos,SD,-,-,-,111,1,17,-,-,-,1,16.80
Ben Roethlisberger QB - PIT View Videos,@STL,265,2,1,2,-,-,-,-,-,-,16.80
Joe Flacco QB - BAL View Videos,CIN,248,2,1,5,-,-,-,-,-,-,16.42
Nick Foles QB - STL,PIT,254,2,1,2,-,-,-,-,-,-,16.36
Sam Bradford QB - PHI View Videos,@NYJ,249,2,1,3,-,-,-,-,-,-,16.26
Philip Rivers QB - SD View Videos,@MIN,251,2,1,2,-,-,-,-,-,-,16.24
Teddy Bridgewater QB - MIN View Videos,SD,210,2,1,17,-,-,-,-,-,-,16.10
Antonio Brown WR - PIT View Videos,@STL,-,-,-,2,-,99,1,-,-,-,16.10
Demaryius Thomas WR - DEN,@DET,-,-,-,-,-,100,1,-,-,-,16.00
Ryan Tannehill QB - MIA P View Videos,BUF,208,2,1,16,-,-,-,-,-,-,15.92
Eli Manning QB - NYG View Videos,WAS,238,2,1,1,-,-,-,-,-,-,15.62
Jamaal Charles RB - KC View Videos,@GB,-,-,-,73,1,23,-,-,-,-,15.60
Jeremy Hill RB - CIN,@BAL,-,-,-,79,1,16,-,-,-,-,15.50
Lamar Miller RB - MIA Q,BUF,-,-,-,95,1,20,-,-,-,1,15.50
Ryan Fitzpatrick QB - NYJ View Videos,PHI,217,2,1,8,-,-,-,-,-,-,15.48
Luke McCown QB - NO View Videos,@CAR,230,2,1,2,-,-,-,-,-,-,15.40
A.J. Green WR - CIN P View Videos,@BAL,-,-,-,1,-,92,1,-,-,-,15.30
Alex Smith QB - KC View Videos,@GB,200,2,1,13,-,-,-,-,-,-,15.30
LeSean McCoy RB - BUF P View Videos,@MIA,-,-,-,77,1,15,-,-,-,-,15.20
DeAndre Hopkins WR - HOU P View Videos,TB,-,-,-,-,-,90,1,-,-,-,15.00
Julio Jones WR - ATL P View Videos,@DAL,-,-,-,1,-,88,1,-,-,-,14.90
Emmanuel Sanders WR - DEN View Videos,@DET,-,-,-,2,-,85,1,-,-,-,14.70
Jimmy Graham TE - SEA,CHI,-,-,-,-,-,86,1,-,-,-,14.60
Mark Ingram RB - NO,@CAR,-,-,-,75,1,10,-,-,-,-,14.50
Jameis Winston QB - TB View Videos,@HOU,197,2,1,6,-,-,-,-,-,-,14.48
Frank Gore RB - IND,@TEN,-,-,-,70,1,14,-,-,-,-,14.40
David Johnson RB - ARI View Videos,SF,-,-,-,56,1,28,-,-,-,-,14.40
Calvin Johnson WR - DET View Videos,DEN,-,-,-,-,-,81,1,-,-,-,14.10
T.J. Yeldon RB - JAC,@NE,-,-,-,66,1,15,-,-,-,-,14.10
Eric Decker WR - NYJ Q,PHI,-,-,-,-,-,80,1,-,-,-,14.00
Randall Cobb WR - GB P View News,KC,-,-,-,6,-,72,1,-,-,-,13.80
Amari Cooper WR - OAK View Videos,@CLE,-,-,-,-,-,78,1,-,-,-,13.80
Pierre Garcon WR - WAS View Videos,@NYG,-,-,-,-,-,78,1,-,-,-,13.80
Rashad Jennings RB - NYG View Videos,WAS,-,-,-,59,1,19,-,-,-,-,13.80
Jordan Matthews WR - PHI View Videos,@NYJ,-,-,-,-,-,78,1,-,-,-,13.80
Brandin Cooks WR - NO P,@CAR,-,-,-,9,-,68,1,-,-,-,13.70
Tyler Eifert TE - CIN,@BAL,-,-,-,-,-,77,1,-,-,-,13.70
Alfred Blue RB - HOU,TB,-,-,-,63,1,13,-,-,-,-,13.60
Mike Wallace WR - MIN,SD,-,-,-,2,-,74,1,-,-,-,13.60
Terrance Williams WR - DAL,ATL,-,-,-,-,-,76,1,-,-,-,13.60
Markus Wheaton WR - PIT P,@STL,-,-,-,2,-,72,1,-,-,-,13.40
Devin Funchess WR - CAR,NO,-,-,-,-,-,73,1,-,-,-,13.30
Marshawn Lynch RB - SEA Q View Videos,CHI,-,-,-,60,1,13,-,-,-,-,13.30
Brandon Marshall WR - NYJ,PHI,-,-,-,-,-,73,1,-,-,-,13.30
Marques Colston WR - NO,@CAR,-,-,-,-,-,72,1,-,-,-,13.20
Larry Fitzgerald WR - ARI,SF,-,-,-,-,-,72,1,-,-,-,13.20
Ronnie Hillman RB - DEN,@DET,-,-,-,46,1,24,-,-,-,-,13.00
