
"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Devonta Freeman, AtlRBQ",@Dal,W 39-28,0/0,0,0,0,30,141,3,5,52,0,5,0,0,0,37
"Aaron Rodgers, GBQB",KC,W 38-28,24/35,333,5,0,2,16,0,0,0,0,0,0,0,0,34
"A.J. Green, CinWR",@Bal,W 28-24,0/0,0,0,0,0,0,0,10,227,2,13,0,0,0,34
"Steve Smith Sr., BalWR",Cin,L 24-28,0/0,0,0,0,0,0,0,13,186,2,17,0,0,0,30
"Andy Dalton, CinQB",@Bal,W 28-24,20/32,383,3,1,5,10,1,0,0,0,0,0,1,0,30
Cardinals D/STD/ST,SF,W 47-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,2,30
"Cam Newton, CarQB",NO,W 27-22,20/31,315,2,0,7,33,1,0,0,0,0,0,0,0,29
"Julio Jones, AtlWRQ",@Dal,W 39-28,0/0,0,0,0,0,0,0,12,164,2,20,0,0,0,28
"Randall Cobb, GBWRP",KC,W 38-28,0/0,0,0,0,1,12,0,7,91,3,12,0,0,0,28
"Chris Johnson, AriRB",SF,W 47-7,0/0,0,0,0,22,110,2,1,40,0,2,0,0,0,27
"Joseph Randle, DalRB",Atl,L 28-39,0/0,0,0,0,14,87,3,2,18,0,2,0,0,0,27
"LeGarrette Blount, NERB",Jax,W 51-17,0/0,0,0,0,18,78,3,1,14,0,1,0,0,0,26
"Larry Fitzgerald, AriWR",SF,W 47-7,0/0,0,0,0,0,0,0,9,134,2,11,0,0,0,25
"Greg Olsen, CarTE",NO,W 27-22,0/0,0,0,0,0,0,0,8,134,2,11,0,0,0,25
"Jamaal Charles, KCRB",@GB,L 28-38,0/0,0,0,0,11,49,3,5,33,0,7,0,0,0,25
"Keenan Allen, SDWR",@Min,L 14-31,0/0,0,0,0,0,0,0,12,133,2,18,0,0,0,25
"Adrian Peterson, MinRB",SD,W 31-14,0/0,0,0,0,20,126,2,0,0,0,0,0,0,0,24
"Tyrod Taylor, BufQBP",@Mia,W 41-14,21/29,277,3,0,3,12,0,0,0,0,0,0,0,0,24
"Rishard Matthews, MiaWR",Buf,L 14-41,0/0,0,0,0,0,0,0,6,113,2,10,0,0,0,23
"Tom Brady, NEQB",Jax,W 51-17,33/42,358,2,0,2,4,0,0,0,0,0,0,0,0,22
"Matt Ryan, AtlQB",@Dal,W 39-28,24/36,285,2,0,2,17,0,0,0,0,0,1,0,0,22
"Frank Gore, IndRB",@Ten,W 35-33,0/0,0,0,0,14,86,2,1,8,0,2,0,0,0,20
