,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average
201,Miles Austin,WR,3200,NYG@Phi 08:30PM ET,3.46,Phi,2,3.2,4.41,2.6,4.39,0.59,3.507,2.956714286
202,Ladarius Green,TE,3200,SD@GB 04:25PM ET,13.35,SD,8.5,14,6.78,13,7.22,5.15,4.087,8.391
203,Mohamed Sanu,WR,3200,Cin@Buf 01:00PM ET,7.52,Cin,6.5,10.3,7.13,10.3,7.22,5.97,5.699,7.588428571
204,Joshua Bellamy,WR,3200,Chi@Det 01:00PM ET,4.18,Chi,,,,,,3.97,2.811,3.3905
205,Keith Mumphery,WR,3200,Hou@Jax 01:00PM ET,4.04,Hou,,3.2,,3.6,6.42,2.57,4.018,3.9616
206,Cecil Shorts III,WR,3200,Hou@Jax 01:00PM ET,12.65,Hou,8,9.4,7.92,8.7,8.9,9.43,10.8992,9.0356
207,Tyler Lockett,WR,3200,Car@Sea 04:05PM ET,7.38,Sea,6,3.5,6.07,3.8,8,6.65,4.187,5.458142857
208,Patriots ,DST,3100,NE@Ind 08:30PM ET,9.25,NE,,,,,,,,0
209,Jets ,DST,3100,Was@NYJ 01:00PM ET,10.5,NYJ,,,,,,,,0
210,Heath Miller,TE,3100,Ari@Pit 01:00PM ET,8.06,Pit,6,10.8,5.87,11.4,6.85,9.71,8.477,8.443857143
211,Nate Washington,WR,3100,Hou@Jax 01:00PM ET,9.25,Hou,,4.8,8.09,4.4,,12.37,8.1828,7.56856
212,Dwayne Harris,WR,3100,NYG@Phi 08:30PM ET,6.08,NYG,5,7.2,4.57,6.6,8.46,11.87,,7.283333333
213,Riley Cooper,WR,3100,NYG@Phi 08:30PM ET,5.38,Phi,,3.2,5,2.6,6.51,12.19,6.025,5.920833333
214,Brenton Bersin,WR,3100,Car@Sea 04:05PM ET,5.85,Car,,,,,,,,0
215,Zac Stacy,RB,3100,Was@NYJ 01:00PM ET,4.2,NYJ,,0.9,3.85,0.7,2.75,0.56,4.457,2.202833333
216,Josh Huff,WR,3100,NYG@Phi 08:30PM ET,6.425,Phi,6.5,6.6,4.47,6.3,4.05,3.17,4.4524,5.077485714
217,Richard Rodgers,TE,3100,SD@GB 04:25PM ET,9.92,GB,6.5,15.8,7.75,14.9,9.93,8.44,7.348,10.09542857
218,Dorial Green-Beckham,WR,3100,Mia@Ten 01:00PM ET,4.625,Ten,4.5,5.6,7.09,4.8,3,3.2,3.874,4.580571429
219,Taylor Gabriel,WR,3100,Den@Cle 01:00PM ET,6.04,Cle,4,3.6,5.45,3.8,4.79,7.09,4.673,4.771857143
220,Texans ,DST,3000,Hou@Jax 01:00PM ET,2.4,Hou,,,,,,,,0
221,Bengals ,DST,3000,Cin@Buf 01:00PM ET,7.6,Cin,,,,,,,,0
222,Panthers ,DST,3000,Car@Sea 04:05PM ET,12,Car,,,,,,,,0
223,Greg Jennings,WR,3000,Mia@Ten 01:00PM ET,3.1,Mia,2.5,6.8,3.55,7.4,4.11,8.58,5.179,5.445571429
224,Lance Moore,WR,3000,Chi@Det 01:00PM ET,6.24,Det,5,1.6,5.03,1.8,7.05,8.81,5.601,4.984428571
225,Jason Avant,WR,3000,KC@Min 01:00PM ET,2.22,KC,2,5,4.88,5.5,1.17,0.62,3.522,3.241714286
226,Vernon Davis,TE,3000,Bal@SF 04:25PM ET,6.3,SF,,6.8,7.52,6.4,8.28,5.12,5.514,6.605666667
227,Andre Caldwell,WR,3000,Den@Cle 01:00PM ET,0.78,Den,2.5,5.6,2.85,5.8,,0.11,2.205,3.1775
228,Dwayne Bowe,WR,3000,Den@Cle 01:00PM ET,0,Cle,,1.4,,1.7,,0.86,3.048,1.752
229,Harry Douglas,WR,3000,Mia@Ten 01:00PM ET,5.1,Ten,6,9.4,5.75,8.7,5.82,10.22,5.39,7.325714286
230,Matthew Slater,WR,3000,NE@Ind 08:30PM ET,0,NE,,,,,,0.3,,0.3
231,Jerricho Cotchery,WR,3000,Car@Sea 04:05PM ET,8.3,Car,4,4.2,7.53,4.1,6.87,8.62,4.7142,5.719171429
232,Jerome Felton,RB,3000,Cin@Buf 01:00PM ET,0.04,Buf,,,1.02,,,,3.0924,2.0562
233,Cedric Peerman,RB,3000,Cin@Buf 01:00PM ET,0,Cin,,,,,,0.36,1.606,0.983
234,Mike Tolbert,RB,3000,Car@Sea 04:05PM ET,4.1,Car,4.5,4,4.7,4.6,5.46,2.9,1.877,4.005285714
235,Andrew Hawkins,WR,3000,Den@Cle 01:00PM ET,7.02,Cle,8,7.9,6.31,7,7.09,11.06,5.149,7.501285714
236,John Kuhn,RB,3000,SD@GB 04:25PM ET,1.64,GB,,0.5,3.3,0.4,1.74,1.25,1.723,1.4855
237,Seyi Ajirotutu,WR,3000,NYG@Phi 08:30PM ET,0,Phi,,,,,,,,0
238,Marlon Moore,WR,3000,Den@Cle 01:00PM ET,0.5,Cle,,,,,,,1.171,1.171
239,Brandon Tate,WR,3000,Cin@Buf 01:00PM ET,2.5,Cin,,,,,,0.71,4.38,2.545
240,Darrel Young,RB,3000,Was@NYJ 01:00PM ET,0.24,Was,,,2.16,,,,1.9546,2.0573
241,Brian Hartline,WR,3000,Den@Cle 01:00PM ET,4.36,Cle,6,5.4,7.01,5.7,5.1,6.12,6.384,5.959142857
242,Donald Brown,RB,3000,SD@GB 04:25PM ET,0,SD,,,,,,,,0
243,Jordan Norwood,WR,3000,Den@Cle 01:00PM ET,3.62,Den,,3.8,3.93,3.9,5.63,8.25,4.254,4.960666667
244,Shaun Draughn,RB,3000,Den@Cle 01:00PM ET,0.775,Cle,,,2.35,,,0.44,,1.395
245,Bruce Miller,RB,3000,Bal@SF 04:25PM ET,1.2,SF,,,3.27,,,0.34,,1.805
246,Marc Mariani,WR,3000,Chi@Det 01:00PM ET,0,Chi,,,,,,0.01,,0.01
247,Bryan Walters,WR,3000,Hou@Jax 01:00PM ET,5.9,Jax,2.5,,,,6.5,8.11,1.123,4.55825
248,Andre Roberts,WR,3000,Was@NYJ 01:00PM ET,2.6,Was,,5.7,,4.9,,4.84,,5.146666667
249,Jacoby Jones,WR,3000,SD@GB 04:25PM ET,0,SD,,6.6,,6.4,,3.3,,5.433333333
250,Fred Jackson,RB,3000,Car@Sea 04:05PM ET,6.1,Sea,,2.6,,2.7,4.11,,7.524,4.2335
251,Jeremy Ross,WR,3000,Bal@SF 04:25PM ET,4.4,Bal,,,,,,,1.103,1.103
252,Toby Gerhart,RB,3000,Hou@Jax 01:00PM ET,0.333,Jax,2.5,3.5,6.85,3.7,9.82,3.15,7.992,5.358857143
253,Dexter McCluster,RB,3000,Mia@Ten 01:00PM ET,6.3,Ten,3.5,8.6,6.61,10,6.64,12.25,6.352,7.707428571
254,Fozzy Whittaker,RB,3000,Car@Sea 04:05PM ET,1.8,Car,,5.5,,6.2,1.9,0.07,1.739,3.0818
255,Marcus Easley,WR,3000,Cin@Buf 01:00PM ET,0,Buf,,,,,,,,0
256,Matt Asiata,RB,3000,KC@Min 01:00PM ET,2.45,Min,,3.3,,3.6,2.28,1.53,2.643,2.6706
257,Denarius Moore,WR,3000,Cin@Buf 01:00PM ET,-1,Buf,,,,,,,,0
258,Jordan Cameron,TE,3000,Mia@Ten 01:00PM ET,7.25,Mia,15.5,12.2,6.42,11.1,9.06,10.8,8.767,10.54957143
259,Coby Fleener,TE,3000,NE@Ind 08:30PM ET,7.76,Ind,4.5,5.8,7.53,5.9,7.34,8.73,7.682,6.783142857
260,Greg Little,WR,3000,Cin@Buf 01:00PM ET,0,Cin,,,,,,0.01,,0.01
261,Jeremy Kerley,WR,3000,Was@NYJ 01:00PM ET,3.825,NYJ,,8.8,6.99,8.5,,0.43,2.913,5.5266
262,Anthony Sherman,RB,3000,KC@Min 01:00PM ET,0.2,KC,,,1.99,,,1.48,1.398,1.622666667
263,Will Tukuafu,RB,3000,Car@Sea 04:05PM ET,0,Sea,,,,,,,,0
264,Robert Turbin,RB,3000,Den@Cle 01:00PM ET,0,Cle,,1,,0.7,2.42,,1.073,1.29825
265,Will Johnson,RB,3000,Ari@Pit 01:00PM ET,1.34,Pit,,,2.62,,,,1.497,2.0585
266,Michael Floyd,WR,3000,Ari@Pit 01:00PM ET,3.68,Ari,6,8,9.2,8,9.21,8.43,4.556,7.628
267,Chris Polk,RB,3000,Hou@Jax 01:00PM ET,5.9,Hou,,4.8,,5.7,3.49,4.23,4.154,4.4748
268,Jacquizz Rodgers,RB,3000,Chi@Det 01:00PM ET,1.22,Chi,,,,,,,,0
269,Jarryd Hayne,RB,3000,Bal@SF 04:25PM ET,0.64,SF,1.5,0.5,3.96,0.5,,1.83,1.353,1.607166667
270,Kenjon Barner,RB,3000,NYG@Phi 08:30PM ET,0,Phi,,,,,,0.03,,0.03
271,Zach Line,RB,3000,KC@Min 01:00PM ET,3.05,Min,,,2.42,,,0.04,,1.23
272,Chris Owusu,WR,3000,Was@NYJ 01:00PM ET,4.75,NYJ,,,,,,,3.808,3.808
273,Griff Whalen,WR,3000,NE@Ind 08:30PM ET,0.52,Ind,,,,,,0.37,1.122,0.746
274,Derrick Coleman,RB,3000,Car@Sea 04:05PM ET,0.24,Sea,,,1.27,,,,,1.27
275,Jonathan Grimes,RB,3000,Hou@Jax 01:00PM ET,7.5,Hou,,0.8,,0.6,3.03,2.37,2.7782,1.91564
276,Frankie Hammond Jr.,WR,3000,KC@Min 01:00PM ET,0,KC,,,,,,,,0
277,Jaron Brown,WR,3000,Ari@Pit 01:00PM ET,2.96,Ari,,,5.08,,,4.16,1.16,3.466666667
278,Chris Givens,WR,3000,Bal@SF 04:25PM ET,1.025,Bal,,7.4,4.38,6.7,6.69,0.57,,5.148
279,Keshawn Martin,WR,3000,NE@Ind 08:30PM ET,8.3,NE,,,,,6.94,8.61,,7.775
280,Myles White,WR,3000,NYG@Phi 08:30PM ET,0,NYG,,,,,,,,0
281,B.J. Daniels,WR,3000,Car@Sea 04:05PM ET,1.1,Sea,,,,,,,,0
282,Jordan Todman,RB,3000,Ari@Pit 01:00PM ET,0.22,Pit,,,,,,,,0
283,Jarius Wright,WR,3000,KC@Min 01:00PM ET,3.775,Min,,7.4,5.43,7,6.12,4.13,3.521,5.600166667
284,Brandon Bolden,RB,3000,NE@Ind 08:30PM ET,0.9,NE,,2.7,,3.2,,,1.563,2.487666667
285,Jonas Gray,RB,3000,Mia@Ten 01:00PM ET,2.45,Mia,,3,5.67,2.8,1.76,,,3.3075
286,Kyle Rudolph,TE,3000,KC@Min 01:00PM ET,7.6,Min,8,11.6,8.57,11.8,9.76,9.22,8.332,9.611714286
287,Zurlon Tipton,RB,3000,NE@Ind 08:30PM ET,0.45,Ind,,,,,,,,0
288,Tommy Bohanon,RB,3000,Was@NYJ 01:00PM ET,0.05,NYJ,,,1.68,,,0.21,,0.945
289,Ryan Grant,WR,3000,Was@NYJ 01:00PM ET,4.76,Was,4,,4.29,1.7,7.89,7.64,3.302,4.803666667
290,Rex Burkhead,RB,3000,Cin@Buf 01:00PM ET,1.54,Cin,,,,,1.09,1,,1.045
291,Nikita Whitlock,RB,3000,NYG@Phi 08:30PM ET,0,NYG,,,,,,,,0
292,Stepfan Taylor,RB,3000,Ari@Pit 01:00PM ET,0.5,Ari,,2.1,,2.5,,0.04,2.347,1.74675
293,Tony Washington,WR,3000,Hou@Jax 01:00PM ET,0.267,Jax,,,,,,,,0
294,Branden Oliver,RB,3000,SD@GB 04:25PM ET,1.18,SD,,3,2.04,3.1,,0.38,2.14,2.132
295,Dri Archer,WR,3000,Ari@Pit 01:00PM ET,0,Pit,,4.3,,5,,0.01,1.583,2.72325
296,Marquise Goodwin,WR,3000,Cin@Buf 01:00PM ET,4.4,Buf,,,,,,0.25,1.094,0.672
297,Brandon Wegher,RB,3000,Car@Sea 04:05PM ET,0,Car,,,,,,,,0
298,Kevin Norwood,WR,3000,Car@Sea 04:05PM ET,0,Car,,,,,,0.48,,0.48
299,Cierre Wood,RB,3000,Cin@Buf 01:00PM ET,0.35,Buf,,,,,,,,0
300,Ricardo Lockette,WR,3000,Car@Sea 04:05PM ET,0.66,Sea,,3.3,,2.7,,0.32,3.847,2.54175
301,Denard Robinson,RB,3000,Hou@Jax 01:00PM ET,3.7,Jax,,5.4,9.88,5.5,8.84,,5.761,7.0762
302,Bennie Fowler,WR,3000,Den@Cle 01:00PM ET,3.54,Den,,,2.89,,3.28,1.66,4.327,3.03925
303,Jared Abbrederis,WR,3000,SD@GB 04:25PM ET,0,GB,,,,,,,,0
304,Marlon Brown,WR,3000,Bal@SF 04:25PM ET,3.3,Bal,7,7,5.91,6.5,8.56,8.19,5.748,6.986857143
305,Chris Matthews,WR,3000,Car@Sea 04:05PM ET,1.44,Sea,,2.6,4.39,3.3,1.37,2.53,2.838,2.838
306,Aaron Dobson,WR,3000,NE@Ind 08:30PM ET,6.367,NE,2,5,3.8,4.5,1.21,2.31,1.772,2.941714286
307,Bernard Pierce,RB,3000,Hou@Jax 01:00PM ET,0.96,Jax,,0.6,,,,,,0.6
308,Quincy Enunwa,WR,3000,Was@NYJ 01:00PM ET,3.425,NYJ,,,,,3.05,0.02,,1.535
309,Justin Hunter,WR,3000,Mia@Ten 01:00PM ET,4.8,Ten,4.5,5.4,4.55,4.7,7.76,6.98,7.42,5.901428571
310,Kenny Stills,WR,3000,Mia@Ten 01:00PM ET,6.025,Mia,4.5,7.6,5.37,6.8,6.41,3.75,6.191,5.803
311,Jay Prosch,RB,3000,Hou@Jax 01:00PM ET,0.56,Hou,,,1.08,,,0.04,2.447,1.189
312,Jalston Fowler,RB,3000,Mia@Ten 01:00PM ET,2.525,Ten,,,1.9,,,0.03,,0.965
313,TJ Jones,WR,3000,Chi@Det 01:00PM ET,0.7,Det,,,,,,0.47,,0.47
314,Orleans Darkwa,RB,3000,NYG@Phi 08:30PM ET,0,NYG,,,,,,0.08,,0.08
315,Roosevelt Nix,RB,3000,Ari@Pit 01:00PM ET,0,Pit,,,,,,,,0
316,Andre Williams,RB,3000,NYG@Phi 08:30PM ET,4.02,NYG,2.5,3.3,5.23,3.9,4.22,6.49,5.28,4.417142857
317,Rod Smith,RB,3000,Car@Sea 04:05PM ET,0.5,Sea,,,,,,,,0
318,Malcolm Johnson,RB,3000,Den@Cle 01:00PM ET,0.68,Cle,,,,,,,1.376,1.376
319,Robert Woods,WR,3000,Cin@Buf 01:00PM ET,6.88,Buf,5,7.4,6.63,7.7,5.21,8.46,5.453,6.550428571
320,Juwan Thompson,RB,3000,Den@Cle 01:00PM ET,0.74,Den,,0.7,3.79,0.6,,0.22,2.154,1.4928
321,James White,RB,3000,NE@Ind 08:30PM ET,2.467,NE,,3.1,,3,,1.05,2.009,2.28975
322,Michael Burton,RB,3000,Chi@Det 01:00PM ET,0.62,Det,,,,,,,1.873,1.873
323,Albert Wilson,WR,3000,KC@Min 01:00PM ET,1.833,KC,2,1.8,5.06,1.9,4.15,3.57,5.806,3.469428571
324,Corey Grant,RB,3000,Hou@Jax 01:00PM ET,0.48,Jax,,,,,2.06,,,2.06
325,DeAndrew White,WR,3000,Bal@SF 04:25PM ET,1.9,SF,,,,,,,,0
326,Matt Hazel,WR,3000,Mia@Ten 01:00PM ET,0,Mia,,,,,,,,0
327,Jeremy Langford,RB,3000,Chi@Det 01:00PM ET,2.16,Chi,2.5,5.1,4.53,5.7,3.07,3.53,4.94,4.195714286
328,J.J. Nelson,WR,3000,Ari@Pit 01:00PM ET,-0.5,Ari,,1.8,,1.9,,0.25,,1.316666667
329,Corey Fuller,WR,3000,Chi@Det 01:00PM ET,1.9,Det,,,4.99,,,2.41,,3.7
330,Geremy Davis,WR,3000,NYG@Phi 08:30PM ET,0.82,NYG,,,,,1.17,2.54,,1.855
331,Cameron Meredith,WR,3000,Chi@Det 01:00PM ET,3.95,Chi,,,7.45,,,0.44,1.055,2.981666667
332,Jerick McKinnon,RB,3000,KC@Min 01:00PM ET,1.95,Min,2.5,3.1,2.65,3.3,2.85,4.12,4.2562,3.253742857
333,Corey Brown,WR,3000,Car@Sea 04:05PM ET,5.125,Car,,6,4.02,5.2,4.11,2.73,,4.412
334,Zach Zenner,RB,3000,Chi@Det 01:00PM ET,1.52,Det,2.5,,6.17,3.7,1.35,0.08,4.609,3.068166667
335,Chris Conley,WR,3000,KC@Min 01:00PM ET,2.3,KC,2,1.4,,1.7,3.37,3.36,2.36,2.365
336,Quinton Patton,WR,3000,Bal@SF 04:25PM ET,3.62,SF,4,,3.46,,3.91,4.09,,3.865
337,Sammie Coates,WR,3000,Ari@Pit 01:00PM ET,0.7,Pit,,1.6,,1.8,,,3.1276,2.175866667
338,Ka'Deem Carey,RB,3000,Chi@Det 01:00PM ET,0,Chi,,3,,3.3,,0.29,2.315,2.22625
339,Phillip Dorsett,WR,3000,NE@Ind 08:30PM ET,5.26,Ind,4.5,3.4,6.01,2.7,5.5,3.14,3.533,4.111857143
340,Rashad Ross,WR,3000,Was@NYJ 01:00PM ET,4,Was,,,,,3.07,2.12,1.177,2.122333333
341,Marqise Lee,WR,3000,Hou@Jax 01:00PM ET,4.1,Jax,2,9.7,,,,,,5.85
342,Darren Waller,WR,3000,Bal@SF 04:25PM ET,0.76,Bal,,,,,5.03,2.73,,3.88
343,DeVante Parker,WR,3000,Mia@Ten 01:00PM ET,2.225,Mia,2,3,4.38,2.5,3.34,0.62,3.468,2.758285714
344,Alonzo Harris,RB,3000,SD@GB 04:25PM ET,0.567,GB,,,,,,0.03,,0.03
345,Bruce Ellington,WR,3000,Bal@SF 04:25PM ET,2.8,SF,,2.7,2.94,2.4,2.1,2.17,,2.462
346,Aaron Ripkowski,RB,3000,SD@GB 04:25PM ET,0,GB,,,,,,,,0
347,Devin Smith,WR,3000,Was@NYJ 01:00PM ET,5.15,NYJ,4,3.4,4.12,2.7,7.57,2.66,4.063,4.073285714
348,Raheem Mostert,RB,3000,Mia@Ten 01:00PM ET,0,Mia,,,,,,,,0
349,Josh Robinson,RB,3000,NE@Ind 08:30PM ET,2.44,Ind,2.5,2.2,3.5,2.9,2.78,1.82,4.874,2.939142857
350,De'Anthony Thomas,WR,3000,KC@Min 01:00PM ET,4.04,KC,4,7.7,4.51,9.1,5.99,7.28,6.102,6.383142857
351,Cody Latimer,WR,3000,Den@Cle 01:00PM ET,0,Den,,1.6,,1.8,,,,1.7
352,Chandler Worthy,WR,3000,Hou@Jax 01:00PM ET,1.467,Hou,,,,,,,,0
353,Brittan Golden,WR,3000,Ari@Pit 01:00PM ET,0,Ari,,,,,,,,0
354,Wes Saxton,TE,3000,Was@NYJ 01:00PM ET,0,NYJ,,,,,,,,0
355,Tyler Varga,RB,3000,NE@Ind 08:30PM ET,1,Ind,,,,,,,,0
356,Cordarrelle Patterson,WR,3000,KC@Min 01:00PM ET,0.975,Min,2.5,5.9,2.97,5.5,1.22,0.05,,3.023333333
357,Damien Williams,RB,3000,Mia@Ten 01:00PM ET,4.15,Mia,,2,4.83,2.5,4.04,5.32,3.148,3.639666667
358,Mike Davis,RB,3000,Bal@SF 04:25PM ET,2.95,SF,,,4.96,,6.28,,1.848,4.362666667
359,Devin Funchess,WR,3000,Car@Sea 04:05PM ET,1.7,Car,4,5,5.67,4.5,3.81,6.73,3.079,4.684142857
360,Cameron Artis-Payne,RB,3000,Car@Sea 04:05PM ET,1.033,Car,,1.9,,2.5,,2.34,3.7794,2.62985
361,Jaelen Strong,WR,3000,Hou@Jax 01:00PM ET,19.3,Hou,5,7.8,8.87,6.9,3.52,0.26,4.364,5.244857143
362,Adam Thielen,WR,3000,KC@Min 01:00PM ET,4.15,Min,,,,,1.21,6.31,,3.76
363,Mario Alford,WR,3000,Cin@Buf 01:00PM ET,0,Cin,,,,,,,,0
364,Jeff Janis,WR,3000,SD@GB 04:25PM ET,0,GB,,5.4,,4.7,,2.47,,4.19
365,Titans ,DST,2900,Mia@Ten 01:00PM ET,7.25,Ten,,,,,,,,0
366,Vikings ,DST,2900,KC@Min 01:00PM ET,8.75,Min,,,,,,,,0
367,Giants ,DST,2900,NYG@Phi 08:30PM ET,7.4,NYG,,,,,,,,0
368,Eagles ,DST,2900,NYG@Phi 08:30PM ET,9.2,Phi,,,,,,,,0
369,Dwayne Allen,TE,2900,NE@Ind 08:30PM ET,4.6,Ind,14,5.2,7.17,4.6,6.81,6.48,5.894,7.164857143
370,Zach Ertz,TE,2900,NYG@Phi 08:30PM ET,6.28,Phi,7,10.8,6.05,10.4,9.47,10.42,8.431,8.938714286
371,Chiefs ,DST,2800,KC@Min 01:00PM ET,5,KC,,,,,,,,0
372,Dolphins ,DST,2800,Mia@Ten 01:00PM ET,3.25,Mia,,,,,,,,0
373,Larry Donnell,TE,2800,NYG@Phi 08:30PM ET,9.68,NYG,14,17.6,7.95,16.8,10.19,8.75,9.225,12.07357143
374,Maxx Williams,TE,2800,Bal@SF 04:25PM ET,3.28,Bal,2,6.4,3.42,6.2,3.18,2.49,3.3,3.855714286
375,Steelers ,DST,2700,Ari@Pit 01:00PM ET,8.4,Pit,,,,,,,,0
376,Jaguars ,DST,2700,Hou@Jax 01:00PM ET,3.4,Jax,,,,,,,,0
377,Owen Daniels,TE,2700,Den@Cle 01:00PM ET,6.02,Den,4.5,12,5.61,12,7.72,9.49,8.082,8.486
378,Marcedes Lewis,TE,2700,Hou@Jax 01:00PM ET,1.8,Jax,2,6.4,4.24,6.2,3.18,4.46,3.322,4.257428571
379,Crockett Gillmore,TE,2700,Bal@SF 04:25PM ET,12.367,Bal,5,2.8,11.54,2.4,8.64,7.12,6.739,6.319857143
380,Chargers ,DST,2600,SD@GB 04:25PM ET,4.6,SD,,,,,,,,0
381,Lions ,DST,2500,Chi@Det 01:00PM ET,8.2,Det,,,,,,,,0
382,Colts ,DST,2500,NE@Ind 08:30PM ET,5.4,Ind,,,,,,,,0
383,Redskins ,DST,2500,Was@NYJ 01:00PM ET,7.2,Was,,,,,,,,0
384,Mike Leach,TE,2500,Ari@Pit 01:00PM ET,0,Ari,,,,,,,,0
385,Craig Stevens,TE,2500,Mia@Ten 01:00PM ET,2.075,Ten,,,,,1.66,0.14,2.551,1.450333333
386,Scott Chandler,TE,2500,NE@Ind 08:30PM ET,4.225,NE,2,7.2,4.44,6.6,5.29,3.8,4.109,4.777
387,Matt Spaeth,TE,2500,Ari@Pit 01:00PM ET,0,Pit,,,,,,,1.764,1.764
388,Clark Harris,TE,2500,Cin@Buf 01:00PM ET,0,Cin,,,,,,,,0
389,Anthony Fasano,TE,2500,Mia@Ten 01:00PM ET,6.45,Ten,,4.4,4.05,4.2,2.59,2.96,4.226,3.737666667
390,Brent Celek,TE,2500,NYG@Phi 08:30PM ET,4.6,Phi,4,5.2,6,5.6,2.7,5.58,3.836,4.702285714
391,Zach Miller,TE,2500,Chi@Det 01:00PM ET,1.3,Chi,,,,1.8,1.94,0.03,,1.256666667
392,Brandon Pettigrew,TE,2500,Chi@Det 01:00PM ET,2.95,Det,2,,4,,3.59,0.88,4.978,3.0896
393,Kellen Davis,TE,2500,Was@NYJ 01:00PM ET,0,NYJ,,,5.46,,,0.01,,2.735
394,Darren Fells,TE,2500,Ari@Pit 01:00PM ET,6.74,Ari,5.5,2,7.14,2,4.78,7.73,5.146,4.899428571
395,David Johnson,TE,2500,SD@GB 04:25PM ET,0.04,SD,11.5,7.1,8.22,7.3,5.55,4.94,6.8242,7.347742857
396,Clay Harbor,TE,2500,Hou@Jax 01:00PM ET,4.08,Jax,,4,,4,,0.58,,2.86
397,Ed Dickson,TE,2500,Car@Sea 04:05PM ET,3.475,Car,4,3.6,3.8,3.8,3.04,3.59,2.888,3.531142857
398,Chase Coffman,TE,2500,Mia@Ten 01:00PM ET,8.2,Ten,,,,,,,,0
399,Garrett Graham,TE,2500,Hou@Jax 01:00PM ET,2.6,Hou,4,5.6,4.64,5.8,3.92,3.99,5.842,4.827428571
400,Richie Brockel,TE,2500,Car@Sea 04:05PM ET,0,Car,,,,,,,,0
401,Anthony McCoy,TE,2500,Was@NYJ 01:00PM ET,0,Was,,,,,1.93,0.18,,1.055
402,Jim Dray,TE,2500,Den@Cle 01:00PM ET,0.8,Cle,,,3.97,,,0.65,,2.31
403,Virgil Green,TE,2500,Den@Cle 01:00PM ET,2.56,Den,2,4.2,5.43,4.1,1.63,2.48,3.133,3.281857143
404,John Phillips,TE,2500,SD@GB 04:25PM ET,2.92,SD,,,,,,0.01,,0.01
405,Rob Housler,TE,2500,Den@Cle 01:00PM ET,0.32,Cle,,1.4,3.97,1.7,,0.18,1.746,1.7992
406,Kyle Nelson,TE,2500,Bal@SF 04:25PM ET,0,SF,,,,,,,,0
407,Matthew Mulligan,TE,2500,Cin@Buf 01:00PM ET,0.24,Buf,,,,,,,,0
408,Jermaine Gresham,TE,2500,Ari@Pit 01:00PM ET,2.02,Ari,,4,3.98,4,4.05,3.48,2.954,3.744
409,Jeff Cumberland,TE,2500,Was@NYJ 01:00PM ET,1,NYJ,1.5,5.6,,5.8,3.88,5.4,3.403,4.263833333
410,Rhett Ellison,TE,2500,KC@Min 01:00PM ET,0.325,Min,,,3.49,,,2.12,2.473,2.694333333
411,Garrett Celek,TE,2500,Bal@SF 04:25PM ET,6.62,SF,6,2.6,5.52,3.3,2.93,3.43,,3.963333333
412,Jake Stoneburner,TE,2500,Mia@Ten 01:00PM ET,7.233,Mia,,1.2,5.51,1.6,,,,2.77
413,Beau Brinkley,TE,2500,Mia@Ten 01:00PM ET,0,Ten,,,,,,,,0
414,Kevin McDermott,TE,2500,KC@Min 01:00PM ET,0,Min,,,,,,,,0
415,Tim Wright,TE,2500,Chi@Det 01:00PM ET,1.95,Det,,,,,,1.68,,1.68
416,Michael Williams,TE,2500,NE@Ind 08:30PM ET,0.625,NE,,,,,,0.01,,0.01
417,Chris Gragg,TE,2500,Cin@Buf 01:00PM ET,1.25,Buf,,,,,,0.03,2.609,1.3195
418,Luke Willson,TE,2500,Car@Sea 04:05PM ET,3.2,Sea,4,3,4.28,3.5,3.36,3.14,3.186,3.495142857
419,James Winchester,TE,2500,KC@Min 01:00PM ET,0,KC,,,,,,,,0
420,Jack Doyle,TE,2500,NE@Ind 08:30PM ET,1.44,Ind,,,,,,0.16,,0.16
421,Vance McDonald,TE,2500,Bal@SF 04:25PM ET,1.525,SF,,,2.99,,1.23,,1.728,1.982666667
422,Ryan Hewitt,TE,2500,Cin@Buf 01:00PM ET,0,Cin,,,2.49,,,,1.076,1.783
423,Dion Sims,TE,2500,Mia@Ten 01:00PM ET,0,Mia,,1.6,3.55,1.8,3.38,0.61,3.8,2.456666667
424,Jerome Cunningham,TE,2500,NYG@Phi 08:30PM ET,1.3,NYG,,,,,4.01,0.04,,2.025
425,Nic Jacobs,TE,2500,Hou@Jax 01:00PM ET,0,Jax,,,,,,,,0
426,Cooper Helfet,TE,2500,Car@Sea 04:05PM ET,0,Sea,,,,,,,,0
427,Trey Burton,TE,2500,NYG@Phi 08:30PM ET,0,Phi,,,,,,,,0
428,Blake Bell,TE,2500,Bal@SF 04:25PM ET,0.94,SF,,,,,,,,0
429,James O'Shaughnessy,TE,2500,KC@Min 01:00PM ET,1.84,KC,2,,4.17,,1.03,1.13,3.642,2.3944
430,MyCole Pruitt,TE,2500,KC@Min 01:00PM ET,0,Min,,1.2,,1.6,1.27,,,1.356666667
431,Will Tye,TE,2500,NYG@Phi 08:30PM ET,4.4,NYG,,,,,,,1.056,1.056
432,Chase Ford,TE,2500,KC@Min 01:00PM ET,0,Min,,1.6,,1.8,,0.01,,1.136666667
433,C.J. Fiedorowicz,TE,2500,Hou@Jax 01:00PM ET,3.52,Hou,2,2.6,4.42,2.3,2.52,2.04,2.681,2.651571429
434,Brian Parker,TE,2500,KC@Min 01:00PM ET,0,KC,,,,,,,,0
