,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average
39,Joe Flacco,QB,5900,Bal@SF 04:25PM ET,17.376,Bal,13.7,18.06,16.22,19.06,17.364,17.166,17.2078,16.96825714
40,Allen Robinson,WR,5900,Hou@Jax 01:00PM ET,17.84,Jax,20,18,13.31,17,16.48,12.46,12.19,15.63428571
41,James Jones,WR,5800,SD@GB 04:25PM ET,18.28,GB,18,18.6,14.79,17.3,12.63,13.85,14.554,15.67485714
42,Dion Lewis,RB,5800,NE@Ind 08:30PM ET,20.45,NE,21.5,19.7,16.35,22.2,15.05,12.87,14.707,17.48242857
43,Marcus Mariota,QB,5800,Mia@Ten 01:00PM ET,19.5,Ten,19.3,18.72,16.11,19.72,16.254,17.644,15.2924,17.5772
44,DeSean Jackson,WR,5700,Was@NYJ 01:00PM ET,0,Was,5,14.7,5.35,13.4,,,13.088,10.3076
45,Andy Dalton,QB,5700,Cin@Buf 01:00PM ET,25.644,Cin,18.8,17.2,17.14,18.2,17.27,14.5,19.1834,17.47048571
46,Ryan Tannehill,QB,5700,Mia@Ten 01:00PM ET,18.225,Mia,18.2,18.62,17.09,19.62,17.712,18.504,16.0096,17.96508571
47,Jeremy Hill,RB,5700,Cin@Buf 01:00PM ET,10.2,Cin,11.5,11.7,10.23,11.1,8.44,6.52,12.4456,10.27651429
48,Tyrod Taylor,QB,5600,Cin@Buf 01:00PM ET,21.596,Buf,,12.24,,13.24,,,,12.74
49,Greg Olsen,TE,5500,Car@Sea 04:05PM ET,14.075,Car,18.5,15,11.6,14.5,12.4,9.69,10.479,13.167
50,Josh McCown,QB,5400,Den@Cle 01:00PM ET,22.905,Cle,14,17.52,14.76,18.52,14.27,14.292,14.3968,15.39411429
51,Jimmy Graham,TE,5400,Car@Sea 04:05PM ET,10.68,Sea,14.5,19,11.52,18.5,9.89,8.53,9.872,13.116
52,LeSean McCoy,RB,5400,Cin@Buf 01:00PM ET,11.967,Buf,,16.1,11.36,15.7,13.78,,13.9834,14.18468
53,Sammy Watkins,WR,5400,Cin@Buf 01:00PM ET,7.633,Buf,17,10,7.95,9.1,10.06,11.29,12.037,11.06242857
54,Alex Smith,QB,5300,KC@Min 01:00PM ET,16.908,KC,18.6,17.04,15.05,18.04,16.012,16.878,15.6258,16.7494
55,Matthew Stafford,QB,5300,Chi@Det 01:00PM ET,13.12,Det,17.5,14.78,23.95,15.78,18.924,17.43,17.155,17.93128571
56,Teddy Bridgewater,QB,5300,KC@Min 01:00PM ET,11.965,Min,18.1,18.38,16.05,19.38,16.65,14.832,16.8952,17.18388571
57,Karlos Williams,RB,5300,Cin@Buf 01:00PM ET,14.8,Buf,,1.4,,,,,,1.4
58,Jay Cutler,QB,5200,Chi@Det 01:00PM ET,15.53,Chi,14,17,14.46,18,16.802,24.368,16.197,17.261
59,Golden Tate,WR,5200,Chi@Det 01:00PM ET,10.56,Det,10,12.4,12.97,11.3,12.76,15.32,12.95,12.52857143
60,Kendall Wright,WR,5200,Mia@Ten 01:00PM ET,14.15,Ten,17,9.5,11.08,8.9,11.86,12.6,11.9778,11.8454
61,John Brown,WR,5200,Ari@Pit 01:00PM ET,13.28,Ari,17,14.8,15.19,13.4,11.29,13.02,11.8632,13.79474286
62,Blake Bortles,QB,5200,Hou@Jax 01:00PM ET,20.432,Jax,18.9,16.98,14,17.98,18.816,16.69,14.481,16.83528571
63,Matt Hasselbeck,QB,5100,NE@Ind 08:30PM ET,15.8,Ind,,,,,,,,0
64,Brian Hoyer,QB,5100,Hou@Jax 01:00PM ET,17.533,Hou,19,,15.37,,14.768,,15.9944,16.2831
65,Chris Ivory,RB,5100,Was@NYJ 01:00PM ET,18.867,NYJ,9,14,13.27,14,12.01,16.73,12.89,13.12857143
66,Pierre Garcon,WR,5100,Was@NYJ 01:00PM ET,13.14,Was,11,17.4,11.81,16.7,12.33,12.48,10.421,13.163
67,Kirk Cousins,QB,5100,Was@NYJ 01:00PM ET,14.812,Was,13.2,14.2,11.41,15.2,12.794,13.202,15.6514,13.66534286
68,Mike Vick,QB,5000,Ari@Pit 01:00PM ET,6.7,Pit,,13.88,13.49,,15.338,17.796,,15.126
69,Charlie Whitehurst,QB,5000,Mia@Ten 01:00PM ET,0,Ten,,,,,,,,0
70,Tarvaris Jackson,QB,5000,Car@Sea 04:05PM ET,0,Sea,,,,,,,,0
71,Derek Anderson,QB,5000,Car@Sea 04:05PM ET,0,Car,,,,,,,,0
72,Ryan Fitzpatrick,QB,5000,Was@NYJ 01:00PM ET,16.04,NYJ,19.4,16.52,20.13,17.52,15.788,14.464,15.5268,17.04982857
73,Dan Orlovsky,QB,5000,Chi@Det 01:00PM ET,5.32,Det,,,,,,,,0
74,Kellen Clemens,QB,5000,SD@GB 04:25PM ET,6.52,SD,,,,,,,,0
75,Shaun Hill,QB,5000,KC@Min 01:00PM ET,0,Min,,,,,,,,0
76,Matt Moore,QB,5000,Mia@Ten 01:00PM ET,0,Mia,,,,,,,,0
77,Drew Stanton,QB,5000,Ari@Pit 01:00PM ET,-0.1,Ari,,,,,,,,0
78,Matt Schaub,QB,5000,Bal@SF 04:25PM ET,0,Bal,,,,,,,,0
79,Chad Henne,QB,5000,Hou@Jax 01:00PM ET,0,Jax,,,2.058,,,,1.0714,1.5647
80,Josh Johnson,QB,5000,NE@Ind 08:30PM ET,0,Ind,,,,,,,1.026,1.026
81,Joe Webb,QB,5000,Car@Sea 04:05PM ET,0,Car,,,,,,,,0
82,Mark Sanchez,QB,5000,NYG@Phi 08:30PM ET,0,Phi,,,,,,,,0
83,Chase Daniel,QB,5000,KC@Min 01:00PM ET,0,KC,,,,,,,,0
84,Colt McCoy,QB,5000,Was@NYJ 01:00PM ET,0,Was,,,,,,,,0
85,Colin Kaepernick,QB,5000,Bal@SF 04:25PM ET,16.472,SF,15.5,12.54,17.64,14.54,18.078,18.894,16.7836,16.28222857
86,Scott Tolzien,QB,5000,SD@GB 04:25PM ET,0,GB,,,,,,,1.0002,1.0002
87,Thaddeus Lewis,QB,5000,NYG@Phi 08:30PM ET,0,Phi,,,,,,,,0
88,Jimmy Clausen,QB,5000,Chi@Det 01:00PM ET,3.58,Chi,,,,,,,,0
89,Ryan Mallett,QB,5000,Hou@Jax 01:00PM ET,9.58,Hou,,11.26,,12.26,,14.894,,12.80466667
90,Austin Davis,QB,5000,Den@Cle 01:00PM ET,0,Cle,,,,,,,,0
91,Landry Jones,QB,5000,Ari@Pit 01:00PM ET,0,Pit,,,,,,,,0
92,Travis Kelce,TE,5000,KC@Min 01:00PM ET,14.56,KC,18,16.4,12.17,15.2,12.14,12.06,12.72,14.09857143
93,Robert Griffin III,QB,5000,Was@NYJ 01:00PM ET,0,Was,,,,,,,,0
94,EJ Manuel,QB,5000,Cin@Buf 01:00PM ET,-0.1,Buf,18.4,,12.58,,13.836,12.914,15.872,14.7204
95,Blaine Gabbert,QB,5000,Bal@SF 04:25PM ET,0,SF,,,,,,,,0
96,Andre Ellington,RB,5000,Ari@Pit 01:00PM ET,12.95,Ari,3.5,15.9,11,16.6,8.49,7.8,8.2168,10.21525714
97,Travis Benjamin,WR,5000,Den@Cle 01:00PM ET,19.02,Cle,17.5,17.2,9.9,15.7,10.5,10.87,11.209,13.26842857
98,Ryan Nassib,QB,5000,NYG@Phi 08:30PM ET,0,NYG,,,,,,,,0
99,Matt Barkley,QB,5000,Ari@Pit 01:00PM ET,0,Ari,,,,,,,,0
100,Zach Mettenberger,QB,5000,Mia@Ten 01:00PM ET,-0.5,Ten,,,,,,,1.1584,1.1584
101,Aaron Murray,QB,5000,KC@Min 01:00PM ET,0,KC,,,,,,,,0
102,Brock Osweiler,QB,5000,Den@Cle 01:00PM ET,0,Den,,,,,,,,0
103,Bryce Petty,QB,5000,Was@NYJ 01:00PM ET,0,NYJ,,,,,,,,0
104,AJ McCarron,QB,5000,Cin@Buf 01:00PM ET,0,Cin,,,,,,,,0
105,David Fales,QB,5000,Chi@Det 01:00PM ET,0,Chi,,,,,,,,0
106,Geno Smith,QB,5000,Was@NYJ 01:00PM ET,0,NYJ,,,,,,,1.1616,1.1616
107,Allen Hurns,WR,5000,Hou@Jax 01:00PM ET,18.6,Jax,18.5,18.8,13.24,17.4,11.46,12.75,11.86,14.85857143
108,Trevor Siemian,QB,5000,Den@Cle 01:00PM ET,0,Den,,,,,,,,0
109,Jimmy Garoppolo,QB,5000,NE@Ind 08:30PM ET,-0.2,NE,,,,,,,,0
110,Brett Hundley,QB,5000,SD@GB 04:25PM ET,0,GB,,,,,,,,0
111,Johnny Manziel,QB,5000,Den@Cle 01:00PM ET,13.38,Cle,,,,,,,2.9512,2.9512
112,Taylor Heinicke,QB,5000,KC@Min 01:00PM ET,0,Min,,,,,,,,0
113,Donte Moncrief,WR,5000,NE@Ind 08:30PM ET,14.56,Ind,11.5,15.7,9.47,15,13.24,9.54,10.664,12.15914286
114,Frank Gore,RB,4900,NE@Ind 08:30PM ET,12.42,Ind,14,13.9,11.35,14.7,13.82,11.56,12.731,13.15157143
115,Eric Decker,WR,4900,Was@NYJ 01:00PM ET,16.667,NYJ,19,20.2,14.89,18.1,11.27,12.49,10.428,15.19685714
116,Tyler Eifert,TE,4900,Cin@Buf 01:00PM ET,17.64,Cin,18,20.6,14.46,19.3,12.91,9.69,10.202,15.02314286
117,Martellus Bennett,TE,4800,Chi@Det 01:00PM ET,12.66,Chi,16.5,19.4,12.22,18.7,12.51,14.14,13.494,15.28057143
