,Unnamed: 0,player,fox,dk_name
0,0,Jay Cutler,24.368,Jay Cutler
1,1,Matt Ryan,23.426,NaN
2,2,Eli Manning,22.95,Eli Manning
3,3,Aaron Rodgers,19.34,Aaron Rodgers
4,4,Carson Palmer,22.32,Carson Palmer
5,5,Colin Kaepernick,18.894,Colin Kaepernick
6,6,Ryan Tannehill,18.504,Ryan Tannehill
7,7,Devonta Freeman,22.97,NaN
8,8,Le'Veon Bell,22.13,Le'Veon Bell
9,9,Tom Brady,18.018,Tom Brady
10,10,Eddie Lacy,20.72,Eddie Lacy
11,11,Marcus Mariota,17.644,Marcus Mariota
12,12,Sam Bradford,18.156,Sam Bradford
13,13,Joe Flacco,17.166,Joe Flacco
14,14,Matt Forte,21.37,Matt Forte
15,15,Russell Wilson,17.186,Russell Wilson
16,16,Mike Vick,17.796,Mike Vick
17,17,Matthew Stafford,17.43,Matthew Stafford
18,18,Andrew Luck,17.056,Andrew Luck
19,19,Alex Smith,16.878,Alex Smith
20,20,Drew Brees,17.578,NaN
21,21,Cam Newton,16.538,Cam Newton
22,22,Blake Bortles,16.69,Blake Bortles
23,23,Chris Ivory,16.73,Chris Ivory
24,24,Adrian Peterson,17.41,Adrian Peterson
25,25,Philip Rivers,16.126,Philip Rivers
26,26,Peyton Manning,15.496,Peyton Manning
27,27,Justin Forsett,18.41,Justin Forsett
28,28,Giovani Bernard,17.7,Giovani Bernard
29,29,Ryan Mallett,14.894,Ryan Mallett
30,30,Teddy Bridgewater,14.832,Teddy Bridgewater
31,31,Arian Foster,16.73,Arian Foster
32,32,Andy Dalton,14.5,Andy Dalton
33,33,Ryan Fitzpatrick,14.464,Ryan Fitzpatrick
34,34,Lamar Miller,16.25,Lamar Miller
35,35,Marshawn Lynch,14.7,Marshawn Lynch
36,36,Josh McCown,14.292,Josh McCown
37,37,Mark Ingram,17.57,NaN
38,38,Carlos Hyde,14.55,Carlos Hyde
39,39,Kirk Cousins,13.202,Kirk Cousins
40,40,Odell Beckham Jr.,18.36,Odell Beckham Jr.
41,41,Larry Fitzgerald,17.52,Larry Fitzgerald
42,42,Julio Jones,17.97,NaN
43,43,EJ Manuel,12.914,EJ Manuel
44,44,Alshon Jeffery,17.15,Alshon Jeffery
45,45,LeGarrette Blount,11.74,LeGarrette Blount
46,46,Melvin Gordon,13.63,Melvin Gordon
47,47,Jeremy Maclin,15.64,Jeremy Maclin
48,48,T.J. Yeldon,12.7,T.J. Yeldon
49,49,Brandin Cooks,15.48,NaN
50,50,Calvin Johnson,15.92,Calvin Johnson
51,51,Chris Johnson,12.23,Chris Johnson
52,52,Dion Lewis,12.87,Dion Lewis
53,53,C.J. Anderson,12.17,C.J. Anderson
54,54,A.J. Green,14.17,A.J. Green
55,55,Golden Tate,15.32,Golden Tate
56,56,Eddie Royal,14.28,Eddie Royal
57,57,Steve Smith Sr.,14.37,Steve Smith Sr.
58,58,Julian Edelman,15.42,Julian Edelman
59,59,Dexter McCluster,12.25,Dexter McCluster
60,60,Anquan Boldin,14.61,Anquan Boldin
61,61,Antonio Brown,14.58,Antonio Brown
62,62,Randall Cobb,15.03,Randall Cobb
63,63,James Jones,13.85,James Jones
64,64,Martellus Bennett,14.14,Martellus Bennett
65,65,Frank Gore,11.56,Frank Gore
66,66,Rob Gronkowski,14.16,Rob Gronkowski
67,67,Jordan Matthews,13.95,Jordan Matthews
68,68,Willie Snead,13.35,NaN
69,69,Demaryius Thomas,14.45,Demaryius Thomas
70,70,Brandon Marshall,13.59,Brandon Marshall
71,71,DeAndre Hopkins,14.18,DeAndre Hopkins
72,72,Jonathan Stewart,10.72,Jonathan Stewart
73,73,Charcandrick West,10.31,Charcandrick West
74,74,Jarvis Landry,14.18,Jarvis Landry
75,75,Malcom Floyd,11.86,Malcom Floyd
76,76,Keenan Allen,13.92,Keenan Allen
77,77,Kendall Wright,12.6,Kendall Wright
78,78,John Brown,13.02,John Brown
79,79,Dwayne Harris,11.87,Dwayne Harris
80,80,Allen Hurns,12.75,Allen Hurns
81,81,Riley Cooper,12.19,Riley Cooper
82,82,Pierre Garcon,12.48,Pierre Garcon
83,83,Bishop Sankey,9.28,Bishop Sankey
84,84,Roddy White,12.01,NaN
85,85,James Starks,9.57,James Starks
86,86,Mike Wallace,11.99,Mike Wallace
87,87,Allen Robinson,12.46,Allen Robinson
88,88,T.Y. Hilton,12.32,T.Y. Hilton
89,89,Ronnie Hillman,9.17,Ronnie Hillman
90,90,Emmanuel Sanders,12.81,Emmanuel Sanders
91,91,Rueben Randle,12.34,Rueben Randle
92,92,Kamar Aiken,11.78,Kamar Aiken
93,93,Eric Decker,12.49,Eric Decker
94,94,Antonio Gates,11.79,Antonio Gates
95,95,Ameer Abdullah,9.33,Ameer Abdullah
96,96,Travis Kelce,12.06,Travis Kelce
97,97,Leonard Hankerson,11.84,NaN
98,98,DeMarco Murray,10.69,DeMarco Murray
99,99,Rishard Matthews,11.47,Rishard Matthews
100,100,Ty Montgomery,10.98,Ty Montgomery
101,101,Isaiah Crowell,7.44,Isaiah Crowell
102,102,Andrew Hawkins,11.06,Andrew Hawkins
103,103,Sammy Watkins,11.29,Sammy Watkins
104,104,Percy Harvin,10.43,Percy Harvin
105,105,Duke Johnson Jr.,9.82,Duke Johnson Jr.
106,106,Torrey Smith,10.26,Torrey Smith
107,107,Jacob Tamme,11.0,NaN
108,108,Danny Amendola,10.97,Danny Amendola
109,109,Rashad Jennings,9.67,Rashad Jennings
110,110,Danny Woodhead,9.63,Danny Woodhead
111,111,Travis Benjamin,10.87,Travis Benjamin
112,112,Doug Baldwin,10.45,Doug Baldwin
113,113,Andre Johnson,10.82,Andre Johnson
114,114,Joique Bell,8.47,Joique Bell
115,115,Jordan Cameron,10.8,Jordan Cameron
116,116,Daniel Herron,7.67,Daniel Herron
117,117,Zach Ertz,10.42,Zach Ertz
118,118,Jamison Crowder,10.83,Jamison Crowder
119,119,Harry Douglas,10.22,Harry Douglas
120,120,Shane Vereen,9.05,Shane Vereen
121,121,Markus Wheaton,9.72,Markus Wheaton
122,122,Tyler Eifert,9.69,Tyler Eifert
123,123,Cecil Shorts III,9.43,Cecil Shorts III
124,124,Delanie Walker,9.67,Delanie Walker
125,125,Greg Jennings,8.58,Greg Jennings
126,126,Marvin Jones,9.6,Marvin Jones
127,127,Greg Olsen,9.69,Greg Olsen
128,128,Jerricho Cotchery,8.62,Jerricho Cotchery
129,129,Lance Moore,8.81,Lance Moore
130,130,Heath Miller,9.71,Heath Miller
131,131,Marquess Wilson,8.8,Marquess Wilson
132,132,Gary Barnidge,9.22,Gary Barnidge
133,133,Jeremy Hill,6.52,Jeremy Hill
