player,opp,status,comp/att,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,targets,2-pt,fl,def_td,fan_pts,punt_td,kick_td

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Keenan Allen, SDWRQ",@GB,L 20-27,0/0,0,0,0,0,0,0,14,157,0,15,0,0,0,15
"Robbie Gould, ChiK",@Det,L 34-37,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Steven Hauschka, SeaK",Car,L 23-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Jimmy Graham, SeaTE",Car,L 23-27,0/0,0,0,0,0,0,0,8,140,0,12,0,0,0,14
"Landry Jones, PitQB",Ari,W 25-13,8/12,168,2,0,1,-1,0,0,0,0,0,0,0,0,14
"Allen Robinson, JaxWRQ",Hou,L 20-31,0/0,0,0,0,0,0,0,6,86,1,12,0,0,0,14
Texans D/STD/ST,@Jax,W 31-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
"Matt Prater, DetK",Chi,W 37-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"Riley Cooper, PhiWRQ",NYG,W 27-7,0/0,0,0,0,0,0,0,3,76,1,6,0,0,0,13
"Julius Thomas, JaxTEP",Hou,L 20-31,0/0,0,0,0,0,0,0,7,78,1,13,0,0,0,13
"T.Y. Hilton, IndWR",NE,L 27-34,0/0,0,0,0,0,0,0,6,74,1,9,0,0,0,13
"Giovani Bernard, CinRB",@Buf,W 34-21,0/0,0,0,0,8,50,1,1,23,0,2,0,0,0,13
"Brandon McManus, DenK",@Cle,W 26-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"Blair Walsh, MinK",KC,W 16-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Odell Beckham Jr., NYGWRQ",@Phi,L 7-27,0/0,0,0,0,0,0,0,7,61,1,8,0,0,0,12
"Jarvis Landry, MiaWR",@Ten,W 38-10,0/0,0,0,0,2,24,1,3,42,0,4,0,0,0,12
"Donte Moncrief, IndWR",NE,L 27-34,0/0,0,0,0,0,0,0,6,69,1,11,0,0,0,12
"Jeremy Hill, CinRB",@Buf,W 34-21,0/0,0,0,0,16,56,0,1,13,1,1,0,0,0,12
"Stefon Diggs, MinWR",KC,W 16-10,0/0,0,0,0,0,0,0,7,129,0,9,0,0,0,12
"Josh McCown, CleQB",Den,L 23-26,20/39,213,2,2,3,12,0,0,0,0,0,0,1,0,11
"Mike Nugent, CinK",@Buf,W 34-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"Stephen Gostkowski, NEK",@Ind,W 34-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"Marshawn Lynch, SeaRBP",Car,L 23-27,0/0,0,0,0,17,54,1,1,0,0,3,0,0,0,11
"Julian Edelman, NEWR",@Ind,W 34-27,0/0,0,0,0,1,2,0,6,50,1,10,0,0,0,11
"Demaryius Thomas, DenWR",@Cle,W 26-23,0/0,0,0,0,0,0,0,10,111,0,17,0,0,0,11
"Rob Gronkowski, NETE",@Ind,W 34-27,0/0,0,0,0,0,0,0,3,50,1,5,0,0,0,11
"Ronnie Hillman, DenRB",@Cle,W 26-23,0/0,0,0,0,20,111,0,3,4,0,5,0,0,0,11
"Michael Floyd, AriWR",@Pit,L 13-25,0/0,0,0,0,0,0,0,5,50,1,8,0,0,0,11
"Travis Benjamin, CleWR",Den,L 23-26,0/0,0,0,0,0,0,0,9,117,0,13,0,0,0,11
"Albert Wilson, KCWR",@Min,L 10-16,0/0,0,0,0,0,0,0,3,57,1,6,0,0,0,11
"Anquan Boldin, SFWRQ",Bal,W 25-20,0/0,0,0,0,0,0,0,5,102,0,9,0,0,0,10
"Danny Amendola, NEWR",@Ind,W 34-27,0/0,0,0,0,0,0,0,7,105,0,9,0,0,0,10
"Golden Tate, DetWR",Chi,W 37-34,0/0,0,0,0,0,0,0,6,40,1,8,0,0,0,10
"Ricardo Lockette, SeaWR",Car,L 23-27,0/0,0,0,0,0,0,0,2,43,1,2,0,0,0,10
"Dustin Hopkins, WshK",@NYJ,L 20-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Sammy Watkins*, BufWRO",Cin,L 21-34,0/0,0,0,0,0,0,0,4,48,1,5,0,0,0,10
"Peyton Manning, DenQB",@Cle,W 26-23,26/48,290,1,3,0,0,0,0,0,0,0,0,0,0,9
"Antonio Gates, SDTEQ",@GB,L 20-27,0/0,0,0,0,0,0,0,9,95,0,16,0,0,0,9
"Larry Fitzgerald, AriWRP",@Pit,L 13-25,0/0,0,0,0,0,0,0,8,93,0,10,0,0,0,9
"Malcom Floyd, SDWR",@GB,L 20-27,0/0,0,0,0,0,0,0,5,95,0,12,0,0,0,9
"Delanie Walker, TenTE",Mia,L 10-38,0/0,0,0,0,0,0,0,8,97,0,10,0,0,0,9
"James Jones, GBWR",SD,W 27-20,0/0,0,0,0,0,0,0,2,30,1,5,0,0,0,9
"Nick Folk, NYJK",Wsh,W 34-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Mason Crosby, GBK",SD,W 27-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Justin Forsett, BalRBP",@SF,L 20-25,0/0,0,0,0,17,62,0,7,39,0,8,0,0,0,9
"Sam Bradford, PhiQB",NYG,W 27-7,24/38,280,1,3,5,2,0,0,0,0,0,0,0,0,9
"Dexter McCluster, TenWR, RBP",Mia,L 10-38,0/0,0,0,0,5,23,0,3,19,1,4,0,0,0,9
"Eric Decker, NYJWRQ",Wsh,W 34-20,0/0,0,0,0,0,0,0,4,59,1,7,0,1,0,9
"Julio Jones, AtlWR",@NO,L 21-31,0/0,0,0,0,0,0,0,6,93,0,11,0,0,0,9

