

Arizona Cardinals,D/ST,ARI,9,@PITSun 1:00,0,0,0,2,3,1,1,0,17,297,13,91%
Cincinnati Bengals,D/ST,CIN,7,@BUFSun 1:00,0,0,0,1,3,1,1,0,18,253,11,49%
Minnesota Vikings,D/ST,MIN,5,KCSun 1:00,0,0,0,1,3,1,0,0,21,278,10,29%
New York Jets,D/ST,NYJ,5,WASSun 1:00,0,0,0,1,3,1,0,0,24,229,10,77%
Carolina Panthers,D/ST,CAR,5,@SEASun 4:05,0,0,0,2,1,1,1,0,24,312,9,81%
Houston Texans,D/ST,HOU,9,@JACSun 1:00,0,0,0,1,2,1,1,0,21,289,9,66%
Tennessee Titans,D/ST,TEN,4,MIASun 1:00,0,0,0,1,2,1,1,0,22,303,9,23%
Atlanta Falcons,D/ST,ATL,10,@NO,0,0,0,1,2,1,0,0,30,385,8,40%
Buffalo Bills,D/ST,BUF,8,CINSun 1:00,0,0,0,0,3,1,0,0,25,322,8,87%
Chicago Bears,D/ST,CHI,7,@DETSun 1:00,0,0,0,1,2,1,0,0,17,329,8,9%
Detroit Lions,D/ST,DET,9,CHISun 1:00,0,0,0,1,2,1,0,0,22,304,8,71%
Green Bay Packers,D/ST,GB,7,SDSun 4:25,0,0,0,1,2,1,0,0,25,318,8,91%
Indianapolis Colts,D/ST,IND,10,NESun 8:30,0,0,0,1,2,1,0,0,30,385,8,16%
Jacksonville Jaguars,D/ST,JAC,8,HOUSun 1:00,0,0,0,1,2,1,0,0,12,269,8,6%
Kansas City Chiefs,D/ST,KC,9,@MINSun 1:00,0,0,0,1,2,1,0,0,25,357,8,48%
Miami Dolphins,D/ST,MIA,5,@TENSun 1:00,0,0,0,1,2,1,0,0,19,317,8,24%
Philadelphia Eagles,D/ST,PHI,8,NYGMon 8:30,0,0,0,1,2,1,0,0,24,292,8,61%
Pittsburgh Steelers,D/ST,PIT,11,ARISun 1:00,0,0,0,0,3,1,0,0,28,382,8,28%
Seattle Seahawks,D/ST,SEA,9,CARSun 4:05,0,0,0,1,2,1,0,0,18,238,8,97%
New England Patriots,D/ST,NE,4,@INDSun 8:30,0,0,0,0,2,1,1,0,24,305,7,89%
 Previous12Next 


San Francisco 49ers,D/ST,SF,10,BALSun 4:25,0,0,0,1,1,1,1,0,22,310,7,17%
Baltimore Ravens,D/ST,BAL,9,@SFSun 4:25,0,0,0,1,1,1,0,0,19,249,6,71%
Cleveland Browns,D/ST,CLE,11,DENSun 1:00,0,0,0,0,2,1,0,0,23,291,6,15%
Denver Broncos,D/ST,DEN,7,@CLESun 1:00,0,0,0,1,1,1,0,0,26,278,6,90%
New Orleans Saints,D/ST,NO,11,ATL,0,0,0,1,1,1,0,0,27,377,6,6%
San Diego Chargers,D/ST,SD,10,@GBSun 4:25,0,0,0,1,1,1,0,0,32,397,6,6%
Washington Redskins,D/ST,WAS,8,@NYJSun 1:00,0,0,0,0,2,1,0,0,20,273,6,7%
New York Giants,D/ST,NYG,11,@PHIMon 8:30,0,0,0,0,1,0,0,0,25,351,2,24%
 Previous12Next 
