player,opp,status,comp/att,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,fan_pts,punt_td,kick_td,fl,2-pt

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Emmanuel Sanders, DenWR",@Cle,Sun 1:00,0/0,0,0,0,0.5,3.6,0,6,84.2,0.5,11.1
"Josh McCown, CleQBP",Den,Sun 1:00,21.1/36.2,240.5,1,1.3,2.7,13.5,0.1,0,0,0,10.9
"Julian Edelman, NEWR",@Ind,Sun 8:30,0/0,0,0,0,0.7,4.9,0,8,83.3,0.5,10.8
"Antonio Brown, PitWR",Ari,Sun 1:00,0/0,0,0,0,0.1,0.8,0,6.1,80.2,0.4,10.6
"Larry Fitzgerald, AriWR",@Pit,Sun 1:00,0/0,0,0,0,0,0,0,6,77.4,0.6,10.4
"Alshon Jeffery, ChiWRQ",@Det,Sun 1:00,0/0,0,0,0,0.3,1.9,0,5.1,70.6,0.5,10.2
"T.Y. Hilton, IndWRP",NE,Sun 8:30,0/0,0,0,0,0.2,1.4,0,5.7,78.8,0.5,10.2
"Jordan Matthews, PhiWR",NYG,Mon 8:30,0/0,0,0,0,0,0,0,5.8,70.4,0.5,10.1
"Kirk Cousins, WshQB",@NYJ,Sun 1:00,23.2/36.8,265.1,0.8,1.4,1.3,3.9,0,0,0,0,10
"Jeremy Maclin, KCWR",@Min,Sun 1:00,0/0,0,0,0,0.2,1.4,0,6.4,83.8,0.3,10
"LeSean McCoy, BufRBP",Cin,Sun 1:00,0/0,0,0,0,13.4,64.1,0.3,2.9,20.7,0.1,10
"Lamar Miller, MiaRB",@Ten,Sun 1:00,0/0,0,0,0,15.4,69.8,0.4,2,15.7,0.1,9.9
"Giovani Bernard, CinRB",@Buf,Sun 1:00,0/0,0,0,0,12.9,51.2,0.4,3.4,26.2,0.1,9.8
"Frank Gore, IndRB",NE,Sun 8:30,0/0,0,0,0,15.2,68.2,0.4,2.2,18,0.1,9.8
Seahawks D/STD/ST,Car,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,9.8
"Allen Robinson, JaxWR",Hou,Sun 1:00,0/0,0,0,0,0,0,0,5.5,79.8,0.5,9.7
Jets D/STD/ST,Wsh,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,9.7
"LeGarrette Blount, NERB",@Ind,Sun 8:30,0/0,0,0,0,13.4,59.7,0.8,0.3,2.3,0,9.7
"Dion Lewis, NERBQ",@Ind,Sun 8:30,0/0,0,0,0,7.9,35.4,0.3,4.8,43.1,0.1,9.7
"C.J. Anderson, DenRB",@Cle,Sun 1:00,0/0,0,0,0,13.2,60,0.4,1.6,13.4,0,9.7
"Keenan Allen, SDWR",@GB,Sun 4:25,0/0,0,0,0,0,0,0,5.8,79.4,0.4,9.6
"Justin Forsett, BalRBQ",@SF,Sun 4:25,0/0,0,0,0,14.1,64.7,0.4,2.5,19.7,0.1,9.6
"Chris Ivory, NYJRBP",Wsh,Sun 1:00,0/0,0,0,0,18.1,75.6,0.4,1.2,8.5,0,9.6
"Brandin Cooks, NOWR",Atl,W 31-21,0/0,0,0,0,0.5,3,0,5.4,71.7,0.4,9.5
Titans D/STD/ST,Mia,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,9.4
Cardinals D/STD/ST,@Pit,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,9
"Nick Novak, HouK",@Jax,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.9
"Brandon Marshall, NYJWR",Wsh,Sun 1:00,0/0,0,0,0,0,0,0,5.8,69.9,0.5,8.7
"Matt Bryant, AtlK",@NO,L 21-31,0/0,0,0,0,0,0,0,0,0,0,8.7
"Blair Walsh, MinK",KC,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.6
"Ronnie Hillman, DenRB",@Cle,Sun 1:00,0/0,0,0,0,11.6,53.6,0.4,1.4,11.6,0.1,8.6
"Stephen Gostkowski, NEK",@Ind,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,8.5
"Justin Tucker, BalK",@SF,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,8.5
