Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
WR,Odell Beckham Jr.,8900,NYG@Phi 08:30PM ET,19.62,NYG
RB,Le'Veon Bell,8500,Ari@Pit 01:00PM ET,27.633,Pit
WR,Antonio Brown,8300,Ari@Pit 01:00PM ET,22.46,Pit
QB,Tom Brady,8100,NE@Ind 08:30PM ET,27.72,NE
WR,Demaryius Thomas,7900,Den@Cle 01:00PM ET,17.52,Den
RB,Jamaal Charles,7800,KC@Min 01:00PM ET,21.22,KC
QB,Aaron Rodgers,7700,SD@GB 04:25PM ET,23.608,GB
WR,DeAndre Hopkins,7700,Hou@Jax 01:00PM ET,25.76,Hou
RB,Adrian Peterson,7600,KC@Min 01:00PM ET,19.6,Min
WR,Julian Edelman,7600,NE@Ind 08:30PM ET,24.25,NE
TE,Rob Gronkowski,7600,NE@Ind 08:30PM ET,21.875,NE
WR,A.J. Green,7600,Cin@Buf 01:00PM ET,20.3,Cin
QB,Andrew Luck,7600,NE@Ind 08:30PM ET,16.873,Ind
WR,Keenan Allen,7600,SD@GB 04:25PM ET,21.28,SD
WR,Emmanuel Sanders,7500,Den@Cle 01:00PM ET,18.16,Den
WR,Calvin Johnson,7300,Chi@Det 01:00PM ET,13.84,Det
WR,Randall Cobb,7300,SD@GB 04:25PM ET,17.48,GB
WR,Brandon Marshall,7100,Was@NYJ 01:00PM ET,24,NYJ
RB,Matt Forte,7100,Chi@Det 01:00PM ET,18.58,Chi
WR,Larry Fitzgerald,7000,Ari@Pit 01:00PM ET,25,Ari
RB,Arian Foster,7000,Hou@Jax 01:00PM ET,13.15,Hou
QB,Ben Roethlisberger,6900,Ari@Pit 01:00PM ET,20.793,Pit
RB,Marshawn Lynch,6900,Car@Sea 04:05PM ET,9.967,Sea
QB,Eli Manning,6800,NYG@Phi 08:30PM ET,20.136,NYG
QB,Cam Newton,6700,Car@Sea 04:05PM ET,22.965,Car
QB,Peyton Manning,6600,Den@Cle 01:00PM ET,13.792,Den
QB,Carson Palmer,6600,Ari@Pit 01:00PM ET,22.348,Ari
WR,Jeremy Maclin,6500,KC@Min 01:00PM ET,19.22,KC
QB,Russell Wilson,6500,Car@Sea 04:05PM ET,17.296,Sea
WR,T.Y. Hilton,6500,NE@Ind 08:30PM ET,13.04,Ind
RB,Justin Forsett,6400,Bal@SF 04:25PM ET,15.3,Bal
WR,Alshon Jeffery,6400,Chi@Det 01:00PM ET,12.8,Chi
QB,Philip Rivers,6300,SD@GB 04:25PM ET,21.344,SD
RB,Eddie Lacy,6300,SD@GB 04:25PM ET,9.06,GB
WR,Jordan Matthews,6200,NYG@Phi 08:30PM ET,14.3,Phi
WR,Jarvis Landry,6200,Mia@Ten 01:00PM ET,17.7,Mia
WR,Steve Smith Sr.,6100,Bal@SF 04:25PM ET,21.075,Bal
RB,DeMarco Murray,6000,NYG@Phi 08:30PM ET,15.075,Phi
QB,Sam Bradford,6000,NYG@Phi 08:30PM ET,16.928,Phi
QB,Joe Flacco,5900,Bal@SF 04:25PM ET,17.376,Bal
WR,Allen Robinson,5900,Hou@Jax 01:00PM ET,17.84,Jax
WR,James Jones,5800,SD@GB 04:25PM ET,18.28,GB
RB,Dion Lewis,5800,NE@Ind 08:30PM ET,20.45,NE
QB,Marcus Mariota,5800,Mia@Ten 01:00PM ET,19.5,Ten
WR,DeSean Jackson,5700,Was@NYJ 01:00PM ET,0,Was
QB,Andy Dalton,5700,Cin@Buf 01:00PM ET,25.644,Cin
QB,Ryan Tannehill,5700,Mia@Ten 01:00PM ET,18.225,Mia
RB,Jeremy Hill,5700,Cin@Buf 01:00PM ET,10.2,Cin
QB,Tyrod Taylor,5600,Cin@Buf 01:00PM ET,21.596,Buf
TE,Greg Olsen,5500,Car@Sea 04:05PM ET,14.075,Car
QB,Josh McCown,5400,Den@Cle 01:00PM ET,22.905,Cle
TE,Jimmy Graham,5400,Car@Sea 04:05PM ET,10.68,Sea
RB,LeSean McCoy,5400,Cin@Buf 01:00PM ET,11.967,Buf
WR,Sammy Watkins,5400,Cin@Buf 01:00PM ET,7.633,Buf
QB,Alex Smith,5300,KC@Min 01:00PM ET,16.908,KC
QB,Matthew Stafford,5300,Chi@Det 01:00PM ET,13.12,Det
QB,Teddy Bridgewater,5300,KC@Min 01:00PM ET,11.965,Min
RB,Karlos Williams,5300,Cin@Buf 01:00PM ET,14.8,Buf
QB,Jay Cutler,5200,Chi@Det 01:00PM ET,15.53,Chi
WR,Golden Tate,5200,Chi@Det 01:00PM ET,10.56,Det
WR,Kendall Wright,5200,Mia@Ten 01:00PM ET,14.15,Ten
WR,John Brown,5200,Ari@Pit 01:00PM ET,13.28,Ari
QB,Blake Bortles,5200,Hou@Jax 01:00PM ET,20.432,Jax
QB,Matt Hasselbeck,5100,NE@Ind 08:30PM ET,15.8,Ind
QB,Brian Hoyer,5100,Hou@Jax 01:00PM ET,17.533,Hou
RB,Chris Ivory,5100,Was@NYJ 01:00PM ET,18.867,NYJ
WR,Pierre Garcon,5100,Was@NYJ 01:00PM ET,13.14,Was
QB,Kirk Cousins,5100,Was@NYJ 01:00PM ET,14.812,Was
QB,Mike Vick,5000,Ari@Pit 01:00PM ET,6.7,Pit
QB,Charlie Whitehurst,5000,Mia@Ten 01:00PM ET,0,Ten
QB,Tarvaris Jackson,5000,Car@Sea 04:05PM ET,0,Sea
QB,Derek Anderson,5000,Car@Sea 04:05PM ET,0,Car
QB,Ryan Fitzpatrick,5000,Was@NYJ 01:00PM ET,16.04,NYJ
QB,Dan Orlovsky,5000,Chi@Det 01:00PM ET,5.32,Det
QB,Kellen Clemens,5000,SD@GB 04:25PM ET,6.52,SD
QB,Shaun Hill,5000,KC@Min 01:00PM ET,0,Min
QB,Matt Moore,5000,Mia@Ten 01:00PM ET,0,Mia
QB,Drew Stanton,5000,Ari@Pit 01:00PM ET,-0.1,Ari
QB,Matt Schaub,5000,Bal@SF 04:25PM ET,0,Bal
QB,Chad Henne,5000,Hou@Jax 01:00PM ET,0,Jax
QB,Josh Johnson,5000,NE@Ind 08:30PM ET,0,Ind
QB,Joe Webb,5000,Car@Sea 04:05PM ET,0,Car
QB,Mark Sanchez,5000,NYG@Phi 08:30PM ET,0,Phi
QB,Chase Daniel,5000,KC@Min 01:00PM ET,0,KC
QB,Colt McCoy,5000,Was@NYJ 01:00PM ET,0,Was
QB,Colin Kaepernick,5000,Bal@SF 04:25PM ET,16.472,SF
QB,Scott Tolzien,5000,SD@GB 04:25PM ET,0,GB
QB,Thaddeus Lewis,5000,NYG@Phi 08:30PM ET,0,Phi
QB,Jimmy Clausen,5000,Chi@Det 01:00PM ET,3.58,Chi
QB,Ryan Mallett,5000,Hou@Jax 01:00PM ET,9.58,Hou
QB,Austin Davis,5000,Den@Cle 01:00PM ET,0,Cle
QB,Landry Jones,5000,Ari@Pit 01:00PM ET,0,Pit
TE,Travis Kelce,5000,KC@Min 01:00PM ET,14.56,KC
QB,Robert Griffin III,5000,Was@NYJ 01:00PM ET,0,Was
QB,EJ Manuel,5000,Cin@Buf 01:00PM ET,-0.1,Buf
QB,Blaine Gabbert,5000,Bal@SF 04:25PM ET,0,SF
RB,Andre Ellington,5000,Ari@Pit 01:00PM ET,12.95,Ari
WR,Travis Benjamin,5000,Den@Cle 01:00PM ET,19.02,Cle
QB,Ryan Nassib,5000,NYG@Phi 08:30PM ET,0,NYG
QB,Matt Barkley,5000,Ari@Pit 01:00PM ET,0,Ari
QB,Zach Mettenberger,5000,Mia@Ten 01:00PM ET,-0.5,Ten
QB,Aaron Murray,5000,KC@Min 01:00PM ET,0,KC
QB,Brock Osweiler,5000,Den@Cle 01:00PM ET,0,Den
QB,Bryce Petty,5000,Was@NYJ 01:00PM ET,0,NYJ
QB,AJ McCarron,5000,Cin@Buf 01:00PM ET,0,Cin
QB,David Fales,5000,Chi@Det 01:00PM ET,0,Chi
QB,Geno Smith,5000,Was@NYJ 01:00PM ET,0,NYJ
WR,Allen Hurns,5000,Hou@Jax 01:00PM ET,18.6,Jax
QB,Trevor Siemian,5000,Den@Cle 01:00PM ET,0,Den
QB,Jimmy Garoppolo,5000,NE@Ind 08:30PM ET,-0.2,NE
QB,Brett Hundley,5000,SD@GB 04:25PM ET,0,GB
QB,Johnny Manziel,5000,Den@Cle 01:00PM ET,13.38,Cle
QB,Taylor Heinicke,5000,KC@Min 01:00PM ET,0,Min
WR,Donte Moncrief,5000,NE@Ind 08:30PM ET,14.56,Ind
RB,Frank Gore,4900,NE@Ind 08:30PM ET,12.42,Ind
WR,Eric Decker,4900,Was@NYJ 01:00PM ET,16.667,NYJ
TE,Tyler Eifert,4900,Cin@Buf 01:00PM ET,17.64,Cin
TE,Martellus Bennett,4800,Chi@Det 01:00PM ET,12.66,Chi
RB,Thomas Rawls,4800,Car@Sea 04:05PM ET,9.1,Sea
RB,T.J. Yeldon,4800,Hou@Jax 01:00PM ET,12.08,Jax
RB,Danny Woodhead,4700,SD@GB 04:25PM ET,15.06,SD
TE,Antonio Gates,4600,SD@GB 04:25PM ET,30.2,SD
RB,Chris Johnson,4600,Ari@Pit 01:00PM ET,13.52,Ari
RB,Ronnie Hillman,4600,Den@Cle 01:00PM ET,8.1,Den
RB,Carlos Hyde,4600,Bal@SF 04:25PM ET,14.46,SF
RB,Giovani Bernard,4600,Cin@Buf 01:00PM ET,14.66,Cin
RB,Melvin Gordon,4600,SD@GB 04:25PM ET,9.32,SD
WR,Victor Cruz,4500,NYG@Phi 08:30PM ET,0,NYG
WR,Mike Wallace,4500,KC@Min 01:00PM ET,12.325,Min
RB,Knile Davis,4500,KC@Min 01:00PM ET,2.18,KC
RB,C.J. Anderson,4500,Den@Cle 01:00PM ET,6.08,Den
WR,Breshad Perriman,4500,Bal@SF 04:25PM ET,0,Bal
RB,Duke Johnson Jr.,4500,Den@Cle 01:00PM ET,11.26,Cle
TE,Gary Barnidge,4400,Den@Cle 01:00PM ET,17.08,Cle
RB,LeGarrette Blount,4400,NE@Ind 08:30PM ET,12,NE
WR,Rueben Randle,4400,NYG@Phi 08:30PM ET,11.14,NYG
TE,Jordan Reed,4400,Was@NYJ 01:00PM ET,14.2,Was
WR,Andre Johnson,4300,NE@Ind 08:30PM ET,7.56,Ind
WR,Anquan Boldin,4300,Bal@SF 04:25PM ET,12.22,SF
RB,Rashad Jennings,4300,NYG@Phi 08:30PM ET,10.44,NYG
WR,Kamar Aiken,4300,Bal@SF 04:25PM ET,8.86,Bal
TE,Charles Clay,4300,Cin@Buf 01:00PM ET,12.64,Buf
RB,Lamar Miller,4300,Mia@Ten 01:00PM ET,7.95,Mia
RB,Javorius Allen,4300,Bal@SF 04:25PM ET,3,Bal
WR,Davante Adams,4300,SD@GB 04:25PM ET,6.067,GB
WR,Torrey Smith,4200,Bal@SF 04:25PM ET,8.94,SF
RB,Shane Vereen,4200,NYG@Phi 08:30PM ET,11.38,NYG
RB,David Johnson,4200,Ari@Pit 01:00PM ET,13.36,Ari
WR,Rishard Matthews,4200,Mia@Ten 01:00PM ET,17.2,Mia
RB,Isaiah Crowell,4200,Den@Cle 01:00PM ET,10.86,Cle
WR,Doug Baldwin,4100,Car@Sea 04:05PM ET,12.36,Sea
RB,DeAngelo Williams,4000,Ari@Pit 01:00PM ET,10.22,Pit
WR,Percy Harvin,4000,Cin@Buf 01:00PM ET,9.98,Buf
TE,Julius Thomas,4000,Hou@Jax 01:00PM ET,4,Jax
WR,Marquess Wilson,4000,Chi@Det 01:00PM ET,8.88,Chi
RB,Ameer Abdullah,4000,Chi@Det 01:00PM ET,8.66,Det
WR,Martavis Bryant,4000,Ari@Pit 01:00PM ET,0,Pit
RB,Charcandrick West,4000,KC@Min 01:00PM ET,1.54,KC
RB,Jonathan Stewart,3900,Car@Sea 04:05PM ET,7.3,Car
RB,Lorenzo Taliaferro,3900,Bal@SF 04:25PM ET,6.2,Bal
DST,Seahawks ,3800,Car@Sea 04:05PM ET,12.8,Sea
RB,Darren Sproles,3800,NYG@Phi 08:30PM ET,10.3,Phi
WR,Stevie Johnson,3800,SD@GB 04:25PM ET,12.625,SD
RB,Alfred Blue,3800,Hou@Jax 01:00PM ET,7.36,Hou
RB,Bishop Sankey,3800,Mia@Ten 01:00PM ET,10.05,Ten
DST,Broncos ,3700,Den@Cle 01:00PM ET,17.2,Den
DST,Cardinals ,3600,Ari@Pit 01:00PM ET,13.2,Ari
TE,Delanie Walker,3600,Mia@Ten 01:00PM ET,11.567,Ten
WR,Eddie Royal,3600,Chi@Det 01:00PM ET,9,Chi
RB,Alfred Morris,3600,Was@NYJ 01:00PM ET,7.24,Was
RB,Daniel Herron,3600,Cin@Buf 01:00PM ET,2.8,Buf
WR,Jermaine Kearse,3600,Car@Sea 04:05PM ET,10.28,Sea
WR,Jamison Crowder,3600,Was@NYJ 01:00PM ET,9.12,Was
WR,Nelson Agholor,3600,NYG@Phi 08:30PM ET,3.5,Phi
RB,Matt Jones,3600,Was@NYJ 01:00PM ET,9.8,Was
RB,Reggie Bush,3500,Bal@SF 04:25PM ET,0.767,SF
WR,Darrius Heyward-Bey,3500,Ari@Pit 01:00PM ET,9.98,Pit
RB,Bilal Powell,3500,Was@NYJ 01:00PM ET,8.975,NYJ
RB,Ryan Mathews,3500,NYG@Phi 08:30PM ET,10.84,Phi
WR,Marvin Jones,3500,Cin@Buf 01:00PM ET,10.1,Cin
RB,Kyle Juszczyk,3500,Bal@SF 04:25PM ET,4.86,Bal
WR,Ty Montgomery,3500,SD@GB 04:25PM ET,7.7,GB
WR,Stefon Diggs,3500,KC@Min 01:00PM ET,14.7,Min
DST,Ravens ,3400,Bal@SF 04:25PM ET,6.8,Bal
WR,Ted Ginn Jr.,3400,Car@Sea 04:05PM ET,12.65,Car
WR,Malcom Floyd,3400,SD@GB 04:25PM ET,7.7,SD
WR,Danny Amendola,3400,NE@Ind 08:30PM ET,6.525,NE
RB,Joique Bell,3400,Chi@Det 01:00PM ET,5.767,Det
RB,Antonio Andrews,3400,Mia@Ten 01:00PM ET,13.75,Ten
RB,James Starks,3300,SD@GB 04:25PM ET,6.68,GB
RB,Boobie Dixon,3300,Cin@Buf 01:00PM ET,3.38,Buf
WR,Charles Johnson,3300,KC@Min 01:00PM ET,3.533,Min
WR,Dontrelle Inman,3300,SD@GB 04:25PM ET,2.95,SD
WR,Markus Wheaton,3300,Ari@Pit 01:00PM ET,7.96,Pit
RB,Theo Riddick,3300,Chi@Det 01:00PM ET,12.96,Det
RB,Chris Thompson,3300,Was@NYJ 01:00PM ET,9.24,Was
WR,Chris Hogan,3300,Cin@Buf 01:00PM ET,7.792,Buf
RB,Terrance West,3300,Mia@Ten 01:00PM ET,1.55,Ten
TE,Eric Ebron,3300,Chi@Det 01:00PM ET,11.225,Det
DST,Bills ,3200,Cin@Buf 01:00PM ET,7.4,Buf
DST,Packers ,3200,SD@GB 04:25PM ET,11.4,GB
WR,Miles Austin,3200,NYG@Phi 08:30PM ET,3.46,Phi
TE,Ladarius Green,3200,SD@GB 04:25PM ET,13.35,SD
WR,Mohamed Sanu,3200,Cin@Buf 01:00PM ET,7.52,Cin
WR,Joshua Bellamy,3200,Chi@Det 01:00PM ET,4.18,Chi
WR,Keith Mumphery,3200,Hou@Jax 01:00PM ET,4.04,Hou
WR,Cecil Shorts III,3200,Hou@Jax 01:00PM ET,12.65,Hou
WR,Tyler Lockett,3200,Car@Sea 04:05PM ET,7.38,Sea
DST,Patriots ,3100,NE@Ind 08:30PM ET,9.25,NE
DST,Jets ,3100,Was@NYJ 01:00PM ET,10.5,NYJ
TE,Heath Miller,3100,Ari@Pit 01:00PM ET,8.06,Pit
WR,Nate Washington,3100,Hou@Jax 01:00PM ET,9.25,Hou
WR,Dwayne Harris,3100,NYG@Phi 08:30PM ET,6.08,NYG
WR,Riley Cooper,3100,NYG@Phi 08:30PM ET,5.38,Phi
WR,Brenton Bersin,3100,Car@Sea 04:05PM ET,5.85,Car
RB,Zac Stacy,3100,Was@NYJ 01:00PM ET,4.2,NYJ
WR,Josh Huff,3100,NYG@Phi 08:30PM ET,6.425,Phi
TE,Richard Rodgers,3100,SD@GB 04:25PM ET,9.92,GB
WR,Dorial Green-Beckham,3100,Mia@Ten 01:00PM ET,4.625,Ten
WR,Taylor Gabriel,3100,Den@Cle 01:00PM ET,6.04,Cle
DST,Texans ,3000,Hou@Jax 01:00PM ET,2.4,Hou
DST,Bengals ,3000,Cin@Buf 01:00PM ET,7.6,Cin
DST,Panthers ,3000,Car@Sea 04:05PM ET,12,Car
WR,Greg Jennings,3000,Mia@Ten 01:00PM ET,3.1,Mia
