,QB,RB1,RB2,Total_Salary,Total_Projection
585,Tyrod Taylor,Le'Veon Bell,Giovani Bernard,19100,54.8
586,Tyrod Taylor,Le'Veon Bell,LeGarrette Blount,18800,58.8
587,Tyrod Taylor,Le'Veon Bell,Carlos Hyde,19200,54.3
589,Tyrod Taylor,Devonta Freeman,Devonta Freeman,18400,63.3
590,Tyrod Taylor,Devonta Freeman,Jamaal Charles,19900,67.3
591,Tyrod Taylor,Devonta Freeman,Dion Lewis,16900,59.8
592,Tyrod Taylor,Devonta Freeman,Mark Ingram,18200,58.8
593,Tyrod Taylor,Devonta Freeman,Matt Forte,19100,61.3
594,Tyrod Taylor,Devonta Freeman,Latavius Murray,18400,59.3
595,Tyrod Taylor,Devonta Freeman,Danny Woodhead,16700,52.8
596,Tyrod Taylor,Devonta Freeman,Joseph Randle,18100,57.3
597,Tyrod Taylor,Devonta Freeman,Giovani Bernard,16900,49.8
598,Tyrod Taylor,Devonta Freeman,LeGarrette Blount,16600,53.8
599,Tyrod Taylor,Devonta Freeman,Carlos Hyde,17000,49.3
601,Tyrod Taylor,Jamaal Charles,Devonta Freeman,19900,67.3
603,Tyrod Taylor,Jamaal Charles,Dion Lewis,18400,63.8
604,Tyrod Taylor,Jamaal Charles,Mark Ingram,19700,62.8
606,Tyrod Taylor,Jamaal Charles,Latavius Murray,19900,63.3
607,Tyrod Taylor,Jamaal Charles,Danny Woodhead,18200,56.8
608,Tyrod Taylor,Jamaal Charles,Joseph Randle,19600,61.3
609,Tyrod Taylor,Jamaal Charles,Giovani Bernard,18400,53.8
610,Tyrod Taylor,Jamaal Charles,LeGarrette Blount,18100,57.8
611,Tyrod Taylor,Jamaal Charles,Carlos Hyde,18500,53.3
612,Tyrod Taylor,Dion Lewis,Le'Veon Bell,19100,64.8
613,Tyrod Taylor,Dion Lewis,Devonta Freeman,16900,59.8
614,Tyrod Taylor,Dion Lewis,Jamaal Charles,18400,63.8
615,Tyrod Taylor,Dion Lewis,Dion Lewis,15400,56.3
616,Tyrod Taylor,Dion Lewis,Mark Ingram,16700,55.3
617,Tyrod Taylor,Dion Lewis,Matt Forte,17600,57.8
618,Tyrod Taylor,Dion Lewis,Latavius Murray,16900,55.8
619,Tyrod Taylor,Dion Lewis,Danny Woodhead,15200,49.3
620,Tyrod Taylor,Dion Lewis,Joseph Randle,16600,53.8
621,Tyrod Taylor,Dion Lewis,Giovani Bernard,15400,46.3
622,Tyrod Taylor,Dion Lewis,LeGarrette Blount,15100,50.3
623,Tyrod Taylor,Dion Lewis,Carlos Hyde,15500,45.8
625,Tyrod Taylor,Mark Ingram,Devonta Freeman,18200,58.8
626,Tyrod Taylor,Mark Ingram,Jamaal Charles,19700,62.8
627,Tyrod Taylor,Mark Ingram,Dion Lewis,16700,55.3
628,Tyrod Taylor,Mark Ingram,Mark Ingram,18000,54.3
629,Tyrod Taylor,Mark Ingram,Matt Forte,18900,56.8
630,Tyrod Taylor,Mark Ingram,Latavius Murray,18200,54.8
631,Tyrod Taylor,Mark Ingram,Danny Woodhead,16500,48.3
632,Tyrod Taylor,Mark Ingram,Joseph Randle,17900,52.8
633,Tyrod Taylor,Mark Ingram,Giovani Bernard,16700,45.3
634,Tyrod Taylor,Mark Ingram,LeGarrette Blount,16400,49.3
635,Tyrod Taylor,Mark Ingram,Carlos Hyde,16800,44.8
637,Tyrod Taylor,Matt Forte,Devonta Freeman,19100,61.3
639,Tyrod Taylor,Matt Forte,Dion Lewis,17600,57.8
640,Tyrod Taylor,Matt Forte,Mark Ingram,18900,56.8
641,Tyrod Taylor,Matt Forte,Matt Forte,19800,59.3
642,Tyrod Taylor,Matt Forte,Latavius Murray,19100,57.3
643,Tyrod Taylor,Matt Forte,Danny Woodhead,17400,50.8
644,Tyrod Taylor,Matt Forte,Joseph Randle,18800,55.3
645,Tyrod Taylor,Matt Forte,Giovani Bernard,17600,47.8
646,Tyrod Taylor,Matt Forte,LeGarrette Blount,17300,51.8
647,Tyrod Taylor,Matt Forte,Carlos Hyde,17700,47.3
649,Tyrod Taylor,Latavius Murray,Devonta Freeman,18400,59.3
650,Tyrod Taylor,Latavius Murray,Jamaal Charles,19900,63.3
651,Tyrod Taylor,Latavius Murray,Dion Lewis,16900,55.8
652,Tyrod Taylor,Latavius Murray,Mark Ingram,18200,54.8
653,Tyrod Taylor,Latavius Murray,Matt Forte,19100,57.3
654,Tyrod Taylor,Latavius Murray,Latavius Murray,18400,55.3
655,Tyrod Taylor,Latavius Murray,Danny Woodhead,16700,48.8
656,Tyrod Taylor,Latavius Murray,Joseph Randle,18100,53.3
657,Tyrod Taylor,Latavius Murray,Giovani Bernard,16900,45.8
658,Tyrod Taylor,Latavius Murray,LeGarrette Blount,16600,49.8
659,Tyrod Taylor,Latavius Murray,Carlos Hyde,17000,45.3
660,Tyrod Taylor,Danny Woodhead,Le'Veon Bell,18900,57.8
661,Tyrod Taylor,Danny Woodhead,Devonta Freeman,16700,52.8
662,Tyrod Taylor,Danny Woodhead,Jamaal Charles,18200,56.8
663,Tyrod Taylor,Danny Woodhead,Dion Lewis,15200,49.3
664,Tyrod Taylor,Danny Woodhead,Mark Ingram,16500,48.3
665,Tyrod Taylor,Danny Woodhead,Matt Forte,17400,50.8
666,Tyrod Taylor,Danny Woodhead,Latavius Murray,16700,48.8
667,Tyrod Taylor,Danny Woodhead,Danny Woodhead,15000,42.3
668,Tyrod Taylor,Danny Woodhead,Joseph Randle,16400,46.8
669,Tyrod Taylor,Danny Woodhead,Giovani Bernard,15200,39.3
670,Tyrod Taylor,Danny Woodhead,LeGarrette Blount,14900,43.3
671,Tyrod Taylor,Danny Woodhead,Carlos Hyde,15300,38.8
673,Tyrod Taylor,Joseph Randle,Devonta Freeman,18100,57.3
674,Tyrod Taylor,Joseph Randle,Jamaal Charles,19600,61.3
675,Tyrod Taylor,Joseph Randle,Dion Lewis,16600,53.8
676,Tyrod Taylor,Joseph Randle,Mark Ingram,17900,52.8
677,Tyrod Taylor,Joseph Randle,Matt Forte,18800,55.3
678,Tyrod Taylor,Joseph Randle,Latavius Murray,18100,53.3
679,Tyrod Taylor,Joseph Randle,Danny Woodhead,16400,46.8
680,Tyrod Taylor,Joseph Randle,Joseph Randle,17800,51.3
681,Tyrod Taylor,Joseph Randle,Giovani Bernard,16600,43.8
682,Tyrod Taylor,Joseph Randle,LeGarrette Blount,16300,47.8
683,Tyrod Taylor,Joseph Randle,Carlos Hyde,16700,43.3
684,Tyrod Taylor,Giovani Bernard,Le'Veon Bell,19100,54.8
685,Tyrod Taylor,Giovani Bernard,Devonta Freeman,16900,49.8
686,Tyrod Taylor,Giovani Bernard,Jamaal Charles,18400,53.8
687,Tyrod Taylor,Giovani Bernard,Dion Lewis,15400,46.3
688,Tyrod Taylor,Giovani Bernard,Mark Ingram,16700,45.3
689,Tyrod Taylor,Giovani Bernard,Matt Forte,17600,47.8
690,Tyrod Taylor,Giovani Bernard,Latavius Murray,16900,45.8
691,Tyrod Taylor,Giovani Bernard,Danny Woodhead,15200,39.3
692,Tyrod Taylor,Giovani Bernard,Joseph Randle,16600,43.8
693,Tyrod Taylor,Giovani Bernard,Giovani Bernard,15400,36.3
694,Tyrod Taylor,Giovani Bernard,LeGarrette Blount,15100,40.3
695,Tyrod Taylor,Giovani Bernard,Carlos Hyde,15500,35.8
696,Tyrod Taylor,LeGarrette Blount,Le'Veon Bell,18800,58.8
697,Tyrod Taylor,LeGarrette Blount,Devonta Freeman,16600,53.8
698,Tyrod Taylor,LeGarrette Blount,Jamaal Charles,18100,57.8
699,Tyrod Taylor,LeGarrette Blount,Dion Lewis,15100,50.3
700,Tyrod Taylor,LeGarrette Blount,Mark Ingram,16400,49.3
701,Tyrod Taylor,LeGarrette Blount,Matt Forte,17300,51.8
702,Tyrod Taylor,LeGarrette Blount,Latavius Murray,16600,49.8
703,Tyrod Taylor,LeGarrette Blount,Danny Woodhead,14900,43.3
704,Tyrod Taylor,LeGarrette Blount,Joseph Randle,16300,47.8
705,Tyrod Taylor,LeGarrette Blount,Giovani Bernard,15100,40.3
706,Tyrod Taylor,LeGarrette Blount,LeGarrette Blount,14800,44.3
707,Tyrod Taylor,LeGarrette Blount,Carlos Hyde,15200,39.8
708,Tyrod Taylor,Carlos Hyde,Le'Veon Bell,19200,54.3
709,Tyrod Taylor,Carlos Hyde,Devonta Freeman,17000,49.3
710,Tyrod Taylor,Carlos Hyde,Jamaal Charles,18500,53.3
711,Tyrod Taylor,Carlos Hyde,Dion Lewis,15500,45.8
712,Tyrod Taylor,Carlos Hyde,Mark Ingram,16800,44.8
713,Tyrod Taylor,Carlos Hyde,Matt Forte,17700,47.3
714,Tyrod Taylor,Carlos Hyde,Latavius Murray,17000,45.3
715,Tyrod Taylor,Carlos Hyde,Danny Woodhead,15300,38.8
716,Tyrod Taylor,Carlos Hyde,Joseph Randle,16700,43.3
717,Tyrod Taylor,Carlos Hyde,Giovani Bernard,15500,35.8
718,Tyrod Taylor,Carlos Hyde,LeGarrette Blount,15200,39.8
719,Tyrod Taylor,Carlos Hyde,Carlos Hyde,15600,35.3
