,QB,RB1,RB2,Total_Salary,Total_Projection
201,Aaron Rodgers,Mark Ingram,Giovani Bernard,18800,47.5
202,Aaron Rodgers,Mark Ingram,LeGarrette Blount,18500,51.5
203,Aaron Rodgers,Mark Ingram,Carlos Hyde,18900,47
207,Aaron Rodgers,Matt Forte,Dion Lewis,19700,60
211,Aaron Rodgers,Matt Forte,Danny Woodhead,19500,53
213,Aaron Rodgers,Matt Forte,Giovani Bernard,19700,50
214,Aaron Rodgers,Matt Forte,LeGarrette Blount,19400,54
215,Aaron Rodgers,Matt Forte,Carlos Hyde,19800,49.5
219,Aaron Rodgers,Latavius Murray,Dion Lewis,19000,58
223,Aaron Rodgers,Latavius Murray,Danny Woodhead,18800,51
225,Aaron Rodgers,Latavius Murray,Giovani Bernard,19000,48
226,Aaron Rodgers,Latavius Murray,LeGarrette Blount,18700,52
227,Aaron Rodgers,Latavius Murray,Carlos Hyde,19100,47.5
229,Aaron Rodgers,Danny Woodhead,Devonta Freeman,18800,55
231,Aaron Rodgers,Danny Woodhead,Dion Lewis,17300,51.5
232,Aaron Rodgers,Danny Woodhead,Mark Ingram,18600,50.5
233,Aaron Rodgers,Danny Woodhead,Matt Forte,19500,53
234,Aaron Rodgers,Danny Woodhead,Latavius Murray,18800,51
235,Aaron Rodgers,Danny Woodhead,Danny Woodhead,17100,44.5
236,Aaron Rodgers,Danny Woodhead,Joseph Randle,18500,49
237,Aaron Rodgers,Danny Woodhead,Giovani Bernard,17300,41.5
238,Aaron Rodgers,Danny Woodhead,LeGarrette Blount,17000,45.5
239,Aaron Rodgers,Danny Woodhead,Carlos Hyde,17400,41
243,Aaron Rodgers,Joseph Randle,Dion Lewis,18700,56
244,Aaron Rodgers,Joseph Randle,Mark Ingram,20000,55
247,Aaron Rodgers,Joseph Randle,Danny Woodhead,18500,49
248,Aaron Rodgers,Joseph Randle,Joseph Randle,19900,53.5
249,Aaron Rodgers,Joseph Randle,Giovani Bernard,18700,46
250,Aaron Rodgers,Joseph Randle,LeGarrette Blount,18400,50
251,Aaron Rodgers,Joseph Randle,Carlos Hyde,18800,45.5
253,Aaron Rodgers,Giovani Bernard,Devonta Freeman,19000,52
255,Aaron Rodgers,Giovani Bernard,Dion Lewis,17500,48.5
256,Aaron Rodgers,Giovani Bernard,Mark Ingram,18800,47.5
257,Aaron Rodgers,Giovani Bernard,Matt Forte,19700,50
258,Aaron Rodgers,Giovani Bernard,Latavius Murray,19000,48
259,Aaron Rodgers,Giovani Bernard,Danny Woodhead,17300,41.5
260,Aaron Rodgers,Giovani Bernard,Joseph Randle,18700,46
261,Aaron Rodgers,Giovani Bernard,Giovani Bernard,17500,38.5
262,Aaron Rodgers,Giovani Bernard,LeGarrette Blount,17200,42.5
263,Aaron Rodgers,Giovani Bernard,Carlos Hyde,17600,38
265,Aaron Rodgers,LeGarrette Blount,Devonta Freeman,18700,56
267,Aaron Rodgers,LeGarrette Blount,Dion Lewis,17200,52.5
268,Aaron Rodgers,LeGarrette Blount,Mark Ingram,18500,51.5
269,Aaron Rodgers,LeGarrette Blount,Matt Forte,19400,54
270,Aaron Rodgers,LeGarrette Blount,Latavius Murray,18700,52
271,Aaron Rodgers,LeGarrette Blount,Danny Woodhead,17000,45.5
272,Aaron Rodgers,LeGarrette Blount,Joseph Randle,18400,50
273,Aaron Rodgers,LeGarrette Blount,Giovani Bernard,17200,42.5
274,Aaron Rodgers,LeGarrette Blount,LeGarrette Blount,16900,46.5
275,Aaron Rodgers,LeGarrette Blount,Carlos Hyde,17300,42
277,Aaron Rodgers,Carlos Hyde,Devonta Freeman,19100,51.5
279,Aaron Rodgers,Carlos Hyde,Dion Lewis,17600,48
280,Aaron Rodgers,Carlos Hyde,Mark Ingram,18900,47
281,Aaron Rodgers,Carlos Hyde,Matt Forte,19800,49.5
282,Aaron Rodgers,Carlos Hyde,Latavius Murray,19100,47.5
283,Aaron Rodgers,Carlos Hyde,Danny Woodhead,17400,41
284,Aaron Rodgers,Carlos Hyde,Joseph Randle,18800,45.5
285,Aaron Rodgers,Carlos Hyde,Giovani Bernard,17600,38
286,Aaron Rodgers,Carlos Hyde,LeGarrette Blount,17300,42
287,Aaron Rodgers,Carlos Hyde,Carlos Hyde,17700,37.5
291,Andy Dalton,Le'Veon Bell,Dion Lewis,19000,64.1
295,Andy Dalton,Le'Veon Bell,Danny Woodhead,18800,57.1
297,Andy Dalton,Le'Veon Bell,Giovani Bernard,19000,54.1
298,Andy Dalton,Le'Veon Bell,LeGarrette Blount,18700,58.1
299,Andy Dalton,Le'Veon Bell,Carlos Hyde,19100,53.6
301,Andy Dalton,Devonta Freeman,Devonta Freeman,18300,62.6
302,Andy Dalton,Devonta Freeman,Jamaal Charles,19800,66.6
303,Andy Dalton,Devonta Freeman,Dion Lewis,16800,59.1
304,Andy Dalton,Devonta Freeman,Mark Ingram,18100,58.1
305,Andy Dalton,Devonta Freeman,Matt Forte,19000,60.6
306,Andy Dalton,Devonta Freeman,Latavius Murray,18300,58.6
307,Andy Dalton,Devonta Freeman,Danny Woodhead,16600,52.1
308,Andy Dalton,Devonta Freeman,Joseph Randle,18000,56.6
309,Andy Dalton,Devonta Freeman,Giovani Bernard,16800,49.1
310,Andy Dalton,Devonta Freeman,LeGarrette Blount,16500,53.1
311,Andy Dalton,Devonta Freeman,Carlos Hyde,16900,48.6
313,Andy Dalton,Jamaal Charles,Devonta Freeman,19800,66.6
315,Andy Dalton,Jamaal Charles,Dion Lewis,18300,63.1
316,Andy Dalton,Jamaal Charles,Mark Ingram,19600,62.1
318,Andy Dalton,Jamaal Charles,Latavius Murray,19800,62.6
319,Andy Dalton,Jamaal Charles,Danny Woodhead,18100,56.1
320,Andy Dalton,Jamaal Charles,Joseph Randle,19500,60.6
321,Andy Dalton,Jamaal Charles,Giovani Bernard,18300,53.1
322,Andy Dalton,Jamaal Charles,LeGarrette Blount,18000,57.1
323,Andy Dalton,Jamaal Charles,Carlos Hyde,18400,52.6
324,Andy Dalton,Dion Lewis,Le'Veon Bell,19000,64.1
325,Andy Dalton,Dion Lewis,Devonta Freeman,16800,59.1
326,Andy Dalton,Dion Lewis,Jamaal Charles,18300,63.1
327,Andy Dalton,Dion Lewis,Dion Lewis,15300,55.6
328,Andy Dalton,Dion Lewis,Mark Ingram,16600,54.6
329,Andy Dalton,Dion Lewis,Matt Forte,17500,57.1
330,Andy Dalton,Dion Lewis,Latavius Murray,16800,55.1
331,Andy Dalton,Dion Lewis,Danny Woodhead,15100,48.6
332,Andy Dalton,Dion Lewis,Joseph Randle,16500,53.1
333,Andy Dalton,Dion Lewis,Giovani Bernard,15300,45.6
334,Andy Dalton,Dion Lewis,LeGarrette Blount,15000,49.6
335,Andy Dalton,Dion Lewis,Carlos Hyde,15400,45.1
337,Andy Dalton,Mark Ingram,Devonta Freeman,18100,58.1
338,Andy Dalton,Mark Ingram,Jamaal Charles,19600,62.1
339,Andy Dalton,Mark Ingram,Dion Lewis,16600,54.6
340,Andy Dalton,Mark Ingram,Mark Ingram,17900,53.6
341,Andy Dalton,Mark Ingram,Matt Forte,18800,56.1
342,Andy Dalton,Mark Ingram,Latavius Murray,18100,54.1
343,Andy Dalton,Mark Ingram,Danny Woodhead,16400,47.6
344,Andy Dalton,Mark Ingram,Joseph Randle,17800,52.1
345,Andy Dalton,Mark Ingram,Giovani Bernard,16600,44.6
346,Andy Dalton,Mark Ingram,LeGarrette Blount,16300,48.6
347,Andy Dalton,Mark Ingram,Carlos Hyde,16700,44.1
349,Andy Dalton,Matt Forte,Devonta Freeman,19000,60.6
351,Andy Dalton,Matt Forte,Dion Lewis,17500,57.1
352,Andy Dalton,Matt Forte,Mark Ingram,18800,56.1
353,Andy Dalton,Matt Forte,Matt Forte,19700,58.6
354,Andy Dalton,Matt Forte,Latavius Murray,19000,56.6
355,Andy Dalton,Matt Forte,Danny Woodhead,17300,50.1
356,Andy Dalton,Matt Forte,Joseph Randle,18700,54.6
357,Andy Dalton,Matt Forte,Giovani Bernard,17500,47.1
358,Andy Dalton,Matt Forte,LeGarrette Blount,17200,51.1
359,Andy Dalton,Matt Forte,Carlos Hyde,17600,46.6
361,Andy Dalton,Latavius Murray,Devonta Freeman,18300,58.6
362,Andy Dalton,Latavius Murray,Jamaal Charles,19800,62.6
363,Andy Dalton,Latavius Murray,Dion Lewis,16800,55.1
364,Andy Dalton,Latavius Murray,Mark Ingram,18100,54.1
365,Andy Dalton,Latavius Murray,Matt Forte,19000,56.6
366,Andy Dalton,Latavius Murray,Latavius Murray,18300,54.6
367,Andy Dalton,Latavius Murray,Danny Woodhead,16600,48.1
368,Andy Dalton,Latavius Murray,Joseph Randle,18000,52.6
369,Andy Dalton,Latavius Murray,Giovani Bernard,16800,45.1
370,Andy Dalton,Latavius Murray,LeGarrette Blount,16500,49.1
371,Andy Dalton,Latavius Murray,Carlos Hyde,16900,44.6
372,Andy Dalton,Danny Woodhead,Le'Veon Bell,18800,57.1
373,Andy Dalton,Danny Woodhead,Devonta Freeman,16600,52.1
374,Andy Dalton,Danny Woodhead,Jamaal Charles,18100,56.1
375,Andy Dalton,Danny Woodhead,Dion Lewis,15100,48.6
376,Andy Dalton,Danny Woodhead,Mark Ingram,16400,47.6
377,Andy Dalton,Danny Woodhead,Matt Forte,17300,50.1
378,Andy Dalton,Danny Woodhead,Latavius Murray,16600,48.1
379,Andy Dalton,Danny Woodhead,Danny Woodhead,14900,41.6
380,Andy Dalton,Danny Woodhead,Joseph Randle,16300,46.1
381,Andy Dalton,Danny Woodhead,Giovani Bernard,15100,38.6
382,Andy Dalton,Danny Woodhead,LeGarrette Blount,14800,42.6
