Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
Darren Sproles,RB,3800,Phi@Dal 08:30PM ET,8.886,Phi,5.0,11.1,9.76,12.1,8.76,7.82,6.037,8.65385714286,12.1,5.0,7.1,0.820443402612
Dwayne Harris,WR,3800,NYG@TB 04:05PM ET,8.15,NYG,6.5,2.8,6.51,2.4,8.35,11.93,4.417,6.12957142857,11.93,2.4,9.53,1.5547579649
Percy Harvin,WR,3700,Mia@Buf 01:00PM ET,9.98,Buf,,10.6,,9.7,,,,10.15,10.6,9.7,0.9,0.0886699507389
Ryan Mathews,RB,3700,Phi@Dal 08:30PM ET,11.557,Phi,4.5,9.0,11.38,8.4,7.69,5.13,7.054,7.59342857143,11.38,4.5,6.88,0.906046581631
Jamison Crowder,WR,3700,Was@NE 01:00PM ET,9.057,Was,6.0,10.5,6.59,10.4,7.99,8.18,9.1,8.39428571429,10.5,6.0,4.5,0.536078965283
Kenny Britt,WR,3600,StL@Min 01:00PM ET,6.2,StL,7.0,7.1,6.93,5.6,5.27,12.2,7.146,7.32085714286,12.2,5.27,6.93,0.946610467158
Leonard Hankerson,WR,3600,Atl@SF 04:05PM ET,9.443,Atl,,7.6,11.21,6.8,,13.77,9.061,9.6882,13.77,6.8,6.97,0.719431886212
Charles Sims,RB,3600,NYG@TB 04:05PM ET,10.571,TB,9.5,7.3,10.49,7.6,10.33,5.43,9.01,8.52285714286,10.49,5.43,5.06,0.593697619846
Antonio Andrews,RB,3600,Ten@NO 01:00PM ET,9.58,Ten,12.5,12.7,12.58,13.3,11.76,8.98,12.8976,12.1025142857,13.3,8.98,4.32,0.356950621831
Tevin Coleman,RB,3600,Atl@SF 04:05PM ET,4.167,Atl,4.0,2.2,5.01,3.0,3.6,3.88,3.269,3.56557142857,5.01,2.2,2.81,0.788092471654
Rams ,DST,3500,StL@Min 01:00PM ET,12.143,StL,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,0.0,0.0
Eddie Royal,WR,3500,Chi@SD 08:30PM ET,8.167,Chi,,13.4,,12.7,,,6.891,10.997,13.4,6.891,6.509,0.591888696917
Ted Ginn Jr.,WR,3500,GB@Car 01:00PM ET,10.943,Car,15.5,9.0,11.24,7.5,10.3,6.57,10.611,10.103,15.5,6.57,8.93,0.883895872513
Robert Woods,WR,3500,Mia@Buf 01:00PM ET,9.5,Buf,6.5,7.2,7.89,7.6,9.86,11.73,8.113,8.41328571429,11.73,6.5,5.23,0.621635848063
Nelson Agholor,WR,3500,Phi@Dal 08:30PM ET,3.5,Phi,6.5,4.8,6.62,4.4,7.45,5.98,4.7704,5.78862857143,7.45,4.4,3.05,0.526895094816
Falcons ,DST,3400,Atl@SF 04:05PM ET,7.0,Atl,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,0.0,0.0
Marques Colston,WR,3400,Ten@NO 01:00PM ET,9.914,NO,6.0,17.4,9.73,16.7,9.47,12.34,6.06,11.1,17.4,6.0,11.4,1.02702702703
Dexter McCluster,RB,3400,Ten@NO 01:00PM ET,8.429,Ten,11.0,9.0,7.82,10.3,9.38,7.92,7.611,9.00442857143,11.0,7.611,3.389,0.376370357443
Orleans Darkwa,RB,3400,NYG@TB 04:05PM ET,1.638,NYG,2.5,1.7,5.18,1.6,4.48,0.92,4.964,3.04914285714,5.18,0.92,4.26,1.39711394303
Chris Hogan,WR,3400,Mia@Buf 01:00PM ET,7.951,Buf,6.5,2.8,5.85,2.4,6.04,7.2,4.208,4.99971428571,7.2,2.4,4.8,0.960054860278
Isaiah Crowell,RB,3400,Cle@Cin 08:25PM ET,8.113,Cle,5.5,6.6,7.84,6.8,5.94,6.52,7.965,6.73785714286,7.965,5.5,2.465,0.365843316018
Patriots ,DST,3300,Was@NE 01:00PM ET,8.714,NE,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,0.0,0.0
Marcus Easley,WR,3300,Mia@Buf 01:00PM ET,2.133,Buf,,,1.28,,,1.95,,1.615,1.95,1.28,0.67,0.414860681115
Alfred Morris,RB,3300,Was@NE 01:00PM ET,6.014,Was,3.5,5.2,7.71,5.7,5.4,3.95,6.505,5.42357142857,7.71,3.5,4.21,0.776241274858
Jordan Cameron,TE,3300,Mia@Buf 01:00PM ET,7.243,Mia,8.0,10.2,5.5,10.1,9.67,10.49,8.877,8.97671428571,10.49,5.5,4.99,0.555882680586
Ladarius Green,TE,3300,Chi@SD 08:30PM ET,12.343,SD,,14.6,8.39,14.3,,5.96,5.272,9.7044,14.6,5.272,9.328,0.961213470178
Chris Thompson,RB,3300,Was@NE 01:00PM ET,9.333,Was,7.5,3.1,7.63,4.0,9.85,6.46,7.903,6.63471428571,9.85,3.1,6.75,1.01737613849
Tre Mason,RB,3300,StL@Min 01:00PM ET,3.2,StL,2.0,4.1,2.7,4.4,3.32,2.82,5.218,3.50828571429,5.218,2.0,3.218,0.917257105627
Ty Montgomery,WR,3300,GB@Car 01:00PM ET,7.0,GB,,7.4,6.25,6.7,,3.38,3.344,5.4148,7.4,3.344,4.056,0.749058136958
Jeff Janis,WR,3300,GB@Car 01:00PM ET,1.414,GB,,1.8,4.78,1.9,,0.24,,2.18,4.78,0.24,4.54,2.08256880734
Bengals ,DST,3200,Cle@Cin 08:25PM ET,7.857,Cin,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,0.0,0.0
Packers ,DST,3200,GB@Car 01:00PM ET,9.286,GB,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,0.0,0.0
Panthers ,DST,3200,GB@Car 01:00PM ET,10.0,Car,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,0.0,0.0
Brandon LaFell,WR,3200,Was@NE 01:00PM ET,6.6,NE,9.0,17.4,12.06,16.8,12.47,11.52,11.669,12.9884285714,17.4,9.0,8.4,0.646729506484
Toby Gerhart,RB,3200,Jax@NYJ 01:00PM ET,1.94,Jax,,3.4,2.73,3.6,2.38,2.64,,2.95,3.6,2.38,1.22,0.413559322034
Stevie Johnson,WR,3200,Chi@SD 08:30PM ET,10.717,SD,19.5,12.2,10.37,12.1,13.56,10.64,15.146,13.3594285714,19.5,10.37,9.13,0.683412464177
Stevan Ridley,RB,3200,Jax@NYJ 01:00PM ET,0.0,NYJ,,3.9,4.34,4.5,,,5.2948,4.5087,5.2948,3.9,1.3948,0.309357464458
Taiwan Jones,RB,3200,Oak@Pit 01:00PM ET,5.5,Oak,3.5,,5.27,,3.81,1.53,3.005,3.423,5.27,1.53,3.74,1.09260882267
