,player,fan_pts
38,Broncos,11.3
49,Rams,10.7
52,Jets,10.3
58,Packers,9.9
65,Bills,9
85,Falcons,8.3
97,Vikings,7.8
102,Patriots,7.7
110,Bengals,7.5
111,Titans,7.4
127,Cowboys,7
135,Eagles,6.7
140,Steelers,6.5
142,Chargers,6.4
143,Dolphins,6.3
148,Buccaneers,6.1
150,Jaguars,6
153,Giants,6
175,Bears,5.1
185,Panthers,4.6
186,Colts,4.5
208,Raiders,3.7
210,Saints,3.6
222,Redskins,2.8
229,Browns,2.7
256,49ers,1.6
