player,rush_att,rush_yards,rush_avg,rush_tds,rec,rec_yards,avg_yards/rec,rec_tds,fl,fan_pts,punt_td,kick_td,2-pt,pass_yards,pass_tds,int
Running Backs Week 13 Standard Stats -- Average
Rushing,Receiving,Misc
Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
"Danny Woodhead,SD",5.6,16.8,3.0,0.2,4.2,37.5,8.8,0.2,0.1,0
"Shaun Draughn,SF",15.2,63.1,4.2,0.3,4.3,23.9,5.6,0.1,0.1,0
"Kenjon Barner,PHI",3.9,17.8,4.5,0.1,0.9,7.2,7.8,0.0,0.1,0
"Jorvorskie Lane,TB",0.0,0.1,20.7,0.0,0.0,0.1,5.9,0.0,0.0,0
"Darren McFadden,DAL",17.0,75.2,4.4,0.3,2.0,16.8,8.4,0.0,0.1,0
"Marcel Reece,OAK",1.2,5.5,4.7,0.0,2.0,19.9,9.9,0.2,0.0,0
"Cameron Artis-Payne,CAR",0.2,1.0,4.0,0.0,0.0,0.2,9.2,0.0,0.0,0
"Knile Davis,KC",0.3,0.9,2.9,0.0,0.0,0.3,7.7,0.0,0.0,0
"Brandon Bolden,NE",5.0,17.3,3.5,0.2,1.3,13.4,10.6,0.2,0.1,0
"Aaron Ripkowski,GB",0.0,0.1,4.2,0.0,0.0,0.2,12.8,0.0,0.0,0
"Juwan Thompson,DEN",0.1,0.4,4.7,0.0,0.0,0.1,10.3,0.0,0.0,0
"T.J. Yeldon,JAC",14.6,59.8,4.1,0.4,3.1,19.1,6.1,0.1,0.1,0
"Marcus Thigpen,BUF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Duke Johnson,CLE",7.5,25.3,3.4,0.1,3.5,33.3,9.5,0.1,0.1,0
"Jerome Felton,BUF",0.5,2.0,4.0,0.0,0.6,5.1,8.6,0.0,0.0,0
Pages: 1 2 3 All
