player,opp,status,comp/att,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,targets,2-pt,fl,def_td,fan_pts,punt_td,kick_td

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Mike Tolbert, CarRB",Phi,W 27-16,0/0,0,0,0,3,16,1,1,2,1,1,0,0,0,13
"Connor Barth, TBK",@Wsh,L 30-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"Cam Newton, CarQB",Phi,W 27-16,14/24,197,1,3,4,20,1,0,0,0,0,0,0,0,13
"Rishard Matthews, MiaWR",Hou,W 44-26,0/0,0,0,0,0,0,0,3,75,1,3,0,0,0,13
"Le'Veon Bell, PitRB",@KC,L 13-23,0/0,0,0,0,17,121,0,4,16,0,4,0,0,0,13
"Blake Bortles, JaxQB",Buf,W 34-31,13/29,182,2,1,5,-3,0,0,0,0,0,0,0,0,13
"Tyler Lockett, SeaWR",@SF,W 20-3,0/0,0,0,0,0,0,0,5,79,1,5,0,0,0,13
Seahawks D/STD/ST,@SF,W 20-3,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"Drew Brees, NOQB",@Ind,W 27-21,28/44,255,1,1,4,-4,0,0,0,0,0,0,0,0,12
"Jonathan Stewart, CarRB",Phi,W 27-16,0/0,0,0,0,24,125,0,0,0,0,1,0,0,0,12
"Michael Crabtree, OakWR",@SD,W 37-29,0/0,0,0,0,0,0,0,6,63,1,8,0,0,0,12
"Antonio Brown, PitWR",@KC,L 13-23,0/0,0,0,0,1,6,0,6,124,0,8,0,0,0,12
"John Brown, AriWRP",Bal,W 26-18,0/0,0,0,0,0,0,0,4,65,1,6,0,0,0,12
"Devonta Freeman, AtlRB",@Ten,W 10-7,0/0,0,0,0,25,116,0,2,14,0,3,0,0,0,12
"Chris Conley, KCWR",Pit,W 23-13,0/0,0,0,0,0,0,0,6,63,1,7,0,0,0,12
Dolphins D/STD/ST,Hou,W 44-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
"Dan Carpenter, BufK",@Jax,L 31-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"Marcus Easley, BufWR",@Jax,L 31-34,0/0,0,0,0,0,0,0,1,58,1,1,0,0,0,11
"Chris Ivory, NYJRBQ",@NE,L 23-30,0/0,0,0,0,17,41,0,2,12,1,2,0,0,0,11
"Russell Wilson, SeaQB",@SF,W 20-3,18/24,235,1,2,7,20,0,0,0,0,0,0,0,0,11
"Michael Floyd, AriWR",Bal,W 26-18,0/0,0,0,0,0,0,0,3,59,1,4,0,0,0,11
"Caleb Sturgis, PhiK",@Car,L 16-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"Martavis Bryant, PitWR",@KC,L 13-23,0/0,0,0,0,1,13,0,3,45,1,8,0,0,0,11
"Allen Hurns, JaxWR",Buf,W 34-31,0/0,0,0,0,0,0,0,2,53,1,8,0,0,0,11
"Ryan Grant, WshWR",TB,W 31-30,0/0,0,0,0,0,0,0,3,54,1,3,0,0,0,11
Bills D/STD/ST,@Jax,L 31-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
Chiefs D/STD/ST,Pit,W 23-13,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"Josh Brown, NYGK",Dal,W 27-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Adrian Peterson, MinRB",@Det,W 28-19,0/0,0,0,0,19,98,0,3,12,0,3,0,0,0,10
"Matt Ryan, AtlQB",@Ten,W 10-7,22/38,251,1,2,2,-3,0,0,0,0,0,0,0,0,10
"Gary Barnidge, CleTE",@StL,L 6-24,0/0,0,0,0,0,0,0,6,101,0,7,0,0,0,10
"Steven Hauschka, SeaK",@SF,W 20-3,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Dwayne Harris, NYGWR",Dal,W 27-20,0/0,0,0,0,0,0,0,2,43,0,2,0,0,1,10
"Kendall Wright, TenWR",Atl,L 7-10,0/0,0,0,0,0,0,0,4,46,1,8,0,0,0,10
"Cairo Santos, KCK",Pit,W 23-13,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Orleans Darkwa, NYGRB",Dal,W 27-20,0/0,0,0,0,8,48,1,0,0,0,1,0,0,0,10
"Clive Walford, OakTE",@SD,W 37-29,0/0,0,0,0,0,0,0,2,42,1,2,0,0,0,10
"Andrew Franks, MiaK",Hou,W 44-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Falcons D/STD/ST,@Ten,W 10-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Ted Ginn Jr., CarWR",Phi,W 27-16,0/0,0,0,0,1,43,0,5,59,0,8,0,0,0,9
"Justin Forsett, BalRB",@Ari,L 18-26,0/0,0,0,0,12,36,1,3,8,0,4,0,0,0,9
"Graham Gano, CarK",Phi,W 27-16,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"LeSean McCoy, BufRB",@Jax,L 31-34,0/0,0,0,0,18,68,0,2,36,0,4,1,1,0,9
"Eric Decker, NYJWR",@NE,L 23-30,0/0,0,0,0,0,0,0,6,94,0,12,0,0,0,9
"Michael Hoomanawanui, NOTE",@Ind,W 27-21,0/0,0,0,0,0,0,0,5,31,1,5,0,0,0,9
"Dan Bailey, DalK",@NYG,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Donte Moncrief, IndWR",NO,L 21-27,0/0,0,0,0,0,0,0,4,34,1,6,0,0,0,9
