player,opp,status,comp/att,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,targets,2-pt,fl,def_td,fan_pts,punt_td,kick_td

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"James White, NERB",NYJ,W 30-23,0/0,0,0,0,2,4,0,3,26,0,5,0,0,0,2
"De'Anthony Thomas, KCRB, WR",Pit,W 23-13,0/0,0,0,0,1,13,0,2,12,0,3,0,0,0,2
"Dontrelle Inman, SDWR",Oak,L 29-37,0/0,0,0,0,0,0,0,2,26,0,2,0,0,0,2
"Brandon Coleman, NOWR",@Ind,W 27-21,0/0,0,0,0,0,0,0,1,24,0,1,0,0,0,2
"Willie Snead, NOWR",@Ind,W 27-21,0/0,0,0,0,0,0,0,3,25,0,7,0,0,0,2
"Melvin Gordon, SDRB",Oak,L 29-37,0/0,0,0,0,7,29,0,0,0,0,0,0,0,0,2
"Devin Funchess, CarWR",Phi,W 27-16,0/0,0,0,0,0,0,0,1,20,0,2,0,0,0,2
"Luke McCown, NOQB",@Ind,W 27-21,1/1,25,0,0,0,0,0,0,0,0,0,0,0,0,1
"Jerricho Cotchery, CarWR",Phi,W 27-16,0/0,0,0,0,0,0,0,1,13,0,1,0,0,0,1
"Vincent Jackson, TBWRQ",@Wsh,L 30-31,0/0,0,0,0,0,0,0,1,13,0,2,0,0,0,1
"Marcedes Lewis, JaxTE",Buf,W 34-31,0/0,0,0,0,0,0,0,2,13,0,2,0,0,0,1
"Jason Avant, KCWR",Pit,W 23-13,0/0,0,0,0,0,0,0,2,11,0,2,0,0,0,1
"Brent Celek, PhiTE",@Car,L 16-27,0/0,0,0,0,0,0,0,2,11,0,3,0,0,0,1
"Marcel Reece, OakRB",@SD,W 37-29,0/0,0,0,0,0,0,0,3,15,0,3,0,0,0,1
"Rashad Jennings, NYGRB",Dal,W 27-20,0/0,0,0,0,5,19,0,0,0,0,0,0,0,0,1
"Ryan Succop, TenK",Atl,L 7-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Golden Tate, DetWR",Min,L 19-28,0/0,0,0,0,0,0,0,2,14,0,6,0,0,0,1
"Tony Moeaki, AtlTE",@Ten,W 10-7,0/0,0,0,0,0,0,0,1,11,0,1,0,0,0,1
"Jim Dray, CleTE",@StL,L 6-24,0/0,0,0,0,0,0,0,2,10,0,2,0,0,0,1
"Jeff Cumberland, NYJTE",@NE,L 23-30,0/0,0,0,0,0,0,0,1,16,0,3,0,0,0,1
"Doug Baldwin, SeaWR",@SF,W 20-3,0/0,0,0,0,0,0,0,2,19,0,3,0,0,0,1
"Chris Polk, HouRB",@Mia,L 26-44,0/0,0,0,0,4,4,0,2,14,0,3,0,0,0,1
"Dwayne Allen, IndTE",NO,L 21-27,0/0,0,0,0,0,0,0,1,10,0,1,0,0,0,1
"Derek Carrier, WshTE",TB,W 31-30,0/0,0,0,0,0,0,0,2,15,0,2,0,0,0,1

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Larry Donnell, NYGTE",Dal,W 27-20,0/0,0,0,0,0,0,0,4,18,0,5,0,0,0,1
"Aaron Dobson, NEWR",NYJ,W 30-23,0/0,0,0,0,0,0,0,2,18,0,3,0,0,0,1
"Justin Hunter, TenWR",Atl,L 7-10,0/0,0,0,0,0,0,0,2,17,0,4,0,0,0,1
"Christine Michael, DalRB",@NYG,L 20-27,0/0,0,0,0,5,18,0,1,2,0,1,0,0,0,1
"Markus Wheaton, PitWR",@KC,L 13-23,0/0,0,0,0,0,0,0,2,16,0,4,0,0,0,1
"Mychal Rivera, OakTE",@SD,W 37-29,0/0,0,0,0,0,0,0,2,11,0,3,0,0,0,1
"Timothy Wright, DetTE",Min,L 19-28,0/0,0,0,0,0,0,0,1,13,0,1,0,0,0,1
"Johnny Manziel, CleQB",@StL,L 6-24,4/5,27,0,0,1,5,0,0,0,0,0,0,0,0,1
"Jordan Matthews, PhiWR",@Car,L 16-27,0/0,0,0,0,0,0,0,3,14,0,7,0,0,0,1
"Andre Williams, NYGRB",Dal,W 27-20,0/0,0,0,0,4,13,0,0,0,0,0,0,0,0,1
"David Johnson, AriRB",Bal,W 26-18,0/0,0,0,0,3,5,0,2,19,0,2,0,0,0,1
"MyCole Pruitt, MinTE",@Det,W 28-19,0/0,0,0,0,0,0,0,1,13,0,1,0,0,0,1
"Keith Mumphery, HouWR",@Mia,L 26-44,0/0,0,0,0,0,0,0,1,16,0,3,0,0,0,1
"Tevin Coleman, AtlRB",@Ten,W 10-7,0/0,0,0,0,3,14,0,0,0,0,1,0,0,0,1
Colts D/STD/ST,NO,L 21-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Raiders D/STD/ST,@SD,W 37-29,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jets D/STD/ST,@NE,L 23-30,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Steelers D/STD/ST,@KC,L 13-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ravens D/STD/ST,@Ari,L 18-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tony Gonzalez, AtlTE",@Ten,W 10-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jon Kitna, DalQB",@NYG,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matt Hasselbeck, IndQB",NO,L 21-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brandon Stokley, BalWR",@Ari,L 18-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plaxico Burress, PitWR",@KC,L 13-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rian Lindell, TBK",@Wsh,L 30-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mike Vick*, PitQBO",@KC,L 13-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Santana Moss, WshWR",TB,W 31-30,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Billy Cundiff, CleK",@StL,L 6-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shaun Hill, MinQB",@Det,W 28-19,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rex Grossman, AtlQB",@Ten,W 10-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Willis McGahee, CleRB",@StL,L 6-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dallas Clark, BalTE",@Ari,L 18-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nate Burleson, CleWR",@StL,L 6-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Visanthe Shiancoe, TenTE",Atl,L 7-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brandon Lloyd, SFWR",Sea,L 3-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kevin Walter, TenWR",Atl,L 7-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tony Romo*, DalQBIR",@NYG,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antonio Gates*, SDTEO",Oak,L 29-37,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kassim Osgood, SFWR",Sea,L 3-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kellen Winslow, NYJTE",@NE,L 23-30,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben Roethlisberger*, PitQBO",@KC,L 13-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steven Jackson, AtlRB",@Ten,W 10-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greg Jones, NORB",@Ind,W 27-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben Hartsock, CarTE",Phi,W 27-16,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matt Schaub, BalQB",@Ari,L 18-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Josh Scobee, PitK",@KC,L 13-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malcom Floyd, SDWR",Oak,L 29-37,0/0,0,0,0,0,0,0,1,7,0,3,0,0,0,0
"Vonta Leach, BalRB",@Ari,L 18-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ronnie Brown, SDRB",Oak,L 29-37,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath Miller, PitTE",@KC,L 13-23,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,0

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Courtney Roby, AtlWR",@Ten,W 10-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alex Smith, NOTE",@Ind,W 27-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kyle Orton, BufQB",@Jax,L 31-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brandon Jacobs, NYGRB",Dal,W 27-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dan Orlovsky, DetQB",Min,L 19-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Derek Anderson, CarQB",Phi,W 27-16,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Billy Bajema, BalTE",@Ari,L 18-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Joshua Cribbs, IndWR",NO,L 21-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shaun Suisham*, PitKIR",@KC,L 13-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lance Moore, DetWR",Min,L 19-28,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"DeAngelo Williams, PitRB",@KC,L 13-23,0/0,0,0,0,4,9,0,1,8,0,2,0,0,0,0
"Kellen Clemens, SDQB",Oak,L 29-37,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devin Hester*, AtlWRIR",@Ten,W 10-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maurice Jones-Drew, OakRB",@SD,W 37-29,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tony Scheffler, DetTE",Min,L 19-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tarvaris Jackson, SeaQB",@SF,W 20-3,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Charlie Whitehurst, TenQB",Atl,L 7-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Derek Hagan, TenWR",Atl,L 7-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Michael Robinson, SeaRB",@SF,W 20-3,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brad Smith, PhiWR",@Car,L 16-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leon Washington, TenRB",Atl,L 7-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Domenik Hixon, CarWR",Phi,W 27-16,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jeff King, AriTE",Bal,W 26-18,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bruce Gradkowski*, PitQBIR",@KC,L 13-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben Obomanu, NYJWR",@NE,L 23-30,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daniel Fells*, NYGTEIR",Dal,W 27-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brady Quinn, MiaQB",Hou,W 44-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dwayne Bowe, CleWR",@StL,L 6-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Robert Meachem, NOWR",@Ind,W 27-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kevin Kolb, BufQB",@Jax,L 31-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zach Miller, SeaTE",@SF,W 20-3,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drew Stanton, AriQB",Bal,W 26-18,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sidney Rice, SeaWR",@SF,W 20-3,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian Leonard, NORB",@Ind,W 27-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jacoby Jones, SDWR",Oak,L 29-37,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matt Spaeth, PitTE",@KC,L 13-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trent Edwards, OakQB",@SD,W 37-29,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Michael Bush, AriRB",Bal,W 26-18,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Le'Ron McClain, SDRB",Oak,L 29-37,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jordan Palmer, TenQB",Atl,L 7-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Thigpen, CleQB",@StL,L 6-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jason Snelling, AtlRB",@Ten,W 10-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ahmad Bradshaw, IndRB",NO,L 21-27,0/0,0,0,0,1,5,0,1,8,0,2,0,0,0,0
"Eric Weems, AtlWR",@Ten,W 10-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matt Moore, MiaQBQ",Hou,W 44-26,1/1,14,0,0,3,-2,0,0,0,0,0,0,0,0,0
"Jackie Battle, TenRB",Atl,L 7-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Felix Jones, PitRB",@KC,L 13-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rashard Mendenhall, AriRB",Bal,W 26-18,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dustin Keller, MiaTE",Hou,W 44-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Donnie Avery, KCWR",Pit,W 23-13,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"John Carlson, AriTE",Bal,W 26-18,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jerome Simpson, SFWR",Sea,L 3-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fred Davis, WshTE",TB,W 31-30,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DeSean Jackson*, WshWRO",TB,W 31-30,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chad Henne, JaxQB",Buf,W 34-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jamaal Charles*, KCRBIR",Pit,W 23-13,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harry Douglas*, TenWRO",Atl,L 7-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Craig Stevens, TenTE",Atl,L 7-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mario Manningham, NYGWR",Dal,W 27-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tashard Choice, IndRB",NO,L 21-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jerome Felton, BufRB",@Jax,L 31-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lavelle Hawkins, TBWR",@Wsh,L 30-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tim Hightower, NORB",@Ind,W 27-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matthew Slater, NEWR",NYJ,W 30-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dennis Dixon, AriQB",Bal,W 26-18,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kellen Davis, NYJTE",@NE,L 23-30,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Josh Johnson, BufQB",@Jax,L 31-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Josh Morgan, NOWR",@Ind,W 27-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jalen Parmele, CleRB",@StL,L 6-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spencer Larsen, TBRB",@Wsh,L 30-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lex Hilliard, NYJRB",@NE,L 23-30,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matt Flynn, NYJQB",@NE,L 23-30,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peyton Hillis, NYGRB",Dal,W 27-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jed Collins, DetRB",Min,L 19-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caleb Jeffrey Hanie, DalQB",@NYG,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Garrett Hartley*, PitKO",@KC,L 13-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davone Bess, CleWR",@StL,L 6-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matthew Mulligan, BufTE",@Jax,L 31-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthony Armstrong, CleWR",@StL,L 6-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chase Daniel, KCQB",Pit,W 23-13,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Josh Freeman, MiaQB",Hou,W 44-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Graham Harrell, NYJQB",@NE,L 23-30,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curtis Painter, NYGQB",Dal,W 27-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mark Sanchez, PhiQB",@Car,L 16-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pat White, WshQB",TB,W 31-30,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Donald Brown, SDRB",Oak,L 29-37,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andre Brown, HouRB",@Mia,L 26-44,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mike Goodson, NYJRB",@NE,L 23-30,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shonn Greene, TenRB",Atl,L 7-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"David Johnson, SDTE",Oak,L 29-37,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quinn Johnson, TenRB",Atl,L 7-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jorvorskie Lane, TBRB",@Wsh,L 30-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chris Ogbonnaya, NYGRB",Dal,W 27-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kory Sheets, OakRB",@SD,W 37-29,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marcus Thigpen, IndRB",NO,L 21-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Travis Beckum, NOTE",@Ind,W 27-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chase Coffman, TenTE",Atl,L 7-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brandon Pettigrew*, DetTEO",Min,L 19-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"John Phillips, SDTE",Oak,L 29-37,0/0,0,0,0,0,0,0,1,5,0,1,0,0,0,0
"Richard Quinn, NOTE",@Ind,W 27-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Kory Sperry, MinTE",@Det,W 28-19,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ramses Barden, JaxWR",Buf,W 34-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austin Collie, NEWR",NYJ,W 30-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brandon Gibson*, NEWRIR",NYJ,W 30-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Percy Harvin*, BufWRO",@Jax,L 31-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Darrius Heyward-Bey, PitWR",@KC,L 13-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jeremy Maclin*, KCWRO",Pit,W 23-13,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hakeem Nicks, TenWR",Atl,L 7-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kevin Ogletree, NYGWR",Dal,W 27-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greg Orton, NEWR",NYJ,W 30-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian Robiskie, TenWR",Atl,L 7-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mike Thomas, HouWR",@Mia,L 26-44,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tiquan Underwood, CarWR",Phi,W 27-16,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brandon Myers, TBTE",@Wsh,L 30-31,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Bernard Scott, BalRB",@Ari,L 18-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LaRod Stephens-Howling, PitRB",@KC,L 13-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frank Summers, BufRB",@Jax,L 31-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Will Ta'ufo'ou, JaxRB",Buf,W 34-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kevin Brock*, NOTEIR",@Ind,W 27-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isaac Redman, PitRB",@KC,L 13-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zach Potter, HouTE",@Mia,L 26-44,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Darrel Young, WshRB",TB,W 31-30,0/0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Tom Crabtree, TBTE",@Wsh,L 30-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isaiah Williams, TenWR",Atl,L 7-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chad Hall, JaxWR",Buf,W 34-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colt McCoy, WshQB",TB,W 31-30,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jonathan Dwyer, AriRBSSPD",Bal,W 26-18,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Montario Hardesty, CleRB",@StL,L 6-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Joe McKnight, KCRB",Pit,W 23-13,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben Tate, PitRB",@KC,L 13-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toby Gerhart, JaxRB",Buf,W 34-31,0/0,0,0,0,6,8,0,0,0,0,0,0,0,0,0
"Boobie Dixon, BufRB",@Jax,L 31-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LeGarrette Blount, NERB",NYJ,W 30-23,0/0,0,0,0,3,-3,0,0,0,0,0,0,0,0,0
"Dez Bryant*, DalWRO",@NYG,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arrelious Benn*, JaxWRIR",Buf,W 34-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Damian Williams, StLWR",Cle,W 24-6,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carlton Mitchell, AtlWR",@Ten,W 10-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taylor Price, JaxWR",Buf,W 34-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riley Cooper, PhiWR",@Car,L 16-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dezmon Briscoe, DalWR",@NYG,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dennis Pitta*, BalTEO",@Ari,L 18-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ed Dickson, CarTE",Phi,W 27-16,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nate Arthur Byham, TBTE",@Wsh,L 30-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mike Caussin*, WshTEIR",TB,W 31-30,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"John Conner, BufRB",@Jax,L 31-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dorin Dickerson*, TenTEIR",Atl,L 7-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jacoby Ford, TenWR",Atl,L 7-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"David Alexander Gettis, TBWR",@Wsh,L 30-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Garrett Graham, HouTE",@Mia,L 26-44,0/0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Clay Harbor*, JaxTEO",Buf,W 34-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Trindon Holliday, OakWR",@SD,W 37-29,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mike Kafka*, MinQBIR",@Det,W 28-19,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deji Karim, IndRB",NO,L 21-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erik Lorig, NORB",@Ind,W 27-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthony McCoy, WshTE",TB,W 31-30,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fendi Onobun, JaxTE",Buf,W 34-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"David Reed, SFWR",Sea,L 3-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mickey Charles Shuler, AtlTE",@Ten,W 10-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"John Skelton, TenQB",Atl,L 7-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rusty Smith, TenQB",Atl,L 7-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
