player,rec,rec_yards,avg_yards/rec,rec_tds,fl,fan_pts,rush_att,rush_yards,rush_avg,rush_tds,punt_td,kick_td,2-pt,pass_yards,pass_tds,int
Tight Ends Week 13 Standard Stats -- Average
Receiving,Misc
Player,Recpt,Yd,Avg,TD,FL,FPTS
"Troy Niklas,ARI",0.0,0.3,8.0,0.0,0.0,0
"Nic Jacobs,JAC",0.0,0.3,8.2,0.0,0.0,0
"Ryan Hewitt,CIN",0.9,10.4,11.2,0.1,0.0,0
"Dwayne Allen,IND",2.3,23.9,10.5,0.2,0.0,0
"Coby Fleener,IND",3.9,42.4,10.8,0.2,0.0,0
"James Casey,DEN",0.0,0.0,0.0,0.0,0.0,0
"Nick Boyle,BAL",2.0,19.5,9.7,0.1,0.0,0
"Khari Lee,CHI",0.0,0.0,0.0,0.0,0.0,0
"Jerome Cunningham,NYG",0.1,0.4,8.0,0.0,0.0,0
"Demetrius Harris,KC",0.1,0.5,8.7,0.0,0.0,0
"Blake Bell,SF",1.4,13.4,9.5,0.1,0.0,0
Pages: 1 2 3 All
