,Unnamed: 0,player,fox,dk_name
0,0,Matt Ryan,24.612,Matt Ryan
1,1,Philip Rivers,23.922,Philip Rivers
2,2,Eli Manning,23.94,Eli Manning
3,3,Jay Cutler,19.88,Jay Cutler
4,4,Tom Brady,19.206,Tom Brady
5,5,Derek Carr,22.422,Derek Carr
6,6,Jameis Winston,19.964,Jameis Winston
7,7,Ben Roethlisberger,22.414,Ben Roethlisberger
8,8,Peyton Manning,18.598,Peyton Manning
9,9,Sam Bradford,18.3,Sam Bradford
10,10,Tyrod Taylor,17.788,Tyrod Taylor
11,11,Ryan Fitzpatrick,17.58,Ryan Fitzpatrick
12,12,Devonta Freeman,21.86,Devonta Freeman
13,13,Drew Brees,17.224,Drew Brees
14,14,Teddy Bridgewater,17.104,Teddy Bridgewater
15,15,Cam Newton,16.938,Cam Newton
16,16,Andy Dalton,15.93,Andy Dalton
17,17,Matt Cassel,16.952,Matt Cassel
18,18,Blake Bortles,16.716,Blake Bortles
19,19,Giovani Bernard,17.42,Giovani Bernard
20,20,Andrew Luck,16.88,Andrew Luck
21,21,Mark Ingram,19.89,Mark Ingram
22,22,Chris Ivory,16.64,Chris Ivory
23,23,Ryan Tannehill,16.352,Ryan Tannehill
24,24,Marcus Mariota,16.138,Marcus Mariota
25,25,Adrian Peterson,16.78,Adrian Peterson
26,26,Aaron Rodgers,15.45,Aaron Rodgers
27,27,Darren McFadden,19.04,Darren McFadden
28,28,Nick Foles,14.664,Nick Foles
29,29,Jeremy Langford,16.77,Jeremy Langford
30,30,Jonathan Stewart,15.95,Jonathan Stewart
31,31,Todd Gurley,15.37,Todd Gurley
32,32,Mike Evans,19.56,Mike Evans
33,33,Kirk Cousins,14.384,Kirk Cousins
34,34,Melvin Gordon,16.32,Melvin Gordon
35,35,Lamar Miller,15.89,Lamar Miller
36,36,Julio Jones,19.23,Julio Jones
37,37,LeSean McCoy,15.09,LeSean McCoy
38,38,Alshon Jeffery,19.34,Alshon Jeffery
39,39,Odell Beckham Jr.,19.2,Odell Beckham Jr.
40,40,Ronnie Hillman,15.3,Ronnie Hillman
41,41,DeAngelo Williams,14.43,DeAngelo Williams
42,42,Blaine Gabbert,13.562,Blaine Gabbert
43,43,LeGarrette Blount,12.88,LeGarrette Blount
44,44,Malcom Floyd,17.64,Malcom Floyd
45,45,Doug Martin,14.43,Doug Martin
46,46,Latavius Murray,14.54,Latavius Murray
47,47,Jeremy Hill,12.72,Jeremy Hill
48,48,Demaryius Thomas,17.18,Demaryius Thomas
49,49,Johnny Manziel,12.258,Johnny Manziel
50,50,Brandon Marshall,17.29,Brandon Marshall
51,51,Dez Bryant,15.92,Dez Bryant
52,52,Antonio Brown,15.76,Antonio Brown
53,53,Eddie Lacy,13.08,Eddie Lacy
54,54,Dion Lewis,13.69,Dion Lewis
55,55,Michael Crabtree,15.16,Michael Crabtree
56,56,Julian Edelman,15.51,Julian Edelman
57,57,A.J. Green,14.34,A.J. Green
58,58,Emmanuel Sanders,15.84,Emmanuel Sanders
59,59,Anquan Boldin,14.97,Anquan Boldin
60,60,T.J. Yeldon,11.48,T.J. Yeldon
61,61,Frank Gore,11.52,Frank Gore
62,62,Danny Woodhead,13.4,Danny Woodhead
63,63,Rob Gronkowski,14.52,Rob Gronkowski
64,64,Mike Wallace,13.32,Mike Wallace
65,65,Rashad Jennings,12.85,Rashad Jennings
66,66,Martavis Bryant,13.38,Martavis Bryant
67,67,DeMarco Murray,11.65,DeMarco Murray
68,68,DeSean Jackson,13.38,DeSean Jackson
69,69,Heath Miller,14.11,Heath Miller
70,70,C.J. Anderson,11.16,C.J. Anderson
71,71,Antonio Gates,13.68,Antonio Gates
72,72,Rueben Randle,13.43,Rueben Randle
73,73,Marques Colston,12.61,Marques Colston
74,74,James Jones,12.63,James Jones
75,75,Jordan Matthews,13.3,Jordan Matthews
