player,pos,team,bye,opp,rush_att,rush_yards,rush_tds,rec,tar,rec_yards,rec_tds,fl,misc_yard,misc_td,punt_td,kick_td,fan_pts,own,2-pt,pass_yards,pass_tds,int


Marvin Jones,WR,CIN,7,HOUMon 8:30,0,0,0,5,5,60,1,0,60,1,0,0,12,60%
Allen Robinson,WR,JAC,8,@BALSun 1:00,0,0,0,5,5,60,1,0,60,1,0,0,12,89%
Mark Ingram,RB,NO,11,@WASSun 1:00,12,51,1,2,2,8,0,0,59,1,0,0,11.9,96%
Marques Colston,WR,NO,11,@WASSun 1:00,0,0,0,5,5,59,1,0,59,1,0,0,11.9,58%
Jarvis Landry,WR,MIA,5,@PHISun 1:00,0,2,0,5,5,57,1,0,59,1,0,0,11.9,89%
Jason Witten,TE,DAL,6,@TBSun 1:00,0,0,0,5,5,59,1,0,59,1,0,0,11.9,92%
Travis Benjamin,WR,CLE,11,@PITSun 1:00,0,2,0,4,4,56,1,0,58,1,0,0,11.8,76%
Brandon LaFell,WR,NE,4,@NYGSun 4:25,0,2,0,5,5,55,1,0,57,1,0,0,11.7,56%
Austin Seferian-Jenkins,TE,TB,6,DALSun 1:00,0,0,0,5,5,55,1,0,55,1,0,0,11.5,50%
Jordan Reed,TE,WAS,8,NOSun 1:00,0,0,0,5,5,54,1,0,54,1,0,0,11.4,68%
LeGarrette Blount,RB,NE,4,@NYGSun 4:25,12,50,1,1,1,2,0,0,52,1,0,0,11.2,89%
Antonio Andrews,RB,TEN,4,CARSun 1:00,9,38,1,2,2,14,0,0,52,1,0,0,11.2,48%
Sammy Watkins,WR,BUF,8,@NYJ,0,2,0,4,4,50,1,0,52,1,0,0,11.2,83%
Travis Kelce,TE,KC,9,@DENSun 4:25,0,0,0,5,5,52,1,0,52,1,0,0,11.2,93%
 Previous1234567Next 


Alfred Morris,RB,WAS,8,NOSun 1:00,10,46,1,1,1,5,0,0,51,1,0,0,11.1,67%
Michael Crabtree,WR,OAK,6,MINSun 4:05,0,0,0,4,4,51,1,0,51,1,0,0,11.1,83%
David Cobb,RB,TEN,4,CARSun 1:00,8,39,1,1,1,11,0,0,50,1,0,0,11,41%
Pierre Garcon,WR,WAS,8,NOSun 1:00,0,0,0,4,4,50,1,0,50,1,0,0,11,64%
Richard Rodgers,TE,GB,7,DETSun 1:00,0,0,0,5,5,50,1,0,50,1,0,0,11,41%
Julius Thomas,TE,JAC,8,@BALSun 1:00,0,0,0,5,5,49,1,0,49,1,0,0,10.9,74%
Rishard Matthews,WR,MIA,5,@PHISun 1:00,0,0,0,4,4,48,1,0,48,1,0,0,10.8,63%
Taylor Gabriel,WR,CLE,11,@PITSun 1:00,0,0,0,3,3,46,1,0,46,1,0,0,10.6,2%
Davante Adams,WR,GB,7,DETSun 1:00,0,0,0,4,4,44,1,0,44,1,0,0,10.4,58%
Eric Ebron,TE,DET,9,@GBSun 1:00,0,0,0,4,4,44,1,0,44,1,0,0,10.4,41%
John Brown,WR,ARI,9,@SEASun 8:30,0,0,0,3,3,40,1,0,40,1,0,0,10,81%
Charles Clay,TE,BUF,8,@NYJ,0,0,0,5,5,40,1,0,40,1,0,0,10,55%
Owen Daniels,TE,DEN,7,KCSun 4:25,0,0,0,4,4,36,1,0,36,1,0,0,9.6,36%
Matt Jones,RB,WAS,8,NOSun 1:00,10,47,1,2,2,9,0,1-1,56,1,0,0,9.6,52%
Brandon Coleman,WR,NO,11,@WASSun 1:00,0,0,0,3,3,35,1,0,35,1,0,0,9.5,9%
