,QB,QB_sal,QB_score,RB1,RB2,RB_sal,RB_score,WR1,WR2,WR3,WR_sal,WR_score,TE,TE_sal,TE_score,DST,DST_sal,DST_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
25,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Owen Daniels,2600,8.619571429,Colts ,2100,5.8,Jared Cook,2600,7.176714286,50000,146.904885715,1
26,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Owen Daniels,2600,8.619571429,Colts ,2100,5.8,David Johnson,2500,6.337685714,49900,146.065857143,1
27,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Owen Daniels,2600,8.619571429,Colts ,2100,5.8,Jake Stoneburner,2500,5.71,49900,145.438171429,1
28,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Owen Daniels,2600,8.619571429,Colts ,2100,5.8,Crockett Gillmore,2500,6.115428571,49900,145.8436,1
29,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Owen Daniels,2600,8.619571429,Saints ,2000,4.9,Heath Miller,2700,9.344428571,50000,148.1726,1
31,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,Owen Daniels,2600,8.619571429,Saints ,2000,4.9,Jared Cook,2600,7.176714286,49900,146.004885715,1
32,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,David Johnson,2500,6.337685714,Colts ,2100,5.8,Heath Miller,2700,9.344428571,50000,146.790714285,1
33,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,David Johnson,2500,6.337685714,Colts ,2100,5.8,Owen Daniels,2600,8.619571429,49900,146.065857143,1
34,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,David Johnson,2500,6.337685714,Saints ,2000,4.9,Austin Seferian-Jenkins,2800,13.375,50000,149.921285714,1
35,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Alshon Jeffery,Mike Wallace,19800,57.581,David Johnson,2500,6.337685714,Saints ,2000,4.9,Heath Miller,2700,9.344428571,49900,145.890714285,1
36,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Eric Decker,Vincent Jackson,19400,57.07342857,Austin Seferian-Jenkins,2800,13.375,Bears ,2400,6.2,Darren Fells,2500,5.24,50000,149.61602857,1
37,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Eric Decker,Vincent Jackson,19400,57.07342857,Austin Seferian-Jenkins,2800,13.375,Bears ,2400,6.2,David Johnson,2500,6.337685714,50000,150.713714284,1
38,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Eric Decker,Vincent Jackson,19400,57.07342857,Austin Seferian-Jenkins,2800,13.375,Bears ,2400,6.2,Garrett Graham,2500,4.719571429,50000,149.095599999,1
39,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Eric Decker,Vincent Jackson,19400,57.07342857,Austin Seferian-Jenkins,2800,13.375,Bears ,2400,6.2,Jake Stoneburner,2500,5.71,50000,150.08602857,1
40,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Eric Decker,Vincent Jackson,19400,57.07342857,Austin Seferian-Jenkins,2800,13.375,Bears ,2400,6.2,Mychal Rivera,2500,4.999,50000,149.37502857,1
41,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Eric Decker,Vincent Jackson,19400,57.07342857,Austin Seferian-Jenkins,2800,13.375,Bears ,2400,6.2,Dwayne Allen,2500,4.865,50000,149.24102857,1
42,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Eric Decker,Vincent Jackson,19400,57.07342857,Austin Seferian-Jenkins,2800,13.375,Bears ,2400,6.2,Crockett Gillmore,2500,6.115428571,50000,150.491457141,1
43,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Eric Decker,Vincent Jackson,19400,57.07342857,Austin Seferian-Jenkins,2800,13.375,Colts ,2100,5.8,Coby Fleener,2800,6.948714286,50000,150.924742856,1
45,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Eric Decker,Vincent Jackson,19400,57.07342857,Austin Seferian-Jenkins,2800,13.375,Colts ,2100,5.8,Heath Miller,2700,9.344428571,49900,153.320457141,1
47,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Eric Decker,Vincent Jackson,19400,57.07342857,Heath Miller,2700,9.344428571,Colts ,2100,5.8,Austin Seferian-Jenkins,2800,13.375,49900,153.320457141,1
