,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range,final
99,Golden Tate,WR,5000,Det@KC 09:30AM ET,10.314,Det,10.0,10.0,11.27,9.1,12.8,14.57,11.844,11.36914286,,,,,11.9
100,Austin Davis,QB,5000,Ari@Cle 01:00PM ET,0.0,Cle,,,,,,,,,,,,,
101,Travis Kelce,TE,5000,Det@KC 09:30AM ET,14.129,KC,18.5,16.6,13.77,16.3,12.56,13.13,12.55,14.77285714,,,,,16.9
102,Blaine Gabbert,QB,5000,SF@StL 01:00PM ET,0.0,SF,,,,,,,,,,,,,
103,Sean Renfree,QB,5000,TB@Atl 01:00PM ET,-0.4,Atl,,,,,,,,,,,,,
104,Mike Glennon,QB,5000,TB@Atl 01:00PM ET,0.0,TB,,,,,,,1.134,1.134,,,,,
105,Ryan Nassib,QB,5000,NYG@NO 01:00PM ET,0.0,NYG,,,,,,,,,,,,,
106,Ryan Griffin,QB,5000,TB@Atl 01:00PM ET,0.0,TB,,,,,,,,,,,,,
107,Matt McGloin,QB,5000,NYJ@Oak 04:05PM ET,11.68,Oak,,,,,,,,,,,,,
108,Matt Barkley,QB,5000,Ari@Cle 01:00PM ET,0.0,Ari,,,,,,,,,,,,,
109,Aaron Murray,QB,5000,Det@KC 09:30AM ET,0.0,KC,,,,,,,,,,,,,
110,Brock Osweiler,QB,5000,GB@Den 08:30PM ET,0.0,Den,,,,,,,,,,,,,
111,Bryce Petty,QB,5000,NYJ@Oak 04:05PM ET,0.0,NYJ,,,,,,,,,,,,,
112,AJ McCarron,QB,5000,Cin@Pit 01:00PM ET,0.0,Cin,,,,,,,,,,,,,
113,Geno Smith,QB,5000,NYJ@Oak 04:05PM ET,0.0,NYJ,,,,,,,1.06,1.06,,,,,21.0
114,Garrett Grayson,QB,5000,NYG@NO 01:00PM ET,0.0,NO,,,,,,,,,,,,,
115,Trevor Siemian,QB,5000,GB@Den 08:30PM ET,0.0,Den,,,,,,,,,,,,,
116,Jimmy Garoppolo,QB,5000,Mia@NE 08:25PM ET,-0.2,NE,,,,,,,1.0628,1.0628,,,,,
117,Tyler Murphy,QB,5000,Cin@Pit 01:00PM ET,1.3,Pit,,,,,,,,,,,,,
118,Sean Mannion,QB,5000,SF@StL 01:00PM ET,0.0,StL,,,,,,,,,,,,,
119,Brett Hundley,QB,5000,GB@Den 08:30PM ET,0.0,GB,,,,,,,,,,,,,
120,Johnny Manziel,QB,5000,Ari@Cle 01:00PM ET,9.447,Cle,,,,,,,2.1156,2.1156,,,,,0.58
121,Taylor Heinicke,QB,5000,Min@Chi 01:00PM ET,0.0,Min,,,,,,,,,,,,,
122,Vincent Jackson,WR,4900,TB@Atl 01:00PM ET,11.65,TB,,16.8,,15.4,,,,16.1,,,,,
123,Martellus Bennett,TE,4900,Min@Chi 01:00PM ET,12.533,Chi,18.5,19.2,12.06,18.6,12.32,12.42,11.244,14.90628571,,,,,6.2
124,Frank Gore,RB,4800,Ind@Car 08:30PM ET,12.286,Ind,10.0,12.2,10.38,12.3,13.06,12.08,13.973,11.999,,,,,12.2
125,Antonio Gates,TE,4800,SD@Bal 01:00PM ET,24.35,SD,,14.2,,14.1,,,5.314,11.20466667,,,,,9.6
126,Giovani Bernard,RB,4800,Cin@Pit 01:00PM ET,14.6,Cin,17.5,16.9,12.99,17.0,12.27,15.58,11.596,14.83371429,,,,,5.4
127,Stefon Diggs,WR,4800,Min@Chi 01:00PM ET,21.433,Min,23.5,21.0,11.28,19.5,11.39,9.3,12.013,15.42614286,,,,,21.5
128,Gary Barnidge,TE,4700,Ari@Cle 01:00PM ET,17.629,Cle,18.0,19.4,11.0,19.7,11.54,11.04,9.877,14.36528571,,,,,18.3
129,Michael Crabtree,WR,4700,NYJ@Oak 04:05PM ET,14.35,Oak,18.5,16.4,9.66,15.2,15.08,13.53,9.499,13.98128571,,,,,26.2
130,LeGarrette Blount,RB,4700,Mia@NE 08:25PM ET,11.82,NE,4.5,11.3,12.13,12.1,11.5,12.31,11.069,10.70128571,,,,,8.4
131,Lamar Miller,RB,4700,Mia@NE 08:25PM ET,16.033,Mia,21.5,7.4,13.49,8.3,14.28,12.8,15.862,13.376,,,,,14.4
132,Charcandrick West,RB,4700,Det@KC 09:30AM ET,5.071,KC,14.5,8.0,11.42,7.6,14.16,12.4,11.079,11.30842857,,,,,22.2
133,Chris Johnson,RB,4600,Ari@Cle 01:00PM ET,13.471,Ari,16.5,6.9,11.98,7.7,13.32,17.02,16.488,12.844,,,,,11.9
134,Ronnie Hillman,RB,4600,GB@Den 08:30PM ET,9.667,Den,19.0,15.7,9.6,15.4,10.61,12.64,9.704,13.23628571,,,,,18.5
135,Tavon Austin,WR,4600,SF@StL 01:00PM ET,13.45,StL,10.0,7.9,8.62,8.2,10.32,9.64,8.998,9.096857143,,,,,26.9
136,Danny Woodhead,RB,4500,SD@Bal 01:00PM ET,17.214,SD,11.5,19.8,13.68,18.1,13.73,11.1,12.357,14.32385714,,,,,6.5
137,Willie Snead,WR,4500,NYG@NO 01:00PM ET,11.871,NO,19.0,8.2,11.78,6.1,11.35,10.02,10.591,11.00585714,,,,,25.0
138,Anquan Boldin,WR,4400,SF@StL 01:00PM ET,12.314,SF,13.0,17.4,11.06,16.7,13.49,15.01,10.046,13.81514286,,,,,
139,Carlos Hyde,RB,4400,SF@StL 01:00PM ET,12.043,SF,6.5,,,,,,,6.5,,,,,
140,Victor Cruz,WR,4300,NYG@NO 01:00PM ET,0.0,NYG,,5.0,12.84,,,,,8.92,,,,,
141,James Starks,RB,4300,GB@Den 08:30PM ET,10.183,GB,17.5,8.5,6.93,9.6,6.34,6.51,8.166,9.078,,,,,3.8
142,Andre Ellington,RB,4300,Ari@Cle 01:00PM ET,10.3,Ari,3.0,7.4,8.09,7.8,8.41,8.54,6.386,7.089428571,,,,,
143,Joseph Randle,RB,4300,Sea@Dal 04:25PM ET,12.35,Dal,,,,,,,,,,,,,
144,Rishard Matthews,WR,4300,Mia@NE 08:25PM ET,16.633,Mia,19.0,15.6,9.23,14.8,11.0,10.4,10.412,12.92028571,,,,,13.2
145,C.J. Anderson,RB,4300,GB@Den 08:30PM ET,6.833,Den,7.0,5.0,10.43,5.1,8.99,7.37,6.212,7.157428571,,,,,20.6
146,Mike Wallace,WR,4200,Min@Chi 01:00PM ET,10.2,Min,16.5,20.0,12.48,18.1,11.11,12.49,9.689,14.33842857,,,,,
147,Kamar Aiken,WR,4200,SD@Bal 01:00PM ET,8.157,Bal,6.5,0.6,7.95,3.3,8.55,11.06,10.534,6.927714286,,,,,12.2
148,Marvin Jones,WR,4200,Cin@Pit 01:00PM ET,12.5,Cin,10.0,18.0,10.47,17.0,10.59,10.14,9.4872,12.24102857,,,,,3.4
149,Rueben Randle,WR,4200,NYG@NO 01:00PM ET,10.557,NYG,9.5,16.0,8.49,15.0,11.34,8.64,10.242,11.316,,,,,10.5
150,Breshad Perriman,WR,4200,SD@Bal 01:00PM ET,0.0,Bal,,,,,,,,,,,,,
151,Duke Johnson Jr.,RB,4200,Ari@Cle 01:00PM ET,11.557,Cle,9.5,9.3,10.24,9.2,11.88,9.57,10.877,10.081,,,,,9.1
152,Delanie Walker,TE,4100,Ten@Hou 01:00PM ET,12.98,Ten,18.5,19.2,7.43,17.6,12.88,9.16,9.926,13.528,,,,,12.2
153,Jonathan Stewart,RB,4100,Ind@Car 08:30PM ET,11.05,Car,15.0,9.2,11.44,9.8,13.15,14.44,11.905,12.13357143,,,,,14.3
154,Torrey Smith,WR,4100,SF@StL 01:00PM ET,9.043,SF,7.5,6.2,9.14,5.1,7.24,10.21,8.528,7.702571429,,,,,3.9
155,Shane Vereen,RB,4100,NYG@NO 01:00PM ET,9.386,NYG,10.0,14.1,10.88,14.3,10.3,7.83,8.633,10.86328571,,,,,20.3
156,Terrance Williams,WR,4100,Sea@Dal 04:25PM ET,9.883,Dal,12.5,6.8,8.19,5.4,7.82,12.92,8.827,8.922428571,,,,,4.0
157,Cardinals ,DST,4000,Ari@Cle 01:00PM ET,10.714,Ari,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,,,,,
158,Andre Johnson,WR,4000,Ind@Car 08:30PM ET,7.529,Ind,4.5,5.0,9.29,4.5,8.75,9.15,5.003,6.599,,,,,18.1
159,Marquess Wilson,WR,4000,Min@Chi 01:00PM ET,8.633,Chi,6.5,4.2,7.54,4.1,4.51,2.22,7.549,5.231285714,,,,,2.4
160,Melvin Gordon,RB,4000,SD@Bal 01:00PM ET,7.343,SD,5.0,4.1,6.89,4.6,7.73,10.92,8.961,6.885857143,,,,,11.1
161,Roddy White,WR,3900,TB@Atl 01:00PM ET,5.514,Atl,17.0,4.4,10.63,4.2,8.09,12.56,5.205,8.869285714,,,,,4.4
162,Rashad Jennings,RB,3900,NYG@NO 01:00PM ET,9.2,NYG,9.5,3.8,10.56,4.1,8.72,10.04,10.59,8.187142857,,,,,10.5
163,Ameer Abdullah,RB,3900,Det@KC 09:30AM ET,8.214,Det,6.5,5.1,9.9,5.0,9.34,11.83,9.077,8.106714286,,,,,0.3
164,Davante Adams,WR,3900,GB@Den 08:30PM ET,6.067,GB,6.5,14.8,7.93,14.4,10.73,10.27,7.041,10.23871429,,,,,1.8
165,Darren McFadden,RB,3800,Sea@Dal 04:25PM ET,11.383,Dal,17.0,13.5,11.92,12.9,14.97,14.13,16.283,14.38614286,,,,,17.3
166,Seahawks ,DST,3700,Sea@Dal 04:25PM ET,12.0,Sea,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,,,,,
167,Nate Washington,WR,3600,Ten@Hou 01:00PM ET,14.74,Hou,11.5,4.8,11.74,4.4,12.16,12.42,10.422,9.634571429,,,,,17.4
168,Danny Amendola,WR,3600,Mia@NE 08:25PM ET,11.533,NE,16.5,7.2,9.02,7.6,8.27,10.67,6.236,9.356571429,,,,,2.1
169,Kenny Britt,WR,3600,SF@StL 01:00PM ET,7.233,StL,7.5,7.3,7.73,5.7,7.29,13.82,8.137,8.211,,,,,
170,Leonard Hankerson,WR,3600,TB@Atl 01:00PM ET,9.443,Atl,,,,,,,,,,,,,
171,Charles Sims,RB,3600,TB@Atl 01:00PM ET,11.067,TB,9.5,7.5,11.59,7.7,10.86,4.26,7.847,8.465285714,,,,,7.6
172,Orleans Darkwa,RB,3600,NYG@NO 01:00PM ET,1.543,NYG,,1.8,5.45,1.7,4.57,0.18,8.189,3.648166667,,,,,2.3
173,Tevin Coleman,RB,3600,TB@Atl 01:00PM ET,4.38,Atl,4.0,2.2,5.28,3.0,5.52,3.35,4.086,3.919428571,,,,,3.1
174,Benjamin Watson,TE,3500,NYG@NO 01:00PM ET,10.786,NO,,3.2,7.24,3.6,10.02,10.25,9.448,7.293,,,,,32.7
175,Eddie Royal,WR,3500,Min@Chi 01:00PM ET,9.18,Chi,6.5,13.4,9.03,12.7,9.23,10.95,7.041,9.835857143,,,,,3.1
176,Malcom Floyd,WR,3500,SD@Bal 01:00PM ET,7.814,SD,16.0,9.2,8.22,7.6,10.85,10.37,8.279,10.07414286,,,,,25.2
177,Doug Baldwin,WR,3500,Sea@Dal 04:25PM ET,10.143,Sea,17.0,8.5,12.15,8.3,9.24,11.14,8.766,10.728,,,,,6.5
178,Michael Floyd,WR,3500,Ari@Cle 01:00PM ET,7.043,Ari,10.5,7.8,9.15,7.9,9.72,10.91,9.494,9.353428571,,,,,23.6
179,Knile Davis,RB,3500,Det@KC 09:30AM ET,2.086,KC,2.0,3.5,6.83,3.7,3.65,4.49,4.126,4.042285714,,,,,0.9
180,Alfred Blue,RB,3500,Ten@Hou 01:00PM ET,5.371,Hou,8.5,6.1,9.17,6.3,8.14,16.77,10.9202,9.414314286,,,,,12.2
181,David Johnson,RB,3500,Ari@Cle 01:00PM ET,10.557,Ari,6.5,7.4,5.66,7.6,5.72,3.96,7.5238,6.337685714,,,,,6.8
182,Javorius Allen,RB,3500,SD@Bal 01:00PM ET,3.229,Bal,2.0,4.1,6.86,4.1,6.84,6.24,6.365,5.215,,,,,6.1
183,Thomas Rawls,RB,3500,Sea@Dal 04:25PM ET,7.486,Sea,2.5,3.9,6.42,3.8,2.51,,7.123,4.3755,,,,,1.0
184,Falcons ,DST,3400,TB@Atl 01:00PM ET,7.714,Atl,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,,,,,
185,Ted Ginn Jr.,WR,3400,Ind@Car 08:30PM ET,11.433,Car,9.5,9.4,12.8,7.7,10.43,8.17,10.144,9.734857143,,,,,8.0
186,Dexter McCluster,RB,3400,Ten@Hou 01:00PM ET,8.533,Ten,7.5,8.7,7.38,10.0,10.22,9.47,5.8548,8.4464,,,,,7.8
187,Jermaine Kearse,WR,3400,Sea@Dal 04:25PM ET,8.686,Sea,6.0,4.9,8.46,4.5,7.62,9.19,8.996,7.095142857,,,,,
188,Theo Riddick,RB,3400,Det@KC 09:30AM ET,11.914,Det,9.5,5.4,10.1,5.8,9.19,5.87,9.009,7.838428571,,,,,10.7
189,Isaiah Crowell,RB,3400,Ari@Cle 01:00PM ET,8.757,Cle,4.5,6.5,8.04,6.7,6.13,8.12,5.27,6.465714286,,,,,3.6
190,Packers ,DST,3300,GB@Den 08:30PM ET,10.5,GB,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,,,,,
191,Dwayne Harris,WR,3300,NYG@NO 01:00PM ET,6.643,NYG,4.0,2.8,4.03,2.4,7.22,3.09,4.817,4.051,,,,,18.7
192,Jordan Cameron,TE,3300,Mia@NE 08:25PM ET,7.55,Mia,9.5,12.2,6.18,11.1,11.0,9.56,6.923,9.494714286,,,,,5.4
193,Larry Donnell,TE,3300,NYG@NO 01:00PM ET,8.586,NYG,8.0,17.4,6.56,16.7,11.08,7.99,8.0332,10.82331429,,,,,3.2
194,Antonio Andrews,RB,3300,Ten@Hou 01:00PM ET,9.175,Ten,14.0,6.5,8.77,7.1,9.76,5.1,11.112,8.906,,,,,11.2
195,Tre Mason,RB,3300,SF@StL 01:00PM ET,2.45,StL,,4.1,3.86,4.4,,,1.172,3.383,,,,,6.2
196,Ty Montgomery,WR,3300,GB@Den 08:30PM ET,7.0,GB,2.0,7.2,6.33,6.6,,,3.864,5.1988,,,,,
197,Bishop Sankey,RB,3300,Ten@Hou 01:00PM ET,7.2,Ten,2.5,1.8,6.72,2.5,3.5,3.69,3.226,3.419428571,,,,,
198,Jeff Janis,WR,3300,GB@Den 08:30PM ET,1.65,GB,,1.8,4.86,1.9,2.09,2.23,,2.576,,,,,
199,Rams ,DST,3200,SF@StL 01:00PM ET,12.167,StL,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,,,,,
200,Panthers ,DST,3200,Ind@Car 08:30PM ET,10.0,Car,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,
201,Marques Colston,WR,3200,NYG@NO 01:00PM ET,6.833,NO,4.5,17.6,8.46,16.8,8.32,13.46,5.228,10.624,,,,,28.4
202,Reggie Bush,RB,3200,SF@StL 01:00PM ET,2.175,SF,5.0,4.4,13.43,7.0,12.65,5.59,12.402,8.638857143,,,,,
203,Stevie Johnson,WR,3200,SD@Bal 01:00PM ET,11.9,SD,8.5,6.0,11.35,6.0,10.91,12.43,8.201,9.055857143,,,,,4.8
204,Mohamed Sanu,WR,3200,Cin@Pit 01:00PM ET,7.233,Cin,6.5,9.3,7.04,8.8,7.02,7.29,6.303,7.464714286,,,,,3.0
205,Joique Bell,RB,3200,Det@KC 09:30AM ET,5.7,Det,3.5,5.1,5.27,6.2,4.99,7.26,8.888,5.886857143,,,,,5.6
206,Texans ,DST,3100,Ten@Hou 01:00PM ET,4.286,Hou,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,,,,,
207,Vikings ,DST,3100,Min@Chi 01:00PM ET,8.5,Min,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,,,,,
208,Eric Ebron,TE,3100,Det@KC 09:30AM ET,12.96,Det,15.0,15.0,10.76,14.5,9.38,9.9,10.044,12.08342857,,,,,5.4
209,Dorial Green-Beckham,WR,3100,Ten@Hou 01:00PM ET,4.533,Ten,4.5,5.8,6.38,4.9,7.03,6.65,3.919,5.597,,,,,2.2
210,Bengals ,DST,3000,Cin@Pit 01:00PM ET,7.0,Cin,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,,,,,
211,Patriots ,DST,3000,Mia@NE 08:25PM ET,7.667,NE,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,,,,,
212,Ravens ,DST,3000,SD@Bal 01:00PM ET,5.857,Bal,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,,,,,
213,Greg Jennings,WR,3000,Mia@NE 08:25PM ET,3.4,Mia,2.5,6.8,3.37,7.4,3.48,7.14,3.948,4.948285714,,,,,
214,Lance Moore,WR,3000,Det@KC 09:30AM ET,7.971,Det,4.5,1.4,4.95,1.7,5.79,7.8,5.022,4.451714286,,,,,11.9
215,Jason Avant,WR,3000,Det@KC 09:30AM ET,2.229,KC,2.0,5.0,4.3,5.5,1.41,1.67,4.395,3.467857143,,,,,
216,DeAngelo Williams,RB,3000,Cin@Pit 01:00PM ET,7.671,Pit,3.0,3.1,3.11,3.8,1.95,2.78,5.51,3.321428571,,,,,15.0
217,Andre Caldwell,WR,3000,GB@Den 08:30PM ET,1.283,Den,4.5,5.6,2.71,5.8,2.21,0.07,2.092,3.283142857,,,,,3.4
218,Dwayne Bowe,WR,3000,Ari@Cle 01:00PM ET,0.0,Cle,,1.4,,1.7,3.35,0.24,,1.6725,,,,,
219,Tyler Clutts,RB,3000,Sea@Dal 04:25PM ET,0.233,Dal,,,1.68,,,0.02,,0.85,,,,,
220,Harry Douglas,WR,3000,Ten@Hou 01:00PM ET,4.5,Ten,,,5.09,,,,,5.09,,,,,
221,Eric Weems,WR,3000,TB@Atl 01:00PM ET,0.0,Atl,,,,,,2.27,1.142,1.706,,,,,2.1
222,Matthew Slater,WR,3000,Mia@NE 08:25PM ET,0.0,NE,,,,,,,,,,,,,
223,Jerricho Cotchery,WR,3000,Ind@Car 08:30PM ET,5.75,Car,4.0,4.6,7.98,4.3,5.03,9.53,4.2722,5.673171429,,,,,3.8
224,Ahmad Bradshaw,RB,3000,Ind@Car 08:30PM ET,2.45,Ind,,,4.28,,5.93,3.08,3.176,4.1165,,,,,3.1
225,Cedric Peerman,RB,3000,Cin@Pit 01:00PM ET,0.0,Cin,,,,,,0.18,1.494,0.837,,,,,
226,Jerome Simpson,WR,3000,SF@StL 01:00PM ET,0.0,SF,,,3.54,,2.13,0.33,,2.0,,,,,6.4
227,Mike Tolbert,RB,3000,Ind@Car 08:30PM ET,5.367,Car,3.0,4.3,6.35,4.8,4.93,5.67,4.565,4.802142857,,,,,5.0
228,Andrew Hawkins,WR,3000,Ari@Cle 01:00PM ET,6.1,Cle,6.0,8.1,5.94,,,,,6.68,,,,,
229,Darrius Heyward-Bey,WR,3000,Cin@Pit 01:00PM ET,7.129,Pit,,9.2,5.73,8.6,2.21,4.1,,5.968,,,,,
230,John Kuhn,RB,3000,GB@Den 08:30PM ET,2.033,GB,,0.4,2.82,0.3,1.11,0.93,1.712,1.212,,,,,
231,Marlon Moore,WR,3000,Ari@Cle 01:00PM ET,0.417,Cle,,,,,,0.07,1.254,0.662,,,,,
232,Brandon Tate,WR,3000,Cin@Pit 01:00PM ET,2.083,Cin,,,,,,1.6,3.544,2.572,,,,,
233,Louis Murphy,WR,3000,TB@Atl 01:00PM ET,4.967,TB,,,,,,,,,,,,,
234,Antone Smith,RB,3000,Min@Chi 01:00PM ET,0.0,Chi,,,,,,,1.959,1.959,,,,,
235,Brian Hartline,WR,3000,Ari@Cle 01:00PM ET,3.857,Cle,4.0,5.6,6.99,5.8,7.96,9.55,6.135,6.576428571,,,,,19.2
236,Donald Brown,RB,3000,SD@Bal 01:00PM ET,0.0,SD,,,,,,0.07,,0.07,,,,,
237,Jorvorskie Lane,RB,3000,TB@Atl 01:00PM ET,0.0,TB,,,,,,0.03,,0.03,,,,,
238,Jordan Norwood,WR,3000,GB@Den 08:30PM ET,3.167,Den,,3.8,3.53,3.9,4.14,7.81,3.872,4.508666667,,,,,
239,Marcel Reece,RB,3000,NYJ@Oak 04:05PM ET,8.9,Oak,3.0,1.6,7.08,2.0,5.79,4.85,2.509,3.832714286,,,,,5.6
240,Bruce Miller,RB,3000,SF@StL 01:00PM ET,2.557,SF,,,3.82,,,1.0,1.113,1.977666667,,,,,
241,Marc Mariani,WR,3000,Min@Chi 01:00PM ET,0.0,Chi,,,,,,,,,,,,,2.9
242,Jacoby Jones,WR,3000,SD@Bal 01:00PM ET,0.0,SD,,7.0,,6.6,,0.26,,4.62,,,,,
243,Fred Jackson,RB,3000,Sea@Dal 04:25PM ET,5.814,Sea,2.5,2.6,,2.7,5.33,4.26,3.807,3.532833333,,,,,1.9
244,Jeremy Ross,WR,3000,SD@Bal 01:00PM ET,3.967,Bal,,,,,2.14,,1.061,1.6005,,,,,5.1
245,Chase Reynolds,RB,3000,SF@StL 01:00PM ET,0.0,StL,,,,,,0.04,,0.04,,,,,
246,C.J. Spiller,RB,3000,NYG@NO 01:00PM ET,8.467,NO,3.5,13.3,10.12,13.4,11.21,5.63,4.855,8.859285714,,,,,11.6
247,Fozzy Whittaker,RB,3000,Ind@Car 08:30PM ET,1.917,Car,,5.9,3.95,6.5,2.32,0.49,1.475,3.439166667,,,,,0.3
248,Matt Asiata,RB,3000,Min@Chi 01:00PM ET,2.8,Min,,3.4,3.8,3.6,2.79,3.49,1.481,3.0935,,,,,4.1
249,Taiwan Jones,RB,3000,NYJ@Oak 04:05PM ET,3.525,Oak,,,3.81,,2.98,1.42,2.391,2.65025,,,,,13.4
250,Charles Johnson,WR,3000,Min@Chi 01:00PM ET,3.425,Min,5.0,7.3,5.33,6.7,3.05,0.53,5.504,4.773428571,,,,,4.5
251,Brian Quick,WR,3000,SF@StL 01:00PM ET,0.667,StL,,6.4,5.71,6.2,5.11,3.97,5.433,5.4705,,,,,1.5
252,Dontrelle Inman,WR,3000,SD@Bal 01:00PM ET,4.533,SD,,3.4,,3.7,1.24,4.74,2.469,3.1098,,,,,2.0
253,Greg Little,WR,3000,Cin@Pit 01:00PM ET,0.0,Cin,,,,,,,,,,,,,
254,Jeremy Kerley,WR,3000,NYJ@Oak 04:05PM ET,4.5,NYJ,4.5,8.6,6.49,8.4,7.72,7.0,3.705,6.630714286,,,,,10.3
255,Anthony Sherman,RB,3000,Det@KC 09:30AM ET,0.471,KC,,,1.93,,1.62,0.03,1.196,1.194,,,,,
256,Will Tukuafu,RB,3000,Sea@Dal 04:25PM ET,0.0,Sea,,,,,,,,,,,,,
257,Robert Turbin,RB,3000,Ari@Cle 01:00PM ET,4.25,Cle,,4.1,3.77,3.8,3.82,2.26,7.081,4.1385,,,,,0.3
258,Bilal Powell,RB,3000,NYJ@Oak 04:05PM ET,7.36,NYJ,,,3.76,,,,,3.76,,,,,
259,Will Johnson,RB,3000,Cin@Pit 01:00PM ET,0.957,Pit,,,3.33,,,0.14,1.695,1.721666667,,,,,
260,Bobby Rainey,RB,3000,TB@Atl 01:00PM ET,0.933,TB,,5.0,,5.4,,0.08,1.734,3.0535,,,,,
261,Roy Helu Jr.,RB,3000,NYJ@Oak 04:05PM ET,3.76,Oak,,5.5,6.29,5.6,2.13,0.04,2.987,3.757833333,,,,,
262,Patrick DiMarco,RB,3000,TB@Atl 01:00PM ET,1.157,Atl,,,1.75,,,0.15,1.268,1.056,,,,,1.8
263,George Winn,RB,3000,Det@KC 09:30AM ET,0.0,Det,,,,,,,1.123,1.123,,,,,
264,Austin Johnson,RB,3000,NYG@NO 01:00PM ET,1.88,NO,,,2.97,,,,,2.97,,,,,
265,Chris Polk,RB,3000,Ten@Hou 01:00PM ET,5.457,Hou,8.0,1.7,7.9,2.3,9.16,4.17,9.3204,6.078628571,,,,,3.2
266,Jarryd Hayne,RB,3000,SF@StL 01:00PM ET,0.533,SF,,0.5,,0.5,1.2,1.4,4.898,1.6996,,,,,
267,Brice Butler,WR,3000,Sea@Dal 04:25PM ET,3.45,Dal,,,,,,0.01,2.513,1.2615,,,,,
268,Cole Beasley,WR,3000,Sea@Dal 04:25PM ET,6.9,Dal,6.5,4.2,5.41,4.1,3.78,5.56,4.019,4.795571429,,,,,
269,Zach Line,RB,3000,Min@Chi 01:00PM ET,3.267,Min,,,3.96,,,0.03,,1.995,,,,,
270,Chris Owusu,WR,3000,NYJ@Oak 04:05PM ET,4.667,NYJ,,,4.81,,,,,4.81,,,,,
271,Griff Whalen,WR,3000,Ind@Car 08:30PM ET,1.8,Ind,,,,,2.77,2.89,,2.83,,,,,9.8
272,Brenton Bersin,WR,3000,Ind@Car 08:30PM ET,2.925,Car,,,,,,,,,,,,,
273,Derrick Coleman,RB,3000,Sea@Dal 04:25PM ET,0.24,Sea,,,1.43,,,0.03,,0.73,,,,,
274,Jonathan Grimes,RB,3000,Ten@Hou 01:00PM ET,4.5,Hou,,0.8,8.11,0.6,6.29,2.32,1.631,3.291833333,,,,,3.2
275,Frankie Hammond Jr.,WR,3000,Det@KC 09:30AM ET,0.0,KC,,,,,,,,,,,,,
276,Jaron Brown,WR,3000,Ari@Cle 01:00PM ET,2.3,Ari,,,3.83,,,9.67,,6.75,,,,,4.9
277,Chris Givens,WR,3000,SD@Bal 01:00PM ET,1.9,Bal,,7.4,4.65,6.7,2.54,3.02,,4.862,,,,,8.7
278,Keshawn Martin,WR,3000,Mia@NE 08:25PM ET,7.167,NE,,,,,,,,,,,,,
279,Myles White,WR,3000,NYG@NO 01:00PM ET,0.0,NYG,,,,,,,,,,,,,1.8
280,B.J. Daniels,WR,3000,Sea@Dal 04:25PM ET,0.55,Sea,,,,,,,,,,,,,
281,Jordan Todman,RB,3000,Cin@Pit 01:00PM ET,0.157,Pit,,,,,,,,,,,,,
282,Jarius Wright,WR,3000,Min@Chi 01:00PM ET,5.017,Min,,7.8,6.46,7.2,5.08,6.35,2.824,5.952333333,,,,,1.8
283,Brandon Bolden,RB,3000,Mia@NE 08:25PM ET,0.72,NE,,2.7,,3.2,,,,2.95,,,,,
284,Ladarius Green,TE,3000,SD@Bal 01:00PM ET,14.067,SD,18.5,14.4,10.92,14.2,10.66,10.35,8.965,12.57071429,,,,,2.0
285,Jonas Gray,RB,3000,Mia@NE 08:25PM ET,4.075,Mia,,2.7,3.29,2.5,,1.93,2.3,2.544,,,,,9.1
286,Kyle Rudolph,TE,3000,Min@Chi 01:00PM ET,8.05,Min,4.0,12.2,7.99,12.1,6.61,9.76,8.557,8.745285714,,,,,4.2
287,Russell Shepard,WR,3000,TB@Atl 01:00PM ET,0.533,TB,,,5.53,,3.84,10.03,,6.466666667,,,,,
288,Zurlon Tipton,RB,3000,Ind@Car 08:30PM ET,0.225,Ind,,,,,,,,,,,,,
289,Tommy Bohanon,RB,3000,NYJ@Oak 04:05PM ET,0.967,NYJ,,,2.38,,,0.21,,1.295,,,,,
290,Markus Wheaton,WR,3000,Cin@Pit 01:00PM ET,6.457,Pit,5.0,3.7,5.69,2.9,8.28,9.55,4.232,5.621714286,,,,,1.5
291,Rex Burkhead,RB,3000,Cin@Pit 01:00PM ET,1.283,Cin,,,,,,1.13,,1.13,,,,,
292,Benny Cunningham,RB,3000,SF@StL 01:00PM ET,6.583,StL,6.5,5.1,4.84,5.2,8.18,6.9,5.761,6.068714286,,,,,
293,Nikita Whitlock,RB,3000,NYG@NO 01:00PM ET,0.0,NYG,,,,,,,,,,,,,
294,Kyle Juszczyk,RB,3000,SD@Bal 01:00PM ET,5.714,Bal,,,4.91,,3.53,4.65,1.831,3.73025,,,,,4.9
