,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range,final
438,Luke Willson,TE,2500,Sea@Dal 04:25PM ET,2.567,Sea,4.0,3.0,4.88,3.5,2.96,3.35,3.168,3.551142857,,,,,12.1
439,Josh Hill,TE,2500,NYG@NO 01:00PM ET,2.729,NO,2.0,1.4,6.2,1.7,4.77,3.32,3.802,3.313142857,,,,,1.5
440,James Winchester,TE,2500,Det@KC 09:30AM ET,0.0,KC,,,,,,,,,,,,,
441,Jack Doyle,TE,2500,Ind@Car 08:30PM ET,1.414,Ind,,,,,1.06,0.04,,0.55,,,,,
442,Vance McDonald,TE,2500,SF@StL 01:00PM ET,1.533,SF,,,2.19,,1.29,,1.626,1.702,,,,,2.3
443,Justin Perillo,TE,2500,GB@Den 08:30PM ET,3.1,GB,,,,,,,,,,,,,1.6
444,Ryan Hewitt,TE,2500,Cin@Pit 01:00PM ET,0.433,Cin,,,2.49,,,1.11,,1.8,,,,,3.2
445,Levine Toilolo,TE,2500,TB@Atl 01:00PM ET,1.257,Atl,,4.6,5.84,5.3,,0.22,2.799,3.7518,,,,,1.7
446,Justice Cunningham,TE,2500,SF@StL 01:00PM ET,0.0,StL,,,,,,,,,,,,,
447,Gavin Escobar,TE,2500,Sea@Dal 04:25PM ET,1.9,Dal,2.0,4.6,4.12,4.3,2.36,2.48,2.822,3.240285714,,,,,
448,Dion Sims,TE,2500,Mia@NE 08:25PM ET,4.667,Mia,,1.6,3.63,1.8,5.15,3.45,2.785,3.069166667,,,,,1.6
449,Brandon Williams,TE,2500,Mia@NE 08:25PM ET,0.0,Mia,,,,,,,,,,,,,
450,Cooper Helfet,TE,2500,Sea@Dal 04:25PM ET,0.0,Sea,,,,,,,,,,,,,
451,Crockett Gillmore,TE,2500,SD@Bal 01:00PM ET,10.68,Bal,6.5,2.8,7.97,2.4,7.75,6.43,8.958,6.115428571,,,,,8.8
452,Blake Bell,TE,2500,SF@StL 01:00PM ET,0.783,SF,,,,,,,,,,,,,
453,James O'Shaughnessy,TE,2500,Det@KC 09:30AM ET,2.1,KC,,,3.62,,2.6,2.12,4.479,3.20475,,,,,
454,MyCole Pruitt,TE,2500,Min@Chi 01:00PM ET,0.383,Min,,1.4,,1.7,,,,1.55,,,,,3.5
455,Cameron Brate,TE,2500,TB@Atl 01:00PM ET,0.825,TB,,,,,,,,,,,,,
456,Will Tye,TE,2500,NYG@NO 01:00PM ET,3.25,NYG,,,,,4.02,,,4.02,,,,,
457,Chase Ford,TE,2500,Min@Chi 01:00PM ET,0.0,Min,,1.6,,1.8,1.11,,,1.503333333,,,,,
458,C.J. Fiedorowicz,TE,2500,Ten@Hou 01:00PM ET,2.771,Hou,2.0,2.6,5.09,2.3,2.55,2.84,1.891,2.753,,,,,3.5
459,Brian Parker,TE,2500,Det@KC 09:30AM ET,0.0,KC,,,,,,,,,,,,,
460,Scott Simonson,TE,2500,Ind@Car 08:30PM ET,0.0,Car,,,,,,,,,,,,,
461,Tyler Kroft,TE,2500,Cin@Pit 01:00PM ET,0.0,Cin,,1.4,,1.7,,,,1.55,,,,,
462,C.J. Uzomah,TE,2500,Cin@Pit 01:00PM ET,0.0,Cin,,,,,,,,,,,,,
