,,,,,comp,att,,pass yards,pass td,int,rating,rush,ru yards,ru TDS,REC,rec yards,REC tds, FL ,total yards,total tds,Punt TDS,returning TDs,FPTS,,FleaFlicker
Chris Hogan,WR,BUF,8,NYGSun 1:00,,,,,,,,0,0,0,1,15,0,0,15,0,0,0,1.5,1%,
DeVante Parker,WR,MIA,5,NYJSun 9:30,,,,,,,,0,0,0,1,15,0,0,15,0,0,0,1.5,25%,
Benjamin Watson,TE,NO,11,DALSun 8:30,,,,,,,,0,0,0,2,15,0,0,15,0,0,0,1.5,9%,
Luke Willson,TE,SEA,9,DETMon 8:30,,,,,,,,0,0,0,2,15,0,0,15,0,0,0,1.5,2%,
 Previous78910111213Next ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Wright,TE,DET,9,@SEAMon 8:30,,,,,,,,0,0,0,1,15,0,0,15,0,0,0,1.5,3%,
Karlos Williams,RB,BUF,8,NYGSun 1:00,,,,,,,,3,12,0,1,2,0,0,14,0,0,0,1.4,65%,
Bilal Powell,RB,NYJ,5,@MIASun 9:30,,,,,,,,2,9,0,1,5,0,0,14,0,0,0,1.4,29%,
Damien Williams,RB,MIA,5,NYJSun 9:30,,,,,,,,2,9,0,1,5,0,0,14,0,0,0,1.4,21%,
Lance Moore,WR,DET,9,@SEAMon 8:30,,,,,,,,0,0,0,1,14,0,0,14,0,0,0,1.4,2%,
Bruce Ellington,WR,SF,10,GBSun 4:25,,,,,,,,0,1,0,1,13,0,0,14,0,0,0,1.4,2%,
Jamison Crowder,WR,WAS,8,PHISun 1:00,,,,,,,,0,1,0,1,13,0,0,14,0,0,0,1.4,2%,
Dwayne Harris,WR,NYG,11,@BUFSun 1:00,,,,,,,,0,0,0,1,13,0,0,13,0,0,0,1.3,1%,
Chris Matthews,WR,SEA,9,DETMon 8:30,,,,,,,,0,0,0,2,13,0,0,13,0,0,0,1.3,2%,
Clay Harbor,TE,JAC,8,@INDSun 1:00,,,,,,,,0,0,0,2,13,0,0,13,0,0,0,1.3,1%,
C.J. Fiedorowicz,TE,HOU,9,@ATLSun 1:00,,,,,,,,0,0,0,1,13,0,0,13,0,0,0,1.3,1%,
Brandon Myers,TE,TB,6,CARSun 1:00,,,,,,,,0,0,0,2,12,0,0,12,0,0,0,1.2,2%,
Levine Toilolo,TE,ATL,10,HOUSun 1:00,,,,,,,,0,0,0,1,12,0,0,12,0,0,0,1.2,1%,
Marcel Reece,RB,OAK,6,@CHISun 1:00,,,,,,,,1,4,0,1,7,0,0,11,0,0,0,1.1,10%,
Khiry Robinson,RB,NO,11,DALSun 8:30,,,,,,,,2,9,0,0,2,0,0,11,0,0,0,1.1,16%,
Willie Snead,WR,NO,11,DALSun 8:30,,,,,,,,0,0,0,1,10,0,0,10,0,0,0,1,4%,
Darren Fells,TE,ARI,9,STLSun 4:25,,,,,,,,0,0,0,1,10,0,0,10,0,0,0,1,12%,
Christine Michael,RB,DAL,6,@NOSun 8:30,,,,,,,,2,8,0,0,1,0,0,9,0,0,0,0.9,20%,
Riley Cooper,WR,PHI,8,@WASSun 1:00,,,,,,,,0,0,0,1,9,0,0,9,0,0,0,0.9,7%,
Jeff Janis,WR,GB,7,@SFSun 4:25,,,,,,,,0,0,0,1,9,0,0,9,0,0,0,0.9,5%,
 Previous8910111213Next ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor Gabriel,WR,CLE,11,@SDSun 4:05,,,,,,,,0,0,0,1,9,0,0,9,0,0,0,0.9,2%,
Albert Wilson,WR,KC,9,@CINSun 1:00,,,,,,,,0,0,0,1,9,0,0,9,0,0,0,0.9,3%,
Donald Brown,RB,SD,10,CLESun 4:05,,,,,,,,1,5,0,1,3,0,0,8,0,0,0,0.8,3%,
Miles Austin,WR,PHI,8,@WASSun 1:00,,,,,,,,0,0,0,1,8,0,0,8,0,0,0,0.8,6%,
Travis Benjamin,WR,CLE,11,@SDSun 4:05,,,,,,,,0,0,0,1,8,0,0,8,0,0,0,0.8,68%,
Cody Latimer,WR,DEN,7,MINSun 4:25,,,,,,,,0,0,0,1,8,0,0,8,0,0,0,0.8,38%,
Sammie Coates,WR,PIT,11,BAL,,,,,,,,0,0,0,1,8,0,0,8,0,0,0,0.8,5%,
J.J. Nelson,WR,ARI,9,STLSun 4:25,,,,,,,,0,0,0,1,8,0,0,8,0,0,0,0.8,1%,
Justin Hardy,WR,ATL,10,HOUSun 1:00,,,,,,,,0,0,0,1,8,0,0,8,0,0,0,0.8,4%,
Jacob Tamme,TE,ATL,10,HOUSun 1:00,,,,,,,,0,0,0,1,8,0,0,8,0,0,0,0.8,6%,
Zach Miller,TE,CHI,7,OAKSun 1:00,,,,,,,,0,0,0,1,8,0,0,8,0,0,0,0.8,0%,
Chase Ford,TE,MIN,5,@DENSun 4:25,,,,,,,,0,0,0,1,8,0,0,8,0,0,0,0.8,0%,
Dion Sims,TE,MIA,5,NYJSun 9:30,,,,,,,,0,0,0,1,8,0,0,8,0,0,0,0.8,1%,
Richard Rodgers,TE,GB,7,@SFSun 4:25,,,,,,,,0,0,0,1,8,0,0,8,0,0,0,0.8,24%,
Paul Richardson,WR,SEA,9,DETMon 8:30,,,,,,,,0,0,0,1,7,0,0,7,0,0,0,0.7,2%,
Ryan Grant,WR,WAS,8,PHISun 1:00,,,,,,,,0,0,0,1,7,0,0,7,0,0,0,0.7,1%,
Chris Conley,WR,KC,9,@CINSun 1:00,,,,,,,,0,0,0,1,7,0,0,7,0,0,0,0.7,5%,
Daniel Fells,TE,NYG,11,@BUFSun 1:00,,,,,,,,0,0,0,1,7,0,0,7,0,0,0,0.7,1%,
Josh Hill,TE,NO,11,DALSun 8:30,,,,,,,,0,0,0,1,7,0,0,7,0,0,0,0.7,14%,
Tyler Kroft,TE,CIN,7,KCSun 1:00,,,,,,,,0,0,0,1,7,0,0,7,0,0,0,0.7,2%,
 Previous910111213Next ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Clive Walford,TE,OAK,6,@CHISun 1:00,,,,,,,,0,0,0,1,7,0,0,7,0,0,0,0.7,6%,
Bernard Pierce,RB,JAC,8,@INDSun 1:00,,,,,,,,1,5,0,0,1,0,0,6,0,0,0,0.6,4%,
Jonathan Grimes,RB,HOU,9,@ATLSun 1:00,,,,,,,,1,4,0,0,2,0,0,6,0,0,0,0.6,15%,
Juwan Thompson,RB,DEN,7,MINSun 4:25,,,,,,,,1,5,0,0,1,0,0,6,0,0,0,0.6,4%,
Javorius Allen,RB,BAL,9,@PIT,,,,,,,,1,4,0,0,2,0,0,6,0,0,0,0.6,8%,
Michael Campanaro,WR,BAL,9,@PIT,,,,,,,,0,0,0,1,6,0,0,6,0,0,0,0.6,1%,
MyCole Pruitt,TE,MIN,5,@DENSun 4:25,,,,,,,,0,0,0,1,6,0,0,6,0,0,0,0.6,2%,
Anthony Dixon,RB,BUF,8,NYGSun 1:00,,,,,,,,1,4,0,0,1,0,0,5,0,0,0,0.5,2%,
John Kuhn,RB,GB,7,@SFSun 4:25,,,,,,,,1,2,0,0,1,0,0,3,0,0,0,0.3,0%,
Jarryd Hayne,RB,SF,10,GBSun 4:25,,,,,,,,1,3,0,0,0,0,0,3,0,0,0,0.3,4%,
Kamar Aiken,WR,BAL,9,@PIT,,,,,,,,0,0,0,2,2,0,0,2,0,0,0,0.2,4%,
 Previous10111213Next ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,comp,att,,pass yards,pass td,int,rating,rush,ru yards,ru TDS,REC,rec yards,REC tds, FL ,total yards,total tds,Punt TDS,returning TDs,FPTS,,FleaFlicker
Aaron Rodgers,QB,GB,7,@SFSun 4:25,25,37,25/37,309,3,0,120.2,3,16,0,,,,,,,,,32.05,99%,
Cam Newton,QB,CAR,5,@TBSun 1:00,20,31,20/31,212,2,0,105.8,6,33,1,,,,,,,,,27.9,95%,
Matt Ryan,QB,ATL,10,HOUSun 1:00,28,43,28/43,312,2,0,102.1,1,7,0,,,,,,,,,27.3,97%,
Carson Palmer,QB,ARI,9,STLSun 4:25,24,37,24/37,305,2,0,108.5,1,3,0,,,,,,,,,24.55,85%,
Andrew Luck,QB,IND,10,JACSun 1:00,22,38,22/38,298,2,0,100.5,4,16,0,,,,,,,,,24.5,98%,
Ryan Tannehill,QB,MIA,5,NYJSun 9:30,25,37,25/37,242,2,0,103.7,3,17,0,,,,,,,,,23.8,86%,
Russell Wilson,QB,SEA,9,DETMon 8:30,19,30,19/30,218,2,0,107.4,6,37,0,,,,,,,,,22.6,96%,
Peyton Manning,QB,DEN,7,MINSun 4:25,26,39,26/39,251,2,0,101.5,1,-1,0,,,,,,,,,22.45,98%,
Nick Foles,QB,STL,6,@ARISun 4:25,24,39,24/39,283,2,0,100.7,1,3,0,,,,,,,,,22.45,34%,
Joe Flacco,QB,BAL,9,@PIT,23,37,23/37,271,2,0,102.4,2,5,0,,,,,,,,,22.05,61%,
Matthew Stafford,QB,DET,9,@SEAMon 8:30,24,39,24/39,266,2,0,98.9,1,5,0,,,,,,,,,21.8,89%,
Michael Vick,QB,PIT,11,BAL,16,28,16/28,192,1,0,90.2,7,40,0,,,,,,,,,21.6,19%,
Colin Kaepernick,QB,SF,10,GBSun 4:25,19,31,19/31,197,2,0,101.1,6,36,0,,,,,,,,,21.45,52%,
Brandon Weeden,QB,DAL,6,@NOSun 8:30,14,23,14/23,261,2,0,129.1,1,3,0,,,,,,,,,21.35,11%,
Sam Bradford,QB,PHI,8,@WASSun 1:00,23,35,23/35,256,2,0,106.4,2,3,0,,,,,,,,,21.1,58%,
Philip Rivers,QB,SD,10,CLESun 4:05,23,35,23/35,257,2,0,106.5,1,2,0,,,,,,,,,21.05,90%,
Eli Manning,QB,NYG,11,@BUFSun 1:00,22,35,22/35,243,2,0,102.4,1,1,0,,,,,,,,,20.25,87%,
Alex Smith,QB,KC,9,@CINSun 1:00,22,34,22/34,216,2,0,102.1,3,14,0,,,,,,,,,20.2,37%,
Teddy Bridgewater,QB,MIN,5,@DENSun 4:25,20,31,20/31,210,2,0,105.6,3,16,0,,,,,,,,,20.1,43%,
Luke McCown,QB,NO,11,DALSun 8:30,17,29,17/29,230,2,0,107,1,2,0,,,,,,,,,19.7,2%,
 Previous12Next ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Fitzpatrick,QB,NYJ,5,@MIASun 9:30,14,27,14/27,204,2,0,101.5,2,8,0,,,,,,,,,19,22%,
Jameis Winston,QB,TB,6,CARSun 1:00,19,30,19/30,192,2,0,103.8,2,6,0,,,,,,,,,18.2,32%,
Kirk Cousins,QB,WAS,8,PHISun 1:00,15,24,15/24,175,2,0,112.3,2,4,0,,,,,,,,,17.15,14%,
Jimmy Clausen,QB,CHI,7,OAKSun 1:00,23,37,23/37,178,2,0,91.9,1,2,0,,,,,,,,,17.1,2%,
Andy Dalton,QB,CIN,7,KCSun 1:00,21,34,21/34,234,1,0,92,3,10,0,,,,,,,,,16.7,77%,
Josh McCown,QB,CLE,11,@SDSun 4:05,19,32,19/32,219,1,0,90.5,2,12,0,,,,,,,,,16.15,10%,
Blake Bortles,QB,JAC,8,@INDSun 1:00,20,33,20/33,198,1,0,87.7,3,21,0,,,,,,,,,16,27%,
Tyrod Taylor,QB,BUF,8,NYGSun 1:00,17,27,17/27,177,1,0,94.2,4,24,0,,,,,,,,,15.25,60%,
Ryan Mallett,QB,HOU,9,@ATLSun 1:00,18,33,18/33,187,1,0,81.3,1,5,0,,,,,,,,,13.85,10%,
Derek Carr,QB,OAK,6,@CHISun 1:00,17,27,17/27,189,1,0,96.1,1,3,0,,,,,,,,,13.75,52%,
 Previous12Next ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
St. Louis Rams,D/ST,STL,6,@ARISun 4:25,0,0,0,1,4,2,1,0,26,371,15,89%,,,,,,,,,
Carolina Panthers,D/ST,CAR,5,@TBSun 1:00,0,0,0,2,2,1,1,0,20,252,11,82%,,,,,,,,,
Cincinnati Bengals,D/ST,CIN,7,KCSun 1:00,0,0,0,1,3,1,1,0,23,300,11,35%,,,,,,,,,
Minnesota Vikings,D/ST,MIN,5,@DENSun 4:25,0,0,0,1,3,1,1,0,27,310,11,25%,,,,,,,,,
Buffalo Bills,D/ST,BUF,8,NYGSun 1:00,0,0,0,1,3,1,0,0,23,296,10,92%,,,,,,,,,
Kansas City Chiefs,D/ST,KC,9,@CINSun 1:00,0,0,0,1,3,1,0,0,19,319,10,54%,,,,,,,,,
New York Jets,D/ST,NYJ,5,@MIASun 9:30,0,0,0,1,3,1,0,0,23,282,10,79%,,,,,,,,,
Detroit Lions,D/ST,DET,9,@SEAMon 8:30,0,0,0,1,2,1,1,0,23,284,9,64%,,,,,,,,,
Houston Texans,D/ST,HOU,9,@ATLSun 1:00,0,0,0,1,2,1,1,0,22,306,9,81%,,,,,,,,,
Atlanta Falcons,D/ST,ATL,10,HOUSun 1:00,0,0,0,1,2,1,0,0,14,243,8,8%,,,,,,,,,
Chicago Bears,D/ST,CHI,7,OAKSun 1:00,0,0,0,1,2,1,0,0,18,233,8,9%,,,,,,,,,
Cleveland Browns,D/ST,CLE,11,@SDSun 4:05,0,0,0,1,2,1,0,0,24,309,8,21%,,,,,,,,,
Denver Broncos,D/ST,DEN,7,MINSun 4:25,0,0,0,1,2,1,0,0,25,321,8,83%,,,,,,,,,
Green Bay Packers,D/ST,GB,7,@SFSun 4:25,0,0,0,1,2,1,0,0,21,264,8,83%,,,,,,,,,
Indianapolis Colts,D/ST,IND,10,JACSun 1:00,0,0,0,1,2,1,0,0,23,307,8,23%,,,,,,,,,
Jacksonville Jaguars,D/ST,JAC,8,@INDSun 1:00,0,0,0,1,2,1,0,0,27,332,8,4%,,,,,,,,,
Miami Dolphins,D/ST,MIA,5,NYJSun 9:30,0,0,0,1,2,1,0,0,19,260,8,41%,,,,,,,,,
Oakland Raiders,D/ST,OAK,6,@CHISun 1:00,0,0,0,1,2,1,0,0,24,291,8,7%,,,,,,,,,
Philadelphia Eagles,D/ST,PHI,8,@WASSun 1:00,0,0,0,1,2,1,0,0,24,228,8,66%,,,,,,,,,
Seattle Seahawks,D/ST,SEA,9,DETMon 8:30,0,0,0,1,2,1,0,0,21,298,8,97%,,,,,,,,,
 Previous12Next ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Cardinals,D/ST,ARI,9,STLSun 4:25,0,0,0,1,1,1,0,0,22,352,6,87%,,,,,,,,,
Baltimore Ravens,D/ST,BAL,9,@PIT,0,0,0,1,1,1,0,0,22,300,6,71%,,,,,,,,,
Dallas Cowboys,D/ST,DAL,6,@NOSun 8:30,0,0,0,1,1,1,0,0,24,305,6,18%,,,,,,,,,
New Orleans Saints,D/ST,NO,11,DALSun 8:30,0,0,0,1,1,1,0,0,22,321,6,6%,,,,,,,,,
Pittsburgh Steelers,D/ST,PIT,11,BAL,0,0,0,0,2,1,0,0,22,318,6,21%,,,,,,,,,
San Diego Chargers,D/ST,SD,10,CLESun 4:05,0,0,0,1,1,1,0,0,16,252,6,7%,,,,,,,,,
San Francisco 49ers,D/ST,SF,10,GBSun 4:25,0,0,0,1,1,1,0,0,32,397,6,20%,,,,,,,,,
Tampa Bay Buccaneers,D/ST,TB,6,CARSun 1:00,0,0,0,1,1,1,0,0,22,300,6,8%,,,,,,,,,
Washington Redskins,D/ST,WAS,8,PHISun 1:00,0,0,0,0,2,1,0,0,26,366,6,4%,,,,,,,,,
New York Giants,D/ST,NYG,11,@BUFSun 1:00,0,0,0,0,1,0,0,0,17,240,2,12%,,,,,,,,,
 Previous12Next ,,,,,,,,,,,,,,,,,,,,,,,,,
