Rashad Jennings RB - NYG View Videos,@BUF,-,-,-,54,1,17,-,-,-,-,13.10
A.J. Green WR - CIN View Videos,KC,-,-,-,1,-,69,1,-,-,-,13.00
Chris Ivory RB - NYJ FP View News View Videos,@MIA,-,-,-,61,1,9,-,-,-,-,13.00
Frank Gore RB - IND View Video,JAC,-,-,-,57,1,12,-,-,-,-,12.90
LeSean McCoy RB - BUF DNP View News,NYG,-,-,-,58,1,11,-,-,-,-,12.90
Brandon Marshall WR - NYJ,@MIA,-,-,-,-,-,68,1,-,-,-,12.80
Melvin Gordon RB - SD,CLE,-,-,-,59,1,8,-,-,-,-,12.70
Emmanuel Sanders WR - DEN View Videos,MIN,-,-,-,2,-,65,1,-,-,-,12.70
Odell Beckham WR - NYG View Video,@BUF,-,-,-,3,-,63,1,-,-,-,12.60
Sammy Watkins WR - BUF DNP View News,NYG,-,-,-,2,-,64,1,-,-,-,12.60
T.J. Yeldon RB - JAC,@IND,-,-,-,70,1,15,-,-,-,1,12.50
Justin Forsett RB - BAL View News View Videos,@PIT,-,-,-,50,1,14,-,-,-,-,12.40
Andy Dalton QB - CIN View Video,KC,234,1,1,10,-,-,-,-,-,-,12.36
Latavius Murray RB - OAK View Video,@CHI,-,-,-,55,1,8,-,-,-,-,12.30
Jeremy Maclin WR - KC View Video,@CIN,-,-,-,-,-,62,1,-,-,-,12.20
Michael Crabtree WR - OAK View Video,@CHI,-,-,-,-,-,61,1,-,-,-,12.10
Allen Robinson WR - JAC,@IND,-,-,-,-,-,61,1,-,-,-,12.10
Blake Bortles QB - JAC View Videos,@IND,198,1,1,21,-,-,-,-,-,-,12.02
Jordan Cameron TE - MIA LP View News,NYJ,-,-,-,-,-,60,1,-,-,-,12.00
Calvin Johnson WR - DET View Video,@SEA,-,-,-,-,-,60,1,-,-,-,12.00
Kenny Stills WR - MIA,NYJ,-,-,-,-,-,60,1,-,-,-,12.00
Josh McCown QB - CLE FP View Videos,@SD,219,1,1,12,-,-,-,-,-,-,11.96
Nelson Agholor WR - PHI,@WAS,-,-,-,-,-,59,1,-,-,-,11.90
Martellus Bennett TE - CHI View Video,OAK,-,-,-,-,-,59,1,-,-,-,11.90
Isaiah Crowell RB - CLE View Videos,@SD,-,-,-,51,1,8,-,-,-,-,11.90
Torrey Smith WR - SF,GB,-,-,-,-,-,59,1,-,-,-,11.90
Joseph Randle RB - DAL,@NO,-,-,-,49,1,9,-,-,-,-,11.80
Dwayne Bowe WR - CLE,@SD,-,-,-,-,-,57,1,-,-,-,11.70
Jarvis Landry WR - MIA View Videos,NYJ,-,-,-,2,-,55,1,-,-,-,11.70
Golden Tate WR - DET View Videos,@SEA,-,-,-,2,-,55,1,-,-,-,11.70
Roddy White WR - ATL,HOU,-,-,-,-,-,57,1,-,-,-,11.70
James Jones WR - GB View Video,@SF,-,-,-,-,-,56,1,-,-,-,11.60
Anquan Boldin WR - SF,GB,-,-,-,-,-,55,1,-,-,-,11.50
Todd Gurley RB - STL View Videos,@ARI,-,-,-,45,1,10,-,-,-,-,11.50
Carlos Hyde RB - SF View Video,GB,-,-,-,49,1,6,-,-,-,-,11.50
Tyrod Taylor QB - BUF FP View Videos,NYG,177,1,1,24,-,-,-,-,-,-,11.48
Larry Donnell TE - NYG View Videos,@BUF,-,-,-,-,-,54,1,-,-,-,11.40
Charles Johnson WR - MIN DNP View News View Videos,@DEN,-,-,-,2,-,51,1,-,-,-,11.30
Vincent Jackson WR - TB,CAR,-,-,-,-,-,52,1,-,-,-,11.20
Travis Kelce TE - KC View Videos,@CIN,-,-,-,-,-,52,1,-,-,-,11.20
C.J. Spiller RB - NO,DAL,-,-,-,34,1,18,-,-,-,-,11.20
Jason Witten TE - DAL FP View Videos,@NO,-,-,-,-,-,51,1,-,-,-,11.10
Danny Woodhead RB - SD,CLE,-,-,-,26,1,25,-,-,-,-,11.10
Greg Olsen TE - CAR,@TB,-,-,-,-,-,49,1,-,-,-,10.90
Doug Martin RB - TB DNP View News View Videos,CAR,-,-,-,42,1,6,-,-,-,-,10.80
Cole Beasley WR - DAL,@NO,-,-,-,-,-,47,1,-,-,-,10.70
Michael Floyd WR - ARI View Videos,STL,-,-,-,-,-,46,1,-,-,-,10.60
Davante Adams WR - GB DNP View News View Videos,@SF,-,-,-,-,-,44,1,-,-,-,10.40
Malcom Floyd WR - SD,CLE,-,-,-,-,-,44,1,-,-,-,10.40
John Brown WR - ARI LP View Videos,STL,-,-,-,-,-,43,1,-,-,-,10.30
Steve Smith WR - BAL View News View Videos,@PIT,-,-,-,-,-,43,1,-,-,-,10.30
Ladarius Green TE - SD LP View News,CLE,-,-,-,-,-,41,1,-,-,-,10.10
De'Anthony Thomas RB - KC,@CIN,-,-,-,20,-,21,1,-,-,-,10.10
Percy Harvin WR - BUF FP,NYG,-,-,-,6,-,34,1,-,-,-,10.00
Ryan Mallett QB - HOU LP View News View Videos,@ATL,187,1,1,5,-,-,-,-,-,-,9.98
Derek Carr QB - OAK View Video,@CHI,189,1,1,3,-,-,-,-,-,-,9.86
Eddie Royal WR - CHI,OAK,-,-,-,-,-,38,1,-,-,-,9.80
T.Y. Hilton WR - IND View Videos,JAC,-,-,-,3,-,94,-,-,-,-,9.70
Charles Clay TE - BUF View Videos,NYG,-,-,-,-,-,36,1,-,-,-,9.60
Matt Jones RB - WAS View Videos,PHI,-,-,-,45,1,9,-,-,-,1,9.40
Heath Miller TE - PIT View News View Video,BAL,-,-,-,-,-,34,1,-,-,-,9.40
Donte Moncrief WR - IND,JAC,-,-,-,2,-,31,1,-,-,-,9.30
Maxx Williams TE - BAL View News View Video,@PIT,-,-,-,-,-,33,1,-,-,-,9.30
Owen Daniels TE - DEN DNP View Videos,MIN,-,-,-,-,-,30,1,-,-,-,9.00
Coby Fleener TE - IND View Videos,JAC,-,-,-,-,-,29,1,-,-,-,8.90
Ryan Mathews RB - PHI,@WAS,-,-,-,59,-,16,-,-,-,-,7.50
Darren Sproles RB - PHI View Videos,@WAS,-,-,-,31,-,42,-,-,-,-,7.30
Jonathan Stewart RB - CAR DNP View News View Video,@TB,-,-,-,59,-,13,-,-,-,-,7.20
David Johnson RB - ARI,STL,-,-,-,41,-,21,-,-,-,-,6.20
Giovani Bernard RB - CIN,KC,-,-,-,39,-,21,-,-,-,-,6.00
Devonta Freeman RB - ATL LP View Videos,HOU,-,-,-,41,-,15,-,-,-,-,5.60
Charles Sims RB - TB View Videos,CAR,-,-,-,39,-,17,-,-,-,-,5.60
Lorenzo Taliaferro RB - BAL View News,@PIT,-,-,-,44,-,12,-,-,-,-,5.60
Tre Mason RB - STL,@ARI,-,-,-,44,-,11,-,-,-,-,5.50
Tavon Austin WR - STL,@ARI,-,-,-,24,-,28,-,-,-,-,5.20
Marqise Lee WR - JAC DNP View News,@IND,-,-,-,1,-,48,-,-,-,-,4.90
Alfred Morris RB - WAS View Videos,PHI,-,-,-,44,-,5,-,-,-,-,4.90
Shane Vereen RB - NYG,@BUF,-,-,-,23,-,26,-,-,-,-,4.90
Rueben Randle WR - NYG View Videos,@BUF,-,-,-,-,-,48,-,-,-,-,4.80
Cecil Shorts WR - HOU View Videos,@ATL,-,-,-,-,-,48,-,-,-,-,4.80
Roy Helu RB - OAK,@CHI,-,-,-,23,-,24,-,-,-,-,4.70
Chris Givens WR - STL View Videos,@ARI,-,-,-,-,-,46,-,-,-,-,4.60
Jacquizz Rodgers RB - CHI,OAK,-,-,-,28,-,18,-,-,-,-,4.60
Marcedes Lewis TE - JAC View Videos,@IND,-,-,-,-,-,45,-,-,-,-,4.50
Garrett Graham TE - HOU,@ATL,-,-,-,-,-,43,-,-,-,-,4.30
Jeremy Kerley WR - NYJ View Videos,@MIA,-,-,-,2,-,41,-,-,-,-,4.30
Eric Decker WR - NYJ LP View News View Videos,@MIA,-,-,-,-,-,42,-,-,-,-,4.20
Andrew Hawkins WR - CLE,@SD,-,-,-,1,-,39,-,-,-,-,4.00
Jaelen Strong WR - HOU,@ATL,-,-,-,-,-,40,-,-,-,-,4.00
Jarius Wright WR - MIN DNP View News,@DEN,-,-,-,6,-,34,-,-,-,-,4.00
Joique Bell RB - DET DNP View News View Videos,@SEA,-,-,-,30,-,9,-,-,-,-,3.90
Jeremy Langford RB - CHI,OAK,-,-,-,25,-,14,-,-,-,-,3.90
Denard Robinson RB - JAC DNP,@IND,-,-,-,47,-,12,-,-,-,1,3.90
Darrius Heyward-Bey WR - PIT View News View Videos,BAL,-,-,-,-,-,38,-,-,-,-,3.80
Mohamed Sanu WR - CIN,KC,-,-,-,2,-,36,-,-,-,-,3.80
Robert Woods WR - BUF,NYG,-,-,-,-,-,38,-,-,-,-,3.80
Ameer Abdullah RB - DET View Videos,@SEA,-,-,-,27,-,10,-,-,-,-,3.70
Kenny Britt WR - STL LP View News,@ARI,-,-,-,1,-,36,-,-,-,-,3.70
Jared Cook TE - STL,@ARI,-,-,-,-,-,37,-,-,-,-,3.70
Chris Polk RB - HOU,@ATL,-,-,-,26,-,11,-,-,-,-,3.70
Marlon Brown WR - BAL,@PIT,-,-,-,-,-,36,-,-,-,-,3.60
Theo Riddick RB - DET,@SEA,-,-,-,20,-,15,-,-,-,-,3.50
Corey Brown WR - CAR FP View News,@TB,-,-,-,4,-,30,-,-,-,-,3.40
Josh Huff WR - PHI FP,@WAS,-,-,-,-,-,34,-,-,-,-,3.40
Greg Jennings WR - MIA,NYJ,-,-,-,-,-,34,-,-,-,-,3.40
Jacoby Jones WR - SD DNP,CLE,-,-,-,2,-,32,-,-,-,-,3.40
Cordarrelle Patterson WR - MIN,@DEN,-,-,-,10,-,24,-,-,-,-,3.40
Bobby Rainey RB - TB,CAR,-,-,-,18,-,16,-,-,-,-,3.40
Zac Stacy RB - NYJ,@MIA,-,-,-,24,-,10,-,-,-,-,3.40
Brandon Coleman WR - NO,DAL,-,-,-,-,-,33,-,-,-,-,3.30
Phillip Dorsett WR - IND View Videos,JAC,-,-,-,-,-,33,-,-,-,-,3.30
Victor Cruz WR - NYG O View News View Videos,@BUF,-,-,-,-,-,32,-,-,-,-,3.20
Benny Cunningham RB - STL,@ARI,-,-,-,13,-,19,-,-,-,-,3.20
Vernon Davis TE - SF DNP View News View Videos,GB,-,-,-,-,-,32,-,-,-,-,3.20
Lance Dunbar RB - DAL,@NO,-,-,-,29,-,3,-,-,-,-,3.20
Brian Quick WR - STL,@ARI,-,-,-,-,-,32,-,-,-,-,3.20
Fozzy Whittaker RB - CAR,@TB,-,-,-,22,-,10,-,-,-,-,3.20
Rishard Matthews WR - MIA View Video,NYJ,-,-,-,-,-,31,-,-,-,-,3.10
Darren McFadden RB - DAL View Videos,@NO,-,-,-,28,-,3,-,-,-,-,3.10
Jordan Reed TE - WAS,PHI,-,-,-,-,-,31,-,-,-,-,3.10
Mychal Rivera TE - OAK,@CHI,-,-,-,-,-,31,-,-,-,-,3.10
Dri Archer RB - PIT,BAL,-,-,-,17,-,13,-,-,-,-,3.00
Andre Roberts WR - WAS,PHI,-,-,-,1,-,29,-,-,-,-,3.00
Knile Davis RB - KC View Videos,@CIN,-,-,-,21,-,8,-,-,-,-,2.90
Allen Hurns WR - JAC LP View News View Videos,@IND,-,-,-,-,-,29,-,-,-,-,2.90
Steve Johnson WR - SD View Videos,CLE,-,-,-,-,-,29,-,-,-,-,2.90
Ty Montgomery WR - GB View Videos,@SF,-,-,-,-,-,29,-,-,-,-,2.90
Stedman Bailey WR - STL,@ARI,-,-,-,2,-,26,-,-,-,-,2.80
Andre Caldwell WR - DEN,MIN,-,-,-,-,-,28,-,-,-,-,2.80
Toby Gerhart RB - JAC,@IND,-,-,-,20,-,8,-,-,-,-,2.80
Mike Tolbert RB - CAR DNP View News,@TB,-,-,-,13,-,15,-,-,-,-,2.80
Andre Williams RB - NYG View Videos,@BUF,-,-,-,24,-,4,-,-,-,-,2.80
Brian Hartline WR - CLE View Videos,@SD,-,-,-,-,-,27,-,-,-,-,2.70
DeAngelo Williams RB - PIT View News View Videos,BAL,-,-,-,24,-,3,-,-,-,-,2.70
Jason Avant WR - KC FP,@CIN,-,-,-,-,-,25,-,-,-,-,2.50
Ka'Deem Carey RB - CHI,OAK,-,-,-,18,-,7,-,-,-,-,2.50
Eric Ebron TE - DET View Videos,@SEA,-,-,-,-,-,25,-,-,-,-,2.50
Gavin Escobar TE - DAL,@NO,-,-,-,-,-,25,-,-,-,-,2.50
Marvin Jones WR - CIN,KC,-,-,-,-,-,25,-,-,-,-,2.50
Nate Washington WR - HOU View Videos,@ATL,-,-,-,-,-,25,-,-,-,-,2.50
Matt Asiata RB - MIN,@DEN,-,-,-,17,-,7,-,-,-,-,2.40
Jerricho Cotchery WR - CAR DNP,@TB,-,-,-,-,-,23,-,-,-,-,2.30
Branden Oliver RB - SD,CLE,-,-,-,13,-,10,-,-,-,-,2.30
Chris Johnson RB - ARI View Videos,STL,-,-,-,17,-,5,-,-,-,-,2.20
Jerick McKinnon RB - MIN,@DEN,-,-,-,14,-,8,-,-,-,-,2.20
Lance Kendricks TE - STL View Videos,@ARI,-,-,-,-,-,21,-,-,-,-,2.10
Marquess Wilson WR - CHI,OAK,-,-,-,-,-,21,-,-,-,-,2.10
