Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,,,,,FL,FPTS,CBS,Player,,Player_ID,
Passing,Rushing,Misc,,,,,,,,,,,,,,,,,,,,
Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,,,,,FL,FPTS,,,,,
"Josh Huff,PHI",,,,,,,,,,,,1.5,21.1,14,0.1,0.2,0,,,,,
"Seth Roberts,OAK",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Jaelen Strong,HOU",,,,,,,,,,,,1.9,25.8,13.4,0.1,0,0,,,,,
"Emmanuel Sanders,DEN",,,,,,,,,,,,6.4,76.4,11.9,0.7,0,0,,,,,
"Chris Matthews,SEA",,,,,,,,,,,,1.5,22.8,15,0.2,0,0,,,,,
"Brandon Marshall,NYJ",,,,,,,,,,,,5.6,75.8,13.5,0.6,0.1,0,,,,,
"T.Y. Hilton,IND",,,,,,,,,,,,5.5,82.7,15,0.3,0,0,,,,,
"Brandon Tate,CIN",,,,,,,,,,,,0.1,0.7,13.1,0,0,0,,,,,
"Terrance Williams,DAL",,,,,,,,,,,,3.1,58.6,18.8,0.5,0,0,,,,,
"Chris Conley,KC",,,,,,,,,,,,0,0.5,11.5,0,0,0,,,,,
"Ryan Grant,WAS",,,,,,,,,,,,1.4,18.7,13.8,0.1,0,0,,,,,
"Devin Smith,NYJ",,,,,,,,,,,,1.4,20.2,14.4,0.1,0,0,,,,,
"Lance Moore,DET",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Andre Caldwell,DEN",,,,,,,,,,,,1.1,12.6,11.8,0.1,0,0,,,,,
"Rishard Matthews,MIA",,,,,,,,,,,,2.5,36.4,14.3,0.5,0,0,,,,,
"Corey Fuller,DET",,,,,,,,,,,,1.8,18.4,10.1,0.1,0.2,0,,,,,
"DeAndre Hopkins,HOU",,,,,,,,,,,,6.2,85.8,13.8,0.5,0.1,0,,,,,
"Nick Williams,ATL",,,,,,,,,,,,0,0.4,7.9,0,0,0,,,,,
"Torrey Smith,SF",,,,,,,,,,,,2,29.8,14.7,0.3,0,0,,,,,
"Marques Colston,NO",,,,,,,,,,,,4.2,59.4,14.2,0.2,0,0,,,,,
"Marlon Brown,BAL",,,,,,,,,,,,2.4,28.1,11.7,0.1,0,0,,,,,
"John Brown,ARI",,,,,,,,,,,,4.3,60.4,14.1,0.3,0,0,,,,,
"Tavon Austin,STL",,,,,,,,,,,,2.5,19.4,7.7,0.1,0,0,,,,,
"De'Andre Presley,CAR",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Jordan Matthews,PHI",,,,,,,,,,,,5.7,77.2,13.5,0.5,0,0,,,,,
"Nelson Agholor,PHI",,,,,,,,,,,,2.5,37.6,15,0.2,0,0,,,,,
"A.J. Green,CIN",,,,,,,,,,,,5.5,86,15.6,0.7,0.1,0,,,,,
"Ted Ginn,CAR",,,,,,,,,,,,3.8,53.3,14.1,0.3,0.1,0,,,,,
"Darrius Heyward-Bey,PIT",,,,,,,,,,,,1.8,22.9,12.8,0.2,0.1,0,,,,,
"Brice Butler,DAL",,,,,,,,,,,,0.1,1.3,17,0,0,0,,,,,
"Preston Parker,NYG",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Dontrelle Inman,SD",,,,,,,,,,,,0.1,1.4,13.2,0,0,0,,,,,
"Donte Moncrief,IND",,,,,,,,,,,,3.2,41,12.9,0.6,0,0,,,,,
"T.J. Jones,DET",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Brandin Cooks,NO",,,,,,,,,,,,6.3,76.2,12.1,0.3,0,0,,,,,
"James Jones,GB",,,,,,,,,,,,3.7,56.7,15.3,0.6,0,0,,,,,
"Devin Funchess,CAR",,,,,,,,,,,,2.7,36.9,13.5,0.2,0,0,,,,,
"Travis Benjamin,CLE",,,,,,,,,,,,2.4,55.3,23.5,0.5,0.2,0,,,,,
"De'Anthony Thomas,KC",,,,,,,,,,,,1.5,15.1,10.1,0.1,0,0,,,,,
"Marc Mariani,CHI",,,,,,,,,,,,0,0.6,13,0,0,0,,,,,
"Bruce Ellington,SF",,,,,,,,,,,,1,14,13.9,0.4,0,0,,,,,
"Russell Shepard,TB",,,,,,,,,,,,0,0.1,10.5,0,0,0,,,,,
"Percy Harvin,BUF",,,,,,,,,,,,4.8,55.3,11.6,0.4,0.1,0,,,,,
"Devin Hester,ATL",,,,,,,,,,,,1.1,14.5,13.3,0.1,0.1,0,,,,,
"Golden Tate,DET",,,,,,,,,,,,5.3,59.1,11.2,0.2,0,0,,,,,
"Jamison Crowder,WAS",,,,,,,,,,,,0.1,0.8,10.9,0,0,0,,,,,
"Rashad Ross,WAS",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Eric Weems,ATL",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Quinton Patton,SF",,,,,,,,,,,,1.4,14,10.4,0.1,0.2,0,,,,,
"Brandon Coleman,NO",,,,,,,,,,,,3.1,38,12.4,0.4,0,0,,,,,
"Willie Snead,NO",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Keenan Allen,SD",,,,,,,,,,,,6.5,77.3,11.9,0.5,0.2,0,,,,,
"Darren Waller,BAL",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Marvin Jones,CIN",,,,,,,,,,,,2.6,39.9,15.3,0.5,0,0,,,,,
Pages: 1 2 3 4 All,,,,,,,,,,,,,,,,,,,,,,
Tight Ends Week 4 Standard Stats -- Average,,,,,,,,,,,,,,,,,,,,,,
Receiving,,,,,,,,,,,,Misc,,,,,,,,,,
Player,,,,,,,,,,,,Recpt,Yd,Avg,TD,FL,FPTS,,,,,
"MarQueis Gray,BUF",,,,,,,,,,,,0.8,8.8,11.2,0.1,0,0,,,,,
"Jason Witten,DAL",,,,,,,,,,,,4.3,47.4,10.9,0.3,0,0,,,,,
"Geoff Swaim,DAL",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Kyle Rudolph,MIN",,,,,,,,,,,,4,29.9,7.4,0.4,0,0,,,,,
