player,opp,status,comp/att,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,fan_pts,punt_td,kick_td,fl,2-pt

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Andrew Luck, IndQB",NO,Sun 1:00,22.6/36.8,273.8,2.6,0.8,3.8,18,0.1,0,0,0,20.2
"Carson Palmer, AriQB",Bal,Mon 8:30,21.5/34.5,280.7,2.3,0.7,2,3.3,0.1,0,0,0,19.1
"Philip Rivers, SDQB",Oak,Sun 4:05,24.2/37,305.1,2.3,0.9,1.9,4.2,0,0,0,0,18.9
"Tom Brady, NEQB",NYJ,Sun 1:00,27.3/39.9,296.7,2.1,0.9,2.4,2.9,0.1,0,0,0,18.2
"Russell Wilson, SeaQB",@SF,W 20-3,19.7/31.1,240.3,1.5,0.6,6.6,40.8,0.2,0,0,0,18.2
"Cam Newton, CarQB",Phi,Sun 8:30,21.2/35.4,254.6,1.2,1.1,8.6,43.4,0.2,0,0,0,17.5
"Todd Gurley, StLRB",Cle,Sun 1:00,0/0,0,0,0,21.6,115.1,0.8,1.5,12.5,0.1,17.1
"Devonta Freeman, AtlRB",@Ten,Sun 1:00,0/0,0,0,0,18.4,81.7,0.9,3.7,33.1,0.2,17.1
"Matthew Stafford, DetQB",Min,Sun 1:00,26.1/41.3,303.1,1.7,0.9,2.1,6.9,0.1,0,0,0,17
"Ryan Tannehill, MiaQB",Hou,Sun 1:00,23.7/36,268.1,1.9,0.9,2.4,11.7,0.1,0,0,0,16.8
"Blake Bortles, JaxQB",Buf,Sun 9:30 AM,24.6/39.6,300.7,1.4,0.9,3.2,19.2,0,0,0,0,16.6
"Eli Manning, NYGQB",Dal,Sun 4:25,24.5/37.6,290.4,1.7,0.6,1,2,0,0,0,0,16.2
"Drew Brees, NOQB",@Ind,Sun 1:00,27.8/42,321.8,1.5,0.9,1.5,2.4,0.1,0,0,0,16
"Le'Veon Bell, PitRB",@KC,Sun 1:00,0/0,0,0,0,22.3,85.7,0.7,3.3,25.8,0.2,15.1
"Adrian Peterson, MinRBP",@Det,Sun 1:00,0/0,0,0,0,19.6,91.4,0.8,1.8,15.2,0.1,15
"Alex Smith, KCQBP",Pit,Sun 1:00,22.2/36.6,246.8,1.2,0.6,3.8,20.4,0.1,0,0,0,14.8
"Matt Ryan, AtlQB",@Ten,Sun 1:00,20.6/33,235.6,1.8,1,2.4,7.7,0.1,0,0,0,14.5
"Joe Flacco, BalQB",@Ari,Mon 8:30,25.7/40.5,293.1,1.5,1.4,1.9,3.8,0.1,0,0,0,14.4
"Teddy Bridgewater, MinQB",@Det,Sun 1:00,18.7/30.5,231.2,1.2,0.7,3.7,18.5,0.2,0,0,0,14.4
"Zach Mettenberger, TenQB",Atl,Sun 1:00,23.1/36.3,266.2,1.7,1.1,1.7,5,0.1,0,0,0,14.1
"Ryan Fitzpatrick, NYJQBP",@NE,Sun 1:00,21.3/35.2,239.3,1.5,1.3,4.2,18.1,0.2,0,0,0,14
"LeSean McCoy, BufRBP",@Jax,Sun 9:30 AM,0/0,0,0,0,19.6,80.7,0.6,3.1,22.4,0.1,13.9
"Derek Carr, OakQB",@SD,Sun 4:05,22/36,227.9,1.7,0.8,1.6,4.5,0,0,0,0,13.8
"Colin Kaepernick, SFQB",Sea,L 3-20,18.6/30.2,221.7,0.9,0.5,6,37.3,0.1,0,0,0,13.7
"Sam Bradford, PhiQB",@Car,Sun 8:30,24.1/39.2,272.3,1.5,1.2,1.9,4.9,0.1,0,0,0,13.4
"Marshawn Lynch, SeaRBP",@SF,W 20-3,0/0,0,0,0,18.6,80.9,0.5,2.6,20.6,0.1,13.3
"Nick Foles, StLQB",Cle,Sun 1:00,18.2/29,208.7,1.6,0.7,1.9,8.5,0.1,0,0,0,13.1
"Brian Hoyer, HouQB",@Mia,Sun 1:00,22.1/37.5,275.8,1,1.2,1.7,2.6,0,0,0,0,12.7
"Arian Foster, HouRBP",@Mia,Sun 1:00,0/0,0,0,0,17.5,76.5,0.3,3.9,30.6,0.1,12.5
"Latavius Murray, OakRBP",@SD,Sun 4:05,0/0,0,0,0,16.1,80.3,0.4,2.6,19.8,0.1,12.1
"DeAndre Hopkins, HouWR",@Mia,Sun 1:00,0/0,0,0,0,0,0,0,7.4,106.8,0.4,12.1
"Kirk Cousins, WshQB",TB,Sun 1:00,19.5/31.8,217.6,1.5,0.9,1.5,4.4,0,0,0,0,12
"Larry Fitzgerald, AriWRP",Bal,Mon 8:30,0/0,0,0,0,0,0,0,6.3,84.3,0.7,12
"Lamar Miller, MiaRB",Hou,Sun 1:00,0/0,0,0,0,16.8,72.5,0.6,2.5,19.9,0.1,11.9
"Josh McCown, CleQB",@StL,Sun 1:00,21.4/35.8,248.2,1.2,1.1,2.7,13.2,0.1,0,0,0,11.9
"EJ Manuel, BufQB",@Jax,Sun 9:30 AM,17.5/28.9,193.4,1.1,0.6,4.4,13.1,0.2,0,0,0,11.8
"Justin Forsett, BalRB",@Ari,Mon 8:30,0/0,0,0,0,14.9,65.2,0.4,4.2,32.7,0.1,11.8
"Jameis Winston, TBQB",@Wsh,Sun 1:00,18.1/30.1,227.7,1,1.1,3.9,12.9,0.1,0,0,0,11.7
Seahawks D/STD/ST,@SF,W 20-3,0/0,0,0,0,0,0,0,0,0,0,11.7
"Calvin Johnson, DetWRP",Min,Sun 1:00,0/0,0,0,0,0,0,0,5.9,85.7,0.6,11.4

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Matt Cassel, DalQB",@NYG,Sun 4:25,20.5/33.9,220.3,1.3,1.2,2.9,12.4,0.1,0,0,0,11.4
"Frank Gore, IndRB",NO,Sun 1:00,0/0,0,0,0,16.8,79,0.5,1.5,12.1,0.1,11.4
"Chris Ivory, NYJRB",@NE,Sun 1:00,0/0,0,0,0,17.3,79.8,0.5,2.4,17.1,0.1,11.3
"Landry Jones, PitQB",@KC,Sun 1:00,17.2/31.9,206.1,1.3,1.1,2.5,7.5,0.1,0,0,0,11.2
"Keenan Allen, SDWRQ",Oak,Sun 4:05,0/0,0,0,0,0,0,0,6.2,85.4,0.5,11.1
"Odell Beckham Jr., NYGWRQ",Dal,Sun 4:25,0/0,0,0,0,0.4,2.5,0,6.4,85,0.5,11
"Julio Jones, AtlWR",@Ten,Sun 1:00,0/0,0,0,0,0,0,0,6.2,79.8,0.6,10.7
"Mark Ingram, NORB",@Ind,Sun 1:00,0/0,0,0,0,13.9,55.2,0.6,2.9,22.2,0.1,10.7
"DeMarco Murray, PhiRB",@Car,Sun 8:30,0/0,0,0,0,14.3,59.8,0.5,3.7,29,0.1,10.5
"Brandon Marshall, NYJWRP",@NE,Sun 1:00,0/0,0,0,0,0,0,0,6.6,78.8,0.6,10.3
"Allen Robinson, JaxWRP",Buf,Sun 9:30 AM,0/0,0,0,0,0,0,0,6,85.9,0.4,10.1
"Doug Martin, TBRB",@Wsh,Sun 1:00,0/0,0,0,0,17.6,70.4,0.3,2,16.2,0,10.1
