

Arizona Cardinals,D/ST,ARI,9,BALMon 8:30,0,0,0,2,3,1,1,0,22,315,13,92%
Carolina Panthers,D/ST,CAR,5,PHISun 8:30,0,0,0,2,2,1,1,0,24,345,11,84%
St. Louis Rams,D/ST,STL,6,CLESun 1:00,0,0,0,1,3,1,1,0,25,298,11,91%
Kansas City Chiefs,D/ST,KC,9,PITSun 1:00,0,0,0,1,3,1,0,0,19,327,10,45%
Minnesota Vikings,D/ST,MIN,5,@DETSun 1:00,0,0,0,1,3,1,0,0,17,302,10,31%
New York Jets,D/ST,NYJ,5,@NESun 1:00,0,0,0,1,3,1,0,0,30,373,10,73%
Houston Texans,D/ST,HOU,9,@MIASun 1:00,0,0,0,1,2,1,1,0,23,296,9,63%
Tampa Bay Buccaneers,D/ST,TB,6,@WASSun 1:00,0,0,0,1,2,1,1,0,23,232,9,18%
Tennessee Titans,D/ST,TEN,4,ATLSun 1:00,0,0,0,1,2,1,1,0,27,374,9,17%
Atlanta Falcons,D/ST,ATL,10,@TENSun 1:00,0,0,0,1,2,1,0,0,9,104,8,45%
Buffalo Bills,D/ST,BUF,8,@JACSun 9:30,0,0,0,0,3,1,0,0,22,310,8,84%
Cleveland Browns,D/ST,CLE,11,@STLSun 1:00,0,0,0,1,2,1,0,0,23,358,8,14%
Dallas Cowboys,D/ST,DAL,6,@NYGSun 4:25,0,0,0,1,2,1,0,0,23,282,8,15%
Detroit Lions,D/ST,DET,9,MINSun 1:00,0,0,0,1,2,1,0,0,25,319,8,66%
Jacksonville Jaguars,D/ST,JAC,8,BUFSun 9:30,0,0,0,1,2,1,0,0,10,80,8,5%
Miami Dolphins,D/ST,MIA,5,HOUSun 1:00,0,0,0,1,2,1,0,0,16,279,8,33%
Oakland Raiders,D/ST,OAK,6,@SDSun 4:05,0,0,0,1,2,1,0,0,28,336,8,4%
Philadelphia Eagles,D/ST,PHI,8,@CARSun 8:30,0,0,0,1,2,1,0,0,22,302,8,75%
Seattle Seahawks,D/ST,SEA,9,@SF,0,0,0,1,2,1,0,0,19,232,8,97%
New England Patriots,D/ST,NE,4,NYJSun 1:00,0,0,0,0,2,1,1,0,19,277,7,88%
 Previous12Next 


San Francisco 49ers,D/ST,SF,10,SEA,0,0,0,1,1,1,1,0,23,307,7,16%
Baltimore Ravens,D/ST,BAL,9,@ARIMon 8:30,0,0,0,1,1,1,0,0,25,366,6,62%
Indianapolis Colts,D/ST,IND,10,NOSun 1:00,0,0,0,0,2,1,0,0,24,351,6,15%
New Orleans Saints,D/ST,NO,11,@INDSun 1:00,0,0,0,1,1,1,0,0,27,328,6,7%
Pittsburgh Steelers,D/ST,PIT,11,@KCSun 1:00,0,0,0,0,2,1,0,0,21,283,6,51%
Washington Redskins,D/ST,WAS,8,TBSun 1:00,0,0,0,0,2,1,0,0,18,271,6,25%
San Diego Chargers,D/ST,SD,10,OAKSun 4:05,0,0,0,0,1,1,0,0,18,243,4,6%
New York Giants,D/ST,NYG,11,DALSun 4:25,0,0,0,0,1,0,0,0,21,224,2,23%
 Previous12Next 
