,Unnamed: 0,player,fox,dk_name
0,0,Le'Veon Bell,26.16,Le'Veon Bell
1,1,Russell Wilson,21.368,Russell Wilson
2,2,Andrew Luck,21.43,Andrew Luck
3,3,Philip Rivers,23.772,Philip Rivers
4,4,Matt Ryan,23.404,Matt Ryan
5,5,Carson Palmer,22.854,Carson Palmer
6,6,Landry Jones,19.544,Landry Jones
7,7,Colin Kaepernick,18.752,Colin Kaepernick
8,8,Eli Manning,22.054,Eli Manning
9,9,Drew Brees,18.36,Drew Brees
10,10,Alex Smith,18.032,Alex Smith
11,11,Josh McCown,17.732,Josh McCown
12,12,Cam Newton,17.908,Cam Newton
13,13,Devonta Freeman,21.54,Devonta Freeman
14,14,Derek Carr,16.962,Derek Carr
15,15,Kirk Cousins,16.786,Kirk Cousins
16,16,Matt Cassel,17.574,Matt Cassel
17,17,Teddy Bridgewater,17.286,Teddy Bridgewater
18,18,EJ Manuel,16.566,EJ Manuel
19,19,Ryan Tannehill,16.204,Ryan Tannehill
20,20,Blake Bortles,17.118,Blake Bortles
21,21,Todd Gurley,17.33,Todd Gurley
22,22,Tom Brady,16.038,Tom Brady
23,23,Matthew Stafford,16.536,Matthew Stafford
24,24,Marshawn Lynch,17.63,Marshawn Lynch
25,25,Latavius Murray,18.53,Latavius Murray
26,26,Nick Foles,16.002,Nick Foles
27,27,Jameis Winston,16.34,Jameis Winston
28,28,Arian Foster,16.97,Arian Foster
29,29,Frank Gore,16.4,Frank Gore
30,30,LeSean McCoy,17.92,LeSean McCoy
31,31,Adrian Peterson,16.82,Adrian Peterson
32,32,Zach Mettenberger,14.988,Zach Mettenberger
33,33,Mark Ingram,18.18,Mark Ingram
34,34,Doug Martin,15.59,Doug Martin
35,35,Justin Forsett,15.83,Justin Forsett
36,36,Larry Fitzgerald,17.92,Larry Fitzgerald
37,37,Ryan Fitzpatrick,12.194,Ryan Fitzpatrick
38,38,Sam Bradford,13.144,Sam Bradford
39,39,Odell Beckham Jr.,17.41,Odell Beckham Jr.
40,40,Chris Ivory,12.85,Chris Ivory
41,41,Chris Johnson,13.78,Chris Johnson
42,42,T.J. Yeldon,13.96,T.J. Yeldon
43,43,Brian Hoyer,12.334,Brian Hoyer
44,44,Julio Jones,17.19,Julio Jones
45,45,Joe Flacco,12.472,Joe Flacco
46,46,Lamar Miller,13.46,Lamar Miller
47,47,Carlos Hyde,12.98,Carlos Hyde
48,48,Calvin Johnson,16.03,Calvin Johnson
49,49,Terrance Williams,16.23,Terrance Williams
50,50,Kendall Wright,15.38,Kendall Wright
51,51,Brandin Cooks,15.55,Brandin Cooks
52,52,Vincent Jackson,15.01,Vincent Jackson
53,53,Cole Beasley,15.46,Cole Beasley
54,54,Jason Witten,16.24,Jason Witten
55,55,Jonathan Stewart,11.98,Jonathan Stewart
56,56,Anquan Boldin,14.35,Anquan Boldin
57,57,Antonio Brown,13.88,Antonio Brown
58,58,Melvin Gordon,11.57,Melvin Gordon
59,59,Golden Tate,14.6,Golden Tate
60,60,Pierre Garcon,14.36,Pierre Garcon
61,61,Michael Crabtree,14.28,Michael Crabtree
62,62,Robert Woods,14.25,Robert Woods
63,63,Julian Edelman,14.9,Julian Edelman
64,64,Keenan Allen,14.45,Keenan Allen
65,65,Mike Wallace,13.18,Mike Wallace
66,66,Allen Hurns,13.77,Allen Hurns
67,67,DeAndre Hopkins,14.27,DeAndre Hopkins
68,68,John Brown,13.65,John Brown
