,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire
237,Andrew Hawkins,WR,3000,Cle@StL 01:00PM ET,6.433,Cle,6.0,8.1,7.25,7.1,6.98,11.16,7.404
238,Seyi Ajirotutu,WR,3000,Phi@Car 08:30PM ET,0.0,Phi,,,,,,0.02,
239,Marlon Moore,WR,3000,Cle@StL 01:00PM ET,0.5,Cle,,,,,,,1.371
240,Darrel Young,RB,3000,TB@Was 01:00PM ET,0.5,Was,,,2.96,,1.2,,1.4804
241,Louis Murphy,WR,3000,TB@Was 01:00PM ET,5.18,TB,,3.4,6.17,3.7,4.81,6.0,6.283
242,Brian Hartline,WR,3000,Cle@StL 01:00PM ET,3.633,Cle,6.0,5.6,8.4,5.8,4.87,6.13,4.913
243,Donald Brown,RB,3000,Oak@SD 04:05PM ET,0.0,SD,,,,,,0.05,
244,Jorvorskie Lane,RB,3000,TB@Was 01:00PM ET,0.0,TB,,,,,,0.03,
245,Shaun Draughn,RB,3000,Cle@StL 01:00PM ET,0.62,Cle,,,,,,0.06,
246,Marcel Reece,RB,3000,Oak@SD 04:05PM ET,9.78,Oak,,1.6,7.52,2.0,4.65,5.75,2.217
247,Bruce Miller,RB,3000,Sea@SF 08:25PM ET,2.983,SF,,,3.24,,,1.05,
248,Bryan Walters,WR,3000,Buf@Jax 09:30AM ET,8.06,Jax,6.5,4.2,5.76,4.1,9.7,8.92,1.032
249,Andre Roberts,WR,3000,TB@Was 01:00PM ET,2.4,Was,,5.9,,5.0,4.1,,
250,Jacoby Jones,WR,3000,Oak@SD 04:05PM ET,0.0,SD,,6.8,,6.5,,0.07,
251,Riley Cooper,WR,3000,Phi@Car 08:30PM ET,7.25,Phi,,3.2,4.87,2.6,9.44,9.57,4.886
252,Fred Jackson,RB,3000,Sea@SF 08:25PM ET,5.533,Sea,,2.6,,2.7,4.31,,6.439
253,Boobie Dixon,RB,3000,Buf@Jax 09:30AM ET,2.817,Buf,,,,,1.44,,
254,Jeremy Ross,WR,3000,Bal@Ari 08:30PM ET,5.5,Bal,,,,,4.81,,
255,Chase Reynolds,RB,3000,Cle@StL 01:00PM ET,0.0,StL,,,,,,,
256,Joseph Morgan,WR,3000,NO@Ind 01:00PM ET,0.0,NO,,,,,,,
257,Fozzy Whittaker,RB,3000,Phi@Car 08:30PM ET,2.3,Car,,5.9,3.79,6.5,2.74,0.33,1.562
258,Marcus Easley,WR,3000,Buf@Jax 09:30AM ET,0.0,Buf,,,1.31,,,3.89,
259,Matt Asiata,RB,3000,Min@Det 01:00PM ET,2.86,Min,,3.1,3.08,3.4,3.69,3.97,2.078
260,Taiwan Jones,RB,3000,Oak@SD 04:05PM ET,2.3,Oak,,,4.2,,,2.79,2.928
261,Charles Johnson,WR,3000,Min@Det 01:00PM ET,3.533,Min,5.0,7.1,5.63,6.6,6.78,0.75,8.865
262,Brian Quick,WR,3000,Cle@StL 01:00PM ET,1.0,StL,4.5,6.2,5.97,6.1,4.81,2.61,4.765
263,Daniel Herron,RB,3000,Buf@Jax 09:30AM ET,3.25,Buf,1.5,3.1,6.26,3.4,4.79,0.01,1.95
264,Denarius Moore,WR,3000,Buf@Jax 09:30AM ET,-0.5,Buf,,,3.3,,6.28,,
265,Dontrelle Inman,WR,3000,Oak@SD 04:05PM ET,4.52,SD,,3.4,,3.7,,2.34,3.142
266,Coby Fleener,TE,3000,NO@Ind 01:00PM ET,7.3,Ind,4.0,5.8,8.22,5.9,8.65,9.76,9.274
267,Jeremy Kerley,WR,3000,NYJ@NE 01:00PM ET,3.06,NYJ,,8.8,4.94,8.5,,0.26,2.803
268,Anthony Sherman,RB,3000,Pit@KC 01:00PM ET,0.55,KC,,,2.08,,1.17,1.68,1.5766
269,Will Tukuafu,RB,3000,Sea@SF 08:25PM ET,0.0,Sea,,,,,,,
270,Robert Turbin,RB,3000,Cle@StL 01:00PM ET,2.7,Cle,,4.1,4.26,3.8,3.74,2.14,3.81
271,Will Johnson,RB,3000,Pit@KC 01:00PM ET,1.117,Pit,,,2.78,,,0.04,1.679
272,Bobby Rainey,RB,3000,TB@Was 01:00PM ET,0.84,TB,,4.9,,5.3,,0.21,2.204
273,Roy Helu Jr.,RB,3000,Oak@SD 04:05PM ET,4.625,Oak,3.0,5.5,7.81,5.7,6.91,0.13,5.077
274,Patrick DiMarco,RB,3000,Atl@Ten 01:00PM ET,1.35,Atl,,,1.7,,,0.04,1.202
275,Austin Johnson,RB,3000,NO@Ind 01:00PM ET,1.88,NO,,,2.87,,,,
276,Chris Polk,RB,3000,Hou@Mia 01:00PM ET,5.733,Hou,3.0,1.7,4.23,2.3,,0.02,7.4124
277,Jarryd Hayne,RB,3000,Sea@SF 08:25PM ET,0.533,SF,2.5,,,,,,
278,Kenjon Barner,RB,3000,Phi@Car 08:30PM ET,0.0,Phi,,,,,,,
279,Brice Butler,WR,3000,Dal@NYG 04:25PM ET,2.567,Dal,,,,,3.79,0.48,3.614
280,Zach Line,RB,3000,Min@Det 01:00PM ET,2.7,Min,,,2.46,,,,
281,Chris Owusu,WR,3000,NYJ@NE 01:00PM ET,4.75,NYJ,,,5.02,,4.24,6.29,3.0
282,Griff Whalen,WR,3000,NO@Ind 01:00PM ET,2.267,Ind,,,,,,0.67,1.152
283,Brenton Bersin,WR,3000,Phi@Car 08:30PM ET,3.9,Car,,,,,,,
284,Jonathan Grimes,RB,3000,Hou@Mia 01:00PM ET,5.625,Hou,,0.6,,0.5,1.41,,1.658
285,Frankie Hammond Jr.,WR,3000,Pit@KC 01:00PM ET,0.0,KC,,,,,,0.28,
286,Jaron Brown,WR,3000,Bal@Ari 08:30PM ET,2.467,Ari,,,5.4,,,6.52,
287,Chris Givens,WR,3000,Bal@Ari 08:30PM ET,1.58,Bal,,7.6,3.39,6.8,1.65,0.3,
288,Keshawn Martin,WR,3000,NYJ@NE 01:00PM ET,7.167,NE,,,,,7.0,7.38,3.649
289,Myles White,WR,3000,Dal@NYG 04:25PM ET,0.0,NYG,,,,,,,
290,Jordan Todman,RB,3000,Pit@KC 01:00PM ET,0.183,Pit,,,,,,,
291,Jarius Wright,WR,3000,Min@Det 01:00PM ET,4.8,Min,,7.6,6.15,7.1,3.73,6.64,3.736
292,Brandon Bolden,RB,3000,NYJ@NE 01:00PM ET,0.72,NE,,2.6,,3.1,,,1.295
293,Jonas Gray,RB,3000,Hou@Mia 01:00PM ET,3.167,Mia,2.0,2.8,3.22,2.6,1.65,,2.366
294,Russell Shepard,WR,3000,TB@Was 01:00PM ET,0.533,TB,,,,,,1.53,
295,Zurlon Tipton,RB,3000,NO@Ind 01:00PM ET,0.3,Ind,,,,,,,
296,Tommy Bohanon,RB,3000,NYJ@NE 01:00PM ET,0.04,NYJ,,,1.56,,,0.34,
