,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire
421,Jim Dray,TE,2500,Cle@StL 01:00PM ET,0.667,Cle,,,4.68,,,0.68,
422,John Phillips,TE,2500,Oak@SD 04:05PM ET,2.433,SD,,,,,,0.01,
423,Rob Housler,TE,2500,Cle@StL 01:00PM ET,0.267,Cle,,,4.68,,,,1.37
424,Kyle Nelson,TE,2500,Sea@SF 08:25PM ET,0.0,SF,,,,,,,
425,Matthew Mulligan,TE,2500,Buf@Jax 09:30AM ET,0.2,Buf,,,,,,,
426,Lance Kendricks,TE,2500,Cle@StL 01:00PM ET,4.3,StL,2.0,2.6,,3.3,,,4.224
427,Jermaine Gresham,TE,2500,Bal@Ari 08:30PM ET,1.683,Ari,4.0,4.0,4.41,4.0,4.83,5.52,1.851
428,Jeff Cumberland,TE,2500,NYJ@NE 01:00PM ET,0.75,NYJ,1.5,4.2,,4.1,2.77,5.38,3.012
429,Michael Hoomanawanui,TE,2500,NO@Ind 01:00PM ET,0.35,NO,,,,,,,1.535
430,Lee Smith,TE,2500,Oak@SD 04:05PM ET,1.36,Oak,,,3.27,,,0.8,
431,Luke Stocker,TE,2500,TB@Was 01:00PM ET,0.0,TB,,,2.13,,,0.86,
432,Rhett Ellison,TE,2500,Min@Det 01:00PM ET,0.68,Min,,,3.76,,1.5,3.55,2.093
433,Garrett Celek,TE,2500,Sea@SF 08:25PM ET,5.517,SF,4.0,2.4,4.5,3.2,3.58,3.36,
434,James Hanna,TE,2500,Dal@NYG 04:25PM ET,0.567,Dal,,,,,,,
435,Jake Stoneburner,TE,2500,Hou@Mia 01:00PM ET,5.425,Mia,,1.2,6.11,1.6,,,1.872
436,Mychal Rivera,TE,2500,Oak@SD 04:05PM ET,3.08,Oak,4.0,5.8,4.21,5.9,4.44,5.06,4.673
437,Cory Harkey,TE,2500,Cle@StL 01:00PM ET,0.28,StL,,,,,3.37,0.63,
438,Beau Brinkley,TE,2500,Atl@Ten 01:00PM ET,0.0,Ten,,,,,,,
439,Kevin McDermott,TE,2500,Min@Det 01:00PM ET,0.0,Min,,,,,,,
440,Tim Wright,TE,2500,Min@Det 01:00PM ET,3.7,Det,2.0,,,,,2.3,
441,Michael Williams,TE,2500,NYJ@NE 01:00PM ET,0.5,NE,,,,,,,
442,Luke Willson,TE,2500,Sea@SF 08:25PM ET,3.08,Sea,4.0,2.8,4.45,2.4,3.41,3.65,3.61
443,Josh Hill,TE,2500,NO@Ind 01:00PM ET,3.183,NO,2.0,4.2,5.83,4.1,4.32,3.47,3.283
444,James Winchester,TE,2500,Pit@KC 01:00PM ET,0.0,KC,,,,,,,
445,Jack Doyle,TE,2500,NO@Ind 01:00PM ET,1.65,Ind,,,,,1.68,0.18,
446,Vance McDonald,TE,2500,Sea@SF 08:25PM ET,1.62,SF,,,2.66,,2.16,,1.928
447,Levine Toilolo,TE,2500,Atl@Ten 01:00PM ET,1.467,Atl,,3.4,5.01,3.7,,0.17,3.359
448,Justice Cunningham,TE,2500,Cle@StL 01:00PM ET,0.0,StL,,,,,1.91,,
449,Gavin Escobar,TE,2500,Dal@NYG 04:25PM ET,2.28,Dal,4.0,5.0,4.65,4.5,2.79,3.25,2.608
450,Dion Sims,TE,2500,Hou@Mia 01:00PM ET,6.65,Mia,,1.6,4.33,1.8,5.19,3.2,3.533
451,Jerome Cunningham,TE,2500,Dal@NYG 04:25PM ET,1.3,NYG,,,,,,0.03,
452,Nic Jacobs,TE,2500,Buf@Jax 09:30AM ET,0.0,Jax,,,,,,,
453,Cooper Helfet,TE,2500,Sea@SF 08:25PM ET,0.0,Sea,,,,,,,
454,Crockett Gillmore,TE,2500,Bal@Ari 08:30PM ET,10.775,Bal,6.5,2.8,6.38,2.4,9.01,5.66,5.944
455,Trey Burton,TE,2500,Phi@Car 08:30PM ET,0.0,Phi,,,,,,,
456,Blake Bell,TE,2500,Sea@SF 08:25PM ET,0.783,SF,,,,,,,
457,James O'Shaughnessy,TE,2500,Pit@KC 01:00PM ET,2.25,KC,,,3.61,,1.56,1.37,3.726
458,MyCole Pruitt,TE,2500,Min@Det 01:00PM ET,0.0,Min,,1.2,,1.6,,,
459,Cameron Brate,TE,2500,TB@Was 01:00PM ET,0.567,TB,,,,,,,2.012
460,Will Tye,TE,2500,Dal@NYG 04:25PM ET,4.333,NYG,,,,,3.65,,
461,Chase Ford,TE,2500,Min@Det 01:00PM ET,0.0,Min,,1.6,,1.8,,,
462,Clive Walford,TE,2500,Oak@SD 04:05PM ET,1.36,Oak,2.0,1.4,2.34,1.7,2.47,3.51,
463,C.J. Fiedorowicz,TE,2500,Hou@Mia 01:00PM ET,3.233,Hou,2.0,2.4,4.29,2.2,1.51,2.92,2.05
464,Brian Parker,TE,2500,Pit@KC 01:00PM ET,0.0,KC,,,,,,,
465,Demetrius Harris,TE,2500,Pit@KC 01:00PM ET,0.583,KC,,,,,1.07,,
466,Nick Boyle,TE,2500,Bal@Ari 08:30PM ET,2.3,Bal,,2.6,2.92,2.3,2.74,,
467,Troy Niklas,TE,2500,Bal@Ari 08:30PM ET,0.383,Ari,,,,,1.85,0.18,2.83
468,Phillip Supernaw,TE,2500,Atl@Ten 01:00PM ET,0.0,Ten,,,,,,,
469,Jesse James,TE,2500,Pit@KC 01:00PM ET,0.0,Pit,,,,,,0.25,
470,Derek Carrier,TE,2500,TB@Was 01:00PM ET,4.2,Was,2.0,2.6,3.78,3.3,1.88,3.71,3.337
471,Geoff Swaim,TE,2500,Dal@NYG 04:25PM ET,0.5,Dal,,,,,,,
472,E.J. Bibbs,TE,2500,Cle@StL 01:00PM ET,0.0,Cle,,,,,,,
473,Raiders ,DST,2400,Oak@SD 04:05PM ET,7.0,Oak,,,,,,,
474,Rams ,DST,2400,Cle@StL 01:00PM ET,9.6,StL,,,,,,,
475,Jaguars ,DST,2400,Buf@Jax 09:30AM ET,3.0,Jax,,,,,,,
476,Browns ,DST,2300,Cle@StL 01:00PM ET,6.167,Cle,,,,,,,
477,Colts ,DST,2300,NO@Ind 01:00PM ET,6.0,Ind,,,,,,,
478,49ers ,DST,2100,Sea@SF 08:25PM ET,3.667,SF,,,,,,,
479,Saints ,DST,2000,NO@Ind 01:00PM ET,6.333,NO,,,,,,,
