Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
Davante Adams,WR,4700,Chi@GB 08:30PM ET,8.971,GB,12.0,15.2,11.02,14.6,11.8,13.67,11.3136,12.8005142857,15.2,11.02,4.18,0.326549379712
Vincent Jackson,WR,4700,TB@Ind 01:00PM ET,12.214,TB,10.0,16.6,11.91,15.3,12.01,14.9,12.262,13.2831428571,16.6,10.0,6.6,0.496870362006
Antonio Gates,TE,4700,SD@Jax 01:00PM ET,14.56,SD,16.5,14.0,11.81,14.0,11.14,9.05,11.232,12.5331428571,16.5,9.05,7.45,0.594423927415
Danny Amendola,WR,4700,NE@Den 08:30PM ET,12.01,NE,,,,,,,,,,,,
Jeremy Maclin,WR,4700,Buf@KC 01:00PM ET,14.111,KC,11.0,18.2,12.26,17.1,13.59,15.89,14.304,14.6205714286,18.2,11.0,7.2,0.492456812319
Travis Kelce,TE,4700,Buf@KC 01:00PM ET,13.4,KC,16.5,16.2,11.91,15.1,13.08,12.13,11.397,13.7595714286,16.5,11.397,5.103,0.370869109295
Jeremy Hill,RB,4700,StL@Cin 01:00PM ET,10.04,Cin,12.0,11.2,10.82,10.7,10.8,8.77,11.369,10.8084285714,12.0,8.77,3.23,0.298840851716
James Jones,WR,4600,Chi@GB 08:30PM ET,13.92,GB,9.5,19.4,14.35,17.7,9.7,12.67,7.782,13.0145714286,19.4,7.782,11.618,0.892691708195
Frank Gore,RB,4600,TB@Ind 01:00PM ET,12.74,Ind,16.5,14.7,13.8,15.4,14.67,13.86,11.468,14.3425714286,16.5,11.468,5.032,0.350843642304
Chris Johnson,RB,4600,Ari@SF 04:05PM ET,11.95,Ari,15.5,6.7,10.85,7.5,14.41,14.91,13.292,11.8802857143,15.5,6.7,8.8,0.740722926337
Javorius Allen,RB,4600,Bal@Cle 08:30PM ET,4.85,Bal,19.5,14.7,14.31,17.4,14.33,19.65,13.386,16.1822857143,19.65,13.386,6.264,0.387089939617
Stevie Johnson,WR,4500,SD@Jax 01:00PM ET,11.313,SD,19.0,6.0,10.21,6.0,13.99,16.8,15.406,12.4865714286,19.0,6.0,13.0,1.04111845869
Alfred Blue,RB,4500,NO@Hou 01:00PM ET,7.21,Hou,9.0,6.2,10.45,6.3,12.65,11.19,12.831,9.803,12.831,6.2,6.631,0.676425584005
Giovani Bernard,RB,4500,StL@Cin 01:00PM ET,14.11,Cin,11.0,16.9,13.89,17.0,14.33,14.53,13.37,14.4314285714,17.0,11.0,6.0,0.415759255593
Willie Snead,WR,4500,NO@Hou 01:00PM ET,12.36,NO,11.0,12.4,10.83,10.2,11.59,8.09,9.091,10.4572857143,12.4,8.09,4.31,0.412152839442
Thomas Rawls,RB,4500,Pit@Sea 04:25PM ET,9.88,Sea,17.0,16.7,16.05,15.2,14.84,8.57,15.048,14.7725714286,17.0,8.57,8.43,0.570652173913
Kendall Wright,WR,4400,Oak@Ten 01:00PM ET,12.2,Ten,10.0,9.9,11.47,9.1,11.66,12.77,10.545,10.7778571429,12.77,9.1,3.67,0.340512956458
