,player,opp,opp_rank,overall_rank,pos_rank,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,fan_pts,fanduel_pts,fanduel_cost,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,2-pt,fl,punt_td,kick_td
0,Brent Celek ,DET,#26,1,1,0.0,0.0,0.0,0.0,0.0,0.0,10.4,117.84,0.88,27.46,22.26,$5800,3.84,30.46,$3200,9.52,22.26,$55600,0.4,27.46,$7500,3.66,22.26,$3800,5.86,27.46,$3000,9.15,27.46,$4000,6.87,22.26,$2000,11.13,22.26,$10,2226.0,,,,
1,DeAndre Hopkins ,NO,#32,2,1,0.0,0.0,0.0,0.0,0.0,0.0,8.22,110.61,0.64,23.04,18.93,$9400,2.01,26.08,$9100,2.87,18.93,$145900,0.13,23.04,$16100,1.43,18.93,$6500,2.91,23.08,$7600,3.04,23.12,$8800,2.63,18.97,$8300,2.29,18.93,$36,525.83,,,,
2,Aaron Rodgers ,CHI,#25,3,1,302.84,2.16,0.68,4.83,18.46,0.26,0.02,0.62,0.0,22.88,23.55,$9200,2.56,26.65,$7400,3.6,22.87,$158300,0.14,23.56,$18050,1.31,25.9,$7600,3.41,23.65,$8100,2.92,26.77,$8800,3.04,23.64,$9300,2.54,23.55,$38,619.74,,,,
3,Carson Palmer ,SF,#30,4,2,268.59,2.57,0.49,2.3,10.77,0.11,0.0,0.0,0.0,21.58,22.07,$8100,2.72,22.21,$7100,3.13,21.58,$145000,0.15,22.07,$17700,1.25,24.27,$6950,3.49,22.21,$7200,3.08,25.04,$8600,2.91,22.21,$7600,2.92,22.07,$39,565.9,,,,
4,Julio Jones ,MIN,#16,5,2,0.0,0.0,0.0,0.0,0.0,0.0,7.46,102.05,0.6,21.23,17.5,$9300,1.88,24.29,$9400,2.58,17.5,$139100,0.13,21.23,$19450,1.09,17.5,$6400,2.73,21.29,$9700,2.19,21.35,$8800,2.43,17.56,$10200,1.72,17.5,$33,530.3,,,,
5,Philip Rivers ,JAC,#24,6,3,318.01,2.37,0.86,2.1,1.58,0.0,0.0,0.0,0.0,20.24,21.1,$8000,2.64,24.34,$6700,3.63,20.24,$133800,0.15,21.1,$14950,1.41,23.42,$6700,3.5,21.34,$6700,3.19,24.76,$7400,3.35,21.34,$6800,3.14,21.1,$38,555.26,,,,
6,Cam Newton ,DAL,#22,7,4,216.4,1.34,0.78,7.44,51.68,0.36,0.02,0.34,0.0,19.52,20.29,$8900,2.28,20.46,$7100,2.88,19.51,$149400,0.13,20.3,$18100,1.12,21.67,$7000,3.1,20.46,$7800,2.62,22.78,$8800,2.59,20.45,$9400,2.18,20.29,$35,579.71,,,,
7,Odell Beckham ,WSH,#18,8,3,0.0,0.0,0.0,0.14,1.53,0.0,5.67,90.56,0.74,19.28,16.44,$9100,1.81,19.3,$8700,2.22,16.44,$138400,0.12,19.28,$17400,1.11,16.44,$6200,2.65,19.3,$3700,5.22,19.32,$8600,2.25,16.46,$8600,1.91,16.44,$34,483.53,,,,
8,Antonio Brown ,SEA,#4,8,3,0.0,0.0,0.0,0.12,-0.03,0.0,6.08,85.64,0.78,19.28,16.24,$9000,1.8,19.32,$8700,2.22,16.24,$133200,0.12,19.28,$19100,1.01,16.24,$6300,2.58,19.32,$3600,5.37,19.36,$9000,2.15,16.28,$9400,1.73,16.24,$33,492.12,,,,
9,Drew Brees ,HOU,#11,9,5,314.85,2.06,1.19,2.21,6.5,0.02,0.0,0.0,0.0,18.98,20.17,$8200,2.46,23.31,$7300,3.19,18.98,$140900,0.13,20.17,$17650,1.14,22.13,$7400,2.99,20.31,$3300,6.15,23.6,$8700,2.71,20.31,$8700,2.33,20.17,$40,504.25,,,,
