,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fire,average,max,min,range,rel_range,final
71,Travis Benjamin,WR,5300,Bal@Cle 08:30PM ET,15.79,Cle,19.5,17.4,11.13,15.8,13.79,12.007,14.7752857143,19.5,11.13,8.37,0.566486507392,22.0
72,Brock Osweiler,QB,5300,NE@Den 08:30PM ET,9.68,Den,14.1,,15.25,,15.782,16.0704,14.95368,16.0704,13.566,2.5044,0.167477169499,14.2
73,Charcandrick West,RB,5300,Buf@KC 01:00PM ET,9.72,KC,,13.1,9.08,14.8,,7.23,11.0525,14.8,7.23,7.57,0.68491291563,
74,Jonathan Stewart,RB,5200,Car@Dal 04:30PM ET,12.49,Car,16.0,14.7,11.86,15.4,12.35,13.7434,14.3819142857,16.62,11.86,4.76,0.330971239672,10.7
75,Mark Sanchez,QB,5200,Phi@Det 12:30PM ET,11.24,Phi,18.2,20.08,16.63,21.08,16.054,17.2234,18.3047714286,21.08,16.054,5.026,0.274573218224,15.36
76,Danny Woodhead,RB,5200,SD@Jax 01:00PM ET,15.27,SD,20.0,19.0,13.24,18.3,13.43,13.678,15.6725714286,20.0,12.06,7.94,0.506617566631,10.7
77,Ryan Tannehill,QB,5200,Mia@NYJ 01:00PM ET,18.02,Mia,13.3,18.38,14.52,19.38,17.226,13.6104,16.1480571429,19.38,13.3,6.08,0.376515883379,27.04
78,Sammy Watkins,WR,5200,Buf@KC 01:00PM ET,11.829,Buf,14.5,15.8,10.97,15.0,13.53,14.449,13.5112857143,15.8,10.33,5.47,0.404846741877,36.8
79,Jay Cutler,QB,5100,Chi@GB 08:30PM ET,18.2,Chi,18.7,16.86,15.59,17.86,16.754,17.01,16.9348571429,18.7,15.59,3.11,0.183644891348,12.9
80,DeSean Jackson,WR,5100,NYG@Was 01:00PM ET,7.65,Was,18.5,19.2,11.52,17.7,11.99,13.47,15.4485714286,19.2,11.52,7.68,0.497133345663,14.6
81,Tyrod Taylor,QB,5100,Buf@KC 01:00PM ET,18.07,Buf,16.2,12.24,15.78,13.24,15.528,14.3944,15.0572,18.018,12.24,5.778,0.383736684111,27.24
82,LeGarrette Blount,RB,5100,NE@Den 08:30PM ET,12.467,NE,12.5,11.0,10.15,11.8,12.73,14.032,11.8774285714,14.032,10.15,3.882,0.326838421015,2.7
83,Jordan Reed,TE,5100,NYG@Was 01:00PM ET,15.663,Was,17.0,6.2,12.36,6.1,13.02,12.031,11.223,17.0,6.1,10.9,0.971219816448,17.8
84,Johnny Manziel,QB,5100,Bal@Cle 08:30PM ET,10.72,Cle,,,,,,,,,,,,
85,Matt Cassel,QB,5000,Car@Dal 04:30PM ET,9.992,Dal,,16.44,,15.44,,,15.94,16.44,15.44,1.0,0.0627352572146,10.62
86,Derek Anderson,QB,5000,Car@Dal 04:30PM ET,0.2,Car,,,,,,,,,,,,
87,Dan Orlovsky,QB,5000,Phi@Det 12:30PM ET,3.68,Det,,,,,,,,,,,,
88,Joe Webb,QB,5000,Car@Dal 04:30PM ET,-0.01,Car,,,,,,,,,,,,
89,Scott Tolzien,QB,5000,Chi@GB 08:30PM ET,0.0,GB,,,,,,,,,,,,
90,Thaddeus Lewis,QB,5000,Phi@Det 12:30PM ET,0.0,Phi,,,,,,,,,,,,
91,Jimmy Clausen,QB,5000,Chi@GB 08:30PM ET,3.58,Chi,,,,,,,,,,,,
92,Brett Hundley,QB,5000,Chi@GB 08:30PM ET,0.0,GB,,,,,,,,,,,,
93,Mike Vick,QB,5000,Pit@Sea 04:25PM ET,6.348,Pit,,,,,,,,,,,,
94,Josh McCown,QB,5000,Bal@Cle 08:30PM ET,19.64,Cle,18.6,17.8,17.06,18.8,19.492,16.3566,17.9703714286,19.492,16.3566,3.1354,0.174476082059,13.68
95,Charlie Whitehurst,QB,5000,TB@Ind 01:00PM ET,0.0,Ind,,,,,,,,,,,,
96,Tarvaris Jackson,QB,5000,Pit@Sea 04:25PM ET,0.0,Sea,,,,,,,,,,,,
97,Ryan Fitzpatrick,QB,5000,Mia@NYJ 01:00PM ET,16.856,NYJ,16.2,18.28,17.85,19.28,18.206,18.7554,17.6956285714,19.28,15.298,3.982,0.225027327169,29.18
98,Kellen Clemens,QB,5000,SD@Jax 01:00PM ET,6.52,SD,,,,,,,,,,,,
99,Shaun Hill,QB,5000,Min@Atl 01:00PM ET,0.25,Min,,,,,,,,,,,,
100,Matt Moore,QB,5000,Mia@NYJ 01:00PM ET,0.36,Mia,,,,,,,,,,,,
101,Drew Stanton,QB,5000,Ari@SF 04:05PM ET,-0.1,Ari,,,,,,,,,,,,
102,Alex Smith,QB,5000,Buf@KC 01:00PM ET,17.184,KC,15.5,12.82,16.43,13.82,16.426,14.4508,15.3055428571,17.692,12.82,4.872,0.318316053568,21.7
103,Matt Flynn,QB,5000,NO@Hou 01:00PM ET,0.0,NO,,,,,,,,,,,,
104,Brian Hoyer,QB,5000,NO@Hou 01:00PM ET,17.351,Hou,19.1,,19.42,,20.094,19.5924,18.81808,20.094,15.884,4.21,0.223721017234,14.9
105,Chad Henne,QB,5000,SD@Jax 01:00PM ET,0.0,Jax,,,,,,,,,,,,
106,Josh Johnson,QB,5000,Buf@KC 01:00PM ET,0.0,Buf,,,,,,,,,,,,
107,Chase Daniel,QB,5000,Buf@KC 01:00PM ET,0.16,KC,,,,,,,,,,,,
108,Colt McCoy,QB,5000,NYG@Was 01:00PM ET,0.0,Was,,,,,,,,,,,,
109,Case Keenum,QB,5000,StL@Cin 01:00PM ET,3.72,StL,,,,,,6.2842,9.9671,13.65,6.2842,7.3658,0.739011347333,
110,Brandon Weeden,QB,5000,NO@Hou 01:00PM ET,9.63,Hou,,,,,,,,,,,,
111,Austin Davis,QB,5000,Bal@Cle 08:30PM ET,0.0,Cle,,,,,,,,,,,,7.78
112,Nick Foles,QB,5000,StL@Cin 01:00PM ET,10.791,StL,12.1,17.04,11.46,18.04,9.92,5.5168,12.3461333333,18.04,5.5168,12.5232,1.01434187222,6.32
113,Landry Jones,QB,5000,Pit@Sea 04:25PM ET,6.965,Pit,,,,,,,,,,,,
114,Robert Griffin III,QB,5000,NYG@Was 01:00PM ET,0.0,Was,,,,,,,,,,,,
115,EJ Manuel,QB,5000,Buf@KC 01:00PM ET,10.56,Buf,,,,,,,,,,,,
116,Blaine Gabbert,QB,5000,Ari@SF 04:05PM ET,16.68,SF,12.5,18.28,12.24,20.28,14.838,12.405,14.5687142857,20.28,11.438,8.842,0.606916974731,19.82
117,Sean Renfree,QB,5000,Min@Atl 01:00PM ET,-0.4,Atl,,,,,,,,,,,,
118,Mike Glennon,QB,5000,TB@Ind 01:00PM ET,0.0,TB,,,,,,,,,,,,
119,Ryan Nassib,QB,5000,NYG@Was 01:00PM ET,0.0,NYG,,,,,,,,,,,,
120,Ryan Griffin,QB,5000,TB@Ind 01:00PM ET,0.0,TB,6.0,5.6,4.83,5.8,6.45,,5.895,6.69,4.83,1.86,0.315521628499,17.2
121,Matt McGloin,QB,5000,Oak@Ten 01:00PM ET,11.68,Oak,,,,,,,,,,,,
122,John Brown,WR,5000,Ari@SF 04:05PM ET,14.3,Ari,17.0,14.4,15.24,13.2,11.56,9.985,13.4835714286,17.0,9.985,7.015,0.520262753616,14.9
123,Matt Barkley,QB,5000,Ari@SF 04:05PM ET,0.0,Ari,,,,,,,,,,,,
124,Zach Mettenberger,QB,5000,Oak@Ten 01:00PM ET,4.185,Ten,,,,,,,,,,,,
125,Aaron Murray,QB,5000,Buf@KC 01:00PM ET,0.0,KC,,,,,,,,,,,,
126,Bryce Petty,QB,5000,Mia@NYJ 01:00PM ET,0.0,NYJ,,,,,,,,,,,,
127,AJ McCarron,QB,5000,StL@Cin 01:00PM ET,-0.2,Cin,,,,,,,,,,,,
128,Geno Smith,QB,5000,Mia@NYJ 01:00PM ET,21.0,NYJ,,,,,,,,,,,,
129,Garrett Grayson,QB,5000,NO@Hou 01:00PM ET,0.0,NO,,,,,,,,,,,,
130,Trevor Siemian,QB,5000,NE@Den 08:30PM ET,0.0,Den,,,,,,,,,,,,
131,Dylan Thompson,QB,5000,Ari@SF 04:05PM ET,0.0,SF,,,,,,,,,,,,
132,Jimmy Garoppolo,QB,5000,NE@Den 08:30PM ET,-0.125,NE,,,,,,,,,,,,
133,Sean Mannion,QB,5000,StL@Cin 01:00PM ET,0.0,StL,,,,,,,,,,,,1.24
134,Teddy Bridgewater,QB,5000,Min@Atl 01:00PM ET,14.114,Min,14.2,17.5,14.83,18.5,13.8,16.2898,16.1396857143,18.5,13.8,4.7,0.291207653185,5.66
135,Taylor Heinicke,QB,5000,Min@Atl 01:00PM ET,0.0,Min,,,,,,,,,,,,
136,Kamar Aiken,WR,4900,Bal@Cle 08:30PM ET,9.96,Bal,14.0,16.4,11.24,17.2,12.73,14.809,14.4484285714,17.2,11.24,5.96,0.4125016067,20.0
137,Jason Witten,TE,4800,Car@Dal 04:30PM ET,10.92,Dal,8.5,17.4,10.89,16.7,13.7,10.1,12.4957142857,17.4,8.5,8.9,0.712244198011,7.6
138,James Starks,RB,4800,Chi@GB 08:30PM ET,11.01,GB,11.0,9.8,11.31,10.6,9.21,7.312,9.39885714286,11.31,6.56,4.75,0.505380593385,12.0
139,Gary Barnidge,TE,4800,Bal@Cle 08:30PM ET,16.57,Cle,18.0,19.4,13.53,19.7,14.3,11.794,15.5991428571,19.7,11.794,7.906,0.506822719197,16.1
140,Jimmy Graham,TE,4800,Pit@Sea 04:25PM ET,11.2,Sea,16.5,22.6,13.02,21.3,12.07,11.504,15.4377142857,22.6,11.07,11.53,0.746872223867,11.5
141,T.J. Yeldon,RB,4800,SD@Jax 01:00PM ET,13.2,Jax,20.5,15.7,15.83,16.3,14.45,15.3656,16.3936571429,20.5,14.45,6.05,0.36904517078,12.2
142,Stefon Diggs,WR,4800,Min@Atl 01:00PM ET,16.171,Min,17.5,20.8,13.39,19.4,11.34,13.692,15.6431428571,20.8,11.34,9.46,0.604737813008,7.1
143,Golden Tate,WR,4700,Phi@Det 12:30PM ET,10.95,Det,16.0,12.2,12.2,11.2,13.22,11.8552,13.0364571429,16.0,11.2,4.8,0.368198195829,18.0
144,Eddie Lacy,RB,4700,Chi@GB 08:30PM ET,8.4,GB,6.5,16.9,12.92,15.8,10.88,13.551,13.4044285714,17.28,6.5,10.78,0.804211827648,25.9
145,Davante Adams,WR,4700,Chi@GB 08:30PM ET,8.971,GB,12.0,15.2,11.02,14.6,11.8,11.3136,12.8005142857,15.2,11.02,4.18,0.326549379712,3.4
146,Vincent Jackson,WR,4700,TB@Ind 01:00PM ET,12.214,TB,10.0,16.6,11.91,15.3,12.01,12.262,13.2831428571,16.6,10.0,6.6,0.496870362006,11.6
147,Antonio Gates,TE,4700,SD@Jax 01:00PM ET,14.56,SD,16.5,14.0,11.81,14.0,11.14,11.232,12.5331428571,16.5,9.05,7.45,0.594423927415,21.3
148,Danny Amendola,WR,4700,NE@Den 08:30PM ET,12.01,NE,,,,,,,,,,,,
149,Jeremy Maclin,WR,4700,Buf@KC 01:00PM ET,14.111,KC,11.0,18.2,12.26,17.1,13.59,14.304,14.6205714286,18.2,11.0,7.2,0.492456812319,34.0
150,Travis Kelce,TE,4700,Buf@KC 01:00PM ET,13.4,KC,16.5,16.2,11.91,15.1,13.08,11.397,13.7595714286,16.5,11.397,5.103,0.370869109295,16.9
151,Jeremy Hill,RB,4700,StL@Cin 01:00PM ET,10.04,Cin,12.0,11.2,10.82,10.7,10.8,11.369,10.8084285714,12.0,8.77,3.23,0.298840851716,11.0
152,James Jones,WR,4600,Chi@GB 08:30PM ET,13.92,GB,9.5,19.4,14.35,17.7,9.7,7.782,13.0145714286,19.4,7.782,11.618,0.892691708195,
153,Frank Gore,RB,4600,TB@Ind 01:00PM ET,12.74,Ind,16.5,14.7,13.8,15.4,14.67,11.468,14.3425714286,16.5,11.468,5.032,0.350843642304,5.7
154,Chris Johnson,RB,4600,Ari@SF 04:05PM ET,11.95,Ari,15.5,6.7,10.85,7.5,14.41,13.292,11.8802857143,15.5,6.7,8.8,0.740722926337,1.7
155,Javorius Allen,RB,4600,Bal@Cle 08:30PM ET,4.85,Bal,19.5,14.7,14.31,17.4,14.33,13.386,16.1822857143,19.65,13.386,6.264,0.387089939617,18.4
156,Stevie Johnson,WR,4500,SD@Jax 01:00PM ET,11.313,SD,19.0,6.0,10.21,6.0,13.99,15.406,12.4865714286,19.0,6.0,13.0,1.04111845869,22.2
157,Alfred Blue,RB,4500,NO@Hou 01:00PM ET,7.21,Hou,9.0,6.2,10.45,6.3,12.65,12.831,9.803,12.831,6.2,6.631,0.676425584005,15.1
158,Giovani Bernard,RB,4500,StL@Cin 01:00PM ET,14.11,Cin,11.0,16.9,13.89,17.0,14.33,13.37,14.4314285714,17.0,11.0,6.0,0.415759255593,8.7
159,Willie Snead,WR,4500,NO@Hou 01:00PM ET,12.36,NO,11.0,12.4,10.83,10.2,11.59,9.091,10.4572857143,12.4,8.09,4.31,0.412152839442,9.0
160,Thomas Rawls,RB,4500,Pit@Sea 04:25PM ET,9.88,Sea,17.0,16.7,16.05,15.2,14.84,15.048,14.7725714286,17.0,8.57,8.43,0.570652173913,14.1
161,Kendall Wright,WR,4400,Oak@Ten 01:00PM ET,12.2,Ten,10.0,9.9,11.47,9.1,11.66,10.545,10.7778571429,12.77,9.1,3.67,0.340512956458,3.5
162,Rishard Matthews,WR,4400,Mia@NYJ 01:00PM ET,13.96,Mia,10.5,15.4,9.03,14.7,10.1,10.676,11.5265714286,15.4,9.03,6.37,0.552636145056,
163,Donte Moncrief,WR,4400,TB@Ind 01:00PM ET,12.4,Ind,11.0,15.7,11.47,15.0,11.64,13.129,12.7755714286,15.7,11.0,4.7,0.367889610753,22.4
164,Brandon LaFell,WR,4300,NE@Den 08:30PM ET,10.12,NE,11.5,16.8,10.19,16.5,13.38,14.248,13.8368571429,16.8,10.19,6.61,0.477709636788,7.6
165,Tavon Austin,WR,4300,StL@Cin 01:00PM ET,12.61,StL,18.0,7.9,6.35,8.2,10.6,10.685,9.75928571429,18.0,6.35,11.65,1.19373490449,21.6
166,Tevin Coleman,RB,4300,Min@Atl 01:00PM ET,3.638,Atl,16.5,2.2,12.4,3.0,15.26,17.477,9.95671428571,17.477,2.2,15.277,1.53434150681,13.0
167,Terrance Williams,WR,4200,Car@Dal 04:30PM ET,9.22,Dal,18.0,7.4,9.91,6.7,10.44,7.316,9.80657142857,18.0,6.7,11.3,1.15228855287,7.9
168,Pierre Garcon,WR,4200,NYG@Was 01:00PM ET,11.13,Was,8.5,17.4,11.96,16.7,9.93,9.286,12.1894285714,17.4,8.5,8.9,0.730140871481,6.5
169,Shane Vereen,RB,4200,NYG@Was 01:00PM ET,10.49,NYG,7.5,7.9,11.17,8.1,9.68,6.663,8.40471428571,11.17,6.663,4.507,0.536246664287,7.6
170,Marvin Jones,WR,4200,StL@Cin 01:00PM ET,10.88,Cin,14.0,18.0,10.17,17.0,11.34,7.171,12.6287142857,18.0,7.171,10.829,0.857490299883,8.5
171,Martellus Bennett,TE,4000,Chi@GB 08:30PM ET,11.05,Chi,,,,,,,,,,,,
172,Anquan Boldin,WR,4000,Ari@SF 04:05PM ET,12.563,SF,17.0,17.6,11.59,16.8,12.31,9.278,14.0454285714,17.6,9.278,8.322,0.59250595008,17.3
173,Benjamin Watson,TE,4000,NO@Hou 01:00PM ET,12.41,NO,,10.4,8.33,12.2,10.64,12.68,10.7616666667,12.68,8.33,4.35,0.404212482577,9.3
174,Ronnie Hillman,RB,4000,NE@Den 08:30PM ET,10.41,Den,16.5,15.6,11.41,15.2,10.02,11.277,13.0395714286,16.5,10.02,6.48,0.496948848012,12.9
175,Marquess Wilson,WR,3900,Chi@GB 08:30PM ET,7.5,Chi,7.0,4.0,5.57,4.0,7.67,8.368,6.24542857143,8.368,4.0,4.368,0.699391554966,8.4
176,Devin Funchess,WR,3900,Car@Dal 04:30PM ET,5.46,Car,17.0,5.4,7.02,4.7,10.12,6.708,8.27257142857,17.0,4.7,12.3,1.48684119638,3.9
177,Cardinals ,DST,3900,Ari@SF 04:05PM ET,9.2,Ari,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,0.0,0.0,
178,Malcom Floyd,WR,3900,SD@Jax 01:00PM ET,8.878,SD,8.0,,6.76,,9.51,9.83,8.525,9.83,6.76,3.07,0.360117302053,2.2
179,Karlos Williams,RB,3900,Buf@KC 01:00PM ET,14.043,Buf,4.5,1.4,8.83,1.3,4.68,8.332,4.86457142857,8.83,1.3,7.53,1.54792670034,
180,Duke Johnson Jr.,RB,3900,Bal@Cle 08:30PM ET,10.86,Cle,9.5,9.3,12.06,9.2,12.27,7.732,10.4902857143,13.37,7.732,5.638,0.537449613248,10.0
181,Matt Jones,RB,3900,NYG@Was 01:00PM ET,10.6,Was,9.5,11.4,9.6,13.5,9.54,5.465,9.61785714286,13.5,5.465,8.035,0.835425176383,7.4
182,Seahawks ,DST,3800,Pit@Sea 04:25PM ET,10.6,Sea,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,0.0,0.0,
183,Nate Washington,WR,3800,NO@Hou 01:00PM ET,12.45,Hou,17.5,5.0,11.45,4.5,10.72,9.456,10.1294285714,17.5,4.5,13.0,1.28338927594,7.3
184,Shaun Draughn,RB,3800,Ari@SF 04:05PM ET,4.629,SF,11.0,,10.74,,13.15,11.692,12.6024,16.43,10.74,5.69,0.451501301339,13.6
185,Dwayne Harris,WR,3800,NYG@Was 01:00PM ET,8.65,NYG,7.0,2.8,7.06,2.4,8.47,5.57,6.30571428571,10.84,2.4,8.44,1.33846850929,4.9
186,Alfred Morris,RB,3800,NYG@Was 01:00PM ET,5.67,Was,3.5,11.5,7.62,12.0,6.83,5.034,7.56485714286,12.0,3.5,8.5,1.12361672395,10.0
187,Doug Baldwin,WR,3800,Pit@Sea 04:25PM ET,11.89,Sea,15.5,19.9,11.47,19.0,11.08,11.53,14.4114285714,19.9,11.08,8.82,0.612014274385,41.5
188,Michael Floyd,WR,3800,Ari@SF 04:05PM ET,11.8,Ari,9.0,7.8,10.38,7.9,12.08,9.2382,9.57974285714,12.08,7.8,4.28,0.446776084058,2.4
189,Rueben Randle,WR,3800,NYG@Was 01:00PM ET,10.75,NYG,9.0,17.8,11.28,15.9,9.68,10.315,12.3307142857,17.8,9.0,8.8,0.71366506401,10.6
190,Spencer Ware,RB,3800,Buf@KC 01:00PM ET,6.3,KC,16.0,,12.97,,13.89,9.465,13.375,16.0,9.465,6.535,0.488598130841,23.5
191,Carlos Hyde,RB,3800,Ari@SF 04:05PM ET,12.043,SF,,,,,,,,,,,,
192,Melvin Gordon,RB,3800,SD@Jax 01:00PM ET,7.7,SD,6.0,4.2,9.53,4.7,9.64,10.517,8.16528571429,12.57,4.2,8.37,1.02507129485,13.0
193,Ted Ginn Jr.,WR,3700,Car@Dal 04:30PM ET,10.4,Car,9.0,9.2,8.45,8.6,11.25,8.818,9.07542857143,11.25,8.21,3.04,0.33497040675,
194,Rashad Jennings,RB,3700,NYG@Was 01:00PM ET,8.77,NYG,7.5,3.6,10.47,3.9,9.37,7.966,7.59942857143,10.47,3.6,6.87,0.904015339499,4.8
195,Leonard Hankerson,WR,3700,Min@Atl 01:00PM ET,9.963,Atl,,,,,,,,,,,,
196,Knile Davis,RB,3700,Buf@KC 01:00PM ET,1.938,KC,3.0,3.6,,3.8,8.94,,4.89,8.94,3.0,5.94,1.21472392638,
197,Crockett Gillmore,TE,3700,Bal@Cle 08:30PM ET,11.813,Bal,14.5,2.8,9.9,2.4,7.62,8.608,7.68257142857,14.5,2.4,12.1,1.57499349176,5.0
198,Antonio Andrews,RB,3700,Oak@Ten 01:00PM ET,9.025,Ten,7.5,12.6,10.09,13.2,11.99,12.548,11.0397142857,13.2,7.5,5.7,0.516317710086,5.6
199,Terrance West,RB,3700,Bal@Cle 08:30PM ET,1.55,Bal,3.0,,3.82,,4.97,,3.2,4.97,1.01,3.96,1.2375,3.7
200,Panthers ,DST,3600,Car@Dal 04:30PM ET,10.3,Car,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,0.0,0.0,
201,Darren Sproles,RB,3600,Phi@Det 12:30PM ET,9.01,Phi,6.0,10.9,8.84,11.9,11.99,10.422,9.54028571429,11.99,6.0,5.99,0.627863795634,6.5
202,Ahmad Bradshaw,RB,3600,TB@Ind 01:00PM ET,7.46,Ind,,,8.96,,6.55,7.986,7.0265,8.96,4.61,4.35,0.619084892905,5.6
203,Cecil Shorts III,WR,3600,NO@Hou 01:00PM ET,11.434,Hou,10.0,9.4,7.96,8.7,9.83,9.006,9.22371428571,10.0,7.96,2.04,0.221169036335,12.8
204,Jamison Crowder,WR,3600,NYG@Was 01:00PM ET,9.19,Was,4.5,10.6,7.76,10.5,9.89,9.717,9.38242857143,12.71,4.5,8.21,0.87503996833,3.2
205,Theo Riddick,RB,3500,Phi@Det 12:30PM ET,11.33,Det,12.5,5.6,10.44,5.9,11.68,7.84,8.63285714286,12.5,5.6,6.9,0.799271884825,17.8
206,Patriots ,DST,3500,NE@Den 08:30PM ET,8.3,NE,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,0.0,0.0,
207,Charles Clay,TE,3500,Buf@KC 01:00PM ET,9.82,Buf,8.0,13.8,8.67,14.9,7.8,8.66,10.3914285714,14.9,7.8,7.1,0.6832554303,8.1
208,Andre Ellington,RB,3500,Ari@SF 04:05PM ET,8.671,Ari,5.5,7.4,8.52,7.7,5.23,6.0588,7.0684,9.07,5.23,3.84,0.543262973233,7.6
209,Charles Sims,RB,3500,TB@Ind 01:00PM ET,10.32,TB,9.0,7.3,9.65,7.6,10.27,8.499,8.25557142857,10.27,5.47,4.8,0.58142553081,6.9
210,Terron Ward,RB,3500,Min@Atl 01:00PM ET,2.79,Atl,3.0,2.6,8.04,2.9,8.16,1.7442,4.40736666667,8.16,1.7442,6.4158,1.45569917033,
211,C.J. Anderson,RB,3500,NE@Den 08:30PM ET,7.65,Den,6.5,4.8,8.16,4.9,6.09,5.294,6.30485714286,8.39,4.8,3.59,0.56940227489,34.3
212,Ryan Mathews,RB,3400,Phi@Det 12:30PM ET,11.733,Phi,,,,,,,,,,,,
213,Roddy White,WR,3400,Min@Atl 01:00PM ET,5.24,Atl,6.5,4.2,9.15,4.1,8.78,4.442,6.72171428571,9.88,4.1,5.78,0.859899685454,12.0
214,Andre Johnson,WR,3400,TB@Ind 01:00PM ET,7.31,Ind,4.5,5.0,10.58,4.5,6.02,5.281,6.50157142857,10.58,4.5,6.08,0.935158533102,3.2
215,Brian Hartline,WR,3400,Bal@Cle 08:30PM ET,6.656,Cle,7.5,5.6,9.18,5.8,10.84,5.76,7.75428571429,10.84,5.6,5.24,0.675755342668,15.4
216,Chris Givens,WR,3400,Bal@Cle 08:30PM ET,4.256,Bal,8.0,7.4,5.13,6.7,9.73,4.604,7.28485714286,9.73,4.604,5.126,0.70365140997,6.0
217,Kyle Rudolph,TE,3400,Min@Atl 01:00PM ET,8.48,Min,6.0,12.0,7.42,12.0,7.44,5.827,8.68814285714,12.0,5.827,6.173,0.710508574905,12.3
218,Julius Thomas,TE,3400,SD@Jax 01:00PM ET,8.117,Jax,8.0,15.4,10.53,15.7,10.28,8.896,10.958,15.7,7.9,7.8,0.71180872422,29.6
219,David Cobb,RB,3400,Oak@Ten 01:00PM ET,-0.3,Ten,4.5,12.1,3.63,12.0,5.91,4.7688,6.77411428571,12.1,3.63,8.47,1.25034796326,
220,Joique Bell,RB,3300,Phi@Det 12:30PM ET,5.557,Det,3.0,5.3,6.76,5.3,5.0,5.515,5.115,6.76,3.0,3.76,0.735092864125,16.2
221,Ameer Abdullah,RB,3300,Phi@Det 12:30PM ET,6.66,Det,4.5,5.1,8.56,5.0,8.84,7.547,7.28814285714,11.47,4.5,6.97,0.956347884039,8.5
222,Eric Ebron,TE,3300,Phi@Det 12:30PM ET,9.625,Det,7.5,15.4,11.17,14.7,8.98,8.024,10.7062857143,15.4,7.5,7.9,0.737884286934,4.8
223,Rams ,DST,3300,StL@Cin 01:00PM ET,9.6,StL,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,0.0,0.0,
224,Marques Colston,WR,3300,NO@Hou 01:00PM ET,9.033,NO,6.0,17.6,8.42,16.8,9.67,6.389,10.967,17.6,6.0,11.6,1.05771861038,6.8
225,Jacob Tamme,TE,3300,Min@Atl 01:00PM ET,10.289,Atl,10.5,1.6,8.59,1.8,11.08,10.369,7.61842857143,11.08,1.6,9.48,1.24435110353,11.9
226,Andrew Hawkins,WR,3300,Bal@Cle 08:30PM ET,6.95,Cle,,,,,,,,,,,,
227,Marcel Reece,RB,3300,Oak@Ten 01:00PM ET,6.23,Oak,2.5,1.6,5.99,2.0,4.39,2.664,3.26485714286,5.99,1.6,4.39,1.34462238558,1.7
228,Mike Wallace,WR,3300,Min@Atl 01:00PM ET,6.64,Min,5.0,19.8,7.7,18.0,8.06,4.997,10.3052857143,19.8,4.997,14.803,1.43644731552,
229,Bilal Powell,RB,3300,Mia@NYJ 01:00PM ET,8.45,NYJ,6.5,6.5,8.57,6.8,10.29,5.2504,6.94291428571,10.29,4.69,5.6,0.80657772364,5.5
230,Jermaine Kearse,WR,3300,Pit@Sea 04:25PM ET,6.92,Sea,6.0,5.1,8.12,4.6,7.37,7.687,6.97385714286,9.94,4.6,5.34,0.76571686093,20.7
231,Kyle Juszczyk,RB,3300,Bal@Cle 08:30PM ET,5.89,Bal,,,4.03,,4.85,1.353,3.75325,4.85,1.353,3.497,0.931725837607,3.8
232,Marlon Brown,WR,3300,Bal@Cle 08:30PM ET,2.52,Bal,4.5,7.0,,6.5,,2.284,4.5508,7.0,2.284,4.716,1.03630130966,
233,Kenny Stills,WR,3300,Mia@NYJ 01:00PM ET,6.31,Mia,4.0,7.6,6.22,6.8,8.77,4.877,6.66957142857,8.77,4.0,4.77,0.715188382205,3.2
234,David Johnson,RB,3300,Ari@SF 04:05PM ET,9.31,Ari,2.5,7.2,6.35,7.4,5.39,3.03,4.99285714286,7.4,2.5,4.9,0.981402002861,10.9
235,Robert Woods,WR,3300,Buf@KC 01:00PM ET,7.98,Buf,8.5,8.6,8.05,8.3,9.32,6.825,8.55214285714,10.27,6.825,3.445,0.402823018458,5.5
236,Jay Ajayi,RB,3300,Mia@NYJ 01:00PM ET,4.833,Mia,4.0,2.7,5.46,2.8,5.11,5.62,4.23571428571,5.62,2.7,2.92,0.689376053963,9.8
237,Dorial Green-Beckham,WR,3300,Oak@Ten 01:00PM ET,4.91,Ten,7.0,5.8,7.18,4.9,6.84,9.732,7.31028571429,9.732,4.9,4.832,0.66098647698,5.2
238,Brent Celek,TE,3200,Phi@Det 12:30PM ET,6.14,Phi,15.5,2.6,6.87,2.3,9.07,30.464,10.9605714286,30.464,2.3,28.164,2.56957405766,9.0
239,Eddie Royal,WR,3200,Chi@GB 08:30PM ET,8.167,Chi,,,,,,,,,,,,
240,Robert Turbin,RB,3200,Car@Dal 04:30PM ET,3.4,Dal,2.0,,5.71,,6.13,2.978,4.2045,6.13,2.0,4.13,0.982280889523,2.2
241,Cole Beasley,WR,3200,Car@Dal 04:30PM ET,8.08,Dal,6.0,4.6,7.12,4.3,7.62,4.368,5.48685714286,7.62,4.3,3.32,0.605082274526,16.4
242,Nelson Agholor,WR,3200,Phi@Det 12:30PM ET,3.971,Phi,5.0,4.8,5.49,4.4,6.22,4.988,5.28685714286,6.22,4.4,1.82,0.344249891915,3.5
243,Jets ,DST,3200,Mia@NYJ 01:00PM ET,7.1,NYJ,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,0.0,0.0,
