,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fire,average,max,min,range,rel_range,final
495,Mychal Rivera,TE,2500,Oak@Ten 01:00PM ET,3.58,Oak,4.0,6.0,4.63,6.0,5.24,5.779,5.26128571429,6.0,4.0,2.0,0.380135219528,4.8
496,Cory Harkey,TE,2500,StL@Cin 01:00PM ET,0.28,StL,,,,,,,,,,,,1.2
497,Beau Brinkley,TE,2500,Oak@Ten 01:00PM ET,0.0,Ten,,,,,,,,,,,,
498,Dwayne Allen,TE,2500,TB@Ind 01:00PM ET,3.025,Ind,4.0,5.2,6.09,4.6,5.81,2.65,4.85714285714,6.09,2.65,3.44,0.708235294118,3.9
499,Kevin McDermott,TE,2500,Min@Atl 01:00PM ET,0.0,Min,,,,,,,,,,,,
500,Ryan Griffin,TE,2500,NO@Hou 01:00PM ET,4.0,Hou,6.0,5.6,4.83,5.8,6.45,,5.895,6.69,4.83,1.86,0.315521628499,17.2
501,Michael Williams,TE,2500,NE@Den 08:30PM ET,0.39,NE,,,,,,,,,,,,
502,Chris Gragg,TE,2500,Buf@KC 01:00PM ET,2.629,Buf,,3.2,,3.6,,1.853,2.88433333333,3.6,1.853,1.747,0.605685889287,
503,Luke Willson,TE,2500,Pit@Sea 04:25PM ET,3.444,Sea,,3.0,4.93,3.5,3.41,2.671,3.53183333333,4.93,2.671,2.259,0.639611155679,2.2
504,Josh Hill,TE,2500,NO@Hou 01:00PM ET,3.07,NO,,1.4,6.12,1.7,3.86,2.141,3.00183333333,6.12,1.4,4.72,1.57237243907,
505,James Winchester,TE,2500,Buf@KC 01:00PM ET,0.0,KC,,,,,,,,,,,,
506,Jack Doyle,TE,2500,TB@Ind 01:00PM ET,1.97,Ind,,,,,1.83,,1.83,1.83,1.83,0.0,0.0,1.5
507,Ryan Hewitt,TE,2500,StL@Cin 01:00PM ET,0.75,Cin,,,2.59,,,,2.19,2.59,1.79,0.8,0.365296803653,4.9
508,Levine Toilolo,TE,2500,Min@Atl 01:00PM ET,1.16,Atl,,3.4,5.28,3.7,1.44,1.949,3.1538,5.28,1.44,3.84,1.21757879384,
509,Justice Cunningham,TE,2500,StL@Cin 01:00PM ET,0.0,StL,,,,,,,,,,,,
510,Gabe Holmes,TE,2500,Oak@Ten 01:00PM ET,0.0,Oak,,,,,,,,,,,,
511,Dion Sims,TE,2500,Mia@NYJ 01:00PM ET,2.757,Mia,,1.6,3.81,1.8,3.33,2.748,2.71633333333,3.81,1.6,2.21,0.813596760339,
