,2-pt,avg_yards/rec,comp,comp-%,fan_pts,fl,int,kick_td,pass_att,pass_tds,pass_yards,pass_yards/att,player,punt_td,rec,rec_tds,rec_yards,rush_att,rush_avg,rush_tds,rush_yards
0,,,,,,,,,,,,,Quarterbacks Week 12 Standard Stats -- Average,,,,,,,,
1,,,Misc,,,,,,Rushing,,,,Passing,,,,,,,,
2,,,Cmp,CmpPct,FPTS,FL,INT,,Att,TD,Yd,YAtt,Player,,,,,Att,Avg,TD,Yd
3,,,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,Bryce Petty,,,,,0.0,0.0,0.0,0.0
4,,,0.1,59.0,0,0.0,0.0,,0.1,0.0,0.7,5.3,Chase Daniel,,,,,0.1,3.8,0.0,0.3
5,,,0.2,53.7,0,0.0,0.0,,0.3,0.0,2.3,7.5,T.J. Yates,,,,,0.1,-1.4,0.0,-0.1
6,,,0.1,66.0,0,0.0,0.0,,0.1,0.0,1.0,6.9,Derek Anderson,,,,,0.1,1.8,0.0,0.1
7,,,0.4,59.5,0,0.0,0.0,,0.7,0.0,4.8,7.3,Geno Smith,,,,,0.2,5.6,0.0,0.9
8,,,0.4,57.8,0,0.0,0.0,,0.7,0.0,5.6,7.7,Austin Davis,,,,,0.1,2.1,0.0,0.2
9,,,20.7,67.6,0,0.2,1.2,,30.6,1.6,224.0,7.3,Tony Romo,,,,,1.4,2.6,0.0,3.8
10,,,22.3,70.3,0,0.3,0.8,,31.7,1.7,258.0,8.1,Andy Dalton,,,,,4.8,2.7,0.2,12.7
11,,,22.8,63.5,0,0.2,1.0,,35.9,1.2,250.0,7.0,Ryan Tannehill,,,,,2.4,3.9,0.0,9.2
12,,,0.1,68.9,0,0.0,0.0,,0.2,0.0,1.1,7.5,Landry Jones,,,,,0.0,-0.1,0.0,-0.0
13,,,17.9,58.5,0,0.2,0.9,,30.6,1.6,193.0,6.3,Alex Smith,,,,,4.7,6.0,0.1,28.1
14,,,0.4,66.2,0,0.0,0.0,,0.6,0.0,4.7,7.7,Robert Griffin III,,,,,0.2,5.0,0.0,1.0
15,,,0.0,71.2,0,0.0,0.0,,0.1,0.0,0.5,9.6,Tarvaris Jackson,,,,,0.0,1.1,0.0,0.0
16,,,19.4,57.7,0,0.3,0.9,,33.6,1.6,258.0,7.7,Josh McCown,,,,,2.2,4.2,0.1,9.4
17,,,24.3,61.2,0,0.2,1.1,,39.7,1.7,286.0,7.2,Matthew Stafford,,,,,2.4,3.4,0.1,8.0
18,,,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,Thad Lewis,,,,,0.0,0.0,0.0,0.0
19,,,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,Trevor Siemian,,,,,0.0,0.0,0.0,0.0
20,,,17.6,62.4,0,0.1,0.7,,28.2,1.1,206.0,7.3,Tyrod Taylor,,,,,6.2,5.4,0.1,33.4
21,,,26.7,69.0,0,0.2,1.2,,38.7,1.3,295.0,7.6,Drew Brees,,,,,1.6,1.4,0.1,2.2
22,,,0.0,72.1,0,0.0,0.0,,0.0,0.0,0.4,9.4,Ryan Nassib,,,,,0.0,2.4,0.0,0.0
23,,,26.8,71.3,0,0.2,1.1,,37.6,1.6,296.0,7.9,Philip Rivers,,,,,1.3,2.0,0.0,2.6
24,,,0.0,65.7,0,0.0,0.0,,0.0,0.0,0.3,7.2,Sean Renfree,,,,,0.0,0.4,0.0,0.0
25,,,17.6,56.1,0,0.2,1.0,,31.4,1.3,233.0,7.4,Jameis Winston,,,,,2.9,3.4,0.3,9.9
26,,,0.1,57.0,0,0.0,0.0,,0.1,0.0,0.7,6.6,Dan Orlovsky,,,,,0.0,3.5,0.0,0.0
27,,,0.3,56.8,0,0.0,0.0,,0.6,0.0,4.6,7.5,Mike Glennon,,,,,0.1,2.9,0.0,0.3
28,,,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,Matt Barkley,,,,,0.0,0.0,0.0,0.0
29,,,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,Brandon Weeden,,,,,0.0,0.0,0.0,0.0
30,,,25.8,66.5,0,0.3,0.8,,38.8,2.0,296.0,7.6,Eli Manning,,,,,1.2,4.2,0.0,5.3
31,,,0.0,60.0,0,0.0,0.0,,0.0,0.0,0.1,4.7,Jimmy Garoppolo,,,,,0.1,-0.2,0.0,-0.0
32,,,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,Sean Mannion,,,,,0.0,0.0,0.0,0.0
33,,,0.2,64.1,0,0.0,0.0,,0.4,0.0,2.3,6.2,Matt Flynn,,,,,0.1,2.4,0.0,0.3
34,,,0.0,59.5,0,0.0,0.0,,0.0,0.0,0.3,6.9,David Fales,,,,,0.0,4.0,0.0,0.0
35,,,23.8,61.5,0,0.2,0.8,,38.7,1.5,229.0,5.9,Tom Brady,,,,,2.2,1.1,0.1,2.4
36,,,20.7,60.7,0,0.2,1.1,,34.1,1.3,239.0,7.0,Jay Cutler,,,,,2.5,6.0,0.1,15.3
37,,,19.4,61.6,0,0.2,0.9,,31.5,1.6,226.0,7.2,Cam Newton,,,,,8.1,5.2,0.5,42.0
38,,,22.3,58.1,0,0.2,1.5,,38.4,1.3,242.0,6.3,Matt Schaub,,,,,0.5,4.5,0.0,2.4
39,,,0.3,62.1,0,0.0,0.0,,0.6,0.0,4.0,7.2,Charlie Whitehurst,,,,,0.1,3.3,0.0,0.5
40,,,0.2,59.4,0,0.0,0.0,,0.3,0.0,2.5,7.2,Drew Stanton,,,,,0.1,0.7,0.0,0.1
41,,,0.4,57.7,0,0.0,0.0,,0.6,0.0,4.3,6.7,Chad Henne,,,,,0.1,4.5,0.0,0.4
42,,,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,Christian Ponder,,,,,0.0,0.0,0.0,0.0
43,,,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,Joe Webb,,,,,0.0,0.0,0.0,0.0
44,,,24.1,66.9,0,0.3,1.1,,36.0,1.9,272.0,7.6,Matt Hasselbeck,,,,,2.6,1.4,0.0,3.6
45,,,0.1,63.5,0,0.0,0.0,,0.2,0.0,1.7,8.7,Scott Tolzien,,,,,0.0,12.0,0.0,0.4
