,Unnamed: 0,player,fleaflicker,dk_name
0,0,Aaron Rodgers,29.64,Aaron Rodgers
1,1,Drew Brees,27.9,Drew Brees
2,2,Tom Brady,24.08,Tom Brady
3,3,Matt Ryan,23.82,Matt Ryan
4,4,Blaine Gabbert,20.28,Blaine Gabbert
5,5,Philip Rivers,19.72,Philip Rivers
6,6,Mark Sanchez,21.08,Mark Sanchez
7,7,Ryan Tannehill,19.38,Ryan Tannehill
8,8,Cam Newton,21.48,Cam Newton
9,9,Ben Roethlisberger,18.84,Ben Roethlisberger
10,10,Russell Wilson,20.5,Russell Wilson
11,11,Marcus Mariota,20.08,Marcus Mariota
12,12,Ryan Fitzpatrick,19.28,Ryan Fitzpatrick
13,13,Blake Bortles,19.2,Blake Bortles
14,14,Derek Carr,18.82,Derek Carr
15,15,Josh McCown,18.8,Josh McCown
16,16,Eli Manning,18.54,Eli Manning
17,17,Matt Cassel,15.44,Matt Cassel
18,18,Andy Dalton,18.6,Andy Dalton
19,19,Kirk Cousins,18.4,Kirk Cousins
20,21,Teddy Bridgewater,18.5,Teddy Bridgewater
21,22,Nick Foles,18.04,Nick Foles
22,23,Jay Cutler,17.86,Jay Cutler
23,24,Carson Palmer,17.34,Carson Palmer
24,25,Matthew Stafford,15.8,Matthew Stafford
25,26,Jameis Winston,16.48,Jameis Winston
26,27,Alex Smith,13.82,Alex Smith
27,28,T.J. Yates,13.24,T.J. Yates
28,29,Tyrod Taylor,13.24,Tyrod Taylor
29,30,Matt Schaub,11.62,Matt Schaub
30,31,Matt Hasselbeck,8.84,Matt Hasselbeck
31,33,A.J. Green,27.4,A.J. Green
32,34,Odell Beckham,27.0,Odell Beckham Jr.
33,35,Adrian Peterson,24.9,Adrian Peterson
34,36,Julio Jones,26.8,Julio Jones
35,37,T.Y. Hilton,26.3,T.Y. Hilton
36,38,Demaryius Thomas,26.2,Demaryius Thomas
37,39,Randall Cobb,23.2,Randall Cobb
38,40,Amari Cooper,27.1,Amari Cooper
39,41,Mike Evans,22.5,Mike Evans
40,42,Todd Gurley,17.2,Todd Gurley
41,43,DeAndre Hopkins,21.0,DeAndre Hopkins
42,44,Emmanuel Sanders,20.9,Emmanuel Sanders
43,45,Dez Bryant,20.7,Dez Bryant
44,46,Rob Gronkowski,21.5,Rob Gronkowski
45,47,Alshon Jeffery,20.4,Alshon Jeffery
46,48,Jimmy Graham,21.3,Jimmy Graham
47,49,T.J. Yeldon,16.3,T.J. Yeldon
48,50,Chris Ivory,16.0,Chris Ivory
49,51,Jeremy Langford,16.8,Jeremy Langford
50,52,Eddie Lacy,15.8,Eddie Lacy
51,54,Matt Forte,16.7,Matt Forte
52,55,Antonio Brown,19.6,Antonio Brown
53,56,Tyler Eifert,19.6,Tyler Eifert
54,57,Frank Gore,15.4,Frank Gore
55,58,Jonathan Stewart,15.4,Jonathan Stewart
56,59,Stefon Diggs,19.4,Stefon Diggs
57,60,Danny Woodhead,18.3,Danny Woodhead
58,61,Ronnie Hillman,15.2,Ronnie Hillman
59,62,DeMarco Murray,15.2,DeMarco Murray
60,63,Thomas Rawls,15.2,Thomas Rawls
61,64,Giovani Bernard,17.0,Giovani Bernard
62,65,Mike Wallace,18.0,Mike Wallace
63,66,Doug Baldwin,19.0,Doug Baldwin
64,67,Brandon Marshall,18.8,Brandon Marshall
