,2-pt,comp,fan_pts,fl,int,kick_td,opp,pass_att,pass_tds,pass_yards,player,punt_td,rec,rec_tds,rec_yards,rush_att,rush_tds,rush_yards,team
0,0,,,0,,0,Fantasy,,,,Passing,0,0,0,0,,,,Rushing
1,0,Opp,TD,0,TD,0,Team,Comp,Yard,Att,Chg,0,0,0,0,INT,Yard,Att,"Player
Sort First: 



		Last:"
2,0,23,23.8,0,1,0,SD,40,2,275,Blake Bortles,0,0,0,0,3,0,20,JAC
3,0,26,23.5,0,0,0,STL,41,2,280,Andy Dalton,0,0,0,0,5,0,15,CIN
4,0,25,23.0,0,1,0,NO,42,2,290,Brian Hoyer,0,0,0,0,1,0,5,HOU
5,0,23,23.0,0,1,0,@SF,36,2,300,Carson Palmer,0,0,0,0,0,0,0,ARI
6,0,19,23.0,0,0,0,PIT,30,2,230,Russell Wilson,0,0,0,0,7,0,35,SEA
7,0,21,22.8,0,0,0,CHI,33,2,265,Aaron Rodgers,0,0,0,0,3,0,15,GB
8,0,27,22.5,0,1,0,@WAS,41,2,290,Eli Manning,0,0,0,0,0,0,0,NYG
9,0,20,22.5,0,0,0,@DAL,31,2,230,Cam Newton,0,0,0,0,5,0,30,CAR
10,0,26,22.5,0,1,0,@JAC,39,2,290,Philip Rivers,0,0,0,0,0,0,0,SD
11,0,22,22.5,0,0,0,@SEA,33,2,280,Ben Roethlisberger,0,0,0,0,2,0,5,PIT
12,0,21,22.3,0,1,0,@GB,33,2,255,Jay Cutler,0,0,0,0,4,0,15,CHI
13,0,22,22.3,0,1,0,BAL,35,2,265,Josh McCown,0,0,0,0,2,0,10,CLE
14,0,24,22.3,0,1,0,PHI,37,2,265,Matthew Stafford,0,0,0,0,2,0,10,DET
15,0,24,22.0,0,1,0,@HOU,37,2,280,Drew Brees,0,0,0,0,0,0,0,NO
16,0,23,22.0,0,1,0,@TEN,36,2,270,Derek Carr,0,0,0,0,2,0,5,OAK
17,0,21,22.0,0,1,0,OAK,35,2,250,Marcus Mariota,0,0,0,0,3,0,15,TEN
18,0,24,22.0,0,0,0,MIN,36,2,280,Matt Ryan,0,0,0,0,0,0,0,ATL
19,0,21,21.8,0,1,0,@DET,34,2,255,Mark Sanchez,0,0,0,0,2,0,10,PHI
