Name,Id,Position,Salary,Game,FPPG,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
Marques Colston,6645,WR,5200,NO@HOU,6.9,NO,6.0,17.6,8.42,16.8,9.67,11.89,4.071,10.6358571429,17.6,4.071,13.529,1.27201783724
Roddy White,6618,WR,5200,MIN@ATL,4.2,ATL,6.5,4.2,9.15,4.1,8.78,9.88,2.6655,6.46792857143,9.88,2.6655,7.2145,1.11542666564
Bryan Walters,11890,WR,5200,SD@JAC,6.1,JAC,4.5,4.2,6.33,4.1,5.11,8.06,,5.38333333333,8.06,4.1,3.96,0.73560371517
Jonathan Grimes,22991,RB,5200,NO@HOU,4.0,HOU,4.0,,8.78,,9.27,8.64,1.395,6.417,9.27,1.395,7.875,1.22720897616
Seattle Seahawks,12550,D,5200,PIT@SEA,10.6,SEA,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,0.0,0.0
Rashad Jennings,8052,RB,5200,NYG@WAS,7.7,NYG,7.5,3.6,10.47,3.9,9.37,10.39,6.7215,7.42164285714,10.47,3.6,6.87,0.925671058583
Tarvaris Jackson,6814,QB,5200,PIT@SEA,0.0,SEA,,,,,,,,,,,,
Stephen Gostkowski,7900,K,5200,NE@DEN,11.9,NE,,,,,,,,,,,,
Kellen Clemens,7919,QB,5200,SD@JAC,6.5,SD,,,,,,,,,,,,
Vernon Davis,6870,TE,5200,NE@DEN,4.6,DEN,6.0,6.8,7.65,6.4,8.81,2.75,4.9045,6.18778571429,8.81,2.75,6.06,0.979348716942
Owen Daniels,6682,TE,5200,NE@DEN,6.3,DEN,4.5,12.2,4.39,12.1,3.57,6.35,3.7055,6.68792857143,12.2,3.57,8.63,1.29038459485
Drew Stanton,7744,QB,5200,ARI@SF,-0.1,ARI,,,,,,,,,,,,
Eric Ebron,25272,TE,5100,PHI@DET,7.9,DET,7.5,15.4,11.17,14.7,8.98,9.17,5.231,10.3072857143,15.4,5.231,10.169,0.986583692534
Zach Miller,8050,TE,5100,CHI@GB,4.6,CHI,10.0,,14.98,1.7,11.69,2.99,4.32,7.61333333333,14.98,1.7,13.28,1.74430823117
Ka'Deem Carey,29003,RB,5100,CHI@GB,1.6,CHI,,,,,,,,,,,,
Coby Fleener,21971,TE,5100,TB@IND,6.5,IND,6.5,14.0,9.6,14.0,11.11,11.34,3.8215,10.0530714286,14.0,3.8215,10.1785,1.01247664182
Robert Woods,29685,WR,5100,BUF@KC,6.2,BUF,8.5,8.6,8.05,8.3,9.32,10.27,4.0225,8.15178571429,10.27,4.0225,6.2475,0.766396495071
Jamarcus Nelson,34154,WR,5100,ARI@SF,5.7,ARI,,,,,,,,,,,,
Mike Wallace,6607,WR,5100,MIN@ATL,5.2,MIN,5.0,19.8,7.7,18.0,8.06,8.58,2.926,10.0094285714,19.8,2.926,16.874,1.68581052151
Stevan Ridley,14268,RB,5100,MIA@NYJ,0.0,NYJ,1.5,3.9,3.96,4.5,3.22,,,3.416,4.5,1.5,3.0,0.878220140515
Jordan Cameron,14292,TE,5100,MIA@NYJ,5.2,MIA,6.0,9.0,5.62,8.5,8.27,10.05,4.046,7.35514285714,10.05,4.046,6.004,0.816299576584
Josh Brown,6522,K,5100,NYG@WAS,10.8,NYG,,,,,,,,,,,,
