,Unnamed: 0,player,fan_pts,dk_name,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,Name
0,35,Cardinals,12.7,Cardinals ,12.7,12.7,12.7,12.7,12.7,12.7,12.7,Cardinals 
1,62,Eagles,10.1,Eagles ,10.1,10.1,10.1,10.1,10.1,10.1,10.1,Eagles 
2,67,Seahawks,9.7,Seahawks ,9.7,9.7,9.7,9.7,9.7,9.7,9.7,Seahawks 
3,104,Panthers,8.1,Panthers ,8.1,8.1,8.1,8.1,8.1,8.1,8.1,Panthers 
4,109,Jets,8.1,Jets ,8.1,8.1,8.1,8.1,8.1,8.1,8.1,Jets 
5,135,Patriots,7.4,Patriots ,7.4,7.4,7.4,7.4,7.4,7.4,7.4,Patriots 
6,143,Bills,7.1,Bills ,7.1,7.1,7.1,7.1,7.1,7.1,7.1,Bills 
7,154,Bengals,6.9,Bengals ,6.9,6.9,6.9,6.9,6.9,6.9,6.9,Bengals 
8,160,Chiefs,6.9,Chiefs ,6.9,6.9,6.9,6.9,6.9,6.9,6.9,Chiefs 
9,161,Packers,6.8,Packers ,6.8,6.8,6.8,6.8,6.8,6.8,6.8,Packers 
10,167,Broncos,6.6,Broncos ,6.6,6.6,6.6,6.6,6.6,6.6,6.6,Broncos 
11,172,Texans,6.4,Texans ,6.4,6.4,6.4,6.4,6.4,6.4,6.4,Texans 
12,178,Steelers,6.3,Steelers ,6.3,6.3,6.3,6.3,6.3,6.3,6.3,Steelers 
13,189,Chargers,6.0,Chargers ,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Chargers 
14,190,Ravens,6.0,Ravens ,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Ravens 
15,192,Falcons,5.9,Falcons ,5.9,5.9,5.9,5.9,5.9,5.9,5.9,Falcons 
16,197,Titans,5.6,Titans ,5.6,5.6,5.6,5.6,5.6,5.6,5.6,Titans 
17,198,Buccaneers,5.6,Buccaneers ,5.6,5.6,5.6,5.6,5.6,5.6,5.6,Buccaneers 
18,208,Colts,5.5,Colts ,5.5,5.5,5.5,5.5,5.5,5.5,5.5,Colts 
19,212,Rams,5.4,Rams ,5.4,5.4,5.4,5.4,5.4,5.4,5.4,Rams 
20,214,Raiders,5.3,Raiders ,5.3,5.3,5.3,5.3,5.3,5.3,5.3,Raiders 
21,215,Vikings,5.3,Vikings ,5.3,5.3,5.3,5.3,5.3,5.3,5.3,Vikings 
22,217,Dolphins,5.3,Dolphins ,5.3,5.3,5.3,5.3,5.3,5.3,5.3,Dolphins 
23,227,Giants,4.9,Giants ,4.9,4.9,4.9,4.9,4.9,4.9,4.9,Giants 
24,231,Cowboys,4.4,Cowboys ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,Cowboys 
25,233,Browns,4.4,Browns ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,Browns 
26,253,Redskins,3.8,Redskins ,3.8,3.8,3.8,3.8,3.8,3.8,3.8,Redskins 
27,260,Bears,3.4,Bears ,3.4,3.4,3.4,3.4,3.4,3.4,3.4,Bears 
28,282,Saints,2.9,Saints ,2.9,2.9,2.9,2.9,2.9,2.9,2.9,Saints 
29,294,Lions,2.6,Lions ,2.6,2.6,2.6,2.6,2.6,2.6,2.6,Lions 
30,306,Jaguars,2.0,Jaguars ,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Jaguars 
31,349,49ers,1.2,49ers ,1.2,1.2,1.2,1.2,1.2,1.2,1.2,49ers 
