,Unnamed: 0,player,fleaflicker,dk_name
0,0,Aaron Rodgers,29.1,Aaron Rodgers
1,1,Drew Brees,27.86,Drew Brees
2,2,Tom Brady,27.78,Tom Brady
3,3,Matt Ryan,23.86,Matt Ryan
4,4,Blaine Gabbert,20.48,Blaine Gabbert
5,5,Philip Rivers,20.12,Philip Rivers
6,6,Ben Roethlisberger,19.68,Ben Roethlisberger
7,7,Andrew Luck,20.44,Andrew Luck
8,8,Peyton Manning,18.26,Peyton Manning
9,9,Marcus Mariota,20.34,Marcus Mariota
10,10,Nick Foles,19.34,Nick Foles
11,11,Blake Bortles,19.2,Blake Bortles
12,12,Derek Carr,18.86,Derek Carr
13,13,Matt Cassel,15.72,Matt Cassel
14,14,Ryan Tannehill,19.12,Ryan Tannehill
15,15,Cam Newton,19.38,Cam Newton
16,16,Eli Manning,18.34,Eli Manning
17,17,Andy Dalton,18.32,Andy Dalton
18,18,Teddy Bridgewater,18.3,Teddy Bridgewater
19,19,Jay Cutler,17.98,Jay Cutler
20,21,Jameis Winston,16.48,Jameis Winston
21,22,Geno Smith,13.48,Geno Smith
22,23,Tyrod Taylor,13.16,Tyrod Taylor
23,24,Kirk Cousins,11.28,Kirk Cousins
24,25,Sam Bradford,10.36,Sam Bradford
25,26,Ryan Fitzpatrick,8.16,Ryan Fitzpatrick
26,27,Colt McCoy,1.66,Colt McCoy
27,29,Antonio Brown,29.9,Antonio Brown
28,30,Devonta Freeman,22.5,Devonta Freeman
29,31,Odell Beckham,28.8,Odell Beckham Jr.
30,32,Dez Bryant,27.1,Dez Bryant
31,33,A.J. Green,27.1,A.J. Green
32,34,Eddie Lacy,20.0,Eddie Lacy
33,35,Julio Jones,26.8,Julio Jones
34,36,Adrian Peterson,24.7,Adrian Peterson
35,37,Demaryius Thomas,26.2,Demaryius Thomas
36,38,Amari Cooper,27.1,Amari Cooper
37,39,Randall Cobb,22.8,Randall Cobb
38,40,Mike Evans,22.5,Mike Evans
39,41,Danny Woodhead,18.3,Danny Woodhead
40,42,Todd Gurley,17.1,Todd Gurley
