player,opp,status,comp/att,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,fan_pts,punt_td,kick_td,fl,2-pt

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Tom Brady, NEQB",Wsh,Sun 1:00,24.9/36.5,276.3,2.6,0.4,2.8,3.4,0.2,0,0,0,21.6
"Devonta Freeman, AtlRB",@SF,Sun 4:05,0/0,0,0,0,23.7,104.9,0.9,4.8,44.2,0.2,20.3
"Philip Rivers, SDQB",Chi,Mon 8:30,23.9/36.8,304.2,2.4,0.9,1.8,3.9,0,0,0,0,19.6
"Cam Newton, CarQB",GB,Sun 1:00,18/31.7,215.3,1.6,1.1,8.1,41.1,0.4,0,0,0,18.1
"Aaron Rodgers, GBQB",@Car,Sun 1:00,23.9/37.2,289.7,1.9,0.8,3.5,19.1,0.1,0,0,0,18
"Ben Roethlisberger, PitQB",Oak,Sun 1:00,24.6/38.1,311,2,0.9,2.1,6.2,0,0,0,0,17.8
"Drew Brees, NOQB",Ten,Sun 1:00,23.5/36.8,283.3,2.1,0.9,1.8,2.7,0.1,0,0,0,17.7
"Eli Manning, NYGQB",@TB,Sun 4:05,23.1/36,277.2,2.1,0.7,1.5,2.9,0,0,0,0,17.7
"Andy Dalton, CinQB",Cle,W 31-10,17.7/29.5,223.1,2.1,0.6,4.4,12.8,0.2,0,0,0,17.5
"Peyton Manning, DenQBP",@Ind,Sun 4:25,25.4/39.3,315.9,1.6,1,0.9,-0.2,0,0,0,0,16.3
"Tyrod Taylor, BufQBP",Mia,Sun 1:00,17.9/28.7,207.9,1.5,0.8,6.4,31.7,0.2,0,0,0,16.3
"Andrew Luck, IndQBP",Den,Sun 4:25,24.7/41,286.1,1.6,1.3,3.6,17.9,0.1,0,0,0,15.8
"Matt Ryan, AtlQB",@SF,Sun 4:05,24.2/35.7,279,1.6,0.8,2.8,9,0.1,0,0,0,15.8
