player,opp,status,comp/att,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,fan_pts,punt_td,kick_td,fl,2-pt

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Ryan Tannehill, MiaQB",@Buf,Sun 1:00,23.1/38.8,254.2,1.6,1.1,2.2,10.3,0.1,0,0,0,15
"Ryan Fitzpatrick, NYJQBP",Jax,Sun 1:00,21/32.8,239.1,1.6,0.9,4.3,19.1,0.1,0,0,0,14.9
"Antonio Brown, PitWR",Oak,Sun 1:00,0/0,0,0,0,0.3,1.7,0,8.2,110.9,0.6,14.8
"Marcus Mariota, TenQBP",@NO,Sun 1:00,20.7/32.8,247,1.7,0.9,2.7,17.5,0.1,0,0,0,14.8
"Jameis Winston, TBQB",NYG,Sun 4:05,19.1/31,231,1.6,1.2,3.9,12.7,0.2,0,0,0,14.6
"Blake Bortles, JaxQB",@NYJ,Sun 1:00,23.9/40.4,277.1,1.2,1.1,3.1,17.6,0,0,0,0,14.3
"Derek Carr, OakQB",@Pit,Sun 1:00,23.9/38.3,274.3,1.6,0.9,1.9,4.7,0,0,0,0,14.1
"Jeremy Hill, CinRB",Cle,W 31-10,0/0,0,0,0,17.6,91.4,0.8,0.6,4.6,0,13.6
"Johnny Manziel, CleQBP",@Cin,L 10-31,21.4/35.2,259.8,1.1,1.2,5.5,27.4,0.1,0,0,0,13.5
"Jay Cutler, ChiQB",@SD,Mon 8:30,20.9/33.3,241.9,1.3,0.9,2.5,11.8,0.1,0,0,0,13.3
"Mark Ingram, NORB",Ten,Sun 1:00,0/0,0,0,0,16.6,71.3,0.8,2.4,17.8,0.1,13.2
"Todd Gurley, StLRB",@Min,Sun 1:00,0/0,0,0,0,18,84.2,0.6,1.9,14.9,0.1,13
"Sam Bradford, PhiQB",@Dal,Sun 8:30,23.8/37,265.5,1.1,0.7,1.9,4.9,0.1,0,0,0,13
"Kirk Cousins, WshQB",@NE,Sun 1:00,25/40.6,289.3,1.2,1.3,1,3.1,0,0,0,0,12.8
"Darren McFadden, DalRB",Phi,Sun 8:30,0/0,0,0,0,19.7,72.8,0.4,3.6,30.6,0.1,12.6
"DeAngelo Williams, PitRB",Oak,Sun 1:00,0/0,0,0,0,19.1,82.1,0.4,2.8,21.3,0.1,12.5
"Julio Jones, AtlWR",@SF,Sun 4:05,0/0,0,0,0,0,0,0,7.5,96.8,0.6,12.5
"Chris Ivory, NYJRBP",Jax,Sun 1:00,0/0,0,0,0,20.9,88.1,0.5,2.2,16.1,0.1,12.3
"Doug Martin, TBRB",NYG,Sun 4:05,0/0,0,0,0,19.8,81.1,0.5,2.1,17,0.1,12.2
"Odell Beckham Jr., NYGWR",@TB,Sun 4:05,0/0,0,0,0,0.3,1.7,0,6.8,89.8,0.7,12.2
"A.J. Green, CinWR",Cle,W 31-10,0/0,0,0,0,0,0,0,5.2,81.5,0.7,12.1
"Demaryius Thomas, DenWR",@Ind,Sun 4:25,0/0,0,0,0,0,0,0,7.7,99.7,0.5,12
"DeMarco Murray, PhiRB",@Dal,Sun 8:30,0/0,0,0,0,14.4,65.9,0.5,3.4,26.8,0.1,11.4
"LeSean McCoy, BufRB",Mia,Sun 1:00,0/0,0,0,0,17.6,77,0.5,2.5,18,0.1,11.4
Broncos D/STD/ST,@Ind,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,11.3
"LeGarrette Blount, NERB",Wsh,Sun 1:00,0/0,0,0,0,15,77.1,0.7,0.3,2.2,0,11.2
"Jeremy Langford, ChiRB",@SD,Mon 8:30,0/0,0,0,0,17.2,76.1,0.5,2.3,18.4,0.1,11.1

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Blaine Gabbert, SFQB",Atl,Sun 4:05,20.7/34.1,244.2,1,1,2,6.5,0.1,0,0,0,11.1
"Jonathan Stewart, CarRB",GB,Sun 1:00,0/0,0,0,0,18.8,84.6,0.5,0.9,6,0,11.1
"Alshon Jeffery, ChiWR",@SD,Mon 8:30,0/0,0,0,0,0.3,1.7,0,6.1,83.4,0.5,11
"Lamar Miller, MiaRB",@Buf,Sun 1:00,0/0,0,0,0,14.1,62,0.4,2.8,21.3,0.1,11
"Randall Cobb, GBWR",@Car,Sun 1:00,0/0,0,0,0,0.5,3.1,0,6.6,88.5,0.5,11
"Rob Gronkowski, NETE",Wsh,Sun 1:00,0/0,0,0,0,0,0,0,5.1,62.8,0.8,10.8
"Mike Evans, TBWR",NYG,Sun 4:05,0/0,0,0,0,0,0,0,5.3,79.3,0.6,10.7
Rams D/STD/ST,@Min,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,10.7
"Emmanuel Sanders, DenWRP",@Ind,Sun 4:25,0/0,0,0,0,0.3,1.8,0,6.3,88.5,0.4,10.5
"Teddy Bridgewater, MinQB",StL,Sun 1:00,19/30.6,231.4,0.4,0.7,3.9,19.3,0.1,0,0,0,10.4
Jets D/STD/ST,Jax,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,10.3
"Matt Cassel, DalQBP",Phi,Sun 8:30,19.5/31.6,225.8,1,1.2,2.9,8.8,0.1,0,0,0,10.2
"Brandon Marshall, NYJWRQ",Jax,Sun 1:00,0/0,0,0,0,0,0,0,6.3,77.4,0.5,10.2
"Antonio Andrews, TenRB",@NO,Sun 1:00,0/0,0,0,0,14.8,64.2,0.5,1.3,11,0,10.2
"Giovani Bernard, CinRB",Cle,W 31-10,0/0,0,0,0,10.4,54,0.4,2.7,20.5,0.1,10.2
"Ronnie Hillman, DenRBQ",@Ind,Sun 4:25,0/0,0,0,0,14.9,61.7,0.5,1.8,15,0.1,10
Packers D/STD/ST,@Car,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,9.9
"Adrian Peterson, MinRB",StL,Sun 1:00,0/0,0,0,0,19.5,85.5,0.2,2.3,19.4,0,9.9
"Michael Crabtree, OakWR",@Pit,Sun 1:00,0/0,0,0,0,0,0,0,5.8,75.4,0.4,9.6
"Julian Edelman, NEWRP",Wsh,Sun 1:00,0/0,0,0,0,0.5,3.4,0,6.5,68.9,0.6,9.6
"Dion Lewis, NERBP",Wsh,Sun 1:00,0/0,0,0,0,6.4,32.7,0.2,5,45.4,0.2,9.5
"Nick Foles, StLQB",@Min,Sun 1:00,16.8/29.2,185,0.8,0.6,2.1,8.4,0.1,0,0,0,9.4
"Martavis Bryant, PitWRP",Oak,Sun 1:00,0/0,0,0,0,0.5,3.3,0,4.1,63.2,0.5,9.1
Bills D/STD/ST,Mia,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,9
"Blair Walsh, MinK",StL,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,9
"Greg Olsen, CarTE",GB,Sun 1:00,0/0,0,0,0,0,0,0,5.5,66.6,0.5,9
"Matt Bryant, AtlK",@SF,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,9
"Dez Bryant, DalWRP",Phi,Sun 8:30,0/0,0,0,0,0,0,0,5.6,73.7,0.3,8.9
"Frank Gore, IndRB",Den,Sun 4:25,0/0,0,0,0,14.3,51.9,0.3,3.1,24.9,0.1,8.8
"Latavius Murray, OakRB",@Pit,Sun 1:00,0/0,0,0,0,15.1,60.9,0.2,2.2,16.8,0.1,8.6
"Sammy Watkins, BufWRQ",Mia,Sun 1:00,0/0,0,0,0,0.3,2,0,4.3,60.2,0.4,8.6
"Antonio Gates, SDTEP",Chi,Mon 8:30,0/0,0,0,0,0,0,0,4.6,55.7,0.6,8.5
"Stephen Gostkowski, NEK",Wsh,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.5
"Eric Decker, NYJWRP",Jax,Sun 1:00,0/0,0,0,0,0,0,0,5.1,65,0.4,8.5
"Danny Woodhead, SDRB",Chi,Mon 8:30,0/0,0,0,0,7.6,34.2,0.2,3.9,36.2,0.3,8.5
"Stevie Johnson, SDWR",Chi,Mon 8:30,0/0,0,0,0,0,0,0,4.7,64.6,0.4,8.5
"Jarvis Landry, MiaWR",@Buf,Sun 1:00,0/0,0,0,0,0.9,6.9,0,5.9,60.3,0.4,8.4
"Melvin Gordon, SDRB",Chi,Mon 8:30,0/0,0,0,0,15.2,63.6,0.2,2,14.3,0.1,8.4
"Caleb Sturgis, PhiK",@Dal,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,8.4
"Mason Crosby, GBK",@Car,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,8.4

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Brandin Cooks, NOWR",Ten,Sun 1:00,0/0,0,0,0,0.5,3.6,0,4.2,61.2,0.4,8.4
"Brandon McManus, DenK",@Ind,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,8.3
Falcons D/STD/ST,@SF,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,8.3
"Eddie Lacy, GBRB",@Car,Sun 1:00,0/0,0,0,0,14.2,57.1,0.3,2.8,19.8,0.1,8.2
"Phil Dawson, SFK",Atl,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,8.1
"Amari Cooper, OakWR",@Pit,Sun 1:00,0/0,0,0,0,0.2,1.4,0,5.3,67.5,0.3,8
"Donte Moncrief, IndWR",Den,Sun 4:25,0/0,0,0,0,0,0,0,4.9,63.5,0.3,8
"Mike Nugent, CinK",Cle,W 31-10,0/0,0,0,0,0,0,0,0,0,0,7.9
"Josh Brown, NYGK",@TB,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,7.9
"Malcom Floyd, SDWR",Chi,Mon 8:30,0/0,0,0,0,0,0,0,3.3,58,0.5,7.9
"Brandon LaFell, NEWR",Wsh,Sun 1:00,0/0,0,0,0,0,0,0,4.1,53.7,0.5,7.8
"Nick Folk, NYJK",Jax,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.8
"Robbie Gould, ChiK",@SD,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,7.8
"Jason Myers, JaxK",@NYJ,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.8
Vikings D/STD/ST,StL,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.8
"Dan Carpenter, BufK",Mia,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.8
"Josh Lambo, SDK",Chi,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,7.7
"Dustin Hopkins, WshK",@NE,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.7
"Travis Benjamin, CleWR",@Cin,L 10-31,0/0,0,0,0,0,0,0,4.1,62,0.3,7.7
Patriots D/STD/ST,Wsh,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.7
"Jordan Matthews, PhiWR",@Dal,Sun 8:30,0/0,0,0,0,0,0,0,4.9,60.4,0.3,7.7
"Kai Forbath, NOK",Ten,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.6
"Allen Hurns, JaxWRP",@NYJ,Sun 1:00,0/0,0,0,0,0,0,0,4.9,66.7,0.3,7.6
"Pierre Garcon, WshWR",@NE,Sun 1:00,0/0,0,0,0,0,0,0,5,62.7,0.3,7.6
"Sebastian Janikowski, OakK",@Pit,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.6
"Graham Gano, CarK",GB,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.5
"Travis Coons, CleK",@Cin,L 10-31,0/0,0,0,0,0,0,0,0,0,0,7.5
Bengals D/STD/ST,Cle,W 31-10,0/0,0,0,0,0,0,0,0,0,0,7.5
Titans D/STD/ST,@NO,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.4
"Greg Zuerlein, StLK",@Min,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.4
"Allen Robinson, JaxWR",@NYJ,Sun 1:00,0/0,0,0,0,0,0,0,4.4,62.7,0.2,7.4
"DeSean Jackson, WshWRQ",@NE,Sun 1:00,0/0,0,0,0,0.2,1.5,0,4.5,68.4,0.2,7.4
"Andrew Franks, MiaK",@Buf,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.3
"Willie Snead, NOWRP",Ten,Sun 1:00,0/0,0,0,0,0,0,0,3.8,55.4,0.4,7.2
"C.J. Spiller, NORB",Ten,Sun 1:00,0/0,0,0,0,6.5,30.2,0.2,3.2,29.1,0.2,7.2
"T.J. Yeldon, JaxRB",@NYJ,Sun 1:00,0/0,0,0,0,12.6,42.3,0.1,3,24.8,0.1,7.1
"Chris Boswell, PitK",Oak,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.1
"Ryan Succop, TenK",@NO,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,7.1
"Rueben Randle, NYGWRQ",@TB,Sun 4:05,0/0,0,0,0,0,0,0,3.9,54.1,0.3,7.1
"Dan Bailey, DalK",Phi,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,7.1

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"James Jones, GBWR",@Car,Sun 1:00,0/0,0,0,0,0,0,0,3.5,51.6,0.4,7.1
"Adam Vinatieri, IndK",Den,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,7
"Davante Adams, GBWR",@Car,Sun 1:00,0/0,0,0,0,0,0,0,4.2,59.5,0.3,7
Cowboys D/STD/ST,Phi,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,7
"Martellus Bennett, ChiTE",@SD,Mon 8:30,0/0,0,0,0,0,0,0,5,53.9,0.3,6.9
"C.J. Anderson, DenRBP",@Ind,Sun 4:25,0/0,0,0,0,10.1,40.7,0.3,1.8,14.7,0,6.9
"Jordan Reed, WshTE",@NE,Sun 1:00,0/0,0,0,0,0,0,0,5.4,56.3,0.3,6.9
"Delanie Walker, TenTE",@NO,Sun 1:00,0/0,0,0,0,0,0,0,4.8,55.1,0.3,6.9
"Rishard Matthews, MiaWR",@Buf,Sun 1:00,0/0,0,0,0,0,0,0,4.6,55.4,0.3,6.9
"Gary Barnidge, CleTE",@Cin,L 10-31,0/0,0,0,0,0,0,0,4.6,58.1,0.3,6.8
"Connor Barth, TBK",NYG,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,6.7
Eagles D/STD/ST,@Dal,Sun 8:30,0/0,0,0,0,0,0,0,0,0,0,6.7
"Andre Johnson, IndWR",Den,Sun 4:25,0/0,0,0,0,0,0,0,4,50.4,0.3,6.7
"Tavon Austin, StLWR",@Min,Sun 1:00,0/0,0,0,0,1.9,14.7,0,3.8,40.7,0.2,6.7
"Stefon Diggs, MinWRP",StL,Sun 1:00,0/0,0,0,0,0.3,1.8,0,5.1,68.2,0.1,6.6
"Zach Ertz, PhiTE",@Dal,Sun 8:30,0/0,0,0,0,0,0,0,3.9,50.2,0.3,6.5
Steelers D/STD/ST,Oak,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.5
"Marvin Jones, CinWR",Cle,W 31-10,0/0,0,0,0,0.7,4.3,0,3.1,44.6,0.4,6.4
Chargers D/STD/ST,Chi,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,6.4
Dolphins D/STD/ST,@Buf,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6.3
"Austin Seferian-Jenkins, TBTEQ",NYG,Sun 4:05,0/0,0,0,0,0,0,0,3.8,46.1,0.4,6.3
"Benjamin Watson, NOTE",Ten,Sun 1:00,0/0,0,0,0,0,0,0,3.5,40.2,0.4,6.3
"Ted Ginn Jr., CarWR",GB,Sun 1:00,0/0,0,0,0,0.3,1.9,0,3.5,48.1,0.3,6.2
"Tyler Eifert, CinTE",Cle,W 31-10,0/0,0,0,0,0,0,0,3.4,39.7,0.5,6.1
Buccaneers D/STD/ST,NYG,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,6.1
"Heath Miller, PitTEP",Oak,Sun 1:00,0/0,0,0,0,0,0,0,4.1,45.7,0.4,6.1
Jaguars D/STD/ST,@NYJ,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,6
"Kendall Gaskins, SFRB",Atl,Sun 4:05,0/0,0,0,0,9.9,31.2,0.3,1.8,14.5,0,6
"Jordan Cameron, MiaTEQ",@Buf,Sun 1:00,0/0,0,0,0,0,0,0,3.6,42.7,0.3,6
Giants D/STD/ST,@TB,Sun 4:05,0/0,0,0,0,0,0,0,0,0,0,6
"Marques Colston, NOWRP",Ten,Sun 1:00,0/0,0,0,0,0,0,0,3.1,45.7,0.3,5.8
"Robert Woods, BufWR",Mia,Sun 1:00,0/0,0,0,0,0.3,2,0,3.3,45.6,0.3,5.8
"Harry Douglas, TenWRP",@NO,Sun 1:00,0/0,0,0,0,0.2,1.6,0,3.4,41.5,0.3,5.8
"Charles Clay, BufTE",Mia,Sun 1:00,0/0,0,0,0,0,0,0,3.8,41.8,0.3,5.8
"Jacob Tamme, AtlTE",@SF,Sun 4:05,0/0,0,0,0,0,0,0,3.9,43.5,0.3,5.8
"Dontrelle Inman, SDWR",Chi,Mon 8:30,0/0,0,0,0,0,0,0,3.2,48.4,0.3,5.8
"Duke Johnson Jr., CleRB",@Cin,L 10-31,0/0,0,0,0,5.9,27.3,0.1,3.8,33.1,0.1,5.7
"Justin Hunter, TenWR",@NO,Sun 1:00,0/0,0,0,0,0,0,0,2.9,43.1,0.3,5.7
"Rashad Jennings, NYGRB",@TB,Sun 4:05,0/0,0,0,0,8.9,33.1,0.2,1.5,11.9,0.1,5.7
"Coby Fleener, IndTE",Den,Sun 4:25,0/0,0,0,0,0,0,0,3.5,42.8,0.3,5.7

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Charles Sims, TBRB",NYG,Sun 4:05,0/0,0,0,0,7.3,29.1,0.2,3.1,25.2,0.1,5.5
"Griff Whalen, IndWR",Den,Sun 4:25,0/0,0,0,0,0,0,0,3.1,41.3,0.2,5.5
"Dexter McCluster, TenWR, RB",@NO,Sun 1:00,0/0,0,0,0,5.2,24.5,0.1,3,27.5,0.1,5.5
"Julius Thomas, JaxTEP",@NYJ,Sun 1:00,0/0,0,0,0,0,0,0,4.1,45.3,0.3,5.5
"Jason Witten, DalTE",Phi,Sun 8:30,0/0,0,0,0,0,0,0,4,46.2,0.2,5.3
"Markus Wheaton, PitWRP",Oak,Sun 1:00,0/0,0,0,0,0,0,0,3,42.6,0.2,5.2
"Torrey Smith, SFWR",Atl,Sun 4:05,0/0,0,0,0,0,0,0,2.9,46.9,0.2,5.2
"Richard Rodgers, GBTE",@Car,Sun 1:00,0/0,0,0,0,0,0,0,3.5,39.3,0.4,5.2
"Taylor Gabriel, CleWR",@Cin,L 10-31,0/0,0,0,0,0,0,0,3.4,45,0.2,5.2
"Antone Smith, ChiRB",@SD,Mon 8:30,0/0,0,0,0,5.6,30.1,0.2,1.4,11.8,0,5.1
Bears D/STD/ST,@SD,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,5.1
"Bryan Walters, JaxWR",@NYJ,Sun 1:00,0/0,0,0,0,0,0,0,3.6,43.1,0.1,5
"Ryan Mathews, PhiRBQ",@Dal,Sun 8:30,0/0,0,0,0,7.1,33.2,0.2,1.8,13.7,0,5
"Dorial Green-Beckham, TenWR",@NO,Sun 1:00,0/0,0,0,0,0,0,0,2.4,35.3,0.3,5
"Shane Vereen, NYGRB",@TB,Sun 4:05,0/0,0,0,0,4.2,16.5,0.1,3,29.6,0.2,4.9
"Dwayne Harris, NYGWR",@TB,Sun 4:05,0/0,0,0,0,0,0,0,3,35.5,0.3,4.9
"Chris Thompson, WshRBP",@NE,Sun 1:00,0/0,0,0,0,2.9,12.3,0.1,3.8,36.2,0.1,4.9
"Karlos Williams, BufRBP",Mia,Sun 1:00,0/0,0,0,0,7.8,33.3,0.3,0.8,6.3,0,4.8
"Matt Jones, WshRB",@NE,Sun 1:00,0/0,0,0,0,9.6,38.8,0.3,0.9,6.9,0,4.8
"Isaiah Crowell, CleRB",@Cin,L 10-31,0/0,0,0,0,9.8,46.5,0.1,1.1,8.4,0,4.6
Panthers D/STD/ST,GB,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,4.6
Colts D/STD/ST,Den,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,4.5
"Mike Wallace, MinWR",StL,Sun 1:00,0/0,0,0,0,0,0,0,3.2,49.1,0.1,4.5
"Vernon Davis, DenTE",@Ind,Sun 4:25,0/0,0,0,0,0,0,0,3,39.3,0.2,4.5
"Corey Brown, CarWR",GB,Sun 1:00,0/0,0,0,0,0.6,3.9,0,2.2,30.2,0.2,4.4
"Pierre Thomas, SFRB",Atl,Sun 4:05,0/0,0,0,0,6.5,25.7,0.2,1.5,12.3,0,4.4
"Donteea Dye, TBWR",NYG,Sun 4:05,0/0,0,0,0,0,0,0,2.2,30.1,0.2,4.2
"Zac Stacy, NYJRB",Jax,Sun 1:00,0/0,0,0,0,6.5,24.8,0.1,1.5,12.2,0.1,4.2
"Marquess Wilson, ChiWR",@SD,Mon 8:30,0/0,0,0,0,0,0,0,2.9,36.8,0.2,4.1
"Jeremy Kerley, NYJWR",Jax,Sun 1:00,0/0,0,0,0,0,0,0,2.7,30.5,0.2,4.1
"Terrance Williams, DalWR",Phi,Sun 8:30,0/0,0,0,0,0,0,0,2.7,39.2,0.2,4.1
"Garrett Celek, SFTEQ",Atl,Sun 4:05,0/0,0,0,0,0,0,0,3.2,34.9,0.2,4.1
"Roddy White, AtlWR",@SF,Sun 4:05,0/0,0,0,0,0,0,0,2.8,35,0.2,4.1
"Darren Sproles, PhiRB",@Dal,Sun 8:30,0/0,0,0,0,3.7,17.2,0.1,3.2,26.4,0.1,4.1
"Alfred Morris, WshRB",@NE,Sun 1:00,0/0,0,0,0,8,31.3,0.2,0.6,4.7,0,4
"Kenny Stills, MiaWR",@Buf,Sun 1:00,0/0,0,0,0,0,0,0,2.6,36.3,0.2,4
"James Starks, GBRB",@Car,Sun 1:00,0/0,0,0,0,7,28.9,0.1,1.7,13.2,0.1,4
"Jerome Simpson, SFWR",Atl,Sun 4:05,0/0,0,0,0,0,0,0,2.6,36.2,0.2,4
"Jared Cook, StLTE",@Min,Sun 1:00,0/0,0,0,0,0,0,0,2.7,31.3,0.2,4
"Jamison Crowder, WshWR",@NE,Sun 1:00,0/0,0,0,0,0.2,1.5,0,3.4,38.4,0.1,4

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Nelson Agholor, PhiWRQ",@Dal,Sun 8:30,0/0,0,0,0,0,0,0,2.6,36.5,0.2,3.9
"Mohamed Sanu, CinWR",Cle,W 31-10,0/0,0,0,0,0.3,2.2,0,2.2,28.1,0.3,3.8
Raiders D/STD/ST,@Pit,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,3.7
"Will Tye, NYGTE",@TB,Sun 4:05,0/0,0,0,0,0,0,0,2.6,29.6,0.3,3.6
Saints D/STD/ST,Ten,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,3.6
"Kyle Rudolph, MinTE",StL,Sun 1:00,0/0,0,0,0,0,0,0,2.8,30,0.1,3.5
"Chris Hogan, BufWR",Mia,Sun 1:00,0/0,0,0,0,0,0,0,2.2,26.4,0.2,3.3
"Danny Amendola, NEWR",Wsh,Sun 1:00,0/0,0,0,0,0.1,0.8,0,2.1,22.1,0.2,3.2
"Dwayne Allen, IndTE",Den,Sun 4:25,0/0,0,0,0,0,0,0,2.5,26.8,0.2,3.1
"Jerome Cunningham, NYGTE",@TB,Sun 4:05,0/0,0,0,0,0,0,0,1.8,20.2,0.2,3.1
"Orleans Darkwa, NYGRBP",@TB,Sun 4:05,0/0,0,0,0,7.3,28.8,0.2,0.2,2,0,3.1
"Justin Hardy, AtlWR",@SF,Sun 4:05,0/0,0,0,0,0,0,0,2.2,29.7,0.2,3
"Adam Humphries, TBWR",NYG,Sun 4:05,0/0,0,0,0,0,0,0,1.7,22.6,0.2,2.9
"Marcel Reece, OakRB",@Pit,Sun 1:00,0/0,0,0,0,0.2,0.7,0,2.4,23.8,0.2,2.9
"Clive Walford, OakTE",@Pit,Sun 1:00,0/0,0,0,0,0,0,0,1.8,21.3,0.2,2.9
"Marc Mariani, ChiWR",@SD,Mon 8:30,0/0,0,0,0,0,0,0,1.9,24.3,0.1,2.9
Redskins D/STD/ST,@NE,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,2.8
"Jerricho Cotchery, CarWR",GB,Sun 1:00,0/0,0,0,0,0,0,0,1.8,22,0.1,2.8
"Riley Cooper, PhiWR",@Dal,Sun 8:30,0/0,0,0,0,0,0,0,1.9,26.9,0.1,2.7
"Ahmad Bradshaw, IndRB",Den,Sun 4:25,0/0,0,0,0,4.4,17.4,0.1,2,14.6,0.1,2.7
"Dwayne Bowe, CleWR",@Cin,L 10-31,0/0,0,0,0,0,0,0,2.1,27.7,0.1,2.7
"Kenny Britt, StLWR",@Min,Sun 1:00,0/0,0,0,0,0,0,0,1.9,27.7,0.1,2.7
"Vance McDonald, SFTE",Atl,Sun 4:05,0/0,0,0,0,0,0,0,2.2,25.8,0.1,2.7
Browns D/STD/ST,@Cin,L 10-31,0/0,0,0,0,0,0,0,0,0,0,2.7
"Jordan Norwood*, DenWRO",@Ind,Sun 4:25,0/0,0,0,0,0,0,0,1.7,21.1,0.1,2.7
"Christine Michael, DalRB",Phi,Sun 8:30,0/0,0,0,0,5.9,24.7,0.1,0.9,7.1,0,2.7
