,player,fan_pts
32,Seahawks,12.9
53,Broncos,10.7
96,Patriots,7.9
105,Panthers,7.7
106,Eagles,7.7
113,Rams,7.5
135,Packers,6.7
137,Titans,6.6
142,Cowboys,6.4
149,Jets,6.3
151,Jaguars,6.2
160,Dolphins,5.7
161,Falcons,5.7
171,Ravens,5.4
173,Cardinals,5.3
179,Chiefs,5
180,Chargers,4.9
181,Texans,4.9
184,Raiders,4.7
187,Vikings,4.5
190,Bengals,4.4
192,Buccaneers,4.4
194,Colts,4.4
202,49ers,4.2
217,Bears,3.6
241,Lions,2.8
242,Bills,2.8
245,Redskins,2.6
