,2-pt,comp,fan_pts,fl,int,kick_td,opp,pass_att,pass_tds,pass_yards,player,punt_td,rec,rec_tds,rec_yards,rush_att,rush_tds,rush_yards,team
0,0,,,0,,0,Fantasy,,,,Passing,0,0,0,0,,,,Rushing
1,0,Opp,TD,0,TD,0,Team,Comp,Yard,Att,Chg,0,0,0,0,INT,Yard,Att,"Player
Sort First: 



		Last:"
2,0,20,29.5,0,0,0,WAS,32,2,240,Cam Newton,0,0,0,0,6,1,35,CAR
3,0,26,28.0,0,0,0,BUF,40,3,320,Tom Brady,0,0,0,0,0,0,0,NE
4,0,24,24.0,0,1,0,TEN,41,2,280,Blake Bortles,0,0,0,0,3,0,20,JAC
5,0,21,23.5,0,0,0,@MIN,34,2,270,Aaron Rodgers,0,0,0,0,3,0,20,GB
6,0,24,22.8,0,1,0,@DET,38,2,285,Derek Carr,0,0,0,0,2,0,5,OAK
7,0,25,22.5,0,0,0,@ARI,40,2,270,Andy Dalton,0,0,0,0,3,0,10,CIN
8,0,26,22.5,0,1,0,KC,39,2,290,Philip Rivers,0,0,0,0,0,0,0,SD
9,0,22,22.3,0,1,0,CIN,34,2,285,Carson Palmer,0,0,0,0,0,0,0,ARI
10,0,24,22.3,0,1,0,OAK,39,2,275,Matthew Stafford,0,0,0,0,1,0,5,DET
11,0,25,21.5,0,0,0,STL,41,2,260,Joe Flacco,0,0,0,0,2,0,5,BAL
12,0,23,21.5,0,0,0,IND,35,2,270,Matt Ryan,0,0,0,0,0,0,0,ATL
13,0,21,21.5,0,1,0,TB,34,2,250,Mark Sanchez,0,0,0,0,2,0,10,PHI
14,0,25,21.3,0,0,0,@ATL,40,2,265,Matt Hasselbeck,0,0,0,0,0,0,0,IND
15,0,23,21.3,0,1,0,@MIA,35,2,265,Tony Romo,0,0,0,0,0,0,0,DAL
16,0,21,21.0,0,1,0,@JAC,35,2,250,Marcus Mariota,0,0,0,0,1,0,5,TEN
17,0,21,20.3,0,1,0,NYJ,36,2,245,T.J. Yates,0,0,0,0,0,0,0,HOU
18,0,19,19.0,0,0,0,SF,30,1,230,Russell Wilson,0,0,0,0,7,0,35,SEA
19,0,22,18.8,0,0,0,@HOU,36,1,255,Ryan Fitzpatrick,0,0,0,0,3,0,20,NYJ
