,2-pt,avg_yards/rec,comp,comp-%,fan_pts,fl,int,kick_td,pass_att,pass_tds,pass_yards,pass_yards/att,player,punt_td,rec,rec_tds,rec_yards,rush_att,rush_avg,rush_tds,rush_yards
0,,,,,,,,,,,,,Quarterbacks Week 11 Standard Stats -- Average,,,,,,,,
1,,,Misc,,,,,,Rushing,,,,Passing,,,,,,,,
2,,,Cmp,CmpPct,FPTS,FL,INT,,Att,TD,Yd,YAtt,Player,,,,,Att,Avg,TD,Yd
3,,,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,Bryce Petty,,,,,0.0,0.0,0.0,0.0
4,,,0.1,64.8,0,0.0,0.0,,0.1,0.0,0.9,6.1,Chase Daniel,,,,,0.1,4.0,0.0,0.3
5,,,19.8,53.5,0,0.2,1.1,,37.0,1.3,228.0,6.2,T.J. Yates,,,,,1.9,3.1,0.0,6.1
6,,,0.1,62.7,0,0.0,0.0,,0.2,0.0,1.8,7.6,Derek Anderson,,,,,0.1,2.3,0.0,0.2
7,,,0.4,60.8,0,0.0,0.0,,0.7,0.0,4.8,7.2,Geno Smith,,,,,0.2,5.9,0.0,1.0
8,,,26.5,67.8,0,0.3,0.9,,39.1,1.6,264.0,6.8,Joe Flacco,,,,,1.9,2.2,0.2,4.3
9,,,21.1,70.3,0,0.2,0.8,,30.0,1.5,258.0,8.6,Tony Romo,,,,,1.5,3.1,0.0,4.6
10,,,20.0,62.9,0,0.2,1.1,,31.8,1.4,231.0,7.3,Andy Dalton,,,,,4.3,2.7,0.1,11.6
11,,,24.0,64.3,0,0.2,1.0,,37.3,1.9,267.0,7.2,Ryan Tannehill,,,,,2.3,4.4,0.0,10.4
12,,,21.3,64.4,0,0.2,0.5,,33.1,1.4,240.0,7.3,Alex Smith,,,,,4.4,6.5,0.1,28.8
13,,,0.4,63.5,0,0.0,0.0,,0.6,0.0,4.0,6.2,Robert Griffin III,,,,,0.2,5.1,0.0,1.0
14,,,0.0,69.2,0,0.0,0.0,,0.1,0.0,0.5,9.7,Tarvaris Jackson,,,,,0.0,1.0,0.0,0.0
15,,,24.8,63.8,0,0.2,0.9,,38.9,2.0,278.0,7.1,Matthew Stafford,,,,,2.1,3.2,0.1,6.6
16,,,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,Thad Lewis,,,,,0.0,0.0,0.0,0.0
17,,,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,Trevor Siemian,,,,,0.0,0.0,0.0,0.0
18,,,19.2,65.5,0,0.1,0.6,,29.3,1.3,225.0,7.7,Tyrod Taylor,,,,,6.5,4.9,0.2,31.6
19,,,23.7,61.7,0,0.2,1.5,,38.4,1.7,285.0,7.4,Philip Rivers,,,,,1.2,2.3,0.0,2.7
20,,,0.0,64.7,0,0.0,0.0,,0.0,0.0,0.3,7.9,Sean Renfree,,,,,0.0,0.3,0.0,0.0
21,,,18.2,57.8,0,0.3,1.1,,31.5,1.1,240.0,7.6,Jameis Winston,,,,,3.0,3.7,0.3,10.9
22,,,0.1,60.0,0,0.0,0.0,,0.1,0.0,0.7,6.5,Dan Orlovsky,,,,,0.0,3.5,0.0,0.0
23,,,0.4,58.3,0,0.0,0.0,,0.6,0.0,4.7,7.7,Mike Glennon,,,,,0.1,2.5,0.0,0.3
24,,,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,Matt Barkley,,,,,0.0,0.0,0.0,0.0
25,,,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,Brandon Weeden,,,,,0.0,0.0,0.0,0.0
26,,,0.0,60.0,0,0.0,0.0,,0.0,0.0,0.2,5.4,Jimmy Garoppolo,,,,,0.1,-0.3,0.0,-0.0
27,,,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,Sean Mannion,,,,,0.0,0.0,0.0,0.0
28,,,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,David Fales,,,,,0.0,0.0,0.0,0.0
29,,,23.9,61.6,0,0.2,0.8,,38.8,2.2,263.0,6.8,Tom Brady,,,,,2.3,1.2,0.1,2.8
30,,,21.4,61.8,0,0.3,1.2,,34.6,1.5,197.0,5.7,Jay Cutler,,,,,2.5,4.4,0.1,11.2
31,,,19.0,59.6,0,0.3,1.0,,31.9,2.0,257.0,8.1,Cam Newton,,,,,8.3,5.3,0.6,43.8
32,,,0.4,67.9,0,0.0,0.0,,0.5,0.0,3.8,7.0,Matt Schaub,,,,,0.0,4.2,0.0,0.1
33,,,0.3,56.4,0,0.0,0.0,,0.6,0.0,3.8,6.6,Charlie Whitehurst,,,,,0.1,3.6,0.0,0.5
34,,,0.2,54.4,0,0.0,0.0,,0.4,0.0,2.3,6.4,Drew Stanton,,,,,0.1,0.7,0.0,0.1
