Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
Julio Jones,WR,9300,Ind@Atl 01:00PM ET,26.544,Atl,28.0,31.1,26.3,27.1,25.14,18.6,25.647,25.9838571429,31.1,18.6,12.5,0.481067915794
DeAndre Hopkins,WR,8800,NYJ@Hou 01:00PM ET,24.411,Hou,20.0,23.8,18.29,20.9,18.55,13.04,18.8198,19.0571142857,23.8,13.04,10.76,0.564618537659
Tom Brady,QB,8500,Buf@NE 08:30PM ET,27.28,NE,27.8,23.94,19.2,23.94,22.77,17.636,25.449,22.9621428571,27.8,17.636,10.164,0.442641615081
Devonta Freeman,RB,8400,Ind@Atl 01:00PM ET,26.678,Atl,22.5,22.7,18.99,22.9,25.89,21.82,21.861,22.3801428571,25.89,18.99,6.9,0.308309023943
Julian Edelman,WR,8000,Buf@NE 08:30PM ET,19.611,NE,,,,,,,,,,,,
Rob Gronkowski,TE,7700,Buf@NE 08:30PM ET,21.4,NE,23.0,22.6,19.78,20.3,16.1,15.67,17.082,19.2188571429,23.0,15.67,7.33,0.381396247733
Dez Bryant,WR,7700,Dal@Mia 01:00PM ET,11.725,Dal,22.0,29.8,15.06,26.4,18.03,17.74,18.6144,21.0920571429,29.8,15.06,14.74,0.69884126997
A.J. Green,WR,7700,Cin@Ari 08:30PM ET,17.878,Cin,21.0,31.6,15.62,27.4,17.17,13.99,16.273,20.4361428571,31.6,13.99,17.61,0.861708597513
Todd Gurley,RB,7600,StL@Bal 01:00PM ET,20.3,StL,23.0,17.2,14.77,16.7,17.24,17.42,18.606,17.848,23.0,14.77,8.23,0.461116091439
Aaron Rodgers,QB,7500,GB@Min 04:25PM ET,22.878,GB,20.8,28.88,17.04,28.88,20.456,18.978,20.7774,22.2587714286,28.88,17.04,11.84,0.531925135131
Demaryius Thomas,WR,7300,Den@Chi 01:00PM ET,18.178,Den,20.0,30.0,18.56,26.5,15.88,14.84,15.9304,20.2443428571,30.0,14.84,15.16,0.748851178177
Mike Evans,WR,7300,TB@Phi 01:00PM ET,15.4,TB,26.5,25.4,18.02,22.7,18.17,22.76,16.234,21.3977142857,26.5,16.234,10.266,0.479770870053
Larry Fitzgerald,WR,7200,Cin@Ari 08:30PM ET,21.956,Ari,21.0,18.8,17.42,18.4,20.95,16.53,15.795,18.4135714286,21.0,15.795,5.205,0.282671942279
Calvin Johnson,WR,7200,Oak@Det 01:00PM ET,16.444,Det,20.0,14.8,16.08,12.4,18.3,14.82,17.274,16.2391428571,20.0,12.4,7.6,0.468004996745
Matt Ryan,QB,7100,Ind@Atl 01:00PM ET,18.042,Atl,18.8,23.18,21.51,24.18,18.928,23.698,20.1062,21.4860285714,24.18,18.8,5.38,0.250395273473
Brandon Marshall,WR,7000,NYJ@Hou 01:00PM ET,20.144,NYJ,13.0,20.2,15.38,19.1,17.57,14.23,16.477,16.5652857143,20.2,13.0,7.2,0.434643876609
Emmanuel Sanders,WR,7000,Den@Chi 01:00PM ET,15.544,Den,10.0,26.1,16.33,23.2,13.46,11.95,13.395,16.3478571429,26.1,10.0,16.1,0.984838554638
Allen Robinson,WR,7000,Ten@Jax 08:25PM ET,18.756,Jax,22.5,18.0,14.96,17.0,17.01,13.53,14.416,16.7737142857,22.5,13.53,8.97,0.534765279008
Philip Rivers,QB,6900,KC@SD 04:05PM ET,23.391,SD,18.6,18.4,16.77,19.4,19.432,23.714,18.5454,19.2659142857,23.714,16.77,6.944,0.360429300007
Cam Newton,QB,6900,Was@Car 01:00PM ET,22.898,Car,27.1,24.84,24.96,25.84,20.09,19.534,20.0142,23.1968857143,27.1,19.534,7.566,0.326164472817
Adrian Peterson,RB,6800,GB@Min 04:25PM ET,19.211,Min,21.0,22.5,19.48,23.8,22.19,22.75,22.4994,22.0313428571,23.8,19.48,4.32,0.196084279928
Matt Forte,RB,6800,Den@Chi 01:00PM ET,17.671,Chi,,,,,,,8.079,8.079,8.079,8.079,0.0,0.0
Alshon Jeffery,WR,6800,Den@Chi 01:00PM ET,21.7,Chi,7.0,21.2,14.64,19.7,16.58,15.78,15.07,15.71,21.2,7.0,14.2,0.903882877148
Amari Cooper,WR,6800,Oak@Det 01:00PM ET,17.289,Oak,27.0,25.8,15.88,23.9,16.3,15.54,16.757,20.1681428571,27.0,15.54,11.46,0.568222869164
Carson Palmer,QB,6700,Cin@Ari 08:30PM ET,23.618,Ari,18.4,19.18,18.54,20.18,24.654,16.812,20.0444,19.6872,24.654,16.812,7.842,0.398329879312
Marshawn Lynch,RB,6700,SF@Sea 04:25PM ET,12.243,Sea,18.0,15.1,15.28,15.8,17.16,16.64,15.118,16.1568571429,18.0,15.1,2.9,0.179490353499
Andrew Luck,QB,6700,Ind@Atl 01:00PM ET,21.406,Ind,,,,,,,,,,,,
Randall Cobb,WR,6700,GB@Min 04:25PM ET,14.756,GB,12.0,21.0,13.48,19.8,16.23,15.5,16.461,16.353,21.0,12.0,9.0,0.550357732526
Jarvis Landry,WR,6700,Dal@Mia 01:00PM ET,18.24,Mia,13.5,17.2,14.89,16.7,15.14,13.58,15.695,15.2435714286,17.2,13.5,3.7,0.242725270606
Andy Dalton,QB,6600,Cin@Ari 08:30PM ET,21.458,Cin,19.8,17.64,15.3,18.64,20.142,14.744,18.2848,17.7929714286,20.142,14.744,5.398,0.303378219971
Derek Carr,QB,6300,Oak@Det 01:00PM ET,21.26,Oak,18.9,17.56,17.12,18.56,22.61,24.678,21.8636,20.1845142857,24.678,17.12,7.558,0.37444547305
Derek Carr,QB,6300,Oak@Det 01:00PM ET,21.26,Oak,18.9,17.56,17.12,18.56,22.61,1.96,21.8636,16.9390857143,22.61,1.96,20.65,1.21907406033
Greg Olsen,TE,6200,Was@Car 01:00PM ET,16.378,Car,18.5,19.4,16.39,17.7,14.12,10.76,14.32,15.8842857143,19.4,10.76,8.64,0.543933806997
T.Y. Hilton,WR,6200,Ind@Atl 01:00PM ET,14.922,Ind,21.0,19.5,14.77,26.4,15.01,14.15,15.16,17.9985714286,26.4,14.15,12.25,0.680609572188
Lamar Miller,RB,6200,Dal@Mia 01:00PM ET,18.333,Mia,22.5,13.4,16.28,14.3,17.71,16.57,17.219,16.8541428571,22.5,13.4,9.1,0.539926597106
Chris Ivory,RB,6100,NYJ@Hou 01:00PM ET,17.863,NYJ,19.0,16.0,13.16,15.8,14.43,14.78,17.0596,15.7470857143,19.0,13.16,5.84,0.370862272929
Tony Romo,QB,6000,Dal@Mia 01:00PM ET,17.57,Dal,17.6,,15.78,,18.066,,18.4032,17.4623,18.4032,15.78,2.6232,0.150220761297
Michael Crabtree,WR,6000,Oak@Det 01:00PM ET,17.178,Oak,20.0,10.4,12.8,10.2,18.34,15.76,13.254,14.3934285714,20.0,10.2,9.8,0.680866268337
DeMarco Murray,RB,6000,TB@Phi 01:00PM ET,17.488,Phi,21.5,15.2,15.26,15.8,19.65,20.15,18.302,17.9802857143,21.5,15.2,6.3,0.350383753635
Jordan Matthews,WR,6000,TB@Phi 01:00PM ET,13.689,Phi,10.0,12.6,13.02,11.3,13.56,15.62,13.8382,12.8483142857,15.62,10.0,5.62,0.437411466985
Peyton Manning,QB,5900,Den@Chi 01:00PM ET,12.422,Den,,,,,,,,,,,,
Russell Wilson,QB,5900,SF@Sea 04:25PM ET,16.802,Sea,16.7,19.26,19.25,20.26,18.326,22.09,19.7304,19.3737714286,22.09,16.7,5.39,0.278211189797
Tyler Eifert,TE,5900,Cin@Ari 08:30PM ET,15.889,Cin,12.0,21.2,13.28,19.6,13.5,9.15,11.908,14.3768571429,21.2,9.15,12.05,0.838152586498
Blake Bortles,QB,5900,Ten@Jax 08:25PM ET,20.949,Jax,20.2,18.64,17.94,19.64,20.846,17.902,17.8978,19.0094,20.846,17.8978,2.9482,0.155091691479
Justin Forsett,RB,5800,StL@Bal 01:00PM ET,13.978,Bal,10.0,17.6,13.34,17.6,16.55,16.99,12.133,14.8875714286,17.6,10.0,7.6,0.510492932744
Eric Decker,WR,5800,NYJ@Hou 01:00PM ET,17.338,NYJ,20.0,20.0,13.9,18.0,15.02,11.86,13.43,16.03,20.0,11.86,8.14,0.507797878977
Allen Hurns,WR,5800,Ten@Jax 08:25PM ET,17.856,Jax,17.5,18.8,12.22,17.4,13.11,13.75,12.047,14.9752857143,18.8,12.047,6.753,0.450942982247
Latavius Murray,RB,5600,Oak@Det 01:00PM ET,14.456,Oak,18.0,12.7,13.24,12.9,15.77,17.02,15.057,14.9552857143,18.0,12.7,5.3,0.354389752309
Jeremy Langford,RB,5600,Den@Chi 01:00PM ET,10.056,Chi,22.5,29.1,17.51,30.4,16.07,16.79,11.789,20.5941428571,30.4,11.789,18.611,0.903703549553
Matt Hasselbeck,QB,5500,Ind@Atl 01:00PM ET,15.8,Ind,18.6,7.92,14.51,8.92,18.786,18.424,15.9076,14.7239428571,18.786,7.92,10.866,0.737981674163
Sam Bradford,QB,5500,TB@Phi 01:00PM ET,14.887,Phi,,,,,,,,,,,,
LeSean McCoy,RB,5500,Buf@NE 08:30PM ET,16.214,Buf,17.0,14.9,12.72,14.6,14.95,14.55,14.528,14.7497142857,17.0,12.72,4.28,0.290175112351
Matthew Stafford,QB,5400,Oak@Det 01:00PM ET,16.689,Det,18.5,14.48,19.28,15.48,23.872,16.726,17.9818,18.0456857143,23.872,14.48,9.392,0.52045680883
Joe Flacco,QB,5300,StL@Bal 01:00PM ET,19.664,Bal,18.9,18.26,17.39,19.26,16.606,17.236,15.333,17.5692857143,19.26,15.333,3.927,0.223515062813
James Starks,RB,5300,GB@Min 04:25PM ET,11.633,GB,17.0,9.7,13.29,10.6,11.01,12.89,11.926,12.3451428571,17.0,9.7,7.3,0.59132568043
Danny Woodhead,RB,5300,KC@SD 04:05PM ET,16.678,SD,21.0,19.6,13.86,18.1,13.27,13.15,13.458,16.0625714286,21.0,13.15,7.85,0.488713780039
Doug Martin,RB,5300,TB@Phi 01:00PM ET,15.711,TB,18.0,13.5,11.92,13.6,12.53,14.72,12.681,13.8501428571,18.0,11.92,6.08,0.438984641726
Kirk Cousins,QB,5300,Was@Car 01:00PM ET,17.98,Was,13.0,17.2,12.55,18.2,14.994,11.656,15.6238,14.7462571429,18.2,11.656,6.544,0.44377362585
Marcus Mariota,QB,5300,Ten@Jax 08:25PM ET,18.843,Ten,17.5,19.04,14.68,20.04,16.31,18.094,18.1928,17.6938285714,20.04,14.68,5.36,0.302930481007
Brian Hoyer,QB,5200,NYJ@Hou 01:00PM ET,17.351,Hou,,,,,,,,,,,,
Tyrod Taylor,QB,5200,Buf@NE 08:30PM ET,19.306,Buf,16.2,12.38,17.86,13.38,17.704,15.488,18.5372,15.9356,18.5372,12.38,6.1572,0.386380180225
John Brown,WR,5200,Cin@Ari 08:30PM ET,14.313,Ari,9.0,14.4,14.24,13.2,12.83,12.14,12.597,12.6295714286,14.4,9.0,5.4,0.427567952764
Jay Cutler,QB,5100,Den@Chi 01:00PM ET,19.038,Chi,14.7,16.88,14.1,17.88,15.084,16.42,14.1134,15.5967714286,17.88,14.1,3.78,0.242357850617
Jason Witten,TE,5100,Dal@Mia 01:00PM ET,11.611,Dal,16.5,17.2,11.37,16.6,12.29,14.92,10.018,14.1282857143,17.2,10.018,7.182,0.508341928047
DeSean Jackson,WR,5100,Was@Car 01:00PM ET,3.633,Was,10.5,8.6,9.45,7.4,9.81,12.53,12.139,10.0612857143,12.53,7.4,5.13,0.509875193457
Ryan Tannehill,QB,5100,Dal@Mia 01:00PM ET,18.273,Mia,13.3,18.36,18.12,19.36,16.494,19.686,14.9884,17.1869142857,19.686,13.3,6.386,0.371561752962
