Name,Id,Position,Salary,Game,FPPG,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
Tom Brady,6498,QB,9200,BUF@NE,25.1,NE,27.8,23.94,19.2,23.94,22.77,17.636,22.449,22.5335714286,27.8,17.636,10.164,0.451060322693
Todd Gurley,30447,RB,9200,STL@BAL,17.4,STL,23.0,17.2,14.77,16.7,17.24,17.42,15.3665,17.3852142857,23.0,14.77,8.23,0.473390771304
Julio Jones,14190,WR,9100,IND@ATL,20.3,ATL,28.0,31.1,26.3,27.1,25.14,18.6,15.598,24.5482857143,31.1,15.598,15.502,0.63149012442
Devonta Freeman,24920,RB,9100,IND@ATL,22.7,ATL,22.5,22.7,18.99,22.9,25.89,21.82,16.7595,21.6513571429,25.89,16.7595,9.1305,0.421705666751
DeAndre Hopkins,16606,WR,8900,NYJ@HOU,19.1,HOU,20.0,23.8,18.29,20.9,18.55,13.04,11.6568,18.0338285714,23.8,11.6568,12.1432,0.673356739081
Aaron Rodgers,6894,QB,8900,GB@MIN,21.3,GB,20.8,28.88,17.04,28.88,20.456,18.978,20.7774,22.2587714286,28.88,17.04,11.84,0.531925135131
Adrian Peterson,6703,RB,8900,GB@MIN,16.4,MIN,21.0,22.5,19.48,23.8,22.19,22.75,16.9724,21.2417714286,23.8,16.9724,6.8276,0.32142328727
Cam Newton,14185,QB,8600,WAS@CAR,22.3,CAR,27.1,24.84,24.96,25.84,20.09,19.534,19.9762,23.1914571429,27.1,19.534,7.566,0.326240820203
Dez Bryant,11435,WR,8400,DAL@MIA,8.9,DAL,22.0,29.8,15.06,26.4,18.03,17.74,12.6104,20.2343428571,29.8,12.6104,17.1896,0.8495259827
Rob Gronkowski,11460,TE,8400,BUF@NE,17.0,NE,23.0,22.6,19.78,20.3,16.1,15.67,11.3725,18.4032142857,23.0,11.3725,11.6275,0.631818975722
Philip Rivers,7968,QB,8300,KC@SD,20.7,SD,18.6,18.4,16.77,19.4,19.432,23.714,18.5454,19.2659142857,23.714,16.77,6.944,0.360429300007
A.J. Green,14187,WR,8200,CIN@ARI,14.0,CIN,21.0,31.6,15.62,27.4,17.17,13.99,10.8865,19.6666428571,31.6,10.8865,20.7135,1.05323008866
Carson Palmer,6748,QB,8200,CIN@ARI,21.4,ARI,18.4,19.18,18.54,20.18,24.654,16.812,20.0254,19.6844857143,24.654,16.812,7.842,0.398384804857
Calvin Johnson,6655,WR,8100,OAK@DET,13.0,DET,20.0,14.8,16.08,12.4,18.3,14.82,11.5455,15.4207857143,20.0,11.5455,8.4545,0.548253516821
Marshawn Lynch,9371,RB,8100,SF@SEA,10.9,SEA,18.0,15.1,15.28,15.8,17.16,16.64,12.9045,15.8406428571,18.0,12.9045,5.0955,0.321672551168
Tony Romo,6639,QB,8000,DAL@MIA,15.6,DAL,17.6,,15.78,,18.066,,18.4032,17.4623,18.4032,15.78,2.6232,0.150220761297
Mike Evans,32384,WR,8000,TB@PHI,11.3,TB,26.5,25.4,18.02,22.7,18.17,22.76,11.0945,20.6635,26.5,11.0945,15.4055,0.745541655576
Andy Dalton,14225,QB,7900,CIN@ARI,20.4,CIN,19.8,17.64,15.3,18.64,20.142,14.744,18.2658,17.7902571429,20.142,14.744,5.398,0.303424506833
Brandon Marshall,6759,WR,7900,NYJ@HOU,15.1,NYJ,13.0,20.2,15.38,19.1,17.57,14.23,10.6725,15.7360714286,20.2,10.6725,9.5275,0.605456072263
Matt Ryan,6616,QB,7800,IND@ATL,16.5,ATL,18.8,23.18,21.51,24.18,18.928,23.698,20.0872,21.4833142857,24.18,18.8,5.38,0.250426909389
Matt Forte,6899,RB,7800,DEN@CHI,15.3,CHI,,,,,,,6.3975,6.3975,6.3975,6.3975,0.0,0.0
Derek Carr,45859,QB,7700,OAK@DET,19.4,OAK,18.9,17.56,17.12,18.56,22.61,24.678,21.8636,20.1845142857,24.678,17.12,7.558,0.37444547305
Derek Carr,45859,QB,7700,OAK@DET,19.4,OAK,18.9,17.56,17.12,18.56,22.61,1.96,21.8636,16.9390857143,22.61,1.96,20.65,1.21907406033
