,player,opp,opp_rank,overall_rank,pos_rank,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,fan_pts,fanduel_pts,fanduel_cost,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,2-pt,fl,punt_td,kick_td
0,Julio Jones ,IND,#20,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.42,110.27,0.7,22.57,18.86,$9100,2.07,25.61,$9300,2.75,18.86,$144500,0.13,22.57,$18850,1.2,18.86,$6400,2.95,22.61,$9600,2.36,22.65,$8800,2.57,18.9,$9500,1.99,18.86,$33,571.52,,,,
1,Devonta Freeman ,IND,#20,2,1.0,0.0,0.0,0.0,16.73,71.96,0.48,5.37,49.75,0.24,21.54,18.86,$9100,2.07,21.7,$8400,2.58,18.86,$138700,0.14,21.54,$16400,1.31,18.86,$6300,2.99,21.7,$8300,2.61,21.86,$8600,2.54,19.02,$8900,2.14,18.86,$34,554.71,,,,
2,Tom Brady ,BUF,#10,3,1.0,309.2,2.17,0.95,2.83,11.51,0.2,0.0,0.0,0.0,21.02,21.97,$9200,2.39,25.23,$8500,2.97,21.02,$156100,0.13,21.97,$19450,1.13,24.11,$7600,3.17,22.23,$8100,2.74,25.58,$8900,2.87,22.23,$10000,2.22,21.97,$42,523.1,,,,
3,Derek Carr ,DET,#27,4,2.0,299.64,2.05,0.64,3.33,12.38,0.18,0.0,0.0,0.0,20.86,21.5,$7700,2.79,21.72,$6300,3.45,20.86,$140300,0.15,21.5,$15550,1.38,23.86,$6700,3.56,21.72,$7300,2.98,24.94,$8300,3.0,21.72,$7700,2.82,21.5,$38,565.79,,,,
4,Aaron Rodgers ,MIN,#16,5,3.0,269.46,2.01,0.89,4.74,19.49,0.15,0.0,0.0,0.0,19.57,20.46,$8900,2.3,20.66,$7500,2.75,19.57,$144100,0.14,20.46,$18150,1.13,22.26,$7350,3.03,20.66,$7400,2.79,23.55,$8800,2.68,20.66,$8800,2.35,20.46,$37,552.97,,,,
5,Adrian Peterson ,GB,#21,6,2.0,0.61,0.02,0.0,21.38,105.53,0.76,2.66,15.02,0.02,19.3,17.97,$8900,2.02,22.4,$6800,3.29,17.97,$140600,0.13,19.3,$16450,1.17,17.98,$6400,2.81,19.4,$7900,2.46,19.51,$8600,2.27,18.07,$8600,2.1,17.97,$31,579.68,,,,
6,Carson Palmer ,CIN,#11,7,4.0,290.41,2.08,0.8,2.32,6.53,0.04,0.02,-0.05,0.0,19.12,19.91,$8200,2.43,20.04,$6700,2.99,19.11,$138800,0.14,19.92,$17100,1.16,22.02,$7000,3.15,20.04,$7400,2.71,23.07,$8400,2.75,20.03,$6800,2.95,19.91,$37,538.11,,,,
7,Matt Ryan ,IND,#20,8,5.0,299.68,2.17,0.74,1.67,0.5,0.02,0.02,-0.11,0.0,18.87,19.6,$7800,2.51,19.88,$7100,2.8,18.86,$127800,0.15,19.61,$14800,1.33,21.85,$6650,3.29,19.88,$7400,2.69,23.14,$7500,3.09,19.87,$6800,2.92,19.6,$30,653.33,,,,
8,Cam Newton ,WSH,#15,8,5.0,220.63,1.38,0.78,7.21,45.12,0.31,0.04,0.37,0.0,18.87,19.63,$8600,2.28,19.83,$6900,2.87,18.85,$148700,0.13,19.65,$16950,1.16,21.06,$6800,3.1,19.83,$8000,2.48,22.22,$8300,2.68,19.81,$8900,2.23,19.63,$34,577.35,,,,
9,Russell Wilson ,SF,#29,9,6.0,220.61,1.54,0.74,6.07,36.74,0.3,0.02,-0.08,0.0,18.71,19.44,$7600,2.56,19.59,$5900,3.32,18.7,$127600,0.15,19.45,$14500,1.34,20.91,$6350,3.29,19.59,$7200,2.72,21.94,$7400,2.96,19.58,$6600,2.97,19.44,$29,670.34,,,,
10,DeAndre Hopkins ,NYJ,#4,10,2.0,1.07,0.02,0.0,0.0,0.0,0.0,7.54,89.97,0.36,18.56,14.79,$8900,1.66,18.69,$8800,2.12,14.79,$136900,0.11,18.56,$16300,1.14,14.8,$6000,2.47,18.69,$7400,2.53,18.83,$8800,2.14,14.92,$8300,1.8,14.79,$32,462.19,,,,
11,Dez Bryant ,MIA,#26,11,3.0,1.96,0.09,0.0,0.0,0.0,0.0,6.32,77.76,0.68,18.53,15.37,$8400,1.83,18.57,$7700,2.41,15.37,$129800,0.12,18.53,$13900,1.33,15.39,$5300,2.9,18.57,$6300,2.95,18.63,$8300,2.24,15.41,$5900,2.61,15.37,$31,495.81,,,,
12,Todd Gurley ,BAL,#17,12,3.0,0.0,0.0,0.0,19.55,87.68,0.51,3.41,25.28,0.14,18.43,16.72,$9200,1.82,18.52,$7600,2.44,16.72,$134900,0.12,18.43,$16750,1.1,16.72,$6250,2.68,18.52,$6700,2.76,18.61,$8200,2.27,16.81,$7600,2.21,16.72,$34,491.76,,,,
13,DeMarco Murray ,TB,#18,13,4.0,0.0,0.0,0.0,16.33,65.91,0.54,4.26,34.31,0.13,18.1,15.97,$7600,2.1,18.22,$6000,3.04,15.97,$132400,0.12,18.1,$14350,1.26,15.97,$5000,3.19,18.22,$6100,2.99,18.34,$6800,2.7,16.09,$7400,2.17,15.97,$29,550.69,,,,
14,Tyrod Taylor ,NE,#14,14,7.0,238.68,1.32,0.82,5.8,32.1,0.22,0.0,0.0,0.0,17.4,18.22,$7200,2.53,18.4,$5200,3.54,17.4,$125800,0.14,18.22,$11900,1.53,19.78,$5800,3.41,18.4,$6700,2.75,20.96,$6800,3.08,18.4,$6000,3.07,18.22,$30,607.33,,,,
15,Andy Dalton ,ARI,#6,15,8.0,271.57,1.75,0.7,2.4,8.64,0.04,0.02,-0.02,0.0,17.3,17.99,$7900,2.28,18.18,$6600,2.75,17.29,$133900,0.13,18,$15350,1.17,20.01,$6950,2.88,18.18,$6800,2.67,21.08,$8300,2.54,18.17,$7600,2.39,17.99,$35,514.0,,,,
16,Tony Romo ,MIA,#26,16,9.0,273.38,1.56,0.92,3.08,11.28,0.17,0.0,0.0,0.0,17.28,18.2,$8000,2.28,18.37,$6000,3.06,17.28,$130300,0.13,18.2,$13350,1.36,20.02,$6500,3.08,18.37,$6600,2.78,21.28,$0,0.0,18.37,$4900,3.75,18.2,$35,520.0,,,,
17,Lamar Miller ,DAL,#22,17,5.0,0.0,0.0,0.0,13.72,67.68,0.48,4.1,28.11,0.11,17.14,15.09,$7400,2.04,17.18,$6200,2.77,15.09,$127100,0.12,17.14,$16100,1.06,15.09,$5400,2.79,17.18,$6400,2.68,17.22,$6900,2.5,15.13,$7200,2.1,15.09,$31,486.77,,,,
18,Calvin Johnson ,OAK,#31,18,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03,87.24,0.42,17.13,14.12,$8100,1.74,17.2,$7200,2.39,14.12,$128700,0.11,17.13,$13850,1.24,14.12,$5250,2.69,17.2,$6600,2.61,17.27,$7100,2.43,14.19,$6400,2.22,14.12,$31,455.48,,,,
19,Marcus Mariota ,JAC,#23,19,10.0,272.72,1.49,0.94,2.73,11.84,0.18,0.0,0.0,0.0,17.05,17.99,$7100,2.53,18.15,$5300,3.42,17.05,$123900,0.14,17.99,$12950,1.39,19.78,$6100,3.24,18.15,$6200,2.93,21.04,$5900,3.57,18.15,$5800,3.13,17.99,$31,580.32,,,,
20,Rob Gronkowski ,BUF,#10,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01,72.92,0.63,17.04,14.04,$8400,1.67,17.06,$7700,2.22,14.04,$145600,0.1,17.04,$15300,1.11,14.04,$5850,2.4,17.06,$6700,2.55,17.08,$8200,2.08,14.06,$6300,2.23,14.04,$28,501.43,,,,
21,Philip Rivers ,KC,#9,21,11.0,283.36,2.05,1.12,1.45,1.31,0.0,0.0,0.0,0.0,16.99,18.11,$8300,2.18,18.33,$6900,2.66,16.99,$135900,0.13,18.11,$16650,1.09,19.82,$6900,2.87,18.33,$6800,2.7,21.38,$7700,2.78,18.33,$8400,2.18,18.11,$37,489.46,,,,
22,Chris Ivory ,HOU,#13,22,6.0,0.29,0.0,0.0,18.77,81.83,0.48,2.88,23.25,0.13,16.94,15.5,$7200,2.15,17,$6100,2.79,15.5,$122800,0.13,16.94,$10850,1.56,15.5,$5100,3.04,17,$5700,2.98,17.06,$6900,2.47,15.56,$4600,3.38,15.5,$27,574.07,,,,
23,Amari Cooper ,DET,#27,23,5.0,0.0,0.0,0.0,0.13,0.59,0.0,5.11,81.08,0.58,16.8,14.24,$7200,1.98,16.8,$6800,2.47,14.24,$119900,0.12,16.8,$12600,1.33,14.24,$5100,2.79,16.8,$6200,2.71,16.8,$7100,2.37,14.24,$6000,2.37,14.24,$31,459.35,,,,
24,Matthew Stafford ,OAK,#31,24,12.0,263.82,1.45,1.19,3.52,13.79,0.24,0.0,0.0,0.0,16.71,17.9,$7000,2.56,18.05,$5400,3.34,16.71,$124400,0.13,17.9,$14500,1.23,19.35,$6300,3.07,18.05,$7100,2.54,20.84,$6500,3.21,18.05,$6100,2.96,17.9,$32,559.38,,,,
25,Darren McFadden ,MIA,#26,25,7.0,0.0,0.0,0.0,15.72,73.62,0.45,2.9,27.59,0.2,16.54,15.09,$6800,2.22,16.75,$5000,3.35,15.09,$119700,0.13,16.54,$11700,1.41,15.09,$4850,3.11,16.75,$6500,2.58,16.96,$6100,2.78,15.3,$5900,2.59,15.09,$29,520.34,,,,
26,Blake Bortles ,TEN,#12,26,13.0,273.02,1.6,1.25,3.29,12.65,0.09,0.02,0.02,0.0,16.51,17.75,$7500,2.37,17.96,$5900,3.04,16.5,$129800,0.13,17.76,$14550,1.22,19.23,$6400,3.0,17.96,$7000,2.57,20.89,$7400,2.82,17.95,$7600,2.36,17.75,$35,507.14,,,,
27,Randall Cobb ,MIN,#16,27,6.0,0.0,0.0,0.0,0.13,0.21,0.0,6.17,76.3,0.44,16.46,13.38,$7100,1.88,16.48,$6700,2.46,13.38,$111900,0.12,16.46,$11400,1.44,13.38,$5000,2.68,16.48,$6100,2.7,16.5,$6900,2.39,13.4,$6100,2.2,13.38,$27,495.56,,,,
28,Brandon Marshall ,HOU,#13,28,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11,79.07,0.41,16.4,13.34,$7900,1.69,16.44,$7000,2.35,13.34,$115800,0.12,16.4,$11550,1.42,13.34,$5350,2.49,16.44,$6300,2.61,16.48,$7300,2.26,13.38,$5800,2.31,13.34,$31,430.32,,,,
29,Teddy Bridgewater ,GB,#21,29,14.0,188.92,1.28,0.76,5.5,39.92,0.26,0.02,0.34,0.0,16.32,17.07,$6600,2.59,17.34,$5000,3.47,16.31,$108800,0.15,17.08,$12050,1.42,18.2,$5300,3.43,17.34,$5800,2.99,19.49,$4800,4.06,17.33,$5500,3.15,17.07,$24,711.25,,,,
30,Alex Smith ,SD,#28,30,15.0,242.17,1.49,0.78,4.02,17.38,0.12,0.04,-0.39,0.0,16.27,17.03,$6200,2.75,17.25,$5000,3.45,16.25,$119200,0.14,17.05,$13900,1.23,18.67,$5650,3.3,17.25,$6400,2.7,19.87,$5700,3.49,17.23,$5400,3.19,17.03,$29,587.24,,,,
31,A.J. Green ,ARI,#6,31,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.67,75.43,0.51,16.23,13.4,$8200,1.63,16.25,$7700,2.11,13.4,$114600,0.12,16.23,$13050,1.24,13.4,$5600,2.39,16.25,$6500,2.5,16.27,$7900,2.06,13.42,$7100,1.89,13.4,$31,432.26,,,,
