,Unnamed: 0,player,fan_pts,dk_name,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,Name
0,32,Seahawks,12.9,Seahawks ,12.9,12.9,12.9,12.9,12.9,12.9,12.9,Seahawks 
1,53,Broncos,10.7,Broncos ,10.7,10.7,10.7,10.7,10.7,10.7,10.7,Broncos 
2,96,Patriots,7.9,Patriots ,7.9,7.9,7.9,7.9,7.9,7.9,7.9,Patriots 
3,105,Panthers,7.7,Panthers ,7.7,7.7,7.7,7.7,7.7,7.7,7.7,Panthers 
4,106,Eagles,7.7,Eagles ,7.7,7.7,7.7,7.7,7.7,7.7,7.7,Eagles 
5,113,Rams,7.5,Rams ,7.5,7.5,7.5,7.5,7.5,7.5,7.5,Rams 
6,135,Packers,6.7,Packers ,6.7,6.7,6.7,6.7,6.7,6.7,6.7,Packers 
7,137,Titans,6.6,Titans ,6.6,6.6,6.6,6.6,6.6,6.6,6.6,Titans 
8,142,Cowboys,6.4,Cowboys ,6.4,6.4,6.4,6.4,6.4,6.4,6.4,Cowboys 
9,149,Jets,6.3,Jets ,6.3,6.3,6.3,6.3,6.3,6.3,6.3,Jets 
10,151,Jaguars,6.2,Jaguars ,6.2,6.2,6.2,6.2,6.2,6.2,6.2,Jaguars 
11,160,Dolphins,5.7,Dolphins ,5.7,5.7,5.7,5.7,5.7,5.7,5.7,Dolphins 
12,161,Falcons,5.7,Falcons ,5.7,5.7,5.7,5.7,5.7,5.7,5.7,Falcons 
13,171,Ravens,5.4,Ravens ,5.4,5.4,5.4,5.4,5.4,5.4,5.4,Ravens 
14,173,Cardinals,5.3,Cardinals ,5.3,5.3,5.3,5.3,5.3,5.3,5.3,Cardinals 
15,179,Chiefs,5.0,Chiefs ,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Chiefs 
16,180,Chargers,4.9,Chargers ,4.9,4.9,4.9,4.9,4.9,4.9,4.9,Chargers 
17,181,Texans,4.9,Texans ,4.9,4.9,4.9,4.9,4.9,4.9,4.9,Texans 
18,184,Raiders,4.7,Raiders ,4.7,4.7,4.7,4.7,4.7,4.7,4.7,Raiders 
19,187,Vikings,4.5,Vikings ,4.5,4.5,4.5,4.5,4.5,4.5,4.5,Vikings 
20,190,Bengals,4.4,Bengals ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,Bengals 
21,192,Buccaneers,4.4,Buccaneers ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,Buccaneers 
22,194,Colts,4.4,Colts ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,Colts 
23,202,49ers,4.2,49ers ,4.2,4.2,4.2,4.2,4.2,4.2,4.2,49ers 
24,217,Bears,3.6,Bears ,3.6,3.6,3.6,3.6,3.6,3.6,3.6,Bears 
25,241,Lions,2.8,Lions ,2.8,2.8,2.8,2.8,2.8,2.8,2.8,Lions 
26,242,Bills,2.8,Bills ,2.8,2.8,2.8,2.8,2.8,2.8,2.8,Bills 
27,245,Redskins,2.6,Redskins ,2.6,2.6,2.6,2.6,2.6,2.6,2.6,Redskins 
