,Unnamed: 0,player,cbs,dk_name
126,221,Jerricho Cotchery,7.98,Jerricho Cotchery
127,224,Chris Givens,8.11,Chris Givens
128,226,Jerome Simpson,5.1,Jerome Simpson
129,227,Pierre Garcon,10.6,Pierre Garcon
130,228,Julio Jones,26.4,Julio Jones
131,229,Brian Quick,4.02,Brian Quick
132,230,Jordan Norwood,3.53,Jordan Norwood
133,231,Doug Baldwin,11.91,Doug Baldwin
134,233,Allen Robinson,14.96,Allen Robinson
135,234,Mike Evans,14.42,Mike Evans
136,237,Riley Cooper,5.66,Riley Cooper
137,238,Sammy Watkins,12.04,Sammy Watkins
138,239,Jeremy Kerley,5.62,Jeremy Kerley
139,240,Allen Hurns,12.23,Allen Hurns
140,241,Kamar Aiken,12.51,Kamar Aiken
141,243,Jarvis Landry,14.88,Jarvis Landry
142,244,Greg Jennings,3.56,Greg Jennings
143,247,Javontee Herndon,4.52,Javontee Herndon
144,248,Kenny Stills,7.02,Kenny Stills
145,249,Michael Floyd,11.34,Michael Floyd
146,250,Jaron Brown,4.28,Jaron Brown
147,252,Roddy White,8.06,Roddy White
148,256,Eric Decker,13.9,Eric Decker
149,258,Jason Avant,4.35,Jason Avant
150,261,Bryan Walters,5.46,Bryan Walters
151,263,Charles Johnson,4.54,Charles Johnson
152,266,Davante Adams,9.19,Davante Adams
153,267,Randall Cobb,13.47,Randall Cobb
154,270,Chris Hogan,6.31,Chris Hogan
155,271,Steve Johnson,10.01,Stevie Johnson
156,274,Alshon Jeffery,14.64,Alshon Jeffery
157,276,Calvin Johnson,16.55,Calvin Johnson
158,277,Miles Austin,3.9,Miles Austin
159,279,Amari Cooper,15.46,Amari Cooper
160,280,Corey Brown,6.67,Corey Brown
161,281,Albert Wilson,5.81,Albert Wilson
162,282,Justin Hunter,5.49,Justin Hunter
163,286,Jermaine Kearse,8.28,Jermaine Kearse
164,287,Marqise Lee,4.42,Marqise Lee
165,288,Ty Montgomery,7.1,Ty Montgomery
166,289,Jarius Wright,4.86,Jarius Wright
167,290,Robert Woods,8.73,Robert Woods
168,292,Leonard Hankerson,10.34,Leonard Hankerson
169,294,Tyler Lockett,7.41,Tyler Lockett
170,296,Mike Wallace,8.18,Mike Wallace
171,297,Cole Beasley,7.28,Cole Beasley
172,298,Dez Bryant,15.09,Dez Bryant
173,300,Mohamed Sanu,6.02,Mohamed Sanu
174,301,Danny Amendola,12.75,Danny Amendola
175,302,Harry Douglas,6.16,Harry Douglas
176,303,Andre Holmes,6.22,Andre Holmes
177,304,Kenny Britt,7.61,Kenny Britt
178,305,Eddie Royal,7.86,Eddie Royal
179,306,Demaryius Thomas,18.29,Demaryius Thomas
180,308,Bennie Fowler,1.67,Bennie Fowler
181,309,Josh Huff,4.57,Josh Huff
182,310,Seth Roberts,3.49,Seth Roberts
183,311,Jaelen Strong,3.96,Jaelen Strong
184,314,T.Y. Hilton,14.78,T.Y. Hilton
185,315,Brandon Marshall,15.47,Brandon Marshall
186,317,Emmanuel Sanders,16.18,Emmanuel Sanders
187,319,Terrance Williams,9.45,Terrance Williams
188,320,Chris Conley,2.88,Chris Conley
189,321,Ryan Grant,4.04,Ryan Grant
190,322,Lance Moore,6.41,Lance Moore
191,323,Devin Smith,3.09,Devin Smith
192,324,Andre Caldwell,2.74,Andre Caldwell
193,325,Rishard Matthews,11.41,Rishard Matthews
194,326,Dorial Green-Beckham,6.99,Dorial Green-Beckham
195,327,Corey Fuller,4.24,Corey Fuller
196,328,DeAndre Hopkins,19.87,DeAndre Hopkins
197,330,Torrey Smith,8.43,Torrey Smith
198,331,John Brown,14.23,John Brown
199,332,Marlon Brown,3.26,Marlon Brown
200,333,Tavon Austin,6.95,Tavon Austin
201,335,Jordan Matthews,13.04,Jordan Matthews
202,336,Nelson Agholor,5.14,Nelson Agholor
203,337,A.J. Green,15.62,A.J. Green
204,338,Ted Ginn,8.89,Ted Ginn Jr.
205,340,Dontrelle Inman,7.6,Dontrelle Inman
206,341,Wes Welker,5.67,Wes Welker
207,342,Rashad Greene,3.65,NaN
208,345,Donte Moncrief,10.52,Donte Moncrief
209,346,Devin Funchess,6.58,Devin Funchess
210,347,James Jones,10.62,James Jones
211,348,De'Anthony Thomas,3.95,De'Anthony Thomas
212,350,Brandon LaFell,12.59,Brandon LaFell
213,351,Bruce Ellington,3.54,Bruce Ellington
214,353,Golden Tate,12.86,Golden Tate
215,355,Jamison Crowder,6.97,Jamison Crowder
216,356,Donteea Dye,5.64,Donteea Dye
217,359,Quinton Patton,4.58,Quinton Patton
218,360,Marvin Jones,9.27,Marvin Jones
219,365,Jason Witten,11.39,Jason Witten
220,367,Kyle Rudolph,7.35,Kyle Rudolph
221,369,Jacob Tamme,6.92,Jacob Tamme
222,370,Charles Clay,9.86,Charles Clay
223,371,Martellus Bennett,10.1,Martellus Bennett
224,372,Delanie Walker,8.48,Delanie Walker
225,374,Vance McDonald,3.38,Vance McDonald
226,375,Brandon Myers,2.53,Brandon Myers
227,376,Antonio Gates,12.68,Antonio Gates
228,377,Jake Stoneburner,6.74,Jake Stoneburner
229,378,Jared Cook,5.84,Jared Cook
230,379,Cameron Brate,2.48,Cameron Brate
231,382,Jimmy Graham,13.77,Jimmy Graham
