player,opp,opp_rank,overall_rank,pos_rank,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,fan_pts,fanduel_pts,fanduel_cost,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,2-pt,fl,punt_td,kick_td


"Devonta Freeman (RB, ATL)",TB,#24,1,1,0.00,0.00,0.00,17.88,83.24,0.62,4.76,44.88,0.26,22.65,20.27,$9100,2.23,22.75,$8000,2.84,20.27,$141500,0.14,22.65,$19200,1.18,20.27,$6000,3.38,22.75,$8200,2.77,22.85,$8700,2.63,20.37,$9300,2.19,20.27,$40,506.75
"DeAndre Hopkins (WR, HOU)",TEN,#8,2,1,0.00,0.00,0.00,0.00,0.00,0.00,7.66,118.27,0.50,22.33,18.5,$9000,2.06,25.44,$8700,2.92,18.5,$138200,0.13,22.33,$17850,1.25,18.5,$6200,2.98,22.44,$7800,2.88,22.55,$8500,2.65,18.61,$8500,2.19,18.5,$38,486.84
"Tom Brady (QB, NE)",MIA,#20,3,1,330.03,2.15,1.04,2.63,8.05,0.20,0.00,0.00,0.00,21.57,22.61,$9200,2.46,25.77,$8300,3.1,21.57,$161200,0.13,22.61,$21750,1.04,24.87,$7450,3.34,22.77,$8300,2.74,26.23,$8900,2.95,22.77,$9200,2.48,22.61,$48,471.04
"Cam Newton (QB, CAR)",IND,#25,4,2,228.02,1.45,0.78,7.64,46.55,0.44,0.02,0.35,0.00,20.51,21.28,$8000,2.66,21.43,$6800,3.15,20.5,$145300,0.14,21.29,$17700,1.2,22.78,$6700,3.4,21.43,$7800,2.75,23.85,$7700,3.1,21.42,$8200,2.61,21.28,$45,472.89
"Antonio Brown (WR, PIT)",CIN,#12,5,2,0.00,0.00,0.00,0.11,0.09,0.00,7.09,92.05,0.67,20.32,16.78,$8400,2,20.36,$7800,2.61,16.78,$134700,0.12,20.32,$13250,1.53,16.78,$6100,2.75,20.36,$7500,2.71,20.4,$8800,2.32,16.82,$6700,2.51,16.78,$31,541.29
"Julio Jones (WR, ATL)",TB,#24,6,3,0.00,0.00,0.00,0.00,0.00,0.00,6.79,95.50,0.65,20.24,16.85,$9200,1.83,20.26,$9200,2.2,16.85,$140100,0.12,20.24,$18300,1.11,16.85,$6450,2.61,20.26,$8000,2.53,20.28,$8800,2.3,16.87,$8500,1.98,16.85,$36,468.06
"Andy Dalton (QB, CIN)",PIT,#11,7,3,297.64,2.12,0.74,2.82,10.17,0.08,0.02,0.10,0.00,20.15,20.88,$8100,2.58,21.09,$6000,3.52,20.14,$140900,0.14,20.89,$18250,1.14,23.12,$6750,3.43,21.09,$6800,3.1,24.27,$8300,2.92,21.08,$7300,2.89,20.88,$41,509.27
"Julian Edelman (WR, NE)",MIA,#20,8,4,0.00,0.00,0.00,0.14,0.57,0.00,6.94,87.07,0.73,19.96,16.49,$7600,2.17,20.04,$8100,2.47,16.49,$120700,0.14,19.96,$14750,1.35,16.49,$5600,2.94,20.04,$7000,2.86,20.12,$7900,2.55,16.57,$7000,2.37,16.49,$32,515.31
"Justin Forsett (RB, BAL)",SD,#22,9,2,0.00,0.00,0.00,18.02,87.41,0.66,4.07,26.66,0.07,19.74,17.7,$6900,2.57,19.82,$6100,3.25,17.7,$0,0,19.74,$13350,1.48,17.7,$5300,3.34,19.82,$6900,2.87,19.9,$7000,2.84,17.78,$7500,2.37,17.7,$31,570.97
"Philip Rivers (QB, SD)",BAL,#16,10,4,312.83,2.28,1.05,2.61,4.12,0.02,0.00,0.00,0.00,19.51,20.56,$8500,2.42,23.84,$6600,3.61,19.51,$148700,0.13,20.56,$18850,1.09,22.63,$7000,3.23,20.84,$8300,2.51,24.24,$7900,3.07,20.84,$8100,2.57,20.56,$44,467.27
