,QB,QB_sal,QB_score,RB1,RB1_sal,RB1_score,RB2,RB2_sal,RB2_score,WR1,WR1_sal,WR1_score,WR2,WR2_sal,WR2_score,WR3,WR3_sal,WR3_score,TE,TE_sal,TE_score,DST,DST_sal,DST_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
1,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Antonio Brown,7800,21.67771429,Jaron Brown,3000,6.75,Owen Daniels,2600,8.619571429,Saints ,2000,4.9,Darren Fells,2500,5.24,50000,139.904885719,1
2,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Antonio Brown,7800,21.67771429,Jaron Brown,3000,6.75,Owen Daniels,2600,8.619571429,Saints ,2000,4.9,David Johnson,2500,6.337685714,50000,141.002571433,1
3,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Antonio Brown,7800,21.67771429,Jaron Brown,3000,6.75,David Johnson,2500,6.337685714,Saints ,2000,4.9,Owen Daniels,2600,8.619571429,50000,141.002571433,1
4,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Antonio Brown,7800,21.67771429,Nick Williams,3000,6.824666667,Owen Daniels,2600,8.619571429,Saints ,2000,4.9,David Johnson,2500,6.337685714,50000,141.0772381,1
5,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Antonio Brown,7800,21.67771429,Nick Williams,3000,6.824666667,David Johnson,2500,6.337685714,Saints ,2000,4.9,Owen Daniels,2600,8.619571429,50000,141.0772381,1
6,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Antonio Brown,7800,21.67771429,Justin Hunter,3000,7.011,Owen Daniels,2600,8.619571429,Saints ,2000,4.9,David Johnson,2500,6.337685714,50000,141.263571433,1
7,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Antonio Brown,7800,21.67771429,Justin Hunter,3000,7.011,David Johnson,2500,6.337685714,Saints ,2000,4.9,Owen Daniels,2600,8.619571429,50000,141.263571433,1
11,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Brandon Marshall,7600,19.01885714,Marques Colston,3200,10.624,Owen Daniels,2600,8.619571429,Saints ,2000,4.9,David Johnson,2500,6.337685714,50000,142.217714283,1
12,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Brandon Marshall,7600,19.01885714,Marques Colston,3200,10.624,David Johnson,2500,6.337685714,Saints ,2000,4.9,Owen Daniels,2600,8.619571429,50000,142.217714283,1
13,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Brandon Marshall,7600,19.01885714,Jaron Brown,3000,6.75,Austin Seferian-Jenkins,2800,13.375,Saints ,2000,4.9,David Johnson,2500,6.337685714,50000,143.099142854,1
14,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Brandon Marshall,7600,19.01885714,Jaron Brown,3000,6.75,David Johnson,2500,6.337685714,Saints ,2000,4.9,Austin Seferian-Jenkins,2800,13.375,50000,143.099142854,1
15,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Brandon Marshall,7600,19.01885714,Nick Williams,3000,6.824666667,Austin Seferian-Jenkins,2800,13.375,Saints ,2000,4.9,David Johnson,2500,6.337685714,50000,143.173809521,1
16,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Brandon Marshall,7600,19.01885714,Nick Williams,3000,6.824666667,David Johnson,2500,6.337685714,Saints ,2000,4.9,Austin Seferian-Jenkins,2800,13.375,50000,143.173809521,1
17,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Brandon Marshall,7600,19.01885714,Justin Hunter,3000,7.011,Austin Seferian-Jenkins,2800,13.375,Saints ,2000,4.9,David Johnson,2500,6.337685714,50000,143.360142854,1
18,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Brandon Marshall,7600,19.01885714,Justin Hunter,3000,7.011,David Johnson,2500,6.337685714,Saints ,2000,4.9,Austin Seferian-Jenkins,2800,13.375,50000,143.360142854,1
19,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,A.J. Green,7600,21.156,Marques Colston,3200,10.624,Owen Daniels,2600,8.619571429,Saints ,2000,4.9,David Johnson,2500,6.337685714,50000,144.354857143,1
20,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,A.J. Green,7600,21.156,Marques Colston,3200,10.624,David Johnson,2500,6.337685714,Saints ,2000,4.9,Owen Daniels,2600,8.619571429,50000,144.354857143,1
