,Unnamed: 0,player,fan_pts,dk_name,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,Name
0,49,Rams,10.9,Rams ,10.9,10.9,10.9,10.9,10.9,10.9,10.9,Rams 
1,62,Cardinals,10.3,Cardinals ,10.3,10.3,10.3,10.3,10.3,10.3,10.3,Cardinals 
2,66,Seahawks,9.6,Seahawks ,9.6,9.6,9.6,9.6,9.6,9.6,9.6,Seahawks 
3,69,Patriots,9.1,Patriots ,9.1,9.1,9.1,9.1,9.1,9.1,9.1,Patriots 
4,73,Vikings,8.8,Vikings ,8.8,8.8,8.8,8.8,8.8,8.8,8.8,Vikings 
5,85,Broncos,8.3,Broncos ,8.3,8.3,8.3,8.3,8.3,8.3,8.3,Broncos 
6,96,Panthers,8.0,Panthers ,8.0,8.0,8.0,8.0,8.0,8.0,8.0,Panthers 
7,106,Jets,7.6,Jets ,7.6,7.6,7.6,7.6,7.6,7.6,7.6,Jets 
8,112,Packers,7.5,Packers ,7.5,7.5,7.5,7.5,7.5,7.5,7.5,Packers 
9,125,Falcons,7.2,Falcons ,7.2,7.2,7.2,7.2,7.2,7.2,7.2,Falcons 
10,145,Bengals,6.7,Bengals ,6.7,6.7,6.7,6.7,6.7,6.7,6.7,Bengals 
11,153,Texans,6.3,Texans ,6.3,6.3,6.3,6.3,6.3,6.3,6.3,Texans 
12,158,Bears,6.2,Bears ,6.2,6.2,6.2,6.2,6.2,6.2,6.2,Bears 
13,161,Chiefs,6.0,Chiefs ,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Chiefs 
14,166,Lions,5.9,Lions ,5.9,5.9,5.9,5.9,5.9,5.9,5.9,Lions 
15,167,Titans,5.9,Titans ,5.9,5.9,5.9,5.9,5.9,5.9,5.9,Titans 
16,168,Colts,5.8,Colts ,5.8,5.8,5.8,5.8,5.8,5.8,5.8,Colts 
17,170,Raiders,5.7,Raiders ,5.7,5.7,5.7,5.7,5.7,5.7,5.7,Raiders 
18,175,Chargers,5.5,Chargers ,5.5,5.5,5.5,5.5,5.5,5.5,5.5,Chargers 
19,177,49ers,5.4,49ers ,5.4,5.4,5.4,5.4,5.4,5.4,5.4,49ers 
20,180,Cowboys,5.4,Cowboys ,5.4,5.4,5.4,5.4,5.4,5.4,5.4,Cowboys 
21,192,Saints,4.9,Saints ,4.9,4.9,4.9,4.9,4.9,4.9,4.9,Saints 
22,210,Steelers,4.3,Steelers ,4.3,4.3,4.3,4.3,4.3,4.3,4.3,Steelers 
23,222,Giants,3.9,Giants ,3.9,3.9,3.9,3.9,3.9,3.9,3.9,Giants 
24,223,Buccaneers,3.8,Buccaneers ,3.8,3.8,3.8,3.8,3.8,3.8,3.8,Buccaneers 
25,229,Ravens,3.4,Ravens ,3.4,3.4,3.4,3.4,3.4,3.4,3.4,Ravens 
26,293,Dolphins,1.3,Dolphins ,1.3,1.3,1.3,1.3,1.3,1.3,1.3,Dolphins 
27,295,Browns,1.2,Browns ,1.2,1.2,1.2,1.2,1.2,1.2,1.2,Browns 
