,Unnamed: 0,player,fftoday,dk_name
0,2,Philip Rivers,28.2,Philip Rivers
1,3,Tom Brady,27.8,Tom Brady
2,4,Eli Manning,22.4,Eli Manning
3,5,Cam Newton,22.0,Cam Newton
4,6,Andy Dalton,24.0,Andy Dalton
5,7,Aaron Rodgers,21.1,Aaron Rodgers
6,8,Ryan Fitzpatrick,20.8,Ryan Fitzpatrick
7,9,Andrew Luck,18.8,Andrew Luck
8,10,Jay Cutler,19.4,Jay Cutler
9,11,Alex Smith,20.6,Alex Smith
10,12,Drew Brees,22.0,Drew Brees
11,13,Russell Wilson,20.6,Russell Wilson
12,14,Ben Roethlisberger,19.9,Ben Roethlisberger
13,15,Matthew Stafford,18.9,Matthew Stafford
14,16,Brian Hoyer,18.7,Brian Hoyer
15,17,Matt Ryan,19.7,Matt Ryan
16,18,Ryan Tannehill,18.6,Ryan Tannehill
17,19,Teddy Bridgewater,18.2,Teddy Bridgewater
18,20,Carson Palmer,19.0,Carson Palmer
19,21,Zach Mettenberger,17.8,Zach Mettenberger
20,22,Derek Carr,17.3,Derek Carr
21,23,Peyton Manning,17.2,Peyton Manning
22,24,Josh McCown,14.0,Josh McCown
23,25,Jameis Winston,14.3,Jameis Winston
24,26,Joe Flacco,13.1,Joe Flacco
25,27,Colin Kaepernick,13.4,Colin Kaepernick
26,28,Matt Cassel,11.8,Matt Cassel
27,29,Nick Foles,12.3,Nick Foles
28,32,Devonta Freeman,24.0,Devonta Freeman
29,33,Todd Gurley,23.0,Todd Gurley
30,34,Le'Veon Bell,22.5,Le'Veon Bell
31,35,Justin Forsett,24.5,Justin Forsett
32,36,Adrian Peterson,24.0,Adrian Peterson
33,37,Marshawn Lynch,22.5,Marshawn Lynch
34,38,Lamar Miller,21.5,Lamar Miller
35,39,Mark Ingram,20.0,Mark Ingram
36,40,Matt Forte,21.5,Matt Forte
37,41,Ronnie Hillman,19.0,Ronnie Hillman
38,42,Chris Johnson,16.5,Chris Johnson
39,43,Doug Martin,18.5,Doug Martin
40,44,Chris Ivory,15.5,Chris Ivory
41,45,Latavius Murray,17.5,Latavius Murray
42,46,James Starks,17.5,James Starks
43,47,Darren McFadden,17.0,Darren McFadden
44,48,Jonathan Stewart,15.0,Jonathan Stewart
45,49,Giovani Bernard,17.5,Giovani Bernard
46,50,Antonio Andrews,14.0,Antonio Andrews
47,51,Charcandrick West,14.5,Charcandrick West
48,52,Frank Gore,10.0,Frank Gore
49,53,Dion Lewis,13.0,Dion Lewis
50,54,Rashad Jennings,9.5,Rashad Jennings
51,55,Danny Woodhead,11.5,Danny Woodhead
52,56,Chris Polk,8.0,Chris Polk
53,57,Shane Vereen,10.0,Shane Vereen
54,58,Ameer Abdullah,6.5,Ameer Abdullah
55,59,Alfred Blue,8.5,Alfred Blue
56,60,Carlos Hyde,6.5,Carlos Hyde
57,61,Duke Johnson,9.5,Duke Johnson Jr.
58,62,Charles Sims,9.5,Charles Sims
59,63,C.J. Anderson,7.0,C.J. Anderson
60,64,Jeremy Hill,5.5,Jeremy Hill
61,65,Dexter McCluster,7.5,Dexter McCluster
62,66,Theo Riddick,9.5,Theo Riddick
63,67,Melvin Gordon,5.0,Melvin Gordon
64,68,Eddie Lacy,5.0,Eddie Lacy
65,69,LeGarrette Blount,4.5,LeGarrette Blount
66,70,Isaiah Crowell,4.5,Isaiah Crowell
67,71,Benny Cunningham,6.5,Benny Cunningham
68,72,David Johnson,6.5,David Johnson
69,73,Zac Stacy,5.5,Zac Stacy
70,74,Reggie Bush,5.0,Reggie Bush
71,75,Tevin Coleman,4.0,Tevin Coleman
72,76,Joique Bell,3.5,Joique Bell
73,77,Christine Michael,2.5,Christine Michael
74,78,Bishop Sankey,2.5,Bishop Sankey
75,79,C.J. Spiller,3.5,C.J. Spiller
76,80,Javorius Allen,2.0,Javorius Allen
77,81,Andre Ellington,3.0,Andre Ellington
78,84,Branden Oliver,2.0,Branden Oliver
79,85,Marcel Reece,3.0,Marcel Reece
