player,opp,status,comp/att,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,fan_pts,punt_td,kick_td,fl,2-pt

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Tom Brady, NEQB",Mia,W 36-7,25.5/39.5,279.2,2.5,0.7,2.8,3.5,0.2,0,0,0,20.6
"Philip Rivers, SDQB",@Bal,Sun 1:00,26.2/40.7,326.6,2.1,0.9,1.9,4.1,0,0,0,0,19.3
"Cam Newton, CarQB",Ind,Mon 8:30,18.8/30.9,227.1,1.5,0.9,8.7,44.6,0.4,0,0,0,19
"Devonta Freeman, AtlRB",TB,Sun 1:00,0/0,0,0,0,21.2,88.2,1.1,4,36.7,0.2,18.6
"Matt Ryan, AtlQB",TB,Sun 1:00,22.1/33.2,256.1,2.3,0.5,2.5,8,0.1,0,0,0,18.6
"Alex Smith, KCQBP",Det,Sun 9:30 AM,21.7/32.9,251.9,1.4,0.4,4,21.2,0.2,0,0,0,17.6
"Ben Roethlisberger, PitQBP",Cin,Sun 1:00,24.8/36.1,308.7,1.8,0.7,1.9,5.8,0,0,0,0,17.4
"Andy Dalton, CinQB",@Pit,Sun 1:00,21.1/33.3,261.2,1.7,0.7,3.8,11.1,0.1,0,0,0,16.9
"Aaron Rodgers, GBQB",@Den,Sun 8:30,21.5/33.7,261.8,1.8,0.7,3.6,19.1,0.1,0,0,0,16.9
"Justin Forsett, BalRB",SD,Sun 1:00,0/0,0,0,0,18.8,102.1,0.7,3.3,26,0.1,16.7
"Eli Manning, NYGQB",@NO,Sun 1:00,24.3/38.2,295,1.8,0.7,1.5,2.8,0,0,0,0,16.6
"Drew Brees, NOQB",NYG,Sun 1:00,28.2/42.2,324.9,1.7,1,1.6,2.5,0.1,0,0,0,16.6
"Ryan Tannehill, MiaQB",@NE,L 7-36,24.5/39.9,275,1.7,1.1,2.1,10,0.1,0,0,0,16.4
"Le'Veon Bell, PitRB",Cin,Sun 1:00,0/0,0,0,0,18,88,0.5,5.3,44.1,0.2,16.1
"Carson Palmer, AriQB",@Cle,Sun 1:00,19/32.8,246.7,2,0.8,2.1,3.5,0.1,0,0,0,15.7
"Todd Gurley, StLRB",SF,Sun 1:00,0/0,0,0,0,20.4,92.2,0.9,2.4,19.7,0.1,15.7
"Andrew Luck, IndQB",@Car,Mon 8:30,24.8/42.7,297.8,1.6,1.4,3.8,18.4,0.1,0,0,0,15.6
