,2-pt,avg_yards/rec,comp,comp-%,fan_pts,fl,int,kick_td,pass_att,pass_tds,pass_yards,pass_yards/att,player,punt_td,rec,rec_tds,rec_yards,rush_att,rush_avg,rush_tds,rush_yards
57,0.0,,0.3,59.5,0.0,0.0,0.0,0.0,0.6,0.0,3.9,6.9,"Case Keenum,STL",0.0,0.0,0.0,0.0,0.1,5.6,0.0,0.6
58,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Colt McCoy,WAS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,,0.0,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.5,"AJ McCarron,CIN",0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0
60,0.0,,0.2,51.8,0.0,0.0,0.0,0.0,0.4,0.0,2.6,6.2,"Zach Mettenberger,TEN",0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
61,0.0,,0.4,61.4,0.0,0.0,0.0,0.0,0.6,0.0,3.2,5.4,"Matt McGloin,OAK",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1
62,0.0,,22.0,59.1,0.0,0.2,1.1,0.0,37.2,1.7,201.0,5.4,"Derek Carr,OAK",0.0,0.0,0.0,0.0,1.5,3.1,0.0,4.7
63,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Kellen Moore,DAL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,,22.8,66.3,0.0,0.2,1.4,0.0,34.4,1.1,264.0,7.7,"Kirk Cousins,WAS",0.0,0.0,0.0,0.0,0.7,3.4,0.2,2.4
65,0.0,,0.4,58.3,0.0,0.0,0.0,0.0,0.7,0.0,5.2,7.9,"Mark Sanchez,PHI",0.0,0.0,0.0,0.0,0.1,2.8,0.0,0.3
66,0.0,,0.0,57.7,0.0,0.0,0.0,0.0,0.1,0.0,0.4,5.9,"Brock Osweiler,DEN",0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
67,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Ryan Griffin,TB",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,,0.1,52.8,0.0,0.0,0.0,0.0,0.1,0.0,0.9,6.4,"Blaine Gabbert,SF",0.0,0.0,0.0,0.0,0.1,5.1,0.0,0.4
69,0.0,,0.3,60.5,0.0,0.0,0.0,0.0,0.5,0.0,3.7,7.5,"Matt Cassel,DAL",0.0,0.0,0.0,0.0,0.1,2.7,0.0,0.3
